#,date,tempe,ambient
1,06/21/05 05:01:00 AM,29.07,23.33
2,06/21/05 05:02:00 AM,29.07,23.33
3,06/21/05 05:03:00 AM,29.07,23.33
4,06/21/05 05:04:00 AM,29.07,23.33
5,06/21/05 05:05:00 AM,29.07,23.33
6,06/21/05 05:06:00 AM,29.07,23.33
7,06/21/05 05:07:00 AM,29.07,23.33
8,06/21/05 05:08:00 AM,29.25,23.33
9,06/21/05 05:09:00 AM,29.07,23.33
10,06/21/05 05:10:00 AM,29.25,23.33
11,06/21/05 05:11:00 AM,29.25,23.33
12,06/21/05 05:12:00 AM,29.07,23.51
13,06/21/05 05:13:00 AM,28.88,23.51
14,06/21/05 05:14:00 AM,29.07,23.51
15,06/21/05 05:15:00 AM,29.07,23.51
16,06/21/05 05:16:00 AM,29.25,23.68
17,06/21/05 05:17:00 AM,29.25,23.51
18,06/21/05 05:18:00 AM,29.25,23.68
19,06/21/05 05:19:00 AM,29.25,23.68
20,06/21/05 05:20:00 AM,28.7,23.68
21,06/21/05 05:21:00 AM,28.33,23.68
22,06/21/05 05:22:00 AM,28.15,23.68
23,06/21/05 05:23:00 AM,27.96,23.68
24,06/21/05 05:24:00 AM,27.78,23.51
25,06/21/05 05:25:00 AM,27.96,23.51
26,06/21/05 05:26:00 AM,27.78,23.68
27,06/21/05 05:27:00 AM,27.78,23.51
28,06/21/05 05:28:00 AM,27.78,23.51
29,06/21/05 05:29:00 AM,27.78,23.51
30,06/21/05 05:30:00 AM,27.96,23.51
31,06/21/05 05:31:00 AM,28.15,23.51
32,06/21/05 05:32:00 AM,28.33,23.51
33,06/21/05 05:33:00 AM,28.51,23.51
34,06/21/05 05:34:00 AM,28.7,23.51
35,06/21/05 05:35:00 AM,28.7,23.51
36,06/21/05 05:36:00 AM,28.88,23.51
37,06/21/05 05:37:00 AM,28.88,23.51
38,06/21/05 05:38:00 AM,28.88,23.51
39,06/21/05 05:39:00 AM,28.88,23.51
40,06/21/05 05:40:00 AM,28.88,23.51
41,06/21/05 05:41:00 AM,28.88,23.51
42,06/21/05 05:42:00 AM,28.88,23.51
43,06/21/05 05:43:00 AM,28.88,23.51
44,06/21/05 05:44:00 AM,28.88,23.51
45,06/21/05 05:45:00 AM,28.88,23.51
46,06/21/05 05:46:00 AM,28.88,23.51
47,06/21/05 05:47:00 AM,29.07,23.51
48,06/21/05 05:48:00 AM,29.25,23.51
49,06/21/05 05:49:00 AM,29.44,23.51
50,06/21/05 05:50:00 AM,29.62,23.51
51,06/21/05 05:51:00 AM,29.62,23.51
52,06/21/05 05:52:00 AM,29.81,23.51
53,06/21/05 05:53:00 AM,29.81,23.68
54,06/21/05 05:54:00 AM,30.0,23.68
55,06/21/05 05:55:00 AM,30.0,23.68
56,06/21/05 05:56:00 AM,30.18,23.51
57,06/21/05 05:57:00 AM,30.18,23.51
58,06/21/05 05:58:00 AM,30.18,23.51
59,06/21/05 05:59:00 AM,30.0,23.51
60,06/21/05 06:00:00 AM,29.81,23.51
61,06/21/05 06:01:00 AM,28.88,23.51
62,06/21/05 06:02:00 AM,27.78,23.33
63,06/21/05 06:03:00 AM,26.7,23.33
64,06/21/05 06:04:00 AM,25.62,23.33
65,06/21/05 06:05:00 AM,24.91,23.16
66,06/21/05 06:06:00 AM,24.38,23.16
67,06/21/05 06:07:00 AM,24.03,22.98
68,06/21/05 06:08:00 AM,23.68,22.98
69,06/21/05 06:09:00 AM,23.33,22.98
70,06/21/05 06:10:00 AM,23.33,22.98
71,06/21/05 06:11:00 AM,23.33,22.81
72,06/21/05 06:12:00 AM,23.16,22.81
73,06/21/05 06:13:00 AM,23.16,22.81
74,06/21/05 06:14:00 AM,22.98,22.81
75,06/21/05 06:15:00 AM,22.98,22.81
76,06/21/05 06:16:00 AM,23.86,22.81
77,06/21/05 06:17:00 AM,24.38,22.81
78,06/21/05 06:18:00 AM,24.74,22.81
79,06/21/05 06:19:00 AM,25.09,22.81
80,06/21/05 06:20:00 AM,25.8,22.81
81,06/21/05 06:21:00 AM,26.52,22.81
82,06/21/05 06:22:00 AM,27.24,22.98
83,06/21/05 06:23:00 AM,26.88,22.98
84,06/21/05 06:24:00 AM,26.16,22.98
85,06/21/05 06:25:00 AM,25.27,22.98
86,06/21/05 06:26:00 AM,24.74,22.81
87,06/21/05 06:27:00 AM,24.21,22.81
88,06/21/05 06:28:00 AM,23.86,22.81
89,06/21/05 06:29:00 AM,23.33,22.81
90,06/21/05 06:30:00 AM,23.86,22.81
91,06/21/05 06:31:00 AM,24.56,22.81
92,06/21/05 06:32:00 AM,25.8,22.81
93,06/21/05 06:33:00 AM,26.52,22.81
94,06/21/05 06:34:00 AM,27.24,22.98
95,06/21/05 06:35:00 AM,27.78,22.98
96,06/21/05 06:36:00 AM,28.51,22.98
97,06/21/05 06:37:00 AM,29.07,23.16
98,06/21/05 06:38:00 AM,29.62,23.16
99,06/21/05 06:39:00 AM,29.81,23.16
100,06/21/05 06:40:00 AM,30.0,23.16
101,06/21/05 06:41:00 AM,30.18,23.16
