#,date,tempe,ambient
1,07/03/05 08:01:00 PM,30.94,28.7
2,07/03/05 08:02:00 PM,30.94,28.51
3,07/03/05 08:03:00 PM,30.94,28.51
4,07/03/05 08:04:00 PM,31.13,28.51
5,07/03/05 08:05:00 PM,31.32,28.51
6,07/03/05 08:06:00 PM,31.51,28.51
7,07/03/05 08:07:00 PM,31.7,28.51
8,07/03/05 08:08:00 PM,31.7,28.51
9,07/03/05 08:09:00 PM,31.89,28.51
10,07/03/05 08:10:00 PM,31.89,28.51
11,07/03/05 08:11:00 PM,31.7,28.51
12,07/03/05 08:12:00 PM,31.32,28.51
13,07/03/05 08:13:00 PM,31.13,28.51
14,07/03/05 08:14:00 PM,30.94,28.51
15,07/03/05 08:15:00 PM,30.75,28.51
16,07/03/05 08:16:00 PM,30.75,28.51
17,07/03/05 08:17:00 PM,31.13,28.51
18,07/03/05 08:18:00 PM,31.51,28.51
19,07/03/05 08:19:00 PM,31.7,28.51
20,07/03/05 08:20:00 PM,31.89,28.51
21,07/03/05 08:21:00 PM,32.08,28.51
22,07/03/05 08:22:00 PM,32.28,28.33
23,07/03/05 08:23:00 PM,32.47,28.33
24,07/03/05 08:24:00 PM,32.08,28.33
25,07/03/05 08:25:00 PM,31.7,28.33
26,07/03/05 08:26:00 PM,31.51,28.33
27,07/03/05 08:27:00 PM,31.32,28.33
28,07/03/05 08:28:00 PM,30.94,28.33
29,07/03/05 08:29:00 PM,30.75,28.33
30,07/03/05 08:30:00 PM,30.56,28.33
31,07/03/05 08:31:00 PM,30.56,28.33
32,07/03/05 08:32:00 PM,30.37,28.33
33,07/03/05 08:33:00 PM,30.18,28.33
34,07/03/05 08:34:00 PM,30.0,28.33
35,07/03/05 08:35:00 PM,30.0,28.33
36,07/03/05 08:36:00 PM,29.81,28.33
37,07/03/05 08:37:00 PM,29.62,28.15
38,07/03/05 08:38:00 PM,29.44,28.15
39,07/03/05 08:39:00 PM,29.44,28.15
40,07/03/05 08:40:00 PM,29.25,28.15
41,07/03/05 08:41:00 PM,29.25,28.15
42,07/03/05 08:42:00 PM,29.07,28.15
43,07/03/05 08:43:00 PM,29.07,28.15
44,07/03/05 08:44:00 PM,29.44,28.15
45,07/03/05 08:45:00 PM,30.18,28.15
46,07/03/05 08:46:00 PM,30.56,28.15
47,07/03/05 08:47:00 PM,30.75,28.15
48,07/03/05 08:48:00 PM,30.37,28.15
49,07/03/05 08:49:00 PM,30.18,27.96
50,07/03/05 08:50:00 PM,30.0,27.96
51,07/03/05 08:51:00 PM,29.81,27.96
52,07/03/05 08:52:00 PM,29.81,27.96
53,07/03/05 08:53:00 PM,29.62,27.96
54,07/03/05 08:54:00 PM,30.18,27.96
55,07/03/05 08:55:00 PM,30.56,27.96
56,07/03/05 08:56:00 PM,30.94,27.96
57,07/03/05 08:57:00 PM,31.13,27.96
58,07/03/05 08:58:00 PM,31.32,27.96
59,07/03/05 08:59:00 PM,31.51,27.96
60,07/03/05 09:00:00 PM,31.89,27.96
61,07/03/05 09:01:00 PM,31.89,27.96
62,07/03/05 09:02:00 PM,32.08,27.96
63,07/03/05 09:03:00 PM,32.08,27.96
64,07/03/05 09:04:00 PM,32.08,27.96
65,07/03/05 09:05:00 PM,32.28,27.78
66,07/03/05 09:06:00 PM,32.28,27.78
67,07/03/05 09:07:00 PM,32.28,27.78
68,07/03/05 09:08:00 PM,32.47,27.96
69,07/03/05 09:09:00 PM,32.28,27.96
70,07/03/05 09:10:00 PM,32.28,27.78
71,07/03/05 09:11:00 PM,32.28,27.78
72,07/03/05 09:12:00 PM,32.28,27.78
73,07/03/05 09:13:00 PM,32.28,27.78
74,07/03/05 09:14:00 PM,32.28,27.78
75,07/03/05 09:15:00 PM,32.28,27.78
76,07/03/05 09:16:00 PM,32.28,27.78
77,07/03/05 09:17:00 PM,32.28,27.78
78,07/03/05 09:18:00 PM,32.28,27.78
79,07/03/05 09:19:00 PM,32.08,27.78
80,07/03/05 09:20:00 PM,32.08,27.78
81,07/03/05 09:21:00 PM,32.08,27.78
82,07/03/05 09:22:00 PM,31.89,27.78
83,07/03/05 09:23:00 PM,31.7,27.78
84,07/03/05 09:24:00 PM,31.89,27.6
85,07/03/05 09:25:00 PM,31.89,27.6
86,07/03/05 09:26:00 PM,31.89,27.6
87,07/03/05 09:27:00 PM,31.89,27.6
88,07/03/05 09:28:00 PM,31.89,27.6
89,07/03/05 09:29:00 PM,31.89,27.6
90,07/03/05 09:30:00 PM,31.89,27.6
91,07/03/05 09:31:00 PM,31.89,27.6
92,07/03/05 09:32:00 PM,32.28,27.6
93,07/03/05 09:33:00 PM,32.47,27.6
94,07/03/05 09:34:00 PM,32.47,27.6
95,07/03/05 09:35:00 PM,32.47,27.6
96,07/03/05 09:36:00 PM,32.47,27.6
97,07/03/05 09:37:00 PM,32.28,27.6
98,07/03/05 09:38:00 PM,32.66,27.6
99,07/03/05 09:39:00 PM,32.86,27.6
100,07/03/05 09:40:00 PM,32.86,27.6
101,07/03/05 09:41:00 PM,32.66,27.6
102,07/03/05 09:42:00 PM,32.28,27.6
103,07/03/05 09:43:00 PM,32.08,27.6
104,07/03/05 09:44:00 PM,31.51,27.6
105,07/03/05 09:45:00 PM,31.51,27.6
106,07/03/05 09:46:00 PM,31.51,27.6
107,07/03/05 09:47:00 PM,31.51,27.6
108,07/03/05 09:48:00 PM,31.32,27.6
109,07/03/05 09:49:00 PM,31.7,27.6
110,07/03/05 09:50:00 PM,31.89,27.6
111,07/03/05 09:51:00 PM,32.08,27.6
112,07/03/05 09:52:00 PM,32.28,27.42
113,07/03/05 09:53:00 PM,32.28,27.42
114,07/03/05 09:54:00 PM,32.47,27.42
115,07/03/05 09:55:00 PM,32.47,27.42
116,07/03/05 09:56:00 PM,32.47,27.42
117,07/03/05 09:57:00 PM,32.28,27.42
118,07/03/05 09:58:00 PM,32.28,27.42
119,07/03/05 09:59:00 PM,32.08,27.42
120,07/03/05 10:00:00 PM,31.89,27.42
121,07/03/05 10:01:00 PM,31.89,27.42
122,07/03/05 10:02:00 PM,31.89,27.42
123,07/03/05 10:03:00 PM,31.89,27.42
124,07/03/05 10:04:00 PM,31.89,27.42
125,07/03/05 10:05:00 PM,31.89,27.42
126,07/03/05 10:06:00 PM,32.08,27.42
127,07/03/05 10:07:00 PM,31.89,27.42
128,07/03/05 10:08:00 PM,32.08,27.6
129,07/03/05 10:09:00 PM,32.28,27.6
130,07/03/05 10:10:00 PM,32.28,27.6
131,07/03/05 10:11:00 PM,32.28,27.6
132,07/03/05 10:12:00 PM,32.28,27.6
133,07/03/05 10:13:00 PM,32.28,27.6
134,07/03/05 10:14:00 PM,32.28,27.6
135,07/03/05 10:15:00 PM,32.28,27.6
136,07/03/05 10:16:00 PM,32.28,27.6
137,07/03/05 10:17:00 PM,32.28,27.6
138,07/03/05 10:18:00 PM,32.28,27.6
139,07/03/05 10:19:00 PM,32.28,27.6
140,07/03/05 10:20:00 PM,32.28,27.6
141,07/03/05 10:21:00 PM,32.28,27.6
142,07/03/05 10:22:00 PM,32.28,27.6
143,07/03/05 10:23:00 PM,32.47,27.6
144,07/03/05 10:24:00 PM,32.47,27.6
145,07/03/05 10:25:00 PM,32.47,27.6
146,07/03/05 10:26:00 PM,32.47,27.6
147,07/03/05 10:27:00 PM,32.47,27.6
148,07/03/05 10:28:00 PM,32.47,27.6
149,07/03/05 10:29:00 PM,32.47,27.6
150,07/03/05 10:30:00 PM,32.47,27.6
151,07/03/05 10:31:00 PM,32.28,27.6
152,07/03/05 10:32:00 PM,32.47,27.42
153,07/03/05 10:33:00 PM,32.47,27.42
154,07/03/05 10:34:00 PM,32.28,27.42
155,07/03/05 10:35:00 PM,32.28,27.42
156,07/03/05 10:36:00 PM,32.28,27.42
157,07/03/05 10:37:00 PM,32.08,27.42
158,07/03/05 10:38:00 PM,32.08,27.42
159,07/03/05 10:39:00 PM,32.08,27.42
160,07/03/05 10:40:00 PM,32.08,27.42
161,07/03/05 10:41:00 PM,31.89,27.42
162,07/03/05 10:42:00 PM,32.08,27.42
163,07/03/05 10:43:00 PM,32.08,27.24
164,07/03/05 10:44:00 PM,32.08,27.24
165,07/03/05 10:45:00 PM,32.08,27.24
166,07/03/05 10:46:00 PM,31.7,27.24
167,07/03/05 10:47:00 PM,31.89,27.24
168,07/03/05 10:48:00 PM,31.89,27.24
169,07/03/05 10:49:00 PM,31.89,27.24
170,07/03/05 10:50:00 PM,31.89,27.24
171,07/03/05 10:51:00 PM,32.08,27.24
172,07/03/05 10:52:00 PM,32.08,27.24
173,07/03/05 10:53:00 PM,32.08,27.24
174,07/03/05 10:54:00 PM,32.08,27.24
175,07/03/05 10:55:00 PM,32.08,27.24
176,07/03/05 10:56:00 PM,32.08,27.24
177,07/03/05 10:57:00 PM,32.08,27.24
178,07/03/05 10:58:00 PM,32.08,27.24
179,07/03/05 10:59:00 PM,32.08,27.24
180,07/03/05 11:00:00 PM,32.08,27.24
181,07/03/05 11:01:00 PM,32.08,27.06
182,07/03/05 11:02:00 PM,32.08,27.06
183,07/03/05 11:03:00 PM,32.08,27.06
184,07/03/05 11:04:00 PM,32.08,27.06
185,07/03/05 11:05:00 PM,32.08,27.06
186,07/03/05 11:06:00 PM,32.08,27.06
187,07/03/05 11:07:00 PM,32.08,27.06
188,07/03/05 11:08:00 PM,32.08,27.06
189,07/03/05 11:09:00 PM,32.08,27.06
190,07/03/05 11:10:00 PM,32.08,27.06
191,07/03/05 11:11:00 PM,32.08,27.06
192,07/03/05 11:12:00 PM,32.08,27.06
193,07/03/05 11:13:00 PM,32.08,27.06
194,07/03/05 11:14:00 PM,32.08,27.06
195,07/03/05 11:15:00 PM,32.28,27.06
196,07/03/05 11:16:00 PM,32.28,27.06
197,07/03/05 11:17:00 PM,32.28,27.06
198,07/03/05 11:18:00 PM,32.28,27.06
199,07/03/05 11:19:00 PM,32.28,27.06
200,07/03/05 11:20:00 PM,32.28,27.06
201,07/03/05 11:21:00 PM,32.28,27.06
202,07/03/05 11:22:00 PM,32.28,27.06
