#,date,tempe,ambient
1,06/24/05 06:01:00 PM,37.5,31.89
2,06/24/05 06:02:00 PM,36.88,31.51
3,06/24/05 06:03:00 PM,36.67,31.32
4,06/24/05 06:04:00 PM,36.46,31.51
5,06/24/05 06:05:00 PM,36.46,31.7
6,06/24/05 06:06:00 PM,36.26,31.89
7,06/24/05 06:07:00 PM,36.05,31.7
8,06/24/05 06:08:00 PM,35.85,31.7
9,06/24/05 06:09:00 PM,35.64,31.7
10,06/24/05 06:10:00 PM,36.05,31.7
11,06/24/05 06:11:00 PM,37.71,31.7
12,06/24/05 06:12:00 PM,37.71,31.7
13,06/24/05 06:13:00 PM,37.5,31.7
14,06/24/05 06:14:00 PM,37.5,31.51
15,06/24/05 06:15:00 PM,37.71,31.32
16,06/24/05 06:16:00 PM,37.71,31.13
17,06/24/05 06:17:00 PM,37.92,31.13
18,06/24/05 06:18:00 PM,37.92,31.13
19,06/24/05 06:19:00 PM,37.5,31.13
20,06/24/05 06:20:00 PM,37.29,31.13
21,06/24/05 06:21:00 PM,37.29,30.94
22,06/24/05 06:22:00 PM,36.88,30.94
23,06/24/05 06:23:00 PM,36.67,31.13
24,06/24/05 06:24:00 PM,36.26,30.94
25,06/24/05 06:25:00 PM,35.85,30.75
26,06/24/05 06:26:00 PM,35.24,30.37
27,06/24/05 06:27:00 PM,34.83,30.0
28,06/24/05 06:28:00 PM,34.43,29.62
29,06/24/05 06:29:00 PM,34.23,29.62
30,06/24/05 06:30:00 PM,34.04,29.62
31,06/24/05 06:31:00 PM,35.03,29.81
32,06/24/05 06:32:00 PM,37.5,30.18
33,06/24/05 06:33:00 PM,38.35,30.37
34,06/24/05 06:34:00 PM,37.92,30.56
35,06/24/05 06:35:00 PM,37.71,30.56
36,06/24/05 06:36:00 PM,37.92,30.56
37,06/24/05 06:37:00 PM,37.92,30.37
38,06/24/05 06:38:00 PM,37.29,30.37
39,06/24/05 06:39:00 PM,37.29,30.56
40,06/24/05 06:40:00 PM,37.29,30.37
41,06/24/05 06:41:00 PM,37.71,30.18
42,06/24/05 06:42:00 PM,37.5,30.18
43,06/24/05 06:43:00 PM,37.29,30.18
44,06/24/05 06:44:00 PM,37.71,30.37
45,06/24/05 06:45:00 PM,37.5,30.37
46,06/24/05 06:46:00 PM,37.08,30.37
47,06/24/05 06:47:00 PM,37.29,30.56
48,06/24/05 06:48:00 PM,36.67,30.37
49,06/24/05 06:49:00 PM,36.05,30.18
50,06/24/05 06:50:00 PM,35.64,30.0
51,06/24/05 06:51:00 PM,35.24,30.0
52,06/24/05 06:52:00 PM,35.03,29.62
53,06/24/05 06:53:00 PM,34.83,29.62
54,06/24/05 06:54:00 PM,34.63,29.81
55,06/24/05 06:55:00 PM,34.43,29.62
56,06/24/05 06:56:00 PM,34.23,29.62
57,06/24/05 06:57:00 PM,34.04,29.44
58,06/24/05 06:58:00 PM,33.84,29.25
59,06/24/05 06:59:00 PM,33.64,29.25
60,06/24/05 07:00:00 PM,33.44,29.25
61,06/24/05 07:01:00 PM,33.64,29.07
62,06/24/05 07:02:00 PM,35.03,29.07
63,06/24/05 07:03:00 PM,36.46,29.07
64,06/24/05 07:04:00 PM,37.08,28.88
65,06/24/05 07:05:00 PM,37.5,28.88
66,06/24/05 07:06:00 PM,37.71,28.88
67,06/24/05 07:07:00 PM,36.88,28.7
68,06/24/05 07:08:00 PM,36.46,28.7
69,06/24/05 07:09:00 PM,36.26,28.7
70,06/24/05 07:10:00 PM,35.85,28.51
71,06/24/05 07:11:00 PM,35.64,28.51
72,06/24/05 07:12:00 PM,35.85,28.51
73,06/24/05 07:13:00 PM,36.05,28.51
74,06/24/05 07:14:00 PM,36.46,28.7
75,06/24/05 07:15:00 PM,36.67,28.7
76,06/24/05 07:16:00 PM,36.46,28.7
77,06/24/05 07:17:00 PM,36.46,28.7
78,06/24/05 07:18:00 PM,36.46,28.7
79,06/24/05 07:19:00 PM,36.46,28.7
80,06/24/05 07:20:00 PM,36.46,28.51
