#,date,tempe,ambient
1,07/06/05 08:01:00 PM,32.28,31.89
2,07/06/05 08:02:00 PM,32.08,31.89
3,07/06/05 08:03:00 PM,32.08,31.89
4,07/06/05 08:04:00 PM,32.08,31.89
5,07/06/05 08:05:00 PM,32.08,31.89
6,07/06/05 08:06:00 PM,32.08,31.7
7,07/06/05 08:07:00 PM,32.08,31.7
8,07/06/05 08:08:00 PM,32.08,31.7
9,07/06/05 08:09:00 PM,32.08,31.51
10,07/06/05 08:10:00 PM,31.89,31.51
11,07/06/05 08:11:00 PM,31.89,31.51
12,07/06/05 08:12:00 PM,31.89,31.32
13,07/06/05 08:13:00 PM,31.89,31.32
14,07/06/05 08:14:00 PM,31.7,31.32
15,07/06/05 08:15:00 PM,31.7,31.32
16,07/06/05 08:16:00 PM,31.7,31.32
17,07/06/05 08:17:00 PM,31.7,31.32
18,07/06/05 08:18:00 PM,31.7,31.32
19,07/06/05 08:19:00 PM,31.7,31.32
20,07/06/05 08:20:00 PM,32.28,31.32
21,07/06/05 08:21:00 PM,33.25,31.32
22,07/06/05 08:22:00 PM,33.44,31.32
23,07/06/05 08:23:00 PM,33.84,31.32
24,07/06/05 08:24:00 PM,34.63,31.32
25,07/06/05 08:25:00 PM,34.83,31.32
26,07/06/05 08:26:00 PM,35.03,31.32
27,07/06/05 08:27:00 PM,35.03,31.13
28,07/06/05 08:28:00 PM,35.24,31.32
29,07/06/05 08:29:00 PM,35.64,31.32
30,07/06/05 08:30:00 PM,35.85,31.13
31,07/06/05 08:31:00 PM,35.64,31.32
32,07/06/05 08:32:00 PM,35.24,31.13
33,07/06/05 08:33:00 PM,34.63,31.13
34,07/06/05 08:34:00 PM,34.23,31.13
35,07/06/05 08:35:00 PM,34.04,31.13
36,07/06/05 08:36:00 PM,33.64,31.13
37,07/06/05 08:37:00 PM,33.44,31.13
38,07/06/05 08:38:00 PM,33.25,30.94
39,07/06/05 08:39:00 PM,33.25,30.94
40,07/06/05 08:40:00 PM,33.05,30.94
41,07/06/05 08:41:00 PM,32.86,30.94
42,07/06/05 08:42:00 PM,32.86,30.94
43,07/06/05 08:43:00 PM,32.66,30.94
44,07/06/05 08:44:00 PM,32.66,30.94
45,07/06/05 08:45:00 PM,32.47,30.94
46,07/06/05 08:46:00 PM,32.47,30.94
47,07/06/05 08:47:00 PM,32.28,30.94
48,07/06/05 08:48:00 PM,32.28,30.94
49,07/06/05 08:49:00 PM,32.08,30.75
50,07/06/05 08:50:00 PM,32.08,30.75
51,07/06/05 08:51:00 PM,32.86,30.75
52,07/06/05 08:52:00 PM,34.04,30.75
53,07/06/05 08:53:00 PM,34.83,30.75
54,07/06/05 08:54:00 PM,35.03,30.75
55,07/06/05 08:55:00 PM,35.44,30.75
56,07/06/05 08:56:00 PM,35.44,30.75
