#,date,tempe,ambient
1,05/17/06 09:01:00 PM,35.64,21.95
2,05/17/06 09:02:00 PM,36.46,21.77
3,05/17/06 09:03:00 PM,36.67,21.77
4,05/17/06 09:04:00 PM,36.88,21.77
5,05/17/06 09:05:00 PM,36.88,21.95
6,05/17/06 09:06:00 PM,36.88,21.95
7,05/17/06 09:07:00 PM,36.67,21.95
8,05/17/06 09:08:00 PM,36.05,21.95
9,05/17/06 09:09:00 PM,36.26,21.95
10,05/17/06 09:10:00 PM,36.46,21.95
11,05/17/06 09:11:00 PM,36.46,21.95
12,05/17/06 09:12:00 PM,36.67,21.95
13,05/17/06 09:13:00 PM,36.46,21.95
14,05/17/06 09:14:00 PM,36.46,21.95
15,05/17/06 09:15:00 PM,36.46,21.95
16,05/17/06 09:16:00 PM,36.46,21.77
17,05/17/06 09:17:00 PM,36.05,21.77
18,05/17/06 09:18:00 PM,36.26,21.6
19,05/17/06 09:19:00 PM,36.26,21.6
20,05/17/06 09:20:00 PM,36.26,21.6
21,05/17/06 09:21:00 PM,36.05,21.6
22,05/17/06 09:22:00 PM,36.05,21.6
23,05/17/06 09:23:00 PM,36.26,21.6
24,05/17/06 09:24:00 PM,36.05,21.43
25,05/17/06 09:25:00 PM,36.26,21.43
26,05/17/06 09:26:00 PM,36.26,21.43
27,05/17/06 09:27:00 PM,36.05,21.43
28,05/17/06 09:28:00 PM,35.85,21.43
29,05/17/06 09:29:00 PM,35.85,21.43
30,05/17/06 09:30:00 PM,35.64,21.26
31,05/17/06 09:31:00 PM,35.64,21.26
32,05/17/06 09:32:00 PM,35.44,21.26
33,05/17/06 09:33:00 PM,35.24,21.26
34,05/17/06 09:34:00 PM,35.44,21.26
35,05/17/06 09:35:00 PM,35.44,21.26
36,05/17/06 09:36:00 PM,35.24,21.26
37,05/17/06 09:37:00 PM,35.24,21.26
38,05/17/06 09:38:00 PM,35.24,21.26
39,05/17/06 09:39:00 PM,35.44,21.26
40,05/17/06 09:40:00 PM,35.44,21.26
41,05/17/06 09:41:00 PM,35.44,21.26
42,05/17/06 09:42:00 PM,34.63,21.26
43,05/17/06 09:43:00 PM,35.03,21.26
44,05/17/06 09:44:00 PM,35.03,21.26
45,05/17/06 09:45:00 PM,35.03,21.26
46,05/17/06 09:46:00 PM,35.03,21.26
47,05/17/06 09:47:00 PM,35.03,21.26
48,05/17/06 09:48:00 PM,35.03,21.08
49,05/17/06 09:49:00 PM,34.83,21.08
50,05/17/06 09:50:00 PM,34.83,21.08
51,05/17/06 09:51:00 PM,34.83,21.08
52,05/17/06 09:52:00 PM,34.83,21.08
53,05/17/06 09:53:00 PM,34.83,20.91
54,05/17/06 09:54:00 PM,34.83,20.91
55,05/17/06 09:55:00 PM,34.83,20.91
56,05/17/06 09:56:00 PM,34.83,20.91
57,05/17/06 09:57:00 PM,34.83,20.91
58,05/17/06 09:58:00 PM,34.83,20.74
59,05/17/06 09:59:00 PM,34.83,20.74
60,05/17/06 10:00:00 PM,34.83,20.74
61,05/17/06 10:01:00 PM,34.83,20.74
62,05/17/06 10:02:00 PM,34.83,20.74
63,05/17/06 10:03:00 PM,34.83,20.74
64,05/17/06 10:04:00 PM,34.83,20.74
65,05/17/06 10:05:00 PM,34.83,20.74
66,05/17/06 10:06:00 PM,34.83,20.74
67,05/17/06 10:07:00 PM,34.83,20.74
68,05/17/06 10:08:00 PM,34.83,20.74
69,05/17/06 10:09:00 PM,34.43,20.74
70,05/17/06 10:10:00 PM,34.43,20.57
71,05/17/06 10:11:00 PM,34.43,20.57
72,05/17/06 10:12:00 PM,34.23,20.57
73,05/17/06 10:13:00 PM,34.04,20.57
74,05/17/06 10:14:00 PM,34.04,20.57
75,05/17/06 10:15:00 PM,34.04,20.57
76,05/17/06 10:16:00 PM,34.04,20.57
77,05/17/06 10:17:00 PM,34.04,20.57
78,05/17/06 10:18:00 PM,34.04,20.57
79,05/17/06 10:19:00 PM,34.04,20.57
80,05/17/06 10:20:00 PM,33.84,20.74
81,05/17/06 10:21:00 PM,33.84,20.57
82,05/17/06 10:22:00 PM,33.64,20.57
83,05/17/06 10:23:00 PM,32.66,20.57
84,05/17/06 10:24:00 PM,32.08,20.57
85,05/17/06 10:25:00 PM,31.7,20.57
