#,date,tempe,ambient
1,06/06/05 07:01:00 AM,24.91,22.98
2,06/06/05 07:02:00 AM,25.62,23.16
3,06/06/05 07:03:00 AM,25.98,23.33
4,06/06/05 07:04:00 AM,26.16,23.33
5,06/06/05 07:05:00 AM,26.52,23.51
6,06/06/05 07:06:00 AM,26.7,23.51
7,06/06/05 07:07:00 AM,27.06,23.68
8,06/06/05 07:08:00 AM,27.24,23.68
9,06/06/05 07:09:00 AM,27.6,23.86
10,06/06/05 07:10:00 AM,27.24,23.86
11,06/06/05 07:11:00 AM,26.7,24.03
12,06/06/05 07:12:00 AM,27.06,24.03
13,06/06/05 07:13:00 AM,27.42,24.03
14,06/06/05 07:14:00 AM,27.6,23.86
15,06/06/05 07:15:00 AM,27.78,23.68
16,06/06/05 07:16:00 AM,27.6,23.68
17,06/06/05 07:17:00 AM,27.42,23.68
18,06/06/05 07:18:00 AM,26.7,23.68
19,06/06/05 07:19:00 AM,26.34,23.68
20,06/06/05 07:20:00 AM,26.52,23.68
21,06/06/05 07:21:00 AM,26.88,23.68
22,06/06/05 07:22:00 AM,27.06,23.86
23,06/06/05 07:23:00 AM,26.88,23.86
24,06/06/05 07:24:00 AM,26.7,24.03
25,06/06/05 07:25:00 AM,26.7,24.03
26,06/06/05 07:26:00 AM,26.7,24.03
27,06/06/05 07:27:00 AM,26.7,24.21
28,06/06/05 07:28:00 AM,26.7,24.21
29,06/06/05 07:29:00 AM,26.7,24.38
30,06/06/05 07:30:00 AM,26.52,24.38
31,06/06/05 07:31:00 AM,26.52,24.38
32,06/06/05 07:32:00 AM,26.7,24.56
33,06/06/05 07:33:00 AM,26.7,24.56
34,06/06/05 07:34:00 AM,26.52,24.56
35,06/06/05 07:35:00 AM,25.98,24.56
36,06/06/05 07:36:00 AM,25.62,24.56
37,06/06/05 07:37:00 AM,25.44,24.38
38,06/06/05 07:38:00 AM,25.27,24.38
39,06/06/05 07:39:00 AM,25.09,24.38
40,06/06/05 07:40:00 AM,24.91,24.21
41,06/06/05 07:41:00 AM,24.91,24.21
42,06/06/05 07:42:00 AM,24.91,24.21
43,06/06/05 07:43:00 AM,25.27,24.21
44,06/06/05 07:44:00 AM,25.62,24.21
45,06/06/05 07:45:00 AM,26.34,24.21
46,06/06/05 07:46:00 AM,26.7,24.21
47,06/06/05 07:47:00 AM,26.88,24.38
48,06/06/05 07:48:00 AM,27.06,24.38
49,06/06/05 07:49:00 AM,27.24,24.21
50,06/06/05 07:50:00 AM,27.6,24.21
51,06/06/05 07:51:00 AM,27.6,24.21
52,06/06/05 07:52:00 AM,27.6,24.21
53,06/06/05 07:53:00 AM,27.6,24.21
54,06/06/05 07:54:00 AM,27.42,24.21
55,06/06/05 07:55:00 AM,27.42,24.03
56,06/06/05 07:56:00 AM,27.42,24.21
57,06/06/05 07:57:00 AM,27.42,24.38
58,06/06/05 07:58:00 AM,27.42,24.38
59,06/06/05 07:59:00 AM,27.78,24.56
60,06/06/05 08:00:00 AM,27.96,24.74
61,06/06/05 08:01:00 AM,28.15,24.74
62,06/06/05 08:02:00 AM,28.33,24.74
63,06/06/05 08:03:00 AM,28.51,24.91
64,06/06/05 08:04:00 AM,28.33,24.91
65,06/06/05 08:05:00 AM,27.6,24.74
66,06/06/05 08:06:00 AM,27.24,24.74
67,06/06/05 08:07:00 AM,26.7,24.74
68,06/06/05 08:08:00 AM,26.34,24.74
69,06/06/05 08:09:00 AM,26.16,24.91
70,06/06/05 08:10:00 AM,25.98,24.91
71,06/06/05 08:11:00 AM,25.98,24.91
72,06/06/05 08:12:00 AM,25.8,24.91
73,06/06/05 08:13:00 AM,25.8,25.09
74,06/06/05 08:14:00 AM,26.16,25.09
75,06/06/05 08:15:00 AM,26.7,25.09
76,06/06/05 08:16:00 AM,27.06,25.27
77,06/06/05 08:17:00 AM,27.42,25.27
78,06/06/05 08:18:00 AM,27.78,25.44
79,06/06/05 08:19:00 AM,27.96,25.44
80,06/06/05 08:20:00 AM,28.15,25.62
81,06/06/05 08:21:00 AM,28.7,25.8
82,06/06/05 08:22:00 AM,29.25,25.8
83,06/06/05 08:23:00 AM,29.44,25.98
84,06/06/05 08:24:00 AM,29.62,26.16
85,06/06/05 08:25:00 AM,30.18,26.52
86,06/06/05 08:26:00 AM,30.37,26.7
