#,date,tempe,ambient
1,06/24/05 06:01:00 PM,34.43,32.08
2,06/24/05 06:02:00 PM,34.23,32.08
3,06/24/05 06:03:00 PM,35.64,31.89
4,06/24/05 06:04:00 PM,37.29,31.89
5,06/24/05 06:05:00 PM,37.29,32.08
6,06/24/05 06:06:00 PM,38.56,32.08
7,06/24/05 06:07:00 PM,36.46,32.08
8,06/24/05 06:08:00 PM,35.85,32.08
9,06/24/05 06:09:00 PM,35.24,31.89
10,06/24/05 06:10:00 PM,35.24,31.89
11,06/24/05 06:11:00 PM,35.24,31.89
12,06/24/05 06:12:00 PM,35.24,32.08
13,06/24/05 06:13:00 PM,35.24,32.08
14,06/24/05 06:14:00 PM,36.26,32.28
15,06/24/05 06:15:00 PM,35.64,32.28
16,06/24/05 06:16:00 PM,37.08,32.28
17,06/24/05 06:17:00 PM,37.5,32.28
18,06/24/05 06:18:00 PM,36.05,32.28
19,06/24/05 06:19:00 PM,38.99,32.08
20,06/24/05 06:20:00 PM,39.43,32.08
21,06/24/05 06:21:00 PM,39.64,32.08
22,06/24/05 06:22:00 PM,39.64,31.89
23,06/24/05 06:23:00 PM,37.71,31.7
24,06/24/05 06:24:00 PM,36.46,31.7
25,06/24/05 06:25:00 PM,35.64,31.51
26,06/24/05 06:26:00 PM,35.24,31.51
27,06/24/05 06:27:00 PM,34.83,31.51
28,06/24/05 06:28:00 PM,34.63,31.51
29,06/24/05 06:29:00 PM,34.63,31.51
30,06/24/05 06:30:00 PM,35.03,31.51
31,06/24/05 06:31:00 PM,36.88,31.51
32,06/24/05 06:32:00 PM,37.29,31.7
33,06/24/05 06:33:00 PM,37.71,31.7
34,06/24/05 06:34:00 PM,36.67,31.51
35,06/24/05 06:35:00 PM,35.44,31.32
36,06/24/05 06:36:00 PM,34.63,31.13
37,06/24/05 06:37:00 PM,34.04,30.94
38,06/24/05 06:38:00 PM,33.64,30.94
39,06/24/05 06:39:00 PM,33.44,30.75
40,06/24/05 06:40:00 PM,33.25,30.75
41,06/24/05 06:41:00 PM,33.05,30.56
42,06/24/05 06:42:00 PM,33.05,30.56
43,06/24/05 06:43:00 PM,33.05,30.75
44,06/24/05 06:44:00 PM,34.43,30.75
45,06/24/05 06:45:00 PM,35.64,30.75
46,06/24/05 06:46:00 PM,36.46,30.75
47,06/24/05 06:47:00 PM,36.88,30.75
48,06/24/05 06:48:00 PM,37.29,30.75
49,06/24/05 06:49:00 PM,38.14,30.75
50,06/24/05 06:50:00 PM,37.92,30.75
51,06/24/05 06:51:00 PM,37.92,30.75
52,06/24/05 06:52:00 PM,38.14,30.56
53,06/24/05 06:53:00 PM,38.14,30.56
54,06/24/05 06:54:00 PM,38.35,30.56
55,06/24/05 06:55:00 PM,38.35,30.37
56,06/24/05 06:56:00 PM,37.92,30.37
57,06/24/05 06:57:00 PM,37.29,30.37
58,06/24/05 06:58:00 PM,35.44,30.18
59,06/24/05 06:59:00 PM,34.23,30.0
60,06/24/05 07:00:00 PM,33.44,30.0
61,06/24/05 07:01:00 PM,33.05,29.81
62,06/24/05 07:02:00 PM,32.86,29.81
63,06/24/05 07:03:00 PM,32.66,29.62
64,06/24/05 07:04:00 PM,32.66,29.62
65,06/24/05 07:05:00 PM,32.47,29.62
66,06/24/05 07:06:00 PM,32.28,29.62
67,06/24/05 07:07:00 PM,35.03,29.62
68,06/24/05 07:08:00 PM,36.88,29.62
69,06/24/05 07:09:00 PM,37.71,29.81
70,06/24/05 07:10:00 PM,38.14,29.81
71,06/24/05 07:11:00 PM,38.35,29.62
72,06/24/05 07:12:00 PM,38.56,29.81
73,06/24/05 07:13:00 PM,38.56,29.81
74,06/24/05 07:14:00 PM,38.56,29.81
75,06/24/05 07:15:00 PM,37.92,29.81
76,06/24/05 07:16:00 PM,38.35,29.81
77,06/24/05 07:17:00 PM,38.35,29.81
78,06/24/05 07:18:00 PM,37.71,29.81
79,06/24/05 07:19:00 PM,36.46,29.81
80,06/24/05 07:20:00 PM,35.64,29.81
81,06/24/05 07:21:00 PM,36.05,29.81
82,06/24/05 07:22:00 PM,36.26,29.81
83,06/24/05 07:23:00 PM,36.46,29.81
84,06/24/05 07:24:00 PM,35.64,29.62
85,06/24/05 07:25:00 PM,34.43,29.62
86,06/24/05 07:26:00 PM,33.64,29.44
87,06/24/05 07:27:00 PM,33.25,29.25
88,06/24/05 07:28:00 PM,32.86,29.07
89,06/24/05 07:29:00 PM,32.47,29.07
90,06/24/05 07:30:00 PM,32.28,28.88
91,06/24/05 07:31:00 PM,32.08,28.88
92,06/24/05 07:32:00 PM,31.7,28.7
93,06/24/05 07:33:00 PM,31.7,28.7
94,06/24/05 07:34:00 PM,31.89,28.7
95,06/24/05 07:35:00 PM,33.25,28.7
96,06/24/05 07:36:00 PM,34.23,28.7
97,06/24/05 07:37:00 PM,34.63,28.7
98,06/24/05 07:38:00 PM,35.44,28.7
99,06/24/05 07:39:00 PM,36.05,28.51
100,06/24/05 07:40:00 PM,35.85,28.51
101,06/24/05 07:41:00 PM,35.64,28.51
102,06/24/05 07:42:00 PM,36.46,28.51
103,06/24/05 07:43:00 PM,36.67,28.51
104,06/24/05 07:44:00 PM,36.88,28.51
105,06/24/05 07:45:00 PM,37.08,28.51
106,06/24/05 07:46:00 PM,37.08,28.51
107,06/24/05 07:47:00 PM,37.08,28.51
108,06/24/05 07:48:00 PM,35.24,28.51
109,06/24/05 07:49:00 PM,34.04,28.33
110,06/24/05 07:50:00 PM,33.25,28.33
111,06/24/05 07:51:00 PM,32.66,28.33
112,06/24/05 07:52:00 PM,32.28,28.33
113,06/24/05 07:53:00 PM,31.7,28.15
114,06/24/05 07:54:00 PM,31.32,27.96
115,06/24/05 07:55:00 PM,31.13,27.96
116,06/24/05 07:56:00 PM,30.75,27.78
117,06/24/05 07:57:00 PM,32.08,27.78
118,06/24/05 07:58:00 PM,33.25,27.78
119,06/24/05 07:59:00 PM,34.04,27.78
120,06/24/05 08:00:00 PM,35.85,27.78
121,06/24/05 08:01:00 PM,38.78,27.6
122,06/24/05 08:02:00 PM,39.43,27.6
123,06/24/05 08:03:00 PM,39.64,27.6
124,06/24/05 08:04:00 PM,39.64,27.6
125,06/24/05 08:05:00 PM,39.64,27.6
126,06/24/05 08:06:00 PM,38.56,27.6
127,06/24/05 08:07:00 PM,37.5,27.6
128,06/24/05 08:08:00 PM,36.88,27.6
129,06/24/05 08:09:00 PM,36.67,27.6
130,06/24/05 08:10:00 PM,36.46,27.6
131,06/24/05 08:11:00 PM,36.05,27.6
132,06/24/05 08:12:00 PM,35.85,27.78
133,06/24/05 08:13:00 PM,35.85,27.6
134,06/24/05 08:14:00 PM,35.64,27.78
135,06/24/05 08:15:00 PM,35.44,27.78
136,06/24/05 08:16:00 PM,35.24,27.78
137,06/24/05 08:17:00 PM,35.24,27.78
138,06/24/05 08:18:00 PM,35.03,27.78
139,06/24/05 08:19:00 PM,35.03,27.78
140,06/24/05 08:20:00 PM,35.03,27.78
141,06/24/05 08:21:00 PM,34.83,27.78
142,06/24/05 08:22:00 PM,34.83,27.78
143,06/24/05 08:23:00 PM,34.83,27.78
144,06/24/05 08:24:00 PM,34.83,27.78
145,06/24/05 08:25:00 PM,34.83,27.78
146,06/24/05 08:26:00 PM,34.83,27.78
147,06/24/05 08:27:00 PM,34.63,27.78
148,06/24/05 08:28:00 PM,34.63,27.78
149,06/24/05 08:29:00 PM,34.43,27.78
150,06/24/05 08:30:00 PM,34.43,27.78
151,06/24/05 08:31:00 PM,34.23,27.78
152,06/24/05 08:32:00 PM,34.23,27.78
153,06/24/05 08:33:00 PM,34.63,27.6
154,06/24/05 08:34:00 PM,34.63,27.6
155,06/24/05 08:35:00 PM,34.83,27.6
156,06/24/05 08:36:00 PM,34.83,27.6
157,06/24/05 08:37:00 PM,34.83,27.6
158,06/24/05 08:38:00 PM,34.43,27.6
159,06/24/05 08:39:00 PM,34.23,27.6
160,06/24/05 08:40:00 PM,34.63,27.6
161,06/24/05 08:41:00 PM,34.83,27.6
162,06/24/05 08:42:00 PM,34.43,27.6
163,06/24/05 08:43:00 PM,33.44,27.42
164,06/24/05 08:44:00 PM,32.86,27.42
165,06/24/05 08:45:00 PM,32.28,27.24
166,06/24/05 08:46:00 PM,32.08,27.24
167,06/24/05 08:47:00 PM,31.7,27.06
168,06/24/05 08:48:00 PM,31.32,27.06
169,06/24/05 08:49:00 PM,31.13,26.88
170,06/24/05 08:50:00 PM,30.94,26.88
171,06/24/05 08:51:00 PM,30.94,26.7
172,06/24/05 08:52:00 PM,30.56,26.7
173,06/24/05 08:53:00 PM,30.37,26.7
174,06/24/05 08:54:00 PM,30.18,26.52
175,06/24/05 08:55:00 PM,30.18,26.52
176,06/24/05 08:56:00 PM,29.81,26.52
177,06/24/05 08:57:00 PM,29.81,26.34
178,06/24/05 08:58:00 PM,29.62,26.34
179,06/24/05 08:59:00 PM,31.13,26.34
180,06/24/05 09:00:00 PM,33.05,26.34
181,06/24/05 09:01:00 PM,34.04,26.52
182,06/24/05 09:02:00 PM,34.63,26.52
183,06/24/05 09:03:00 PM,34.43,26.52
184,06/24/05 09:04:00 PM,35.03,26.7
185,06/24/05 09:05:00 PM,35.44,26.7
186,06/24/05 09:06:00 PM,35.64,26.7
187,06/24/05 09:07:00 PM,35.64,26.7
188,06/24/05 09:08:00 PM,35.85,26.7
189,06/24/05 09:09:00 PM,35.85,26.7
190,06/24/05 09:10:00 PM,35.85,26.7
191,06/24/05 09:11:00 PM,36.05,26.7
192,06/24/05 09:12:00 PM,36.05,26.7
193,06/24/05 09:13:00 PM,36.05,26.7
194,06/24/05 09:14:00 PM,36.05,26.7
195,06/24/05 09:15:00 PM,36.05,26.7
196,06/24/05 09:16:00 PM,35.64,26.7
197,06/24/05 09:17:00 PM,35.64,26.7
198,06/24/05 09:18:00 PM,35.24,26.88
199,06/24/05 09:19:00 PM,34.63,26.88
200,06/24/05 09:20:00 PM,34.63,26.88
201,06/24/05 09:21:00 PM,34.63,26.88
202,06/24/05 09:22:00 PM,34.63,26.88
