#,date,tempe,ambient
1,07/03/05 08:01:00 PM,36.88,29.25
2,07/03/05 08:02:00 PM,36.88,29.07
3,07/03/05 08:03:00 PM,37.08,29.07
4,07/03/05 08:04:00 PM,36.26,29.07
5,07/03/05 08:05:00 PM,35.85,29.07
6,07/03/05 08:06:00 PM,37.08,29.07
7,07/03/05 08:07:00 PM,37.29,29.07
8,07/03/05 08:08:00 PM,37.29,29.07
9,07/03/05 08:09:00 PM,37.29,29.07
10,07/03/05 08:10:00 PM,35.85,29.07
11,07/03/05 08:11:00 PM,36.88,28.88
12,07/03/05 08:12:00 PM,34.63,28.88
13,07/03/05 08:13:00 PM,33.84,28.88
14,07/03/05 08:14:00 PM,32.86,28.88
15,07/03/05 08:15:00 PM,31.89,28.88
16,07/03/05 08:16:00 PM,31.13,28.88
17,07/03/05 08:17:00 PM,30.75,28.88
18,07/03/05 08:18:00 PM,30.94,28.88
19,07/03/05 08:19:00 PM,32.47,28.88
20,07/03/05 08:20:00 PM,33.84,28.88
21,07/03/05 08:21:00 PM,34.83,28.88
22,07/03/05 08:22:00 PM,35.03,28.88
23,07/03/05 08:23:00 PM,35.03,28.88
24,07/03/05 08:24:00 PM,34.83,28.88
25,07/03/05 08:25:00 PM,34.63,28.88
26,07/03/05 08:26:00 PM,35.24,28.7
27,07/03/05 08:27:00 PM,35.44,28.7
28,07/03/05 08:28:00 PM,35.64,28.7
29,07/03/05 08:29:00 PM,35.64,28.7
30,07/03/05 08:30:00 PM,35.85,28.7
31,07/03/05 08:31:00 PM,36.05,28.7
32,07/03/05 08:32:00 PM,36.05,28.7
33,07/03/05 08:33:00 PM,36.26,28.7
34,07/03/05 08:34:00 PM,36.26,28.7
35,07/03/05 08:35:00 PM,35.85,28.7
36,07/03/05 08:36:00 PM,35.85,28.7
37,07/03/05 08:37:00 PM,35.64,28.7
38,07/03/05 08:38:00 PM,35.64,28.7
39,07/03/05 08:39:00 PM,35.64,28.7
40,07/03/05 08:40:00 PM,35.44,28.7
41,07/03/05 08:41:00 PM,35.64,28.7
42,07/03/05 08:42:00 PM,34.63,28.7
43,07/03/05 08:43:00 PM,33.44,28.51
44,07/03/05 08:44:00 PM,32.47,28.51
45,07/03/05 08:45:00 PM,31.7,28.51
46,07/03/05 08:46:00 PM,31.32,28.51
47,07/03/05 08:47:00 PM,30.56,28.51
48,07/03/05 08:48:00 PM,30.37,28.33
49,07/03/05 08:49:00 PM,30.0,28.33
50,07/03/05 08:50:00 PM,29.62,28.33
51,07/03/05 08:51:00 PM,29.62,28.33
52,07/03/05 08:52:00 PM,29.44,28.33
53,07/03/05 08:53:00 PM,29.25,28.33
54,07/03/05 08:54:00 PM,29.07,28.33
55,07/03/05 08:55:00 PM,29.25,28.33
56,07/03/05 08:56:00 PM,29.07,28.33
57,07/03/05 08:57:00 PM,29.62,28.33
58,07/03/05 08:58:00 PM,32.86,28.33
59,07/03/05 08:59:00 PM,34.63,28.33
60,07/03/05 09:00:00 PM,35.24,28.33
61,07/03/05 09:01:00 PM,35.24,28.33
62,07/03/05 09:02:00 PM,35.64,28.33
63,07/03/05 09:03:00 PM,35.24,28.33
64,07/03/05 09:04:00 PM,35.64,28.33
65,07/03/05 09:05:00 PM,35.85,28.33
66,07/03/05 09:06:00 PM,35.85,28.33
67,07/03/05 09:07:00 PM,36.26,28.33
68,07/03/05 09:08:00 PM,36.46,28.33
69,07/03/05 09:09:00 PM,36.46,28.33
70,07/03/05 09:10:00 PM,36.46,28.33
71,07/03/05 09:11:00 PM,36.26,28.33
72,07/03/05 09:12:00 PM,36.26,28.15
73,07/03/05 09:13:00 PM,36.26,28.15
74,07/03/05 09:14:00 PM,36.46,28.15
75,07/03/05 09:15:00 PM,36.46,28.15
76,07/03/05 09:16:00 PM,36.26,28.15
77,07/03/05 09:17:00 PM,36.26,28.15
78,07/03/05 09:18:00 PM,35.64,28.15
79,07/03/05 09:19:00 PM,36.05,28.15
80,07/03/05 09:20:00 PM,35.03,28.15
81,07/03/05 09:21:00 PM,34.63,28.15
82,07/03/05 09:22:00 PM,34.43,28.15
83,07/03/05 09:23:00 PM,34.23,28.15
84,07/03/05 09:24:00 PM,34.23,28.15
85,07/03/05 09:25:00 PM,34.23,28.15
86,07/03/05 09:26:00 PM,34.04,28.15
87,07/03/05 09:27:00 PM,34.83,27.96
88,07/03/05 09:28:00 PM,35.64,27.96
89,07/03/05 09:29:00 PM,35.85,27.96
90,07/03/05 09:30:00 PM,35.64,27.96
91,07/03/05 09:31:00 PM,34.83,27.96
92,07/03/05 09:32:00 PM,34.43,27.96
93,07/03/05 09:33:00 PM,34.04,27.96
94,07/03/05 09:34:00 PM,34.43,27.96
95,07/03/05 09:35:00 PM,34.63,27.96
96,07/03/05 09:36:00 PM,34.83,27.96
97,07/03/05 09:37:00 PM,34.83,27.96
98,07/03/05 09:38:00 PM,34.63,27.96
99,07/03/05 09:39:00 PM,35.03,27.96
100,07/03/05 09:40:00 PM,35.24,27.96
101,07/03/05 09:41:00 PM,35.24,27.96
102,07/03/05 09:42:00 PM,35.24,27.96
103,07/03/05 09:43:00 PM,35.24,27.96
104,07/03/05 09:44:00 PM,35.24,27.96
105,07/03/05 09:45:00 PM,34.63,27.78
106,07/03/05 09:46:00 PM,34.23,27.78
107,07/03/05 09:47:00 PM,34.04,27.78
108,07/03/05 09:48:00 PM,34.04,27.78
109,07/03/05 09:49:00 PM,33.84,27.78
110,07/03/05 09:50:00 PM,34.04,27.78
111,07/03/05 09:51:00 PM,34.23,27.78
112,07/03/05 09:52:00 PM,34.43,27.78
113,07/03/05 09:53:00 PM,34.63,27.78
114,07/03/05 09:54:00 PM,34.63,27.78
115,07/03/05 09:55:00 PM,33.84,27.78
116,07/03/05 09:56:00 PM,33.25,27.78
117,07/03/05 09:57:00 PM,33.25,27.78
118,07/03/05 09:58:00 PM,33.44,27.78
119,07/03/05 09:59:00 PM,33.64,27.78
120,07/03/05 10:00:00 PM,33.84,27.78
121,07/03/05 10:01:00 PM,34.04,27.78
122,07/03/05 10:02:00 PM,34.23,27.78
123,07/03/05 10:03:00 PM,34.23,27.78
124,07/03/05 10:04:00 PM,34.23,27.78
125,07/03/05 10:05:00 PM,34.04,27.78
126,07/03/05 10:06:00 PM,33.84,27.6
127,07/03/05 10:07:00 PM,33.64,27.6
128,07/03/05 10:08:00 PM,33.64,27.6
129,07/03/05 10:09:00 PM,33.44,27.6
130,07/03/05 10:10:00 PM,34.23,27.78
131,07/03/05 10:11:00 PM,35.24,27.78
132,07/03/05 10:12:00 PM,35.64,27.78
133,07/03/05 10:13:00 PM,35.85,27.78
134,07/03/05 10:14:00 PM,35.85,27.78
135,07/03/05 10:15:00 PM,35.85,27.78
136,07/03/05 10:16:00 PM,36.05,27.78
137,07/03/05 10:17:00 PM,35.44,27.78
138,07/03/05 10:18:00 PM,35.24,27.78
139,07/03/05 10:19:00 PM,35.03,27.78
140,07/03/05 10:20:00 PM,35.24,27.78
141,07/03/05 10:21:00 PM,35.44,27.78
142,07/03/05 10:22:00 PM,35.85,27.78
143,07/03/05 10:23:00 PM,35.64,27.78
144,07/03/05 10:24:00 PM,35.85,27.78
145,07/03/05 10:25:00 PM,35.85,27.78
146,07/03/05 10:26:00 PM,36.05,27.78
147,07/03/05 10:27:00 PM,36.05,27.78
148,07/03/05 10:28:00 PM,36.26,27.78
149,07/03/05 10:29:00 PM,36.26,27.78
150,07/03/05 10:30:00 PM,36.26,27.78
