#,date,tempe,ambient
1,05/08/05 10:01:00 PM,21.95,34.04
2,05/08/05 10:02:00 PM,21.95,33.64
3,05/08/05 10:03:00 PM,21.95,33.64
4,05/08/05 10:04:00 PM,21.95,33.64
5,05/08/05 10:05:00 PM,21.77,32.08
6,05/08/05 10:06:00 PM,21.77,31.89
7,05/08/05 10:07:00 PM,21.77,31.89
8,05/08/05 10:08:00 PM,21.77,31.89
9,05/08/05 10:09:00 PM,21.77,31.7
10,05/08/05 10:10:00 PM,21.77,31.89
11,05/08/05 10:11:00 PM,21.77,31.89
12,05/08/05 10:12:00 PM,21.77,31.89
13,05/08/05 10:13:00 PM,21.77,32.08
14,05/08/05 10:14:00 PM,21.77,32.08
15,05/08/05 10:15:00 PM,21.77,32.08
16,05/08/05 10:16:00 PM,21.77,32.08
17,05/08/05 10:17:00 PM,21.77,32.08
18,05/08/05 10:18:00 PM,21.77,32.08
19,05/08/05 10:19:00 PM,21.77,32.08
20,05/08/05 10:20:00 PM,21.77,32.08
21,05/08/05 10:21:00 PM,21.77,32.08
22,05/08/05 10:22:00 PM,21.77,32.08
23,05/08/05 10:23:00 PM,21.77,32.28
24,05/08/05 10:24:00 PM,21.77,32.28
25,05/08/05 10:25:00 PM,21.77,32.28
26,05/08/05 10:26:00 PM,21.6,32.28
27,05/08/05 10:27:00 PM,21.6,32.08
28,05/08/05 10:28:00 PM,21.6,32.08
29,05/08/05 10:29:00 PM,21.6,31.89
30,05/08/05 10:30:00 PM,21.6,31.89
31,05/08/05 10:31:00 PM,21.6,31.51
32,05/08/05 10:32:00 PM,21.6,33.84
33,05/08/05 10:33:00 PM,21.6,34.43
34,05/08/05 10:34:00 PM,21.6,34.83
35,05/08/05 10:35:00 PM,21.6,34.83
36,05/08/05 10:36:00 PM,21.6,34.83
37,05/08/05 10:37:00 PM,21.6,35.03
38,05/08/05 10:38:00 PM,21.6,35.03
39,05/08/05 10:39:00 PM,21.6,34.43
40,05/08/05 10:40:00 PM,21.6,34.63
41,05/08/05 10:41:00 PM,21.6,34.63
42,05/08/05 10:42:00 PM,21.6,34.83
43,05/08/05 10:43:00 PM,21.6,34.83
44,05/08/05 10:44:00 PM,21.6,34.83
45,05/08/05 10:45:00 PM,21.6,34.83
46,05/08/05 10:46:00 PM,21.6,34.83
47,05/08/05 10:47:00 PM,21.6,35.03
48,05/08/05 10:48:00 PM,21.6,35.03
49,05/08/05 10:49:00 PM,21.6,35.03
50,05/08/05 10:50:00 PM,21.6,35.03
51,05/08/05 10:51:00 PM,21.6,35.03
52,05/08/05 10:52:00 PM,21.6,35.03
53,05/08/05 10:53:00 PM,21.6,35.03
54,05/08/05 10:54:00 PM,21.6,34.83
55,05/08/05 10:55:00 PM,21.6,34.83
56,05/08/05 10:56:00 PM,21.6,34.63
57,05/08/05 10:57:00 PM,21.6,33.64
58,05/08/05 10:58:00 PM,21.6,33.25
59,05/08/05 10:59:00 PM,21.6,33.05
60,05/08/05 11:00:00 PM,21.6,32.86
61,05/08/05 11:01:00 PM,21.6,32.86
62,05/08/05 11:02:00 PM,21.6,32.86
63,05/08/05 11:03:00 PM,21.6,32.86
64,05/08/05 11:04:00 PM,21.6,32.86
65,05/08/05 11:05:00 PM,21.6,32.86
66,05/08/05 11:06:00 PM,21.6,32.66
67,05/08/05 11:07:00 PM,21.6,32.86
68,05/08/05 11:08:00 PM,21.6,32.86
69,05/08/05 11:09:00 PM,21.43,32.86
70,05/08/05 11:10:00 PM,21.43,32.86
71,05/08/05 11:11:00 PM,21.43,32.47
72,05/08/05 11:12:00 PM,21.43,32.28
73,05/08/05 11:13:00 PM,21.43,32.08
74,05/08/05 11:14:00 PM,21.6,32.08
75,05/08/05 11:15:00 PM,21.6,32.28
76,05/08/05 11:16:00 PM,21.6,32.28
77,05/08/05 11:17:00 PM,21.6,32.47
78,05/08/05 11:18:00 PM,21.6,31.32
79,05/08/05 11:19:00 PM,21.43,31.13
80,05/08/05 11:20:00 PM,21.43,30.94
81,05/08/05 11:21:00 PM,21.43,30.94
82,05/08/05 11:22:00 PM,21.43,30.94
83,05/08/05 11:23:00 PM,21.43,30.94
84,05/08/05 11:24:00 PM,21.43,30.94
85,05/08/05 11:25:00 PM,21.43,30.94
86,05/08/05 11:26:00 PM,21.43,30.94
87,05/08/05 11:27:00 PM,21.43,31.13
88,05/08/05 11:28:00 PM,21.43,31.32
89,05/08/05 11:29:00 PM,21.43,31.13
90,05/08/05 11:30:00 PM,21.43,31.13
91,05/08/05 11:31:00 PM,21.43,31.32
92,05/08/05 11:32:00 PM,21.43,31.32
93,05/08/05 11:33:00 PM,21.6,31.32
94,05/08/05 11:34:00 PM,21.6,31.51
95,05/08/05 11:35:00 PM,21.6,31.51
96,05/08/05 11:36:00 PM,21.6,31.51
97,05/08/05 11:37:00 PM,21.43,31.51
98,05/08/05 11:38:00 PM,21.26,31.32
99,05/08/05 11:39:00 PM,21.26,31.32
100,05/08/05 11:40:00 PM,21.26,31.32
101,05/08/05 11:41:00 PM,21.08,31.32
102,05/08/05 11:42:00 PM,21.08,31.32
103,05/08/05 11:43:00 PM,21.08,31.32
104,05/08/05 11:44:00 PM,21.26,31.32
105,05/08/05 11:45:00 PM,21.08,30.37
106,05/08/05 11:46:00 PM,21.26,30.56
107,05/08/05 11:47:00 PM,21.26,30.56
108,05/08/05 11:48:00 PM,21.26,30.37
109,05/08/05 11:49:00 PM,21.08,30.37
110,05/08/05 11:50:00 PM,21.08,30.18
111,05/08/05 11:51:00 PM,21.08,30.18
112,05/08/05 11:52:00 PM,21.08,30.0
113,05/08/05 11:53:00 PM,21.08,30.56
114,05/08/05 11:54:00 PM,21.08,30.75
115,05/08/05 11:55:00 PM,20.91,30.94
116,05/08/05 11:56:00 PM,20.91,30.94
117,05/08/05 11:57:00 PM,20.91,31.13
118,05/08/05 11:58:00 PM,20.91,31.13
119,05/08/05 11:59:00 PM,20.91,31.13
120,05/09/05 12:00:00 AM,20.91,31.13
121,05/09/05 12:01:00 AM,20.91,31.32
122,05/09/05 12:02:00 AM,21.08,31.32
123,05/09/05 12:03:00 AM,21.08,31.32
124,05/09/05 12:04:00 AM,21.08,31.32
125,05/09/05 12:05:00 AM,21.08,31.51
126,05/09/05 12:06:00 AM,21.26,31.51
127,05/09/05 12:07:00 AM,21.26,31.51
128,05/09/05 12:08:00 AM,21.26,31.51
129,05/09/05 12:09:00 AM,21.26,31.7
130,05/09/05 12:10:00 AM,21.26,31.7
131,05/09/05 12:11:00 AM,21.26,31.7
132,05/09/05 12:12:00 AM,21.26,31.7
133,05/09/05 12:13:00 AM,21.26,31.7
134,05/09/05 12:14:00 AM,21.26,31.89
135,05/09/05 12:15:00 AM,21.26,31.89
136,05/09/05 12:16:00 AM,21.26,31.89
137,05/09/05 12:17:00 AM,21.26,31.89
138,05/09/05 12:18:00 AM,21.08,31.89
139,05/09/05 12:19:00 AM,21.08,31.89
140,05/09/05 12:20:00 AM,21.08,31.89
141,05/09/05 12:21:00 AM,21.08,31.89
142,05/09/05 12:22:00 AM,21.08,31.89
143,05/09/05 12:23:00 AM,21.08,31.89
144,05/09/05 12:24:00 AM,21.08,31.89
145,05/09/05 12:25:00 AM,21.08,31.89
146,05/09/05 12:26:00 AM,21.08,31.89
147,05/09/05 12:27:00 AM,21.08,31.7
148,05/09/05 12:28:00 AM,21.08,31.32
149,05/09/05 12:29:00 AM,21.08,31.32
150,05/09/05 12:30:00 AM,20.91,31.32
151,05/09/05 12:31:00 AM,20.91,31.13
152,05/09/05 12:32:00 AM,20.91,31.13
153,05/09/05 12:33:00 AM,20.91,31.13
154,05/09/05 12:34:00 AM,20.91,31.13
155,05/09/05 12:35:00 AM,20.91,31.13
156,05/09/05 12:36:00 AM,20.74,31.13
157,05/09/05 12:37:00 AM,20.74,31.13
158,05/09/05 12:38:00 AM,20.74,30.94
159,05/09/05 12:39:00 AM,20.74,30.94
160,05/09/05 12:40:00 AM,20.74,30.94
161,05/09/05 12:41:00 AM,20.74,30.94
162,05/09/05 12:42:00 AM,20.74,30.94
163,05/09/05 12:43:00 AM,20.74,30.94
164,05/09/05 12:44:00 AM,20.74,30.94
165,05/09/05 12:45:00 AM,20.74,30.94
166,05/09/05 12:46:00 AM,20.74,30.94
167,05/09/05 12:47:00 AM,20.57,30.94
