#,date,tempe,ambient
1,05/15/05 07:51:00 AM,20.91,32.47
2,05/15/05 07:52:00 AM,20.91,32.47
3,05/15/05 07:53:00 AM,20.91,32.47
4,05/15/05 07:54:00 AM,20.91,32.47
5,05/15/05 07:55:00 AM,21.08,31.32
6,05/15/05 07:56:00 AM,21.08,29.81
7,05/15/05 07:57:00 AM,21.08,28.51
8,05/15/05 07:58:00 AM,21.08,27.42
9,05/15/05 07:59:00 AM,21.08,26.34
10,05/15/05 08:00:00 AM,21.08,25.44
11,05/15/05 08:01:00 AM,21.08,24.91
12,05/15/05 08:02:00 AM,21.08,24.38
13,05/15/05 08:03:00 AM,21.08,23.86
14,05/15/05 08:04:00 AM,21.08,23.68
15,05/15/05 08:05:00 AM,21.08,25.09
16,05/15/05 08:06:00 AM,21.26,27.78
17,05/15/05 08:07:00 AM,21.26,30.0
18,05/15/05 08:08:00 AM,21.26,30.75
19,05/15/05 08:09:00 AM,21.26,31.32
20,05/15/05 08:10:00 AM,21.26,31.51
21,05/15/05 08:11:00 AM,21.26,31.7
22,05/15/05 08:12:00 AM,21.26,31.89
23,05/15/05 08:13:00 AM,21.43,31.89
24,05/15/05 08:14:00 AM,21.43,31.89
25,05/15/05 08:15:00 AM,21.43,31.89
26,05/15/05 08:16:00 AM,21.6,31.89
27,05/15/05 08:17:00 AM,21.6,31.89
28,05/15/05 08:18:00 AM,21.6,31.7
29,05/15/05 08:19:00 AM,21.77,31.7
30,05/15/05 08:20:00 AM,21.77,31.89
31,05/15/05 08:21:00 AM,21.77,31.89
32,05/15/05 08:22:00 AM,21.77,30.94
33,05/15/05 08:23:00 AM,21.95,31.32
34,05/15/05 08:24:00 AM,21.95,31.51
35,05/15/05 08:25:00 AM,21.95,31.7
36,05/15/05 08:26:00 AM,22.12,31.89
37,05/15/05 08:27:00 AM,22.12,31.7
38,05/15/05 08:28:00 AM,22.12,31.51
39,05/15/05 08:29:00 AM,22.29,31.32
40,05/15/05 08:30:00 AM,22.29,31.32
41,05/15/05 08:31:00 AM,22.29,31.7
42,05/15/05 08:32:00 AM,22.46,31.89
43,05/15/05 08:33:00 AM,22.46,31.89
44,05/15/05 08:34:00 AM,22.46,32.08
