#,date,tempe,ambient
1,04/01/05 07:01:00 AM,23.33,17.85
2,04/01/05 07:02:00 AM,23.51,17.85
3,04/01/05 07:03:00 AM,23.33,17.85
4,04/01/05 07:04:00 AM,22.98,18.02
5,04/01/05 07:05:00 AM,22.64,18.02
6,04/01/05 07:06:00 AM,22.46,18.02
7,04/01/05 07:07:00 AM,22.29,18.02
8,04/01/05 07:08:00 AM,22.12,18.02
9,04/01/05 07:09:00 AM,22.29,18.02
10,04/01/05 07:10:00 AM,22.64,18.19
11,04/01/05 07:11:00 AM,22.81,18.19
12,04/01/05 07:12:00 AM,23.16,18.19
13,04/01/05 07:13:00 AM,23.68,18.19
14,04/01/05 07:14:00 AM,24.03,18.19
15,04/01/05 07:15:00 AM,24.38,18.19
16,04/01/05 07:16:00 AM,24.56,18.36
17,04/01/05 07:17:00 AM,24.21,18.36
18,04/01/05 07:18:00 AM,23.86,18.36
19,04/01/05 07:19:00 AM,23.68,18.36
20,04/01/05 07:20:00 AM,23.33,18.36
21,04/01/05 07:21:00 AM,23.16,18.36
22,04/01/05 07:22:00 AM,22.98,18.53
23,04/01/05 07:23:00 AM,22.81,18.53
24,04/01/05 07:24:00 AM,22.64,18.53
25,04/01/05 07:25:00 AM,22.64,18.53
26,04/01/05 07:26:00 AM,22.46,18.7
27,04/01/05 07:27:00 AM,22.46,18.7
28,04/01/05 07:28:00 AM,22.29,18.7
29,04/01/05 07:29:00 AM,22.12,18.87
30,04/01/05 07:30:00 AM,22.12,18.87
31,04/01/05 07:31:00 AM,22.12,19.04
32,04/01/05 07:32:00 AM,22.12,19.21
33,04/01/05 07:33:00 AM,22.29,19.21
34,04/01/05 07:34:00 AM,22.46,19.38
35,04/01/05 07:35:00 AM,22.64,19.55
36,04/01/05 07:36:00 AM,22.81,19.55
37,04/01/05 07:37:00 AM,22.98,19.55
38,04/01/05 07:38:00 AM,23.33,19.72
39,04/01/05 07:39:00 AM,23.51,19.89
40,04/01/05 07:40:00 AM,23.68,19.89
41,04/01/05 07:41:00 AM,23.86,20.06
42,04/01/05 07:42:00 AM,24.03,19.89
43,04/01/05 07:43:00 AM,24.21,20.06
44,04/01/05 07:44:00 AM,24.38,20.23
45,04/01/05 07:45:00 AM,24.56,20.4
46,04/01/05 07:46:00 AM,24.74,20.4
47,04/01/05 07:47:00 AM,24.91,20.4
48,04/01/05 07:48:00 AM,25.27,20.4
49,04/01/05 07:49:00 AM,25.44,20.57
50,04/01/05 07:50:00 AM,25.44,20.57
51,04/01/05 07:51:00 AM,25.27,20.4
52,04/01/05 07:52:00 AM,25.09,20.4
53,04/01/05 07:53:00 AM,24.91,20.57
54,04/01/05 07:54:00 AM,24.74,20.57
55,04/01/05 07:55:00 AM,24.38,20.4
56,04/01/05 07:56:00 AM,24.21,20.4
57,04/01/05 07:57:00 AM,24.38,20.4
58,04/01/05 07:58:00 AM,24.74,20.57
59,04/01/05 07:59:00 AM,25.09,20.57
60,04/01/05 08:00:00 AM,25.27,20.57
61,04/01/05 08:01:00 AM,25.44,20.57
62,04/01/05 08:02:00 AM,25.62,20.57
63,04/01/05 08:03:00 AM,25.8,20.57
64,04/01/05 08:04:00 AM,25.8,20.57
65,04/01/05 08:05:00 AM,25.98,20.74
66,04/01/05 08:06:00 AM,26.16,20.74
67,04/01/05 08:07:00 AM,26.34,20.74
68,04/01/05 08:08:00 AM,26.34,20.74
69,04/01/05 08:09:00 AM,26.52,20.91
70,04/01/05 08:10:00 AM,26.7,20.91
71,04/01/05 08:11:00 AM,26.52,21.08
72,04/01/05 08:12:00 AM,26.34,21.08
73,04/01/05 08:13:00 AM,25.98,21.08
74,04/01/05 08:14:00 AM,25.8,21.08
75,04/01/05 08:15:00 AM,25.62,21.26
76,04/01/05 08:16:00 AM,25.44,21.08
77,04/01/05 08:17:00 AM,25.27,21.08
78,04/01/05 08:18:00 AM,25.09,21.08
79,04/01/05 08:19:00 AM,24.74,21.08
80,04/01/05 08:20:00 AM,24.74,21.08
81,04/01/05 08:21:00 AM,24.56,21.08
82,04/01/05 08:22:00 AM,24.56,21.26
83,04/01/05 08:23:00 AM,24.56,21.26
84,04/01/05 08:24:00 AM,24.38,21.26
85,04/01/05 08:25:00 AM,24.21,21.08
86,04/01/05 08:26:00 AM,24.03,21.26
87,04/01/05 08:27:00 AM,24.03,21.26
88,04/01/05 08:28:00 AM,24.03,21.43
89,04/01/05 08:29:00 AM,23.86,21.43
90,04/01/05 08:30:00 AM,23.86,21.26
91,04/01/05 08:31:00 AM,23.68,21.26
92,04/01/05 08:32:00 AM,23.68,21.26
93,04/01/05 08:33:00 AM,23.68,21.43
94,04/01/05 08:34:00 AM,23.51,21.43
95,04/01/05 08:35:00 AM,23.51,21.43
96,04/01/05 08:36:00 AM,23.33,21.43
97,04/01/05 08:37:00 AM,23.33,21.43
98,04/01/05 08:38:00 AM,23.33,21.43
99,04/01/05 08:39:00 AM,23.16,21.43
100,04/01/05 08:40:00 AM,23.16,21.6
101,04/01/05 08:41:00 AM,23.16,21.43
102,04/01/05 08:42:00 AM,22.98,21.6
103,04/01/05 08:43:00 AM,22.98,21.6
104,04/01/05 08:44:00 AM,23.16,21.6
105,04/01/05 08:45:00 AM,23.68,21.6
106,04/01/05 08:46:00 AM,23.86,21.77
107,04/01/05 08:47:00 AM,24.38,21.95
108,04/01/05 08:48:00 AM,24.74,21.95
109,04/01/05 08:49:00 AM,24.91,21.95
110,04/01/05 08:50:00 AM,25.09,21.95
111,04/01/05 08:51:00 AM,25.27,21.95
112,04/01/05 08:52:00 AM,25.62,21.95
113,04/01/05 08:53:00 AM,25.98,21.95
114,04/01/05 08:54:00 AM,25.98,21.95
115,04/01/05 08:55:00 AM,26.34,21.95
116,04/01/05 08:56:00 AM,26.7,21.95
117,04/01/05 08:57:00 AM,27.06,22.12
118,04/01/05 08:58:00 AM,27.24,22.12
119,04/01/05 08:59:00 AM,27.24,22.12
120,04/01/05 09:00:00 AM,27.42,22.12
121,04/01/05 09:01:00 AM,27.24,22.12
122,04/01/05 09:02:00 AM,27.06,22.12
123,04/01/05 09:03:00 AM,26.88,22.29
124,04/01/05 09:04:00 AM,26.88,22.29
125,04/01/05 09:05:00 AM,26.88,22.29
126,04/01/05 09:06:00 AM,26.7,22.29
127,04/01/05 09:07:00 AM,26.34,22.29
128,04/01/05 09:08:00 AM,26.16,22.29
129,04/01/05 09:09:00 AM,25.8,22.64
130,04/01/05 09:10:00 AM,25.8,22.64
131,04/01/05 09:11:00 AM,25.62,22.64
132,04/01/05 09:12:00 AM,25.44,22.64
133,04/01/05 09:13:00 AM,25.44,22.64
134,04/01/05 09:14:00 AM,25.44,22.81
135,04/01/05 09:15:00 AM,25.44,22.81
136,04/01/05 09:16:00 AM,25.44,22.98
137,04/01/05 09:17:00 AM,25.98,22.98
138,04/01/05 09:18:00 AM,26.52,23.16
139,04/01/05 09:19:00 AM,26.88,23.16
140,04/01/05 09:20:00 AM,27.24,23.33
141,04/01/05 09:21:00 AM,27.6,23.33
142,04/01/05 09:22:00 AM,27.06,23.33
143,04/01/05 09:23:00 AM,26.7,23.33
144,04/01/05 09:24:00 AM,26.52,23.51
145,04/01/05 09:25:00 AM,26.34,23.51
146,04/01/05 09:26:00 AM,25.98,23.51
147,04/01/05 09:27:00 AM,25.98,23.51
148,04/01/05 09:28:00 AM,25.8,23.51
149,04/01/05 09:29:00 AM,25.62,23.51
150,04/01/05 09:30:00 AM,25.44,23.51
151,04/01/05 09:31:00 AM,25.44,23.68
152,04/01/05 09:32:00 AM,25.27,23.68
153,04/01/05 09:33:00 AM,25.27,23.68
154,04/01/05 09:34:00 AM,25.09,23.68
155,04/01/05 09:35:00 AM,25.09,23.86
156,04/01/05 09:36:00 AM,24.91,23.86
157,04/01/05 09:37:00 AM,24.91,24.03
158,04/01/05 09:38:00 AM,24.91,24.03
159,04/01/05 09:39:00 AM,24.91,24.21
160,04/01/05 09:40:00 AM,24.91,24.21
161,04/01/05 09:41:00 AM,24.91,24.21
162,04/01/05 09:42:00 AM,24.91,24.03
163,04/01/05 09:43:00 AM,24.91,24.21
164,04/01/05 09:44:00 AM,24.74,24.03
165,04/01/05 09:45:00 AM,24.74,24.21
166,04/01/05 09:46:00 AM,24.74,24.21
167,04/01/05 09:47:00 AM,24.74,24.21
168,04/01/05 09:48:00 AM,24.74,24.38
169,04/01/05 09:49:00 AM,24.74,24.38
170,04/01/05 09:50:00 AM,24.74,24.38
171,04/01/05 09:51:00 AM,24.74,24.38
172,04/01/05 09:52:00 AM,24.74,24.56
173,04/01/05 09:53:00 AM,24.74,24.74
