#,date,tempe,ambient
1,07/02/05 08:01:00 PM,24.38,24.56
2,07/02/05 08:02:00 PM,24.38,24.56
3,07/02/05 08:03:00 PM,24.21,24.56
4,07/02/05 08:04:00 PM,24.03,24.38
5,07/02/05 08:05:00 PM,24.03,24.38
6,07/02/05 08:06:00 PM,23.86,24.21
7,07/02/05 08:07:00 PM,23.86,24.21
8,07/02/05 08:08:00 PM,23.68,24.03
9,07/02/05 08:09:00 PM,23.68,24.03
10,07/02/05 08:10:00 PM,23.68,24.03
11,07/02/05 08:11:00 PM,23.68,24.03
12,07/02/05 08:12:00 PM,23.68,23.86
13,07/02/05 08:13:00 PM,23.68,23.68
14,07/02/05 08:14:00 PM,23.68,23.68
15,07/02/05 08:15:00 PM,23.68,23.51
16,07/02/05 08:16:00 PM,23.51,23.51
17,07/02/05 08:17:00 PM,23.68,23.51
18,07/02/05 08:18:00 PM,23.68,23.51
19,07/02/05 08:19:00 PM,23.68,23.51
20,07/02/05 08:20:00 PM,23.51,23.51
21,07/02/05 08:21:00 PM,23.51,23.51
22,07/02/05 08:22:00 PM,23.51,23.51
23,07/02/05 08:23:00 PM,23.51,23.51
24,07/02/05 08:24:00 PM,23.51,23.33
25,07/02/05 08:25:00 PM,23.51,23.33
26,07/02/05 08:26:00 PM,23.51,23.33
27,07/02/05 08:27:00 PM,23.51,23.33
28,07/02/05 08:28:00 PM,23.51,23.33
29,07/02/05 08:29:00 PM,23.51,23.33
30,07/02/05 08:30:00 PM,23.51,23.33
31,07/02/05 08:31:00 PM,23.51,23.33
32,07/02/05 08:32:00 PM,23.51,23.33
33,07/02/05 08:33:00 PM,23.51,23.51
34,07/02/05 08:34:00 PM,23.51,23.51
35,07/02/05 08:35:00 PM,23.51,23.33
36,07/02/05 08:36:00 PM,23.51,23.33
37,07/02/05 08:37:00 PM,23.51,23.33
38,07/02/05 08:38:00 PM,23.51,23.51
39,07/02/05 08:39:00 PM,23.51,23.33
40,07/02/05 08:40:00 PM,23.51,23.33
41,07/02/05 08:41:00 PM,23.51,23.33
42,07/02/05 08:42:00 PM,23.51,23.33
43,07/02/05 08:43:00 PM,23.51,23.51
44,07/02/05 08:44:00 PM,23.51,23.51
45,07/02/05 08:45:00 PM,23.51,23.51
46,07/02/05 08:46:00 PM,23.51,23.51
47,07/02/05 08:47:00 PM,23.51,23.68
48,07/02/05 08:48:00 PM,23.51,23.68
49,07/02/05 08:49:00 PM,23.51,23.51
50,07/02/05 08:50:00 PM,23.51,23.51
51,07/02/05 08:51:00 PM,23.51,23.51
52,07/02/05 08:52:00 PM,23.68,23.51
53,07/02/05 08:53:00 PM,23.51,23.51
54,07/02/05 08:54:00 PM,23.51,23.51
55,07/02/05 08:55:00 PM,23.51,23.51
56,07/02/05 08:56:00 PM,23.51,23.51
57,07/02/05 08:57:00 PM,23.51,23.51
58,07/02/05 08:58:00 PM,23.51,23.51
59,07/02/05 08:59:00 PM,23.51,23.51
60,07/02/05 09:00:00 PM,23.68,23.51
61,07/02/05 09:01:00 PM,23.68,23.51
