#,date,tempe,ambient
1,06/19/05 10:01:00 PM,28.7,25.98
2,06/19/05 10:02:00 PM,28.51,25.98
3,06/19/05 10:03:00 PM,28.7,25.98
4,06/19/05 10:04:00 PM,28.7,26.16
5,06/19/05 10:05:00 PM,28.7,25.98
6,06/19/05 10:06:00 PM,28.7,25.8
7,06/19/05 10:07:00 PM,28.7,25.8
8,06/19/05 10:08:00 PM,28.7,25.8
9,06/19/05 10:09:00 PM,28.88,25.8
10,06/19/05 10:10:00 PM,28.88,25.8
11,06/19/05 10:11:00 PM,28.88,25.8
12,06/19/05 10:12:00 PM,29.07,25.8
13,06/19/05 10:13:00 PM,29.07,25.98
14,06/19/05 10:14:00 PM,28.88,25.98
15,06/19/05 10:15:00 PM,28.51,25.8
16,06/19/05 10:16:00 PM,28.33,25.8
17,06/19/05 10:17:00 PM,28.33,25.8
18,06/19/05 10:18:00 PM,28.15,25.8
19,06/19/05 10:19:00 PM,28.15,25.8
20,06/19/05 10:20:00 PM,28.15,25.62
21,06/19/05 10:21:00 PM,27.96,25.62
22,06/19/05 10:22:00 PM,28.15,25.62
23,06/19/05 10:23:00 PM,28.15,25.62
24,06/19/05 10:24:00 PM,28.15,25.62
25,06/19/05 10:25:00 PM,28.15,25.62
26,06/19/05 10:26:00 PM,28.33,25.62
27,06/19/05 10:27:00 PM,28.33,25.62
28,06/19/05 10:28:00 PM,28.33,25.62
29,06/19/05 10:29:00 PM,28.33,25.62
30,06/19/05 10:30:00 PM,28.33,25.62
31,06/19/05 10:31:00 PM,28.33,25.62
32,06/19/05 10:32:00 PM,28.33,25.62
33,06/19/05 10:33:00 PM,28.15,25.44
34,06/19/05 10:34:00 PM,28.15,25.44
35,06/19/05 10:35:00 PM,28.33,25.44
36,06/19/05 10:36:00 PM,28.15,25.44
37,06/19/05 10:37:00 PM,28.33,25.44
38,06/19/05 10:38:00 PM,28.33,25.44
39,06/19/05 10:39:00 PM,28.33,25.44
40,06/19/05 10:40:00 PM,28.51,25.44
41,06/19/05 10:41:00 PM,28.33,25.44
42,06/19/05 10:42:00 PM,27.78,25.27
43,06/19/05 10:43:00 PM,27.78,25.27
44,06/19/05 10:44:00 PM,27.96,25.44
45,06/19/05 10:45:00 PM,27.96,25.44
46,06/19/05 10:46:00 PM,28.15,25.27
47,06/19/05 10:47:00 PM,28.15,25.27
48,06/19/05 10:48:00 PM,28.33,25.27
49,06/19/05 10:49:00 PM,28.33,25.09
50,06/19/05 10:50:00 PM,28.33,25.09
51,06/19/05 10:51:00 PM,28.33,25.09
52,06/19/05 10:52:00 PM,28.51,25.09
53,06/19/05 10:53:00 PM,28.51,25.09
54,06/19/05 10:54:00 PM,28.33,25.09
55,06/19/05 10:55:00 PM,28.33,25.09
56,06/19/05 10:56:00 PM,28.33,25.09
57,06/19/05 10:57:00 PM,28.51,25.09
58,06/19/05 10:58:00 PM,28.33,25.09
59,06/19/05 10:59:00 PM,28.51,25.09
60,06/19/05 11:00:00 PM,28.51,25.09
61,06/19/05 11:01:00 PM,28.51,24.91
62,06/19/05 11:02:00 PM,28.51,25.09
63,06/19/05 11:03:00 PM,28.51,24.91
64,06/19/05 11:04:00 PM,28.7,24.91
65,06/19/05 11:05:00 PM,28.7,24.91
66,06/19/05 11:06:00 PM,28.7,24.91
67,06/19/05 11:07:00 PM,28.7,24.91
68,06/19/05 11:08:00 PM,28.7,24.91
69,06/19/05 11:09:00 PM,28.7,24.74
70,06/19/05 11:10:00 PM,28.51,24.74
71,06/19/05 11:11:00 PM,28.7,24.74
72,06/19/05 11:12:00 PM,28.7,24.74
73,06/19/05 11:13:00 PM,28.88,24.74
74,06/19/05 11:14:00 PM,28.7,24.74
75,06/19/05 11:15:00 PM,28.88,24.74
76,06/19/05 11:16:00 PM,28.88,24.74
77,06/19/05 11:17:00 PM,28.88,24.74
78,06/19/05 11:18:00 PM,28.88,24.74
79,06/19/05 11:19:00 PM,28.7,24.74
80,06/19/05 11:20:00 PM,28.7,24.74
81,06/19/05 11:21:00 PM,28.7,24.74
82,06/19/05 11:22:00 PM,28.7,24.74
83,06/19/05 11:23:00 PM,28.7,24.56
84,06/19/05 11:24:00 PM,28.7,24.56
85,06/19/05 11:25:00 PM,28.7,24.56
86,06/19/05 11:26:00 PM,28.7,24.56
87,06/19/05 11:27:00 PM,28.7,24.56
88,06/19/05 11:28:00 PM,28.7,24.56
89,06/19/05 11:29:00 PM,28.7,24.56
90,06/19/05 11:30:00 PM,28.7,24.56
91,06/19/05 11:31:00 PM,28.7,24.56
92,06/19/05 11:32:00 PM,28.7,24.56
93,06/19/05 11:33:00 PM,28.7,24.56
94,06/19/05 11:34:00 PM,28.7,24.38
95,06/19/05 11:35:00 PM,28.88,24.38
96,06/19/05 11:36:00 PM,28.88,24.38
97,06/19/05 11:37:00 PM,28.88,24.38
98,06/19/05 11:38:00 PM,28.88,24.38
99,06/19/05 11:39:00 PM,29.07,24.38
100,06/19/05 11:40:00 PM,29.07,24.38
101,06/19/05 11:41:00 PM,28.88,24.38
102,06/19/05 11:42:00 PM,28.88,24.38
103,06/19/05 11:43:00 PM,28.88,24.38
104,06/19/05 11:44:00 PM,28.88,24.38
105,06/19/05 11:45:00 PM,28.88,24.38
106,06/19/05 11:46:00 PM,28.7,24.38
107,06/19/05 11:47:00 PM,28.7,24.38
108,06/19/05 11:48:00 PM,28.7,24.38
109,06/19/05 11:49:00 PM,28.7,24.38
110,06/19/05 11:50:00 PM,28.7,24.38
111,06/19/05 11:51:00 PM,28.7,24.38
112,06/19/05 11:52:00 PM,28.88,24.38
113,06/19/05 11:53:00 PM,28.88,24.38
114,06/19/05 11:54:00 PM,28.88,24.38
115,06/19/05 11:55:00 PM,28.88,24.38
116,06/19/05 11:56:00 PM,28.88,24.38
117,06/19/05 11:57:00 PM,28.88,24.38
118,06/19/05 11:58:00 PM,29.07,24.21
119,06/19/05 11:59:00 PM,29.07,24.21
120,06/20/05 12:00:00 AM,28.88,24.21
121,06/20/05 12:01:00 AM,28.88,24.21
122,06/20/05 12:02:00 AM,28.88,24.21
123,06/20/05 12:03:00 AM,28.88,24.21
124,06/20/05 12:04:00 AM,28.88,24.21
125,06/20/05 12:05:00 AM,28.88,24.21
126,06/20/05 12:06:00 AM,28.88,24.21
127,06/20/05 12:07:00 AM,28.88,24.03
128,06/20/05 12:08:00 AM,28.88,24.03
129,06/20/05 12:09:00 AM,28.88,24.03
130,06/20/05 12:10:00 AM,28.88,24.21
131,06/20/05 12:11:00 AM,28.88,24.03
132,06/20/05 12:12:00 AM,28.88,24.21
133,06/20/05 12:13:00 AM,28.88,24.03
134,06/20/05 12:14:00 AM,28.88,24.03
135,06/20/05 12:15:00 AM,28.88,24.03
136,06/20/05 12:16:00 AM,28.7,24.03
137,06/20/05 12:17:00 AM,28.7,23.86
138,06/20/05 12:18:00 AM,28.7,23.86
139,06/20/05 12:19:00 AM,28.7,23.86
140,06/20/05 12:20:00 AM,28.7,23.86
141,06/20/05 12:21:00 AM,28.7,23.86
142,06/20/05 12:22:00 AM,28.7,24.03
143,06/20/05 12:23:00 AM,28.7,23.86
144,06/20/05 12:24:00 AM,28.7,23.68
145,06/20/05 12:25:00 AM,28.7,23.68
146,06/20/05 12:26:00 AM,28.7,23.68
147,06/20/05 12:27:00 AM,28.7,23.86
148,06/20/05 12:28:00 AM,28.7,23.86
149,06/20/05 12:29:00 AM,28.88,23.86
150,06/20/05 12:30:00 AM,28.88,23.68
151,06/20/05 12:31:00 AM,28.88,23.68
152,06/20/05 12:32:00 AM,28.7,23.68
153,06/20/05 12:33:00 AM,28.7,23.68
154,06/20/05 12:34:00 AM,28.7,23.68
155,06/20/05 12:35:00 AM,28.7,23.86
156,06/20/05 12:36:00 AM,28.7,23.68
157,06/20/05 12:37:00 AM,28.7,23.68
158,06/20/05 12:38:00 AM,28.51,23.68
159,06/20/05 12:39:00 AM,28.51,23.68
160,06/20/05 12:40:00 AM,28.51,23.68
161,06/20/05 12:41:00 AM,28.51,23.68
162,06/20/05 12:42:00 AM,28.51,23.68
163,06/20/05 12:43:00 AM,28.51,23.68
164,06/20/05 12:44:00 AM,28.33,23.68
165,06/20/05 12:45:00 AM,28.33,23.51
166,06/20/05 12:46:00 AM,28.33,23.51
167,06/20/05 12:47:00 AM,28.33,23.51
168,06/20/05 12:48:00 AM,28.33,23.51
169,06/20/05 12:49:00 AM,28.33,23.51
170,06/20/05 12:50:00 AM,28.33,23.51
171,06/20/05 12:51:00 AM,28.33,23.51
172,06/20/05 12:52:00 AM,28.51,23.51
173,06/20/05 12:53:00 AM,28.51,23.51
174,06/20/05 12:54:00 AM,28.51,23.51
175,06/20/05 12:55:00 AM,28.51,23.51
176,06/20/05 12:56:00 AM,28.51,23.33
177,06/20/05 12:57:00 AM,28.51,23.33
178,06/20/05 12:58:00 AM,28.51,23.33
179,06/20/05 12:59:00 AM,28.51,23.33
180,06/20/05 01:00:00 AM,28.51,23.33
181,06/20/05 01:01:00 AM,28.51,23.51
182,06/20/05 01:02:00 AM,28.51,23.51
183,06/20/05 01:03:00 AM,28.51,23.33
184,06/20/05 01:04:00 AM,28.51,23.33
185,06/20/05 01:05:00 AM,28.7,23.33
186,06/20/05 01:06:00 AM,28.51,23.33
187,06/20/05 01:07:00 AM,28.51,23.33
188,06/20/05 01:08:00 AM,28.51,23.33
189,06/20/05 01:09:00 AM,28.51,23.33
190,06/20/05 01:10:00 AM,28.7,23.33
191,06/20/05 01:11:00 AM,28.7,23.33
192,06/20/05 01:12:00 AM,28.7,23.33
193,06/20/05 01:13:00 AM,28.7,23.33
194,06/20/05 01:14:00 AM,28.7,23.33
195,06/20/05 01:15:00 AM,28.7,23.33
196,06/20/05 01:16:00 AM,28.7,23.33
197,06/20/05 01:17:00 AM,28.7,23.33
198,06/20/05 01:18:00 AM,28.7,23.33
199,06/20/05 01:19:00 AM,28.7,23.16
200,06/20/05 01:20:00 AM,28.7,23.33
201,06/20/05 01:21:00 AM,28.7,23.16
202,06/20/05 01:22:00 AM,28.7,23.33
203,06/20/05 01:23:00 AM,28.7,23.33
204,06/20/05 01:24:00 AM,28.7,23.16
205,06/20/05 01:25:00 AM,28.7,23.16
206,06/20/05 01:26:00 AM,28.7,23.16
207,06/20/05 01:27:00 AM,28.51,23.16
208,06/20/05 01:28:00 AM,28.51,23.16
209,06/20/05 01:29:00 AM,28.51,23.16
210,06/20/05 01:30:00 AM,28.51,23.16
211,06/20/05 01:31:00 AM,28.7,23.16
212,06/20/05 01:32:00 AM,28.7,23.16
213,06/20/05 01:33:00 AM,28.7,23.16
214,06/20/05 01:34:00 AM,28.7,23.16
215,06/20/05 01:35:00 AM,28.7,23.16
216,06/20/05 01:36:00 AM,28.7,23.16
217,06/20/05 01:37:00 AM,28.7,23.16
218,06/20/05 01:38:00 AM,28.51,23.16
219,06/20/05 01:39:00 AM,28.51,23.16
220,06/20/05 01:40:00 AM,28.51,22.98
221,06/20/05 01:41:00 AM,28.51,22.98
222,06/20/05 01:42:00 AM,28.51,23.16
223,06/20/05 01:43:00 AM,28.51,23.16
224,06/20/05 01:44:00 AM,28.51,22.98
225,06/20/05 01:45:00 AM,28.33,23.16
226,06/20/05 01:46:00 AM,28.33,23.16
227,06/20/05 01:47:00 AM,28.33,23.16
228,06/20/05 01:48:00 AM,28.33,23.16
229,06/20/05 01:49:00 AM,28.33,22.98
230,06/20/05 01:50:00 AM,28.33,22.98
231,06/20/05 01:51:00 AM,28.33,22.98
232,06/20/05 01:52:00 AM,28.33,23.16
233,06/20/05 01:53:00 AM,28.33,22.98
234,06/20/05 01:54:00 AM,28.15,23.16
235,06/20/05 01:55:00 AM,28.15,23.16
236,06/20/05 01:56:00 AM,28.15,23.16
237,06/20/05 01:57:00 AM,28.33,23.16
238,06/20/05 01:58:00 AM,28.33,22.98
239,06/20/05 01:59:00 AM,28.33,22.98
240,06/20/05 02:00:00 AM,28.33,22.98
241,06/20/05 02:01:00 AM,28.33,22.98
242,06/20/05 02:02:00 AM,28.33,22.98
243,06/20/05 02:03:00 AM,28.33,22.98
244,06/20/05 02:04:00 AM,28.15,22.98
245,06/20/05 02:05:00 AM,28.15,22.98
246,06/20/05 02:06:00 AM,28.15,22.98
247,06/20/05 02:07:00 AM,28.15,22.98
248,06/20/05 02:08:00 AM,27.96,22.98
249,06/20/05 02:09:00 AM,27.96,22.98
250,06/20/05 02:10:00 AM,27.96,22.98
251,06/20/05 02:11:00 AM,27.96,22.98
252,06/20/05 02:12:00 AM,27.96,22.98
253,06/20/05 02:13:00 AM,27.96,22.98
254,06/20/05 02:14:00 AM,27.96,22.98
255,06/20/05 02:15:00 AM,27.96,22.98
256,06/20/05 02:16:00 AM,27.78,22.81
257,06/20/05 02:17:00 AM,27.78,22.81
258,06/20/05 02:18:00 AM,27.78,22.81
259,06/20/05 02:19:00 AM,27.78,22.81
260,06/20/05 02:20:00 AM,27.78,22.81
261,06/20/05 02:21:00 AM,27.96,22.81
262,06/20/05 02:22:00 AM,27.96,22.81
263,06/20/05 02:23:00 AM,27.96,22.81
264,06/20/05 02:24:00 AM,28.15,22.81
265,06/20/05 02:25:00 AM,28.15,22.81
266,06/20/05 02:26:00 AM,28.15,22.81
267,06/20/05 02:27:00 AM,28.15,22.81
268,06/20/05 02:28:00 AM,28.15,22.81
269,06/20/05 02:29:00 AM,28.15,22.81
270,06/20/05 02:30:00 AM,27.96,22.81
271,06/20/05 02:31:00 AM,28.15,22.81
272,06/20/05 02:32:00 AM,28.15,22.81
273,06/20/05 02:33:00 AM,28.15,22.81
274,06/20/05 02:34:00 AM,28.15,22.81
275,06/20/05 02:35:00 AM,28.15,22.81
276,06/20/05 02:36:00 AM,28.15,22.81
277,06/20/05 02:37:00 AM,28.15,22.81
278,06/20/05 02:38:00 AM,28.15,22.81
279,06/20/05 02:39:00 AM,28.15,22.81
280,06/20/05 02:40:00 AM,28.33,22.81
281,06/20/05 02:41:00 AM,28.33,22.64
282,06/20/05 02:42:00 AM,28.33,22.64
283,06/20/05 02:43:00 AM,28.33,22.81
284,06/20/05 02:44:00 AM,28.33,22.81
285,06/20/05 02:45:00 AM,28.15,22.64
286,06/20/05 02:46:00 AM,28.15,22.64
287,06/20/05 02:47:00 AM,28.15,22.64
288,06/20/05 02:48:00 AM,28.15,22.64
289,06/20/05 02:49:00 AM,28.15,22.64
290,06/20/05 02:50:00 AM,28.15,22.64
291,06/20/05 02:51:00 AM,28.15,22.64
292,06/20/05 02:52:00 AM,28.15,22.46
293,06/20/05 02:53:00 AM,28.15,22.46
294,06/20/05 02:54:00 AM,28.15,22.46
295,06/20/05 02:55:00 AM,28.15,22.46
296,06/20/05 02:56:00 AM,28.15,22.46
297,06/20/05 02:57:00 AM,28.15,22.46
298,06/20/05 02:58:00 AM,28.15,22.46
299,06/20/05 02:59:00 AM,28.15,22.46
300,06/20/05 03:00:00 AM,28.15,22.46
301,06/20/05 03:01:00 AM,28.15,22.46
302,06/20/05 03:02:00 AM,28.15,22.46
