#,date,tempe,ambient
1,05/05/05 08:16:00 AM,24.38,20.91
2,05/05/05 08:17:00 AM,24.38,20.91
3,05/05/05 08:18:00 AM,24.21,20.91
4,05/05/05 08:19:00 AM,24.03,20.91
5,05/05/05 08:20:00 AM,24.03,20.91
6,05/05/05 08:21:00 AM,23.86,20.91
7,05/05/05 08:22:00 AM,23.86,21.08
8,05/05/05 08:23:00 AM,23.68,21.08
9,05/05/05 08:24:00 AM,23.33,21.08
10,05/05/05 08:25:00 AM,22.98,21.08
11,05/05/05 08:26:00 AM,22.64,20.91
12,05/05/05 08:27:00 AM,22.46,20.57
13,05/05/05 08:28:00 AM,22.46,20.57
14,05/05/05 08:29:00 AM,22.46,20.4
15,05/05/05 08:30:00 AM,22.46,20.4
16,05/05/05 08:31:00 AM,22.46,20.4
17,05/05/05 08:32:00 AM,22.64,20.23
18,05/05/05 08:33:00 AM,22.64,20.4
19,05/05/05 08:34:00 AM,22.46,20.23
20,05/05/05 08:35:00 AM,22.29,20.23
21,05/05/05 08:36:00 AM,22.12,20.23
22,05/05/05 08:37:00 AM,22.12,20.06
23,05/05/05 08:38:00 AM,21.95,20.23
24,05/05/05 08:39:00 AM,22.12,20.23
25,05/05/05 08:40:00 AM,22.29,20.23
26,05/05/05 08:41:00 AM,22.46,20.23
27,05/05/05 08:42:00 AM,22.64,20.23
28,05/05/05 08:43:00 AM,22.64,20.23
29,05/05/05 08:44:00 AM,22.64,20.23
30,05/05/05 08:45:00 AM,22.46,20.06
31,05/05/05 08:46:00 AM,22.29,20.06
32,05/05/05 08:47:00 AM,22.29,20.06
33,05/05/05 08:48:00 AM,22.29,20.23
34,05/05/05 08:49:00 AM,22.46,20.23
35,05/05/05 08:50:00 AM,22.46,20.23
36,05/05/05 08:51:00 AM,22.64,20.23
37,05/05/05 08:52:00 AM,22.46,20.23
38,05/05/05 08:53:00 AM,22.46,20.23
39,05/05/05 08:54:00 AM,22.64,20.23
40,05/05/05 08:55:00 AM,22.64,20.06
41,05/05/05 08:56:00 AM,22.46,20.06
42,05/05/05 08:57:00 AM,22.29,20.06
43,05/05/05 08:58:00 AM,22.12,19.89
44,05/05/05 08:59:00 AM,21.95,20.06
45,05/05/05 09:00:00 AM,21.77,20.06
46,05/05/05 09:01:00 AM,21.95,20.06
47,05/05/05 09:02:00 AM,22.12,20.23
48,05/05/05 09:03:00 AM,22.46,20.23
49,05/05/05 09:04:00 AM,22.64,20.23
50,05/05/05 09:05:00 AM,22.81,20.23
51,05/05/05 09:06:00 AM,22.81,20.23
52,05/05/05 09:07:00 AM,22.64,20.06
53,05/05/05 09:08:00 AM,22.46,20.06
54,05/05/05 09:09:00 AM,22.12,19.89
55,05/05/05 09:10:00 AM,21.95,19.89
56,05/05/05 09:11:00 AM,21.95,19.89
57,05/05/05 09:12:00 AM,21.77,19.89
58,05/05/05 09:13:00 AM,21.77,20.06
59,05/05/05 09:14:00 AM,21.77,19.89
60,05/05/05 09:15:00 AM,21.95,20.06
61,05/05/05 09:16:00 AM,22.12,20.06
62,05/05/05 09:17:00 AM,22.29,19.89
63,05/05/05 09:18:00 AM,22.46,19.89
64,05/05/05 09:19:00 AM,22.81,20.06
65,05/05/05 09:20:00 AM,22.98,20.06
66,05/05/05 09:21:00 AM,23.16,20.23
67,05/05/05 09:22:00 AM,23.33,20.23
68,05/05/05 09:23:00 AM,23.33,20.23
69,05/05/05 09:24:00 AM,23.33,20.4
70,05/05/05 09:25:00 AM,23.33,20.4
71,05/05/05 09:26:00 AM,23.16,20.4
72,05/05/05 09:27:00 AM,23.16,20.4
73,05/05/05 09:28:00 AM,23.16,20.4
74,05/05/05 09:29:00 AM,23.33,20.4
75,05/05/05 09:30:00 AM,23.51,20.57
76,05/05/05 09:31:00 AM,23.68,20.57
77,05/05/05 09:32:00 AM,23.86,20.57
78,05/05/05 09:33:00 AM,24.03,20.74
