#,date,tempe,ambient
1,04/21/05 08:16:00 AM,21.6,3.74
2,04/21/05 08:17:00 AM,20.91,3.74
3,04/21/05 08:18:00 AM,20.4,3.74
4,04/21/05 08:19:00 AM,19.89,3.74
5,04/21/05 08:20:00 AM,19.55,3.74
6,04/21/05 08:21:00 AM,19.38,3.74
7,04/21/05 08:22:00 AM,19.21,3.91
8,04/21/05 08:23:00 AM,19.21,3.91
9,04/21/05 08:24:00 AM,19.55,4.09
10,04/21/05 08:25:00 AM,20.06,3.91
11,04/21/05 08:26:00 AM,20.4,3.91
12,04/21/05 08:27:00 AM,20.74,3.91
13,04/21/05 08:28:00 AM,21.08,3.91
14,04/21/05 08:29:00 AM,21.43,3.91
15,04/21/05 08:30:00 AM,21.77,3.91
16,04/21/05 08:31:00 AM,21.95,3.91
17,04/21/05 08:32:00 AM,22.12,3.91
18,04/21/05 08:33:00 AM,22.12,3.91
19,04/21/05 08:34:00 AM,22.12,3.91
20,04/21/05 08:35:00 AM,22.29,3.91
21,04/21/05 08:36:00 AM,22.64,3.74
22,04/21/05 08:37:00 AM,22.64,3.74
23,04/21/05 08:38:00 AM,24.74,3.91
24,04/21/05 08:39:00 AM,24.56,3.74
25,04/21/05 08:40:00 AM,23.68,3.74
26,04/21/05 08:41:00 AM,22.81,3.74
27,04/21/05 08:42:00 AM,22.29,3.74
28,04/21/05 08:43:00 AM,21.77,3.74
29,04/21/05 08:44:00 AM,21.43,3.74
30,04/21/05 08:45:00 AM,21.26,3.74
31,04/21/05 08:46:00 AM,21.08,3.74
32,04/21/05 08:47:00 AM,20.91,4.79
33,04/21/05 08:48:00 AM,20.74,4.09
34,04/21/05 08:49:00 AM,20.74,4.27
35,04/21/05 08:50:00 AM,20.57,3.74
36,04/21/05 08:51:00 AM,20.57,3.74
37,04/21/05 08:52:00 AM,20.57,3.74
38,04/21/05 08:53:00 AM,21.26,3.74
39,04/21/05 08:54:00 AM,22.81,12.47
40,04/21/05 08:55:00 AM,22.29,12.47
41,04/21/05 08:56:00 AM,21.95,12.47
42,04/21/05 08:57:00 AM,21.6,12.47
43,04/21/05 08:58:00 AM,21.43,12.47
44,04/21/05 08:59:00 AM,21.26,12.64
45,04/21/05 09:00:00 AM,21.08,12.64
46,04/21/05 09:01:00 AM,25.62,12.64
47,04/21/05 09:02:00 AM,26.16,12.81
48,04/21/05 09:03:00 AM,24.38,12.98
49,04/21/05 09:04:00 AM,23.33,13.14
50,04/21/05 09:05:00 AM,23.68,13.31
51,04/21/05 09:06:00 AM,23.33,13.31
52,04/21/05 09:07:00 AM,23.68,13.48
53,04/21/05 09:08:00 AM,23.33,13.65
54,04/21/05 09:09:00 AM,23.51,13.65
55,04/21/05 09:10:00 AM,24.91,13.81
56,04/21/05 09:11:00 AM,24.56,13.81
57,04/21/05 09:12:00 AM,24.21,13.98
58,04/21/05 09:13:00 AM,24.38,13.98
59,04/21/05 09:14:00 AM,23.68,14.15
60,04/21/05 09:15:00 AM,22.98,14.15
61,04/21/05 09:16:00 AM,22.81,13.98
62,04/21/05 09:17:00 AM,22.46,13.98
