#,date,tempe,ambient
1,06/07/06 12:01:00 PM,32.08,35.85
2,06/07/06 12:02:00 PM,32.28,35.85
3,06/07/06 12:03:00 PM,32.47,36.05
4,06/07/06 12:04:00 PM,32.47,36.05
5,06/07/06 12:05:00 PM,32.47,36.05
6,06/07/06 12:06:00 PM,32.47,36.05
7,06/07/06 12:07:00 PM,32.66,36.05
8,06/07/06 12:08:00 PM,32.66,36.05
9,06/07/06 12:09:00 PM,32.66,36.05
10,06/07/06 12:10:00 PM,32.86,36.26
11,06/07/06 12:11:00 PM,32.86,36.26
12,06/07/06 12:12:00 PM,32.86,36.26
13,06/07/06 12:13:00 PM,32.86,36.26
14,06/07/06 12:14:00 PM,32.86,36.26
15,06/07/06 12:15:00 PM,32.86,36.26
16,06/07/06 12:16:00 PM,32.86,36.26
17,06/07/06 12:17:00 PM,32.86,36.26
18,06/07/06 12:18:00 PM,32.66,36.05
19,06/07/06 12:19:00 PM,32.66,36.05
20,06/07/06 12:20:00 PM,32.66,36.05
21,06/07/06 12:21:00 PM,32.86,36.05
22,06/07/06 12:22:00 PM,32.86,36.26
23,06/07/06 12:23:00 PM,32.86,36.26
24,06/07/06 12:24:00 PM,32.86,36.26
25,06/07/06 12:25:00 PM,33.05,36.26
26,06/07/06 12:26:00 PM,33.05,36.26
27,06/07/06 12:27:00 PM,33.25,36.26
28,06/07/06 12:28:00 PM,33.25,36.46
29,06/07/06 12:29:00 PM,33.25,36.46
30,06/07/06 12:30:00 PM,33.25,36.46
31,06/07/06 12:31:00 PM,33.25,36.46
32,06/07/06 12:32:00 PM,33.25,36.46
33,06/07/06 12:33:00 PM,33.05,36.26
34,06/07/06 12:34:00 PM,33.05,36.26
35,06/07/06 12:35:00 PM,33.05,36.26
36,06/07/06 12:36:00 PM,33.25,36.46
37,06/07/06 12:37:00 PM,33.25,36.46
38,06/07/06 12:38:00 PM,33.25,36.46
39,06/07/06 12:39:00 PM,33.25,36.46
40,06/07/06 12:40:00 PM,33.25,36.46
41,06/07/06 12:41:00 PM,33.25,36.46
42,06/07/06 12:42:00 PM,33.44,36.46
43,06/07/06 12:43:00 PM,33.44,36.46
44,06/07/06 12:44:00 PM,33.44,36.46
45,06/07/06 12:45:00 PM,33.44,36.46
46,06/07/06 12:46:00 PM,33.64,36.46
47,06/07/06 12:47:00 PM,33.44,36.46
48,06/07/06 12:48:00 PM,33.44,36.46
49,06/07/06 12:49:00 PM,33.44,36.46
50,06/07/06 12:50:00 PM,33.64,36.46
51,06/07/06 12:51:00 PM,33.64,36.46
52,06/07/06 12:52:00 PM,33.64,36.67
53,06/07/06 12:53:00 PM,33.64,36.67
54,06/07/06 12:54:00 PM,33.64,36.67
55,06/07/06 12:55:00 PM,33.64,36.67
56,06/07/06 12:56:00 PM,33.84,36.67
57,06/07/06 12:57:00 PM,33.84,36.67
58,06/07/06 12:58:00 PM,33.64,36.46
59,06/07/06 12:59:00 PM,33.64,36.67
60,06/07/06 01:00:00 PM,33.64,36.67
61,06/07/06 01:01:00 PM,33.64,36.67
62,06/07/06 01:02:00 PM,33.84,36.67
63,06/07/06 01:03:00 PM,33.84,36.67
64,06/07/06 01:04:00 PM,33.84,36.67
65,06/07/06 01:05:00 PM,33.84,36.67
66,06/07/06 01:06:00 PM,34.04,36.67
67,06/07/06 01:07:00 PM,34.04,36.88
68,06/07/06 01:08:00 PM,34.23,36.88
69,06/07/06 01:09:00 PM,34.23,36.88
70,06/07/06 01:10:00 PM,34.23,36.88
71,06/07/06 01:11:00 PM,34.43,36.88
72,06/07/06 01:12:00 PM,34.43,36.88
73,06/07/06 01:13:00 PM,34.63,37.08
74,06/07/06 01:14:00 PM,34.63,37.08
75,06/07/06 01:15:00 PM,34.83,37.08
76,06/07/06 01:16:00 PM,34.83,37.08
77,06/07/06 01:17:00 PM,35.03,37.08
78,06/07/06 01:18:00 PM,35.03,37.08
79,06/07/06 01:19:00 PM,34.83,37.08
80,06/07/06 01:20:00 PM,34.83,37.08
81,06/07/06 01:21:00 PM,34.83,37.08
82,06/07/06 01:22:00 PM,34.83,37.08
83,06/07/06 01:23:00 PM,34.83,37.08
84,06/07/06 01:24:00 PM,34.63,36.88
85,06/07/06 01:25:00 PM,34.23,36.88
86,06/07/06 01:26:00 PM,34.23,36.88
87,06/07/06 01:27:00 PM,34.04,36.67
88,06/07/06 01:28:00 PM,34.04,36.67
89,06/07/06 01:29:00 PM,34.04,36.67
90,06/07/06 01:30:00 PM,34.04,36.67
91,06/07/06 01:31:00 PM,34.04,36.67
92,06/07/06 01:32:00 PM,34.23,36.88
93,06/07/06 01:33:00 PM,34.43,36.88
94,06/07/06 01:34:00 PM,34.63,37.08
95,06/07/06 01:35:00 PM,34.63,37.08
96,06/07/06 01:36:00 PM,34.63,37.08
97,06/07/06 01:37:00 PM,34.63,37.08
98,06/07/06 01:38:00 PM,34.63,37.08
99,06/07/06 01:39:00 PM,34.63,37.08
100,06/07/06 01:40:00 PM,34.43,36.88
101,06/07/06 01:41:00 PM,34.43,36.88
102,06/07/06 01:42:00 PM,34.43,36.88
103,06/07/06 01:43:00 PM,34.43,36.88
104,06/07/06 01:44:00 PM,34.63,36.88
105,06/07/06 01:45:00 PM,34.63,37.08
106,06/07/06 01:46:00 PM,34.63,37.08
107,06/07/06 01:47:00 PM,34.63,37.08
108,06/07/06 01:48:00 PM,34.63,37.08
109,06/07/06 01:49:00 PM,34.43,36.88
110,06/07/06 01:50:00 PM,34.43,36.88
111,06/07/06 01:51:00 PM,34.43,36.88
112,06/07/06 01:52:00 PM,34.43,36.88
113,06/07/06 01:53:00 PM,34.63,36.88
114,06/07/06 01:54:00 PM,34.43,37.08
115,06/07/06 01:55:00 PM,34.43,37.08
116,06/07/06 01:56:00 PM,34.43,37.08
117,06/07/06 01:57:00 PM,34.43,37.08
118,06/07/06 01:58:00 PM,34.43,36.88
119,06/07/06 01:59:00 PM,34.43,36.88
120,06/07/06 02:00:00 PM,34.23,36.88
121,06/07/06 02:01:00 PM,34.23,36.88
122,06/07/06 02:02:00 PM,34.23,36.88
123,06/07/06 02:03:00 PM,34.43,36.88
124,06/07/06 02:04:00 PM,34.63,37.08
125,06/07/06 02:05:00 PM,34.83,37.08
126,06/07/06 02:06:00 PM,34.83,37.29
127,06/07/06 02:07:00 PM,34.83,37.08
128,06/07/06 02:08:00 PM,34.83,37.08
129,06/07/06 02:09:00 PM,35.03,37.29
130,06/07/06 02:10:00 PM,35.03,37.29
131,06/07/06 02:11:00 PM,35.24,37.29
132,06/07/06 02:12:00 PM,35.24,37.29
133,06/07/06 02:13:00 PM,35.24,37.29
134,06/07/06 02:14:00 PM,35.24,37.5
135,06/07/06 02:15:00 PM,35.44,37.29
136,06/07/06 02:16:00 PM,35.44,37.5
137,06/07/06 02:17:00 PM,35.44,37.29
138,06/07/06 02:18:00 PM,35.24,37.29
139,06/07/06 02:19:00 PM,35.03,37.29
140,06/07/06 02:20:00 PM,34.83,37.08
141,06/07/06 02:21:00 PM,34.63,37.08
142,06/07/06 02:22:00 PM,34.43,36.88
