#,date,tempe,ambient
1,04/28/06 08:01:00 PM,30.56,22.29
2,04/28/06 08:02:00 PM,30.37,22.29
3,04/28/06 08:03:00 PM,30.37,22.29
4,04/28/06 08:04:00 PM,30.37,22.12
5,04/28/06 08:05:00 PM,30.37,22.12
6,04/28/06 08:06:00 PM,30.37,22.12
7,04/28/06 08:07:00 PM,30.37,22.12
8,04/28/06 08:08:00 PM,30.37,22.12
9,04/28/06 08:09:00 PM,30.37,22.12
10,04/28/06 08:10:00 PM,30.37,21.95
11,04/28/06 08:11:00 PM,30.37,21.95
12,04/28/06 08:12:00 PM,30.37,21.95
13,04/28/06 08:13:00 PM,30.18,21.95
14,04/28/06 08:14:00 PM,30.18,21.95
15,04/28/06 08:15:00 PM,30.18,21.77
16,04/28/06 08:16:00 PM,30.18,21.77
17,04/28/06 08:17:00 PM,30.18,21.77
18,04/28/06 08:18:00 PM,30.18,21.77
19,04/28/06 08:19:00 PM,30.18,21.77
20,04/28/06 08:20:00 PM,30.18,21.77
21,04/28/06 08:21:00 PM,30.18,21.77
22,04/28/06 08:22:00 PM,30.18,21.6
23,04/28/06 08:23:00 PM,30.18,21.6
24,04/28/06 08:24:00 PM,30.18,21.6
25,04/28/06 08:25:00 PM,30.18,21.6
26,04/28/06 08:26:00 PM,30.18,21.6
27,04/28/06 08:27:00 PM,30.0,21.43
28,04/28/06 08:28:00 PM,30.0,21.43
29,04/28/06 08:29:00 PM,30.0,21.43
30,04/28/06 08:30:00 PM,30.0,21.43
31,04/28/06 08:31:00 PM,30.0,21.26
32,04/28/06 08:32:00 PM,30.0,21.26
33,04/28/06 08:33:00 PM,30.0,21.26
34,04/28/06 08:34:00 PM,30.0,21.26
35,04/28/06 08:35:00 PM,30.0,21.26
36,04/28/06 08:36:00 PM,29.81,21.08
37,04/28/06 08:37:00 PM,29.81,21.08
38,04/28/06 08:38:00 PM,29.81,21.08
39,04/28/06 08:39:00 PM,29.81,21.08
40,04/28/06 08:40:00 PM,29.81,21.08
41,04/28/06 08:41:00 PM,29.81,21.08
42,04/28/06 08:42:00 PM,29.81,20.91
43,04/28/06 08:43:00 PM,29.81,20.91
44,04/28/06 08:44:00 PM,29.81,20.91
45,04/28/06 08:45:00 PM,29.81,20.91
46,04/28/06 08:46:00 PM,29.81,20.74
47,04/28/06 08:47:00 PM,29.62,20.74
48,04/28/06 08:48:00 PM,29.62,20.57
49,04/28/06 08:49:00 PM,29.62,20.57
