#,date,tempe,ambient
1,04/29/06 06:01:00 PM,29.44,23.51
2,04/29/06 06:02:00 PM,30.18,23.68
3,04/29/06 06:03:00 PM,30.56,23.51
4,04/29/06 06:04:00 PM,30.75,23.51
5,04/29/06 06:05:00 PM,31.13,23.51
6,04/29/06 06:06:00 PM,31.32,23.51
7,04/29/06 06:07:00 PM,31.32,23.51
8,04/29/06 06:08:00 PM,31.51,23.51
9,04/29/06 06:09:00 PM,31.7,23.51
10,04/29/06 06:10:00 PM,31.7,23.51
11,04/29/06 06:11:00 PM,31.7,23.51
12,04/29/06 06:12:00 PM,31.51,23.33
13,04/29/06 06:13:00 PM,31.89,23.16
14,04/29/06 06:14:00 PM,31.89,23.16
15,04/29/06 06:15:00 PM,31.89,23.16
16,04/29/06 06:16:00 PM,31.89,23.16
17,04/29/06 06:17:00 PM,32.08,23.16
18,04/29/06 06:18:00 PM,32.08,23.16
19,04/29/06 06:19:00 PM,32.08,23.16
20,04/29/06 06:20:00 PM,32.08,23.16
21,04/29/06 06:21:00 PM,32.28,23.16
22,04/29/06 06:22:00 PM,32.28,23.16
23,04/29/06 06:23:00 PM,31.89,23.16
24,04/29/06 06:24:00 PM,31.32,23.16
25,04/29/06 06:25:00 PM,31.32,23.16
26,04/29/06 06:26:00 PM,31.13,23.16
27,04/29/06 06:27:00 PM,31.13,23.16
28,04/29/06 06:28:00 PM,30.94,22.98
29,04/29/06 06:29:00 PM,30.75,22.98
30,04/29/06 06:30:00 PM,29.62,22.98
31,04/29/06 06:31:00 PM,28.7,22.98
32,04/29/06 06:32:00 PM,27.96,23.16
33,04/29/06 06:33:00 PM,27.6,22.98
34,04/29/06 06:34:00 PM,27.06,22.98
35,04/29/06 06:35:00 PM,26.7,22.98
36,04/29/06 06:36:00 PM,27.06,22.98
37,04/29/06 06:37:00 PM,27.6,22.98
38,04/29/06 06:38:00 PM,27.96,22.98
39,04/29/06 06:39:00 PM,28.15,22.81
40,04/29/06 06:40:00 PM,28.33,22.81
41,04/29/06 06:41:00 PM,28.51,22.81
42,04/29/06 06:42:00 PM,28.7,22.81
43,04/29/06 06:43:00 PM,28.7,22.81
44,04/29/06 06:44:00 PM,28.88,22.81
45,04/29/06 06:45:00 PM,28.88,22.81
46,04/29/06 06:46:00 PM,29.07,22.98
47,04/29/06 06:47:00 PM,29.62,22.81
48,04/29/06 06:48:00 PM,30.37,22.81
49,04/29/06 06:49:00 PM,30.94,22.81
50,04/29/06 06:50:00 PM,31.32,22.81
51,04/29/06 06:51:00 PM,31.13,22.64
52,04/29/06 06:52:00 PM,29.81,22.64
53,04/29/06 06:53:00 PM,28.88,22.64
54,04/29/06 06:54:00 PM,28.15,22.64
55,04/29/06 06:55:00 PM,27.6,22.64
56,04/29/06 06:56:00 PM,27.06,22.64
57,04/29/06 06:57:00 PM,26.52,22.64
58,04/29/06 06:58:00 PM,26.16,22.64
59,04/29/06 06:59:00 PM,25.98,22.64
60,04/29/06 07:00:00 PM,26.16,22.46
61,04/29/06 07:01:00 PM,26.88,22.46
62,04/29/06 07:02:00 PM,27.42,22.46
63,04/29/06 07:03:00 PM,27.96,22.46
64,04/29/06 07:04:00 PM,28.33,22.46
65,04/29/06 07:05:00 PM,28.7,22.46
66,04/29/06 07:06:00 PM,29.07,22.46
67,04/29/06 07:07:00 PM,29.25,22.46
68,04/29/06 07:08:00 PM,29.44,22.46
69,04/29/06 07:09:00 PM,29.44,22.46
70,04/29/06 07:10:00 PM,29.62,22.46
71,04/29/06 07:11:00 PM,29.62,22.46
72,04/29/06 07:12:00 PM,30.18,22.29
73,04/29/06 07:13:00 PM,31.13,22.29
74,04/29/06 07:14:00 PM,31.7,22.29
75,04/29/06 07:15:00 PM,32.08,22.29
76,04/29/06 07:16:00 PM,32.28,22.29
77,04/29/06 07:17:00 PM,32.47,22.29
78,04/29/06 07:18:00 PM,32.66,22.29
79,04/29/06 07:19:00 PM,32.86,22.29
80,04/29/06 07:20:00 PM,32.86,22.12
81,04/29/06 07:21:00 PM,32.28,22.12
82,04/29/06 07:22:00 PM,31.7,22.12
83,04/29/06 07:23:00 PM,31.13,22.12
84,04/29/06 07:24:00 PM,30.56,22.12
85,04/29/06 07:25:00 PM,30.18,22.12
86,04/29/06 07:26:00 PM,30.94,22.12
87,04/29/06 07:27:00 PM,31.51,22.12
88,04/29/06 07:28:00 PM,31.89,22.12
89,04/29/06 07:29:00 PM,32.28,22.12
90,04/29/06 07:30:00 PM,32.47,22.12
91,04/29/06 07:31:00 PM,32.66,22.12
92,04/29/06 07:32:00 PM,32.66,21.95
93,04/29/06 07:33:00 PM,32.66,21.95
94,04/29/06 07:34:00 PM,32.66,21.95
95,04/29/06 07:35:00 PM,32.86,21.95
96,04/29/06 07:36:00 PM,32.86,21.95
97,04/29/06 07:37:00 PM,32.86,21.95
98,04/29/06 07:38:00 PM,33.05,21.95
99,04/29/06 07:39:00 PM,31.89,21.77
100,04/29/06 07:40:00 PM,30.18,21.77
101,04/29/06 07:41:00 PM,28.88,21.77
102,04/29/06 07:42:00 PM,27.96,21.77
103,04/29/06 07:43:00 PM,27.24,21.77
104,04/29/06 07:44:00 PM,26.52,21.77
105,04/29/06 07:45:00 PM,26.88,21.77
106,04/29/06 07:46:00 PM,27.78,21.77
107,04/29/06 07:47:00 PM,28.51,21.77
108,04/29/06 07:48:00 PM,29.07,21.77
109,04/29/06 07:49:00 PM,29.62,21.77
110,04/29/06 07:50:00 PM,30.0,21.6
111,04/29/06 07:51:00 PM,30.37,21.6
112,04/29/06 07:52:00 PM,30.56,21.6
113,04/29/06 07:53:00 PM,30.56,21.6
114,04/29/06 07:54:00 PM,30.75,21.6
115,04/29/06 07:55:00 PM,30.75,21.6
116,04/29/06 07:56:00 PM,30.94,21.6
117,04/29/06 07:57:00 PM,30.94,21.6
118,04/29/06 07:58:00 PM,29.62,21.6
119,04/29/06 07:59:00 PM,28.7,21.43
120,04/29/06 08:00:00 PM,27.96,21.43
121,04/29/06 08:01:00 PM,27.24,21.43
122,04/29/06 08:02:00 PM,26.7,21.43
123,04/29/06 08:03:00 PM,26.16,21.43
124,04/29/06 08:04:00 PM,25.98,21.43
125,04/29/06 08:05:00 PM,27.06,21.26
126,04/29/06 08:06:00 PM,27.96,21.26
127,04/29/06 08:07:00 PM,28.88,21.26
128,04/29/06 08:08:00 PM,29.62,21.26
129,04/29/06 08:09:00 PM,29.62,21.26
130,04/29/06 08:10:00 PM,28.33,21.26
131,04/29/06 08:11:00 PM,27.24,21.08
132,04/29/06 08:12:00 PM,26.34,21.08
133,04/29/06 08:13:00 PM,25.8,20.91
134,04/29/06 08:14:00 PM,25.27,21.08
135,04/29/06 08:15:00 PM,24.74,21.08
136,04/29/06 08:16:00 PM,25.09,20.91
137,04/29/06 08:17:00 PM,25.8,20.91
138,04/29/06 08:18:00 PM,26.7,20.91
139,04/29/06 08:19:00 PM,27.42,20.91
140,04/29/06 08:20:00 PM,27.78,20.74
141,04/29/06 08:21:00 PM,27.96,20.74
142,04/29/06 08:22:00 PM,27.96,20.91
143,04/29/06 08:23:00 PM,27.96,20.74
144,04/29/06 08:24:00 PM,27.78,20.74
145,04/29/06 08:25:00 PM,27.6,20.74
146,04/29/06 08:26:00 PM,27.6,20.74
147,04/29/06 08:27:00 PM,27.42,20.74
148,04/29/06 08:28:00 PM,27.42,20.57
149,04/29/06 08:29:00 PM,27.42,20.74
150,04/29/06 08:30:00 PM,27.6,20.74
151,04/29/06 08:31:00 PM,27.6,20.74
152,04/29/06 08:32:00 PM,27.78,20.74
153,04/29/06 08:33:00 PM,27.96,20.74
154,04/29/06 08:34:00 PM,27.96,20.57
155,04/29/06 08:35:00 PM,27.96,20.57
156,04/29/06 08:36:00 PM,27.96,20.57
157,04/29/06 08:37:00 PM,29.44,20.57
158,04/29/06 08:38:00 PM,30.0,20.57
159,04/29/06 08:39:00 PM,30.37,20.57
160,04/29/06 08:40:00 PM,30.56,20.57
161,04/29/06 08:41:00 PM,30.56,20.57
162,04/29/06 08:42:00 PM,30.75,20.57
163,04/29/06 08:43:00 PM,30.75,20.57
164,04/29/06 08:44:00 PM,30.56,20.57
165,04/29/06 08:45:00 PM,29.44,20.57
166,04/29/06 08:46:00 PM,28.88,20.57
167,04/29/06 08:47:00 PM,28.7,20.57
168,04/29/06 08:48:00 PM,28.7,20.4
169,04/29/06 08:49:00 PM,28.51,20.4
170,04/29/06 08:50:00 PM,28.51,20.4
171,04/29/06 08:51:00 PM,28.51,20.4
172,04/29/06 08:52:00 PM,28.51,20.4
173,04/29/06 08:53:00 PM,28.51,20.4
174,04/29/06 08:54:00 PM,28.33,20.23
175,04/29/06 08:55:00 PM,28.33,20.23
176,04/29/06 08:56:00 PM,28.15,20.23
177,04/29/06 08:57:00 PM,28.15,20.23
178,04/29/06 08:58:00 PM,28.15,20.06
179,04/29/06 08:59:00 PM,28.33,20.23
180,04/29/06 09:00:00 PM,28.33,20.06
181,04/29/06 09:01:00 PM,28.33,20.06
182,04/29/06 09:02:00 PM,28.51,20.06
183,04/29/06 09:03:00 PM,28.51,20.06
184,04/29/06 09:04:00 PM,28.51,20.06
185,04/29/06 09:05:00 PM,28.51,20.06
186,04/29/06 09:06:00 PM,28.51,20.06
187,04/29/06 09:07:00 PM,28.7,20.06
188,04/29/06 09:08:00 PM,28.7,20.06
189,04/29/06 09:09:00 PM,28.51,20.06
190,04/29/06 09:10:00 PM,28.15,20.06
191,04/29/06 09:11:00 PM,27.96,20.06
192,04/29/06 09:12:00 PM,27.96,20.06
193,04/29/06 09:13:00 PM,27.78,20.06
194,04/29/06 09:14:00 PM,27.6,20.06
195,04/29/06 09:15:00 PM,27.42,19.89
196,04/29/06 09:16:00 PM,27.42,19.89
197,04/29/06 09:17:00 PM,27.42,19.89
198,04/29/06 09:18:00 PM,27.42,19.89
199,04/29/06 09:19:00 PM,27.42,20.06
200,04/29/06 09:20:00 PM,27.42,19.89
201,04/29/06 09:21:00 PM,27.24,19.89
202,04/29/06 09:22:00 PM,27.24,19.89
203,04/29/06 09:23:00 PM,27.24,19.89
204,04/29/06 09:24:00 PM,27.06,19.89
205,04/29/06 09:25:00 PM,27.06,19.89
206,04/29/06 09:26:00 PM,27.06,19.89
207,04/29/06 09:27:00 PM,27.06,19.72
