#,date,tempe,ambient
1,05/14/06 08:01:00 PM,37.71,25.09
2,05/14/06 08:02:00 PM,37.08,25.09
3,05/14/06 08:03:00 PM,37.92,25.09
4,05/14/06 08:04:00 PM,38.35,24.91
5,05/14/06 08:05:00 PM,38.14,24.91
6,05/14/06 08:06:00 PM,38.14,24.91
7,05/14/06 08:07:00 PM,38.35,24.91
8,05/14/06 08:08:00 PM,37.71,24.91
9,05/14/06 08:09:00 PM,38.14,24.74
10,05/14/06 08:10:00 PM,37.71,24.74
11,05/14/06 08:11:00 PM,38.56,24.74
12,05/14/06 08:12:00 PM,38.99,24.74
13,05/14/06 08:13:00 PM,39.43,24.74
14,05/14/06 08:14:00 PM,33.84,24.74
15,05/14/06 08:15:00 PM,35.64,24.74
16,05/14/06 08:16:00 PM,36.26,24.74
17,05/14/06 08:17:00 PM,36.26,24.74
18,05/14/06 08:18:00 PM,35.03,24.74
19,05/14/06 08:19:00 PM,32.66,24.56
20,05/14/06 08:20:00 PM,30.94,24.56
21,05/14/06 08:21:00 PM,29.62,24.56
22,05/14/06 08:22:00 PM,28.7,24.56
23,05/14/06 08:23:00 PM,28.15,24.56
24,05/14/06 08:24:00 PM,29.07,24.56
25,05/14/06 08:25:00 PM,33.25,24.38
26,05/14/06 08:26:00 PM,35.85,24.56
27,05/14/06 08:27:00 PM,36.67,24.56
28,05/14/06 08:28:00 PM,37.08,24.38
29,05/14/06 08:29:00 PM,37.5,24.38
30,05/14/06 08:30:00 PM,37.71,24.38
31,05/14/06 08:31:00 PM,37.92,24.38
32,05/14/06 08:32:00 PM,36.26,24.38
33,05/14/06 08:33:00 PM,32.66,24.38
34,05/14/06 08:34:00 PM,30.56,24.38
35,05/14/06 08:35:00 PM,29.62,24.38
36,05/14/06 08:36:00 PM,29.07,24.21
37,05/14/06 08:37:00 PM,28.33,24.21
38,05/14/06 08:38:00 PM,27.96,24.21
39,05/14/06 08:39:00 PM,27.42,24.21
40,05/14/06 08:40:00 PM,31.13,24.21
41,05/14/06 08:41:00 PM,36.05,24.21
42,05/14/06 08:42:00 PM,37.5,24.03
43,05/14/06 08:43:00 PM,36.46,24.03
44,05/14/06 08:44:00 PM,36.88,24.03
45,05/14/06 08:45:00 PM,37.29,24.03
46,05/14/06 08:46:00 PM,37.29,24.03
47,05/14/06 08:47:00 PM,37.5,24.03
48,05/14/06 08:48:00 PM,37.5,24.03
49,05/14/06 08:49:00 PM,37.5,24.03
50,05/14/06 08:50:00 PM,37.5,24.03
51,05/14/06 08:51:00 PM,37.08,23.86
52,05/14/06 08:52:00 PM,33.25,23.86
53,05/14/06 08:53:00 PM,30.56,23.86
54,05/14/06 08:54:00 PM,32.08,23.86
55,05/14/06 08:55:00 PM,34.63,23.68
56,05/14/06 08:56:00 PM,36.26,23.68
57,05/14/06 08:57:00 PM,36.67,23.68
58,05/14/06 08:58:00 PM,37.08,23.51
59,05/14/06 08:59:00 PM,37.08,23.51
60,05/14/06 09:00:00 PM,37.29,23.68
61,05/14/06 09:01:00 PM,35.64,23.51
62,05/14/06 09:02:00 PM,35.44,23.51
63,05/14/06 09:03:00 PM,36.26,23.51
64,05/14/06 09:04:00 PM,36.46,23.51
65,05/14/06 09:05:00 PM,36.67,23.51
66,05/14/06 09:06:00 PM,36.46,23.51
67,05/14/06 09:07:00 PM,36.67,23.51
68,05/14/06 09:08:00 PM,36.88,23.51
69,05/14/06 09:09:00 PM,37.08,23.51
70,05/14/06 09:10:00 PM,37.08,23.51
71,05/14/06 09:11:00 PM,36.05,23.51
72,05/14/06 09:12:00 PM,36.88,23.51
73,05/14/06 09:13:00 PM,37.08,23.51
74,05/14/06 09:14:00 PM,35.85,23.33
75,05/14/06 09:15:00 PM,36.67,23.33
76,05/14/06 09:16:00 PM,37.08,23.33
77,05/14/06 09:17:00 PM,37.29,23.33
78,05/14/06 09:18:00 PM,37.29,23.33
79,05/14/06 09:19:00 PM,37.29,23.16
80,05/14/06 09:20:00 PM,37.29,23.16
81,05/14/06 09:21:00 PM,37.29,23.16
82,05/14/06 09:22:00 PM,36.88,23.16
83,05/14/06 09:23:00 PM,37.08,23.16
84,05/14/06 09:24:00 PM,36.67,23.16
85,05/14/06 09:25:00 PM,35.85,23.16
86,05/14/06 09:26:00 PM,35.44,23.16
87,05/14/06 09:27:00 PM,35.64,23.16
88,05/14/06 09:28:00 PM,35.24,23.16
89,05/14/06 09:29:00 PM,36.05,23.16
90,05/14/06 09:30:00 PM,36.46,23.16
91,05/14/06 09:31:00 PM,36.67,22.98
92,05/14/06 09:32:00 PM,36.67,22.98
93,05/14/06 09:33:00 PM,36.46,22.98
94,05/14/06 09:34:00 PM,36.67,22.98
95,05/14/06 09:35:00 PM,36.67,22.98
96,05/14/06 09:36:00 PM,36.46,22.98
97,05/14/06 09:37:00 PM,36.67,22.81
98,05/14/06 09:38:00 PM,37.29,22.81
99,05/14/06 09:39:00 PM,37.71,22.81
100,05/14/06 09:40:00 PM,36.26,22.81
101,05/14/06 09:41:00 PM,36.67,22.81
102,05/14/06 09:42:00 PM,37.08,22.81
103,05/14/06 09:43:00 PM,36.46,22.81
104,05/14/06 09:44:00 PM,37.08,22.81
105,05/14/06 09:45:00 PM,36.88,22.81
106,05/14/06 09:46:00 PM,37.29,22.81
107,05/14/06 09:47:00 PM,37.5,22.81
108,05/14/06 09:48:00 PM,37.08,22.81
109,05/14/06 09:49:00 PM,37.29,22.81
