#,date,tempe,ambient
1,03/26/06 09:01:00 AM,30.75,11.63
2,03/26/06 09:02:00 AM,30.75,11.63
3,03/26/06 09:03:00 AM,30.75,11.63
4,03/26/06 09:04:00 AM,30.75,11.8
5,03/26/06 09:05:00 AM,30.18,11.8
6,03/26/06 09:06:00 AM,30.0,11.8
7,03/26/06 09:07:00 AM,30.0,12.13
8,03/26/06 09:08:00 AM,30.18,12.3
9,03/26/06 09:09:00 AM,30.18,12.47
10,03/26/06 09:10:00 AM,30.0,12.64
11,03/26/06 09:11:00 AM,29.25,12.64
12,03/26/06 09:12:00 AM,28.51,12.81
13,03/26/06 09:13:00 AM,27.24,12.98
14,03/26/06 09:14:00 AM,26.16,12.98
15,03/26/06 09:15:00 AM,26.34,12.98
16,03/26/06 09:16:00 AM,28.51,13.31
17,03/26/06 09:17:00 AM,30.18,13.31
18,03/26/06 09:18:00 AM,31.32,13.65
19,03/26/06 09:19:00 AM,32.28,13.81
20,03/26/06 09:20:00 AM,32.86,13.81
21,03/26/06 09:21:00 AM,33.05,13.81
22,03/26/06 09:22:00 AM,33.64,13.81
23,03/26/06 09:23:00 AM,33.84,13.81
24,03/26/06 09:24:00 AM,34.04,13.98
25,03/26/06 09:25:00 AM,33.84,14.15
26,03/26/06 09:26:00 AM,33.44,14.49
27,03/26/06 09:27:00 AM,33.84,14.49
28,03/26/06 09:28:00 AM,33.84,14.32
29,03/26/06 09:29:00 AM,33.05,14.15
30,03/26/06 09:30:00 AM,33.25,13.98
31,03/26/06 09:31:00 AM,30.18,13.98
32,03/26/06 09:32:00 AM,27.42,14.15
33,03/26/06 09:33:00 AM,26.16,13.98
34,03/26/06 09:34:00 AM,25.44,13.98
35,03/26/06 09:35:00 AM,25.09,13.81
36,03/26/06 09:36:00 AM,26.16,13.81
37,03/26/06 09:37:00 AM,29.44,13.98
38,03/26/06 09:38:00 AM,31.13,14.15
39,03/26/06 09:39:00 AM,32.08,14.32
40,03/26/06 09:40:00 AM,32.86,14.82
41,03/26/06 09:41:00 AM,33.25,15.16
42,03/26/06 09:42:00 AM,33.44,15.33
43,03/26/06 09:43:00 AM,33.64,15.49
44,03/26/06 09:44:00 AM,33.64,15.49
45,03/26/06 09:45:00 AM,33.64,15.83
46,03/26/06 09:46:00 AM,33.64,16.0
47,03/26/06 09:47:00 AM,33.25,16.17
48,03/26/06 09:48:00 AM,29.62,16.17
49,03/26/06 09:49:00 AM,26.52,16.5
50,03/26/06 09:50:00 AM,26.52,17.01
51,03/26/06 09:51:00 AM,26.88,16.84
52,03/26/06 09:52:00 AM,27.06,16.84
53,03/26/06 09:53:00 AM,27.42,16.67
54,03/26/06 09:54:00 AM,27.6,16.5
55,03/26/06 09:55:00 AM,27.96,16.33
56,03/26/06 09:56:00 AM,28.15,16.17
57,03/26/06 09:57:00 AM,29.44,16.33
58,03/26/06 09:58:00 AM,30.56,16.67
59,03/26/06 09:59:00 AM,31.13,16.84
60,03/26/06 10:00:00 AM,31.51,16.84
61,03/26/06 10:01:00 AM,31.51,16.67
62,03/26/06 10:02:00 AM,30.37,17.01
63,03/26/06 10:03:00 AM,29.07,16.67
64,03/26/06 10:04:00 AM,28.33,16.84
65,03/26/06 10:05:00 AM,27.6,16.5
66,03/26/06 10:06:00 AM,26.52,15.83
67,03/26/06 10:07:00 AM,25.44,15.66
68,03/26/06 10:08:00 AM,24.56,15.66
69,03/26/06 10:09:00 AM,23.86,15.83
70,03/26/06 10:10:00 AM,24.03,16.17
71,03/26/06 10:11:00 AM,26.34,16.5
72,03/26/06 10:12:00 AM,28.7,16.84
73,03/26/06 10:13:00 AM,30.37,16.67
74,03/26/06 10:14:00 AM,31.51,16.67
75,03/26/06 10:15:00 AM,32.47,17.18
76,03/26/06 10:16:00 AM,32.86,17.18
77,03/26/06 10:17:00 AM,33.25,17.01
78,03/26/06 10:18:00 AM,33.25,16.67
79,03/26/06 10:19:00 AM,33.05,16.5
80,03/26/06 10:20:00 AM,33.44,16.84
81,03/26/06 10:21:00 AM,33.64,16.84
82,03/26/06 10:22:00 AM,33.05,16.5
83,03/26/06 10:23:00 AM,32.47,16.0
84,03/26/06 10:24:00 AM,32.28,15.83
85,03/26/06 10:25:00 AM,31.51,15.49
86,03/26/06 10:26:00 AM,31.51,15.49
87,03/26/06 10:27:00 AM,29.62,15.33
88,03/26/06 10:28:00 AM,27.96,15.33
89,03/26/06 10:29:00 AM,26.88,15.49
90,03/26/06 10:30:00 AM,27.6,15.66
91,03/26/06 10:31:00 AM,28.33,15.66
92,03/26/06 10:32:00 AM,27.78,15.33
93,03/26/06 10:33:00 AM,25.62,14.99
94,03/26/06 10:34:00 AM,26.52,15.16
95,03/26/06 10:35:00 AM,27.42,15.49
96,03/26/06 10:36:00 AM,28.15,15.83
97,03/26/06 10:37:00 AM,28.51,16.33
98,03/26/06 10:38:00 AM,28.88,16.67
99,03/26/06 10:39:00 AM,28.33,17.01
100,03/26/06 10:40:00 AM,29.25,16.84
101,03/26/06 10:41:00 AM,31.13,16.84
102,03/26/06 10:42:00 AM,31.32,17.01
103,03/26/06 10:43:00 AM,31.89,16.84
104,03/26/06 10:44:00 AM,32.08,16.33
105,03/26/06 10:45:00 AM,32.28,16.5
106,03/26/06 10:46:00 AM,31.51,16.5
107,03/26/06 10:47:00 AM,32.86,16.5
108,03/26/06 10:48:00 AM,34.04,16.84
109,03/26/06 10:49:00 AM,34.63,16.67
110,03/26/06 10:50:00 AM,34.83,16.84
111,03/26/06 10:51:00 AM,34.43,16.84
112,03/26/06 10:52:00 AM,34.63,16.84
113,03/26/06 10:53:00 AM,34.63,17.18
114,03/26/06 10:54:00 AM,34.43,17.18
115,03/26/06 10:55:00 AM,31.13,16.67
116,03/26/06 10:56:00 AM,29.62,16.33
117,03/26/06 10:57:00 AM,28.7,16.5
118,03/26/06 10:58:00 AM,28.51,16.67
119,03/26/06 10:59:00 AM,29.07,16.67
120,03/26/06 11:00:00 AM,30.56,16.67
121,03/26/06 11:01:00 AM,31.7,17.35
122,03/26/06 11:02:00 AM,32.66,17.68
123,03/26/06 11:03:00 AM,31.89,17.51
124,03/26/06 11:04:00 AM,31.89,17.35
125,03/26/06 11:05:00 AM,32.28,17.51
126,03/26/06 11:06:00 AM,32.47,17.85
127,03/26/06 11:07:00 AM,32.66,18.19
128,03/26/06 11:08:00 AM,32.47,18.36
129,03/26/06 11:09:00 AM,31.51,17.68
130,03/26/06 11:10:00 AM,30.75,17.18
131,03/26/06 11:11:00 AM,32.28,17.01
132,03/26/06 11:12:00 AM,31.13,16.84
133,03/26/06 11:13:00 AM,30.56,16.84
134,03/26/06 11:14:00 AM,30.75,17.01
135,03/26/06 11:15:00 AM,30.94,17.51
136,03/26/06 11:16:00 AM,30.94,17.68
137,03/26/06 11:17:00 AM,30.37,17.35
138,03/26/06 11:18:00 AM,30.75,17.35
139,03/26/06 11:19:00 AM,30.94,17.35
140,03/26/06 11:20:00 AM,31.13,17.85
141,03/26/06 11:21:00 AM,31.32,18.02
142,03/26/06 11:22:00 AM,31.13,18.02
143,03/26/06 11:23:00 AM,30.75,17.85
144,03/26/06 11:24:00 AM,30.75,17.35
145,03/26/06 11:25:00 AM,30.56,17.51
146,03/26/06 11:26:00 AM,30.18,17.85
147,03/26/06 11:27:00 AM,30.18,18.19
148,03/26/06 11:28:00 AM,31.7,18.19
149,03/26/06 11:29:00 AM,32.66,18.36
150,03/26/06 11:30:00 AM,33.44,18.87
151,03/26/06 11:31:00 AM,33.44,18.53
152,03/26/06 11:32:00 AM,33.84,18.87
153,03/26/06 11:33:00 AM,34.23,19.21
154,03/26/06 11:34:00 AM,33.05,18.7
155,03/26/06 11:35:00 AM,32.08,18.02
156,03/26/06 11:36:00 AM,32.28,17.68
157,03/26/06 11:37:00 AM,31.7,17.35
158,03/26/06 11:38:00 AM,32.28,17.51
159,03/26/06 11:39:00 AM,32.86,17.85
160,03/26/06 11:40:00 AM,33.44,18.36
161,03/26/06 11:41:00 AM,33.84,18.53
162,03/26/06 11:42:00 AM,34.23,18.87
163,03/26/06 11:43:00 AM,34.23,19.04
164,03/26/06 11:44:00 AM,33.84,18.87
