#,date,tempe,ambient
1,05/10/06 09:01:01 PM,33.05,26.7
2,05/10/06 09:02:01 PM,33.05,26.7
3,05/10/06 09:03:01 PM,33.05,26.7
4,05/10/06 09:04:01 PM,33.05,26.7
5,05/10/06 09:05:01 PM,33.05,26.7
6,05/10/06 09:06:01 PM,32.86,26.7
7,05/10/06 09:07:01 PM,32.86,26.7
8,05/10/06 09:08:01 PM,32.86,26.7
9,05/10/06 09:09:01 PM,32.86,26.7
10,05/10/06 09:10:01 PM,32.86,26.7
11,05/10/06 09:11:01 PM,32.86,26.7
12,05/10/06 09:12:01 PM,32.86,26.7
13,05/10/06 09:13:01 PM,32.86,26.7
14,05/10/06 09:14:01 PM,32.66,26.7
15,05/10/06 09:15:01 PM,32.66,26.7
16,05/10/06 09:16:01 PM,32.66,26.7
17,05/10/06 09:17:01 PM,32.66,26.7
18,05/10/06 09:18:01 PM,32.66,26.7
19,05/10/06 09:19:01 PM,32.47,26.7
20,05/10/06 09:20:01 PM,32.47,26.7
21,05/10/06 09:21:01 PM,32.66,26.7
22,05/10/06 09:22:01 PM,32.66,26.52
23,05/10/06 09:23:01 PM,32.86,26.52
24,05/10/06 09:24:01 PM,32.86,26.52
25,05/10/06 09:25:01 PM,32.86,26.52
26,05/10/06 09:26:01 PM,32.86,26.52
27,05/10/06 09:27:01 PM,32.86,26.52
28,05/10/06 09:28:01 PM,32.86,26.52
29,05/10/06 09:29:01 PM,32.86,26.52
30,05/10/06 09:30:01 PM,32.86,26.52
31,05/10/06 09:31:01 PM,32.86,26.52
32,05/10/06 09:32:01 PM,32.86,26.52
33,05/10/06 09:33:01 PM,33.05,26.52
34,05/10/06 09:34:01 PM,33.05,26.52
35,05/10/06 09:35:01 PM,33.05,26.52
36,05/10/06 09:36:01 PM,33.05,26.52
37,05/10/06 09:37:01 PM,33.05,26.34
38,05/10/06 09:38:01 PM,33.05,26.34
39,05/10/06 09:39:01 PM,33.05,26.34
40,05/10/06 09:40:01 PM,33.05,26.34
41,05/10/06 09:41:01 PM,33.05,26.16
42,05/10/06 09:42:01 PM,32.86,26.16
43,05/10/06 09:43:01 PM,32.86,26.16
44,05/10/06 09:44:01 PM,32.86,26.16
45,05/10/06 09:45:01 PM,32.86,26.16
46,05/10/06 09:46:01 PM,32.86,26.16
47,05/10/06 09:47:01 PM,32.86,26.16
48,05/10/06 09:48:01 PM,32.86,26.16
49,05/10/06 09:49:01 PM,32.86,26.16
50,05/10/06 09:50:01 PM,32.86,26.16
51,05/10/06 09:51:01 PM,32.86,26.16
52,05/10/06 09:52:01 PM,32.86,26.16
53,05/10/06 09:53:01 PM,32.86,26.16
54,05/10/06 09:54:01 PM,32.86,26.16
55,05/10/06 09:55:01 PM,32.86,26.16
56,05/10/06 09:56:01 PM,32.86,26.16
57,05/10/06 09:57:01 PM,32.86,26.16
58,05/10/06 09:58:01 PM,32.86,26.16
59,05/10/06 09:59:01 PM,32.86,25.98
60,05/10/06 10:00:01 PM,34.43,25.98
61,05/10/06 10:01:01 PM,36.67,25.98
62,05/10/06 10:02:01 PM,37.5,25.98
63,05/10/06 10:03:01 PM,37.71,25.98
64,05/10/06 10:04:01 PM,37.92,25.98
65,05/10/06 10:05:01 PM,37.92,25.98
66,05/10/06 10:06:01 PM,38.14,25.98
67,05/10/06 10:07:01 PM,38.14,25.98
68,05/10/06 10:08:01 PM,38.14,25.98
69,05/10/06 10:09:01 PM,38.14,25.98
70,05/10/06 10:10:01 PM,38.14,25.98
71,05/10/06 10:11:01 PM,38.14,25.98
72,05/10/06 10:12:01 PM,38.14,25.98
73,05/10/06 10:13:01 PM,38.14,25.8
74,05/10/06 10:14:01 PM,38.14,25.8
75,05/10/06 10:15:01 PM,38.14,25.8
76,05/10/06 10:16:01 PM,38.14,25.8
77,05/10/06 10:17:01 PM,37.71,25.8
78,05/10/06 10:18:01 PM,37.71,25.8
79,05/10/06 10:19:01 PM,37.71,25.8
80,05/10/06 10:20:01 PM,37.71,25.8
81,05/10/06 10:21:01 PM,37.71,25.8
82,05/10/06 10:22:01 PM,37.71,25.62
83,05/10/06 10:23:01 PM,37.71,25.62
84,05/10/06 10:24:01 PM,37.92,25.62
85,05/10/06 10:25:01 PM,37.92,25.62
86,05/10/06 10:26:01 PM,37.92,25.62
87,05/10/06 10:27:01 PM,37.92,25.62
88,05/10/06 10:28:01 PM,37.92,25.62
89,05/10/06 10:29:01 PM,37.92,25.62
90,05/10/06 10:30:01 PM,37.92,25.62
91,05/10/06 10:31:01 PM,37.92,25.62
92,05/10/06 10:32:01 PM,37.92,25.62
93,05/10/06 10:33:01 PM,37.92,25.62
94,05/10/06 10:34:01 PM,37.92,25.62
