#,date,tempe,ambient
1,06/28/06 09:01:00 PM,29.81,24.38
2,06/28/06 09:02:00 PM,30.18,24.38
3,06/28/06 09:03:00 PM,30.18,24.38
4,06/28/06 09:04:00 PM,30.18,24.38
5,06/28/06 09:05:00 PM,30.37,24.38
6,06/28/06 09:06:00 PM,30.37,24.38
7,06/28/06 09:07:00 PM,30.37,24.38
8,06/28/06 09:08:00 PM,30.37,24.21
9,06/28/06 09:09:00 PM,30.37,24.21
10,06/28/06 09:10:00 PM,30.37,24.21
11,06/28/06 09:11:00 PM,30.37,24.21
12,06/28/06 09:12:00 PM,30.37,24.21
13,06/28/06 09:13:00 PM,30.18,24.21
14,06/28/06 09:14:00 PM,30.0,24.21
15,06/28/06 09:15:00 PM,29.81,24.21
16,06/28/06 09:16:00 PM,29.81,24.21
17,06/28/06 09:17:00 PM,30.0,24.21
18,06/28/06 09:18:00 PM,30.0,24.21
19,06/28/06 09:19:00 PM,30.0,24.21
20,06/28/06 09:20:00 PM,29.81,24.21
21,06/28/06 09:21:00 PM,30.0,24.21
22,06/28/06 09:22:00 PM,30.0,24.03
23,06/28/06 09:23:00 PM,30.0,24.03
24,06/28/06 09:24:00 PM,30.0,24.03
25,06/28/06 09:25:00 PM,29.81,24.03
26,06/28/06 09:26:00 PM,29.62,24.03
27,06/28/06 09:27:00 PM,29.62,24.03
28,06/28/06 09:28:00 PM,29.44,24.03
29,06/28/06 09:29:00 PM,29.44,23.86
30,06/28/06 09:30:00 PM,29.62,24.03
31,06/28/06 09:31:00 PM,29.44,24.03
32,06/28/06 09:32:00 PM,29.44,23.86
33,06/28/06 09:33:00 PM,29.44,24.03
34,06/28/06 09:34:00 PM,29.44,24.03
35,06/28/06 09:35:00 PM,29.25,24.03
36,06/28/06 09:36:00 PM,29.25,24.21
37,06/28/06 09:37:00 PM,29.25,24.21
38,06/28/06 09:38:00 PM,29.07,24.03
39,06/28/06 09:39:00 PM,29.07,24.21
40,06/28/06 09:40:00 PM,29.07,24.21
41,06/28/06 09:41:00 PM,29.07,24.21
42,06/28/06 09:42:00 PM,28.88,24.21
43,06/28/06 09:43:00 PM,28.88,24.21
44,06/28/06 09:44:00 PM,28.7,24.21
45,06/28/06 09:45:00 PM,28.7,24.21
46,06/28/06 09:46:00 PM,28.51,24.21
47,06/28/06 09:47:00 PM,28.33,24.03
48,06/28/06 09:48:00 PM,28.33,24.03
49,06/28/06 09:49:00 PM,28.33,24.03
50,06/28/06 09:50:00 PM,28.33,24.03
51,06/28/06 09:51:00 PM,28.33,24.03
52,06/28/06 09:52:00 PM,28.33,24.03
53,06/28/06 09:53:00 PM,28.33,24.03
54,06/28/06 09:54:00 PM,28.33,24.03
55,06/28/06 09:55:00 PM,28.51,24.03
56,06/28/06 09:56:00 PM,28.51,23.86
57,06/28/06 09:57:00 PM,28.51,23.86
58,06/28/06 09:58:00 PM,28.7,23.86
59,06/28/06 09:59:00 PM,28.7,23.86
60,06/28/06 10:00:00 PM,28.7,24.03
61,06/28/06 10:01:00 PM,28.88,24.03
62,06/28/06 10:02:00 PM,28.88,24.03
63,06/28/06 10:03:00 PM,28.88,23.86
64,06/28/06 10:04:00 PM,28.88,23.86
65,06/28/06 10:05:00 PM,29.07,23.86
66,06/28/06 10:06:00 PM,29.07,23.86
67,06/28/06 10:07:00 PM,29.07,23.86
68,06/28/06 10:08:00 PM,29.25,23.86
69,06/28/06 10:09:00 PM,29.25,23.86
70,06/28/06 10:10:00 PM,29.25,23.86
71,06/28/06 10:11:00 PM,29.25,23.86
72,06/28/06 10:12:00 PM,29.25,23.86
73,06/28/06 10:13:00 PM,29.25,23.68
74,06/28/06 10:14:00 PM,29.07,23.68
75,06/28/06 10:15:00 PM,29.25,23.86
76,06/28/06 10:16:00 PM,29.25,23.86
77,06/28/06 10:17:00 PM,29.07,23.86
78,06/28/06 10:18:00 PM,29.07,23.68
79,06/28/06 10:19:00 PM,29.07,23.86
80,06/28/06 10:20:00 PM,29.07,23.68
81,06/28/06 10:21:00 PM,29.07,23.68
82,06/28/06 10:22:00 PM,29.07,23.68
83,06/28/06 10:23:00 PM,29.07,23.86
84,06/28/06 10:24:00 PM,29.07,23.68
85,06/28/06 10:25:00 PM,29.07,23.68
86,06/28/06 10:26:00 PM,29.07,23.68
87,06/28/06 10:27:00 PM,29.07,23.68
88,06/28/06 10:28:00 PM,29.07,23.68
89,06/28/06 10:29:00 PM,29.07,23.68
90,06/28/06 10:30:00 PM,29.07,23.68
91,06/28/06 10:31:00 PM,29.07,23.68
92,06/28/06 10:32:00 PM,29.07,23.68
93,06/28/06 10:33:00 PM,29.07,23.68
94,06/28/06 10:34:00 PM,29.07,23.68
95,06/28/06 10:35:00 PM,29.07,23.68
96,06/28/06 10:36:00 PM,29.07,23.68
97,06/28/06 10:37:00 PM,28.88,23.51
98,06/28/06 10:38:00 PM,29.07,23.68
99,06/28/06 10:39:00 PM,28.88,23.68
100,06/28/06 10:40:00 PM,28.88,23.68
101,06/28/06 10:41:00 PM,28.88,23.51
102,06/28/06 10:42:00 PM,28.88,23.68
103,06/28/06 10:43:00 PM,28.88,23.68
104,06/28/06 10:44:00 PM,28.88,23.51
105,06/28/06 10:45:00 PM,28.88,23.68
106,06/28/06 10:46:00 PM,28.88,23.68
107,06/28/06 10:47:00 PM,28.7,23.68
108,06/28/06 10:48:00 PM,28.51,23.68
109,06/28/06 10:49:00 PM,28.33,23.68
110,06/28/06 10:50:00 PM,28.33,23.68
111,06/28/06 10:51:00 PM,28.33,23.68
112,06/28/06 10:52:00 PM,28.33,23.51
113,06/28/06 10:53:00 PM,28.51,23.51
114,06/28/06 10:54:00 PM,28.33,23.51
115,06/28/06 10:55:00 PM,28.33,23.51
116,06/28/06 10:56:00 PM,28.51,23.51
117,06/28/06 10:57:00 PM,28.51,23.51
118,06/28/06 10:58:00 PM,28.7,23.33
119,06/28/06 10:59:00 PM,28.88,23.33
120,06/28/06 11:00:00 PM,29.07,23.33
121,06/28/06 11:01:00 PM,29.25,23.51
122,06/28/06 11:02:00 PM,29.44,23.33
123,06/28/06 11:03:00 PM,29.44,23.33
124,06/28/06 11:04:00 PM,29.44,23.33
125,06/28/06 11:05:00 PM,29.44,23.51
126,06/28/06 11:06:00 PM,29.44,23.33
127,06/28/06 11:07:00 PM,29.44,23.33
128,06/28/06 11:08:00 PM,29.44,23.33
129,06/28/06 11:09:00 PM,29.44,23.33
130,06/28/06 11:10:00 PM,29.44,23.51
131,06/28/06 11:11:00 PM,29.44,23.51
132,06/28/06 11:12:00 PM,29.44,23.51
133,06/28/06 11:13:00 PM,29.44,23.51
134,06/28/06 11:14:00 PM,29.44,23.51
135,06/28/06 11:15:00 PM,29.44,23.51
136,06/28/06 11:16:00 PM,29.44,23.51
137,06/28/06 11:17:00 PM,29.44,23.51
138,06/28/06 11:18:00 PM,29.44,23.51
139,06/28/06 11:19:00 PM,29.44,23.51
140,06/28/06 11:20:00 PM,29.44,23.51
141,06/28/06 11:21:00 PM,29.44,23.51
142,06/28/06 11:22:00 PM,29.44,23.51
143,06/28/06 11:23:00 PM,29.44,23.33
144,06/28/06 11:24:00 PM,29.25,23.33
145,06/28/06 11:25:00 PM,29.25,23.33
146,06/28/06 11:26:00 PM,29.07,23.33
147,06/28/06 11:27:00 PM,29.44,23.51
148,06/28/06 11:28:00 PM,29.44,23.51
149,06/28/06 11:29:00 PM,29.62,23.51
150,06/28/06 11:30:00 PM,29.62,23.33
151,06/28/06 11:31:00 PM,29.81,23.51
152,06/28/06 11:32:00 PM,29.81,23.51
153,06/28/06 11:33:00 PM,29.62,23.51
154,06/28/06 11:34:00 PM,29.62,23.51
155,06/28/06 11:35:00 PM,29.62,23.51
156,06/28/06 11:36:00 PM,29.62,23.51
157,06/28/06 11:37:00 PM,29.62,23.51
158,06/28/06 11:38:00 PM,29.81,23.51
159,06/28/06 11:39:00 PM,29.81,23.33
160,06/28/06 11:40:00 PM,29.62,23.33
161,06/28/06 11:41:00 PM,29.81,23.33
162,06/28/06 11:42:00 PM,29.81,23.51
163,06/28/06 11:43:00 PM,29.81,23.51
164,06/28/06 11:44:00 PM,29.81,23.51
