#,date,tempe,ambient
1,07/12/06 03:01:00 PM,37.71,24.21
2,07/12/06 03:02:00 PM,37.92,24.21
3,07/12/06 03:03:00 PM,37.29,24.21
4,07/12/06 03:04:00 PM,37.5,24.21
5,07/12/06 03:05:00 PM,34.43,24.38
6,07/12/06 03:06:00 PM,32.66,24.38
7,07/12/06 03:07:00 PM,31.32,24.38
8,07/12/06 03:08:00 PM,31.32,24.38
9,07/12/06 03:09:00 PM,31.32,24.38
10,07/12/06 03:10:00 PM,31.32,24.38
11,07/12/06 03:11:00 PM,31.13,24.38
12,07/12/06 03:12:00 PM,31.13,24.38
13,07/12/06 03:13:00 PM,30.94,24.38
14,07/12/06 03:14:00 PM,30.94,24.38
15,07/12/06 03:15:00 PM,30.75,24.38
16,07/12/06 03:16:00 PM,30.56,24.56
17,07/12/06 03:17:00 PM,30.56,24.56
18,07/12/06 03:18:00 PM,30.56,24.74
19,07/12/06 03:19:00 PM,30.56,24.91
20,07/12/06 03:20:00 PM,30.56,24.91
21,07/12/06 03:21:00 PM,30.56,24.91
22,07/12/06 03:22:00 PM,30.75,24.91
23,07/12/06 03:23:00 PM,30.75,25.09
24,07/12/06 03:24:00 PM,30.75,25.09
25,07/12/06 03:25:00 PM,30.18,24.91
26,07/12/06 03:26:00 PM,29.07,24.91
27,07/12/06 03:27:00 PM,28.15,24.91
28,07/12/06 03:28:00 PM,27.6,24.91
29,07/12/06 03:29:00 PM,27.06,24.91
30,07/12/06 03:30:00 PM,26.88,24.91
31,07/12/06 03:31:00 PM,26.7,24.91
32,07/12/06 03:32:00 PM,26.7,24.91
33,07/12/06 03:33:00 PM,27.6,24.91
34,07/12/06 03:34:00 PM,28.88,24.91
35,07/12/06 03:35:00 PM,29.25,24.91
36,07/12/06 03:36:00 PM,29.81,24.91
37,07/12/06 03:37:00 PM,30.18,24.91
38,07/12/06 03:38:00 PM,30.37,24.91
39,07/12/06 03:39:00 PM,30.37,24.91
40,07/12/06 03:40:00 PM,31.89,24.91
41,07/12/06 03:41:00 PM,33.44,24.91
42,07/12/06 03:42:00 PM,32.08,24.91
43,07/12/06 03:43:00 PM,31.13,25.09
44,07/12/06 03:44:00 PM,30.75,25.09
45,07/12/06 03:45:00 PM,30.37,25.09
46,07/12/06 03:46:00 PM,30.18,25.09
47,07/12/06 03:47:00 PM,30.0,25.09
48,07/12/06 03:48:00 PM,29.81,25.09
49,07/12/06 03:49:00 PM,30.18,25.27
50,07/12/06 03:50:00 PM,28.88,25.27
51,07/12/06 03:51:00 PM,28.15,25.27
52,07/12/06 03:52:00 PM,27.6,25.27
53,07/12/06 03:53:00 PM,27.24,25.27
54,07/12/06 03:54:00 PM,28.33,25.27
55,07/12/06 03:55:00 PM,28.33,25.27
56,07/12/06 03:56:00 PM,28.88,25.44
57,07/12/06 03:57:00 PM,29.44,25.44
58,07/12/06 03:58:00 PM,30.0,25.44
59,07/12/06 03:59:00 PM,30.37,25.44
60,07/12/06 04:00:00 PM,30.56,25.44
61,07/12/06 04:01:00 PM,30.75,25.44
62,07/12/06 04:02:00 PM,30.75,25.62
63,07/12/06 04:03:00 PM,30.56,25.62
64,07/12/06 04:04:00 PM,30.37,25.62
65,07/12/06 04:05:00 PM,31.51,25.62
66,07/12/06 04:06:00 PM,33.05,25.62
