#,date,tempe,ambient
1,03/25/06 12:01:00 PM,21.95,16.5
2,03/25/06 12:02:00 PM,21.95,16.84
3,03/25/06 12:03:00 PM,21.43,16.67
4,03/25/06 12:04:00 PM,21.6,16.84
5,03/25/06 12:05:00 PM,24.21,17.01
6,03/25/06 12:06:00 PM,25.8,16.84
7,03/25/06 12:07:00 PM,27.06,17.01
8,03/25/06 12:08:00 PM,27.06,17.01
9,03/25/06 12:09:00 PM,26.34,16.84
10,03/25/06 12:10:00 PM,26.7,16.67
11,03/25/06 12:11:00 PM,27.24,16.5
12,03/25/06 12:12:00 PM,27.42,16.67
13,03/25/06 12:13:00 PM,27.42,16.33
14,03/25/06 12:14:00 PM,27.96,16.17
15,03/25/06 12:15:00 PM,28.51,16.17
16,03/25/06 12:16:00 PM,28.7,16.33
17,03/25/06 12:17:00 PM,28.88,16.17
18,03/25/06 12:18:00 PM,29.25,16.17
19,03/25/06 12:19:00 PM,26.88,16.0
20,03/25/06 12:20:00 PM,25.98,16.17
21,03/25/06 12:21:00 PM,25.62,16.17
22,03/25/06 12:22:00 PM,24.56,16.0
23,03/25/06 12:23:00 PM,23.68,16.33
24,03/25/06 12:24:00 PM,23.16,16.33
25,03/25/06 12:25:00 PM,22.98,16.5
26,03/25/06 12:26:00 PM,22.98,16.84
27,03/25/06 12:27:00 PM,22.64,16.84
28,03/25/06 12:28:00 PM,21.77,16.67
29,03/25/06 12:29:00 PM,21.6,16.84
30,03/25/06 12:30:00 PM,21.6,16.5
31,03/25/06 12:31:00 PM,22.64,16.5
32,03/25/06 12:32:00 PM,23.86,16.67
33,03/25/06 12:33:00 PM,24.91,16.84
34,03/25/06 12:34:00 PM,25.98,17.18
35,03/25/06 12:35:00 PM,26.52,17.35
36,03/25/06 12:36:00 PM,27.42,17.18
37,03/25/06 12:37:00 PM,28.15,17.18
38,03/25/06 12:38:00 PM,28.51,16.84
39,03/25/06 12:39:00 PM,28.88,16.33
40,03/25/06 12:40:00 PM,29.25,16.17
41,03/25/06 12:41:00 PM,29.44,16.33
42,03/25/06 12:42:00 PM,29.44,16.67
43,03/25/06 12:43:00 PM,29.44,16.5
44,03/25/06 12:44:00 PM,29.62,16.84
45,03/25/06 12:45:00 PM,29.81,17.01
46,03/25/06 12:46:00 PM,29.81,17.35
47,03/25/06 12:47:00 PM,30.0,17.51
48,03/25/06 12:48:00 PM,29.81,17.18
49,03/25/06 12:49:00 PM,30.0,17.01
50,03/25/06 12:50:00 PM,30.0,17.35
51,03/25/06 12:51:00 PM,29.81,17.35
52,03/25/06 12:52:00 PM,29.62,17.51
53,03/25/06 12:53:00 PM,29.81,17.68
54,03/25/06 12:54:00 PM,30.18,17.35
55,03/25/06 12:55:00 PM,30.37,17.18
56,03/25/06 12:56:00 PM,30.56,17.18
57,03/25/06 12:57:00 PM,30.56,17.51
58,03/25/06 12:58:00 PM,30.56,17.51
59,03/25/06 12:59:00 PM,29.62,17.68
60,03/25/06 01:00:00 PM,27.96,17.68
61,03/25/06 01:01:00 PM,27.24,17.51
62,03/25/06 01:02:00 PM,27.96,17.51
63,03/25/06 01:03:00 PM,28.15,17.68
64,03/25/06 01:04:00 PM,29.25,17.51
65,03/25/06 01:05:00 PM,30.0,16.84
66,03/25/06 01:06:00 PM,30.56,16.84
67,03/25/06 01:07:00 PM,30.75,17.18
68,03/25/06 01:08:00 PM,29.07,17.18
69,03/25/06 01:09:00 PM,29.44,17.35
70,03/25/06 01:10:00 PM,29.81,17.01
71,03/25/06 01:11:00 PM,30.0,17.35
72,03/25/06 01:12:00 PM,28.33,17.18
73,03/25/06 01:13:00 PM,28.88,17.18
74,03/25/06 01:14:00 PM,29.25,17.51
75,03/25/06 01:15:00 PM,29.62,17.68
76,03/25/06 01:16:00 PM,30.0,17.51
77,03/25/06 01:17:00 PM,30.37,17.18
78,03/25/06 01:18:00 PM,30.0,16.67
79,03/25/06 01:19:00 PM,29.44,16.67
80,03/25/06 01:20:00 PM,30.0,16.67
81,03/25/06 01:21:00 PM,30.18,17.01
82,03/25/06 01:22:00 PM,30.37,17.35
83,03/25/06 01:23:00 PM,30.56,17.68
84,03/25/06 01:24:00 PM,30.56,17.85
85,03/25/06 01:25:00 PM,30.56,17.51
86,03/25/06 01:26:00 PM,30.94,17.18
87,03/25/06 01:27:00 PM,31.13,17.35
88,03/25/06 01:28:00 PM,29.44,17.51
89,03/25/06 01:29:00 PM,27.6,17.85
90,03/25/06 01:30:00 PM,25.98,18.02
91,03/25/06 01:31:00 PM,25.27,17.68
92,03/25/06 01:32:00 PM,24.56,17.85
93,03/25/06 01:33:00 PM,24.03,17.35
94,03/25/06 01:34:00 PM,23.51,17.51
95,03/25/06 01:35:00 PM,23.16,17.68
96,03/25/06 01:36:00 PM,22.98,17.51
97,03/25/06 01:37:00 PM,22.81,17.68
98,03/25/06 01:38:00 PM,22.98,18.02
99,03/25/06 01:39:00 PM,25.44,18.02
100,03/25/06 01:40:00 PM,27.06,18.19
101,03/25/06 01:41:00 PM,27.42,18.19
102,03/25/06 01:42:00 PM,28.15,18.53
103,03/25/06 01:43:00 PM,27.96,18.53
104,03/25/06 01:44:00 PM,28.15,18.7
105,03/25/06 01:45:00 PM,28.33,18.7
106,03/25/06 01:46:00 PM,28.7,18.36
107,03/25/06 01:47:00 PM,29.07,18.02
108,03/25/06 01:48:00 PM,29.44,17.68
109,03/25/06 01:49:00 PM,28.7,17.85
110,03/25/06 01:50:00 PM,29.07,18.02
111,03/25/06 01:51:00 PM,29.25,17.85
112,03/25/06 01:52:00 PM,29.44,18.02
113,03/25/06 01:53:00 PM,29.44,18.19
114,03/25/06 01:54:00 PM,29.62,18.36
115,03/25/06 01:55:00 PM,29.62,18.53
116,03/25/06 01:56:00 PM,29.81,18.19
117,03/25/06 01:57:00 PM,29.81,17.68
118,03/25/06 01:58:00 PM,29.81,17.68
119,03/25/06 01:59:00 PM,29.81,17.85
120,03/25/06 02:00:00 PM,29.25,18.19
121,03/25/06 02:01:00 PM,29.25,17.85
122,03/25/06 02:02:00 PM,29.44,18.02
123,03/25/06 02:03:00 PM,29.62,18.36
124,03/25/06 02:04:00 PM,29.62,18.53
125,03/25/06 02:05:00 PM,29.25,18.7
126,03/25/06 02:06:00 PM,29.25,18.7
127,03/25/06 02:07:00 PM,29.07,18.19
128,03/25/06 02:08:00 PM,29.62,18.19
129,03/25/06 02:09:00 PM,29.81,17.68
130,03/25/06 02:10:00 PM,30.18,17.85
131,03/25/06 02:11:00 PM,30.37,17.85
132,03/25/06 02:12:00 PM,30.37,17.85
133,03/25/06 02:13:00 PM,29.81,18.19
134,03/25/06 02:14:00 PM,30.0,18.36
135,03/25/06 02:15:00 PM,30.0,18.36
136,03/25/06 02:16:00 PM,30.18,18.02
137,03/25/06 02:17:00 PM,30.37,17.85
138,03/25/06 02:18:00 PM,29.81,17.85
139,03/25/06 02:19:00 PM,27.42,17.68
140,03/25/06 02:20:00 PM,25.8,17.68
141,03/25/06 02:21:00 PM,24.91,17.68
142,03/25/06 02:22:00 PM,24.74,18.02
143,03/25/06 02:23:00 PM,24.38,18.19
144,03/25/06 02:24:00 PM,24.03,18.36
145,03/25/06 02:25:00 PM,24.03,18.53
146,03/25/06 02:26:00 PM,23.86,18.53
147,03/25/06 02:27:00 PM,23.16,18.19
148,03/25/06 02:28:00 PM,23.16,18.19
149,03/25/06 02:29:00 PM,23.33,18.19
150,03/25/06 02:30:00 PM,24.21,18.36
151,03/25/06 02:31:00 PM,24.91,18.53
152,03/25/06 02:32:00 PM,25.62,18.7
153,03/25/06 02:33:00 PM,27.78,18.36
154,03/25/06 02:34:00 PM,27.96,17.85
155,03/25/06 02:35:00 PM,28.33,17.85
156,03/25/06 02:36:00 PM,28.7,18.02
157,03/25/06 02:37:00 PM,29.07,18.19
158,03/25/06 02:38:00 PM,29.25,18.36
159,03/25/06 02:39:00 PM,29.44,18.36
160,03/25/06 02:40:00 PM,29.62,18.53
161,03/25/06 02:41:00 PM,29.81,18.7
162,03/25/06 02:42:00 PM,30.0,18.7
163,03/25/06 02:43:00 PM,30.18,18.87
164,03/25/06 02:44:00 PM,30.18,18.87
165,03/25/06 02:45:00 PM,30.37,19.55
166,03/25/06 02:46:00 PM,30.0,19.72
167,03/25/06 02:47:00 PM,30.0,19.55
168,03/25/06 02:48:00 PM,30.0,19.72
169,03/25/06 02:49:00 PM,30.0,19.89
170,03/25/06 02:50:00 PM,30.0,20.23
171,03/25/06 02:51:00 PM,30.0,20.4
172,03/25/06 02:52:00 PM,30.18,20.4
173,03/25/06 02:53:00 PM,30.37,20.57
174,03/25/06 02:54:00 PM,28.7,20.4
175,03/25/06 02:55:00 PM,27.6,20.23
176,03/25/06 02:56:00 PM,26.52,19.72
177,03/25/06 02:57:00 PM,26.16,19.55
178,03/25/06 02:58:00 PM,25.8,19.38
179,03/25/06 02:59:00 PM,24.91,19.04
180,03/25/06 03:00:00 PM,24.91,19.04
