#,date,tempe,ambient
1,04/14/06 04:21:00 PM,38.56,37.29
2,04/14/06 04:22:00 PM,38.56,37.71
3,04/14/06 04:23:00 PM,38.35,37.92
4,04/14/06 04:24:00 PM,38.56,37.71
5,04/14/06 04:25:00 PM,38.35,37.92
6,04/14/06 04:26:00 PM,38.35,37.71
7,04/14/06 04:27:00 PM,38.35,37.29
8,04/14/06 04:28:00 PM,38.35,37.08
9,04/14/06 04:29:00 PM,38.14,36.46
10,04/14/06 04:30:00 PM,38.14,36.26
11,04/14/06 04:31:00 PM,38.14,36.46
12,04/14/06 04:32:00 PM,38.14,36.67
13,04/14/06 04:33:00 PM,37.92,35.85
14,04/14/06 04:34:00 PM,37.71,35.03
15,04/14/06 04:35:00 PM,37.29,33.84
16,04/14/06 04:36:00 PM,37.29,33.64
17,04/14/06 04:37:00 PM,37.5,33.84
18,04/14/06 04:38:00 PM,37.5,33.44
19,04/14/06 04:39:00 PM,37.5,33.84
20,04/14/06 04:40:00 PM,37.5,34.04
21,04/14/06 04:41:00 PM,37.5,34.23
22,04/14/06 04:42:00 PM,37.29,35.03
23,04/14/06 04:43:00 PM,37.29,35.44
24,04/14/06 04:44:00 PM,37.29,35.85
25,04/14/06 04:45:00 PM,37.29,35.64
26,04/14/06 04:46:00 PM,37.29,35.85
27,04/14/06 04:47:00 PM,37.08,35.85
28,04/14/06 04:48:00 PM,37.08,35.85
29,04/14/06 04:49:00 PM,37.29,36.46
30,04/14/06 04:50:00 PM,37.5,36.67
31,04/14/06 04:51:00 PM,37.71,36.88
32,04/14/06 04:52:00 PM,37.71,37.08
33,04/14/06 04:53:00 PM,37.71,37.08
34,04/14/06 04:54:00 PM,37.29,36.88
35,04/14/06 04:55:00 PM,37.08,36.88
36,04/14/06 04:56:00 PM,36.88,36.67
37,04/14/06 04:57:00 PM,36.88,36.88
38,04/14/06 04:58:00 PM,36.88,36.67
39,04/14/06 04:59:00 PM,36.46,36.05
