#,date,tempe,ambient
1,06/09/06 10:01:00 AM,28.7,36.05
2,06/09/06 10:02:00 AM,28.7,36.26
3,06/09/06 10:03:00 AM,28.7,36.46
4,06/09/06 10:04:00 AM,28.7,36.46
5,06/09/06 10:05:00 AM,28.7,36.26
6,06/09/06 10:06:00 AM,28.88,35.85
7,06/09/06 10:07:00 AM,28.88,35.85
8,06/09/06 10:08:00 AM,28.88,35.64
9,06/09/06 10:09:00 AM,28.88,35.64
10,06/09/06 10:10:00 AM,29.07,35.44
11,06/09/06 10:11:00 AM,29.07,35.44
12,06/09/06 10:12:00 AM,29.25,35.44
13,06/09/06 10:13:00 AM,29.44,35.44
14,06/09/06 10:14:00 AM,29.44,35.03
15,06/09/06 10:15:00 AM,29.44,34.83
16,06/09/06 10:16:00 AM,29.44,34.63
17,06/09/06 10:17:00 AM,29.62,34.83
18,06/09/06 10:18:00 AM,29.62,34.83
19,06/09/06 10:19:00 AM,29.62,34.83
20,06/09/06 10:20:00 AM,29.62,35.24
21,06/09/06 10:21:00 AM,29.62,35.44
22,06/09/06 10:22:00 AM,29.81,35.64
23,06/09/06 10:23:00 AM,29.81,35.64
24,06/09/06 10:24:00 AM,30.0,35.64
25,06/09/06 10:25:00 AM,30.0,35.44
26,06/09/06 10:26:00 AM,29.81,35.24
27,06/09/06 10:27:00 AM,29.81,35.03
28,06/09/06 10:28:00 AM,30.0,35.03
29,06/09/06 10:29:00 AM,30.0,35.03
30,06/09/06 10:30:00 AM,30.0,35.24
31,06/09/06 10:31:00 AM,30.18,35.44
32,06/09/06 10:32:00 AM,30.37,35.85
33,06/09/06 10:33:00 AM,30.56,35.85
34,06/09/06 10:34:00 AM,30.75,36.05
35,06/09/06 10:35:00 AM,30.75,36.05
36,06/09/06 10:36:00 AM,30.56,36.26
37,06/09/06 10:37:00 AM,30.56,36.26
38,06/09/06 10:38:00 AM,30.75,36.05
39,06/09/06 10:39:00 AM,30.75,36.05
40,06/09/06 10:40:00 AM,30.94,35.85
41,06/09/06 10:41:00 AM,30.94,35.85
42,06/09/06 10:42:00 AM,30.94,35.64
43,06/09/06 10:43:00 AM,30.94,35.64
44,06/09/06 10:44:00 AM,30.94,35.64
45,06/09/06 10:45:00 AM,30.94,35.85
46,06/09/06 10:46:00 AM,30.75,36.05
47,06/09/06 10:47:00 AM,30.75,36.26
48,06/09/06 10:48:00 AM,30.94,36.46
49,06/09/06 10:49:00 AM,31.13,36.67
50,06/09/06 10:50:00 AM,30.94,36.67
51,06/09/06 10:51:00 AM,30.94,36.46
52,06/09/06 10:52:00 AM,30.94,36.46
53,06/09/06 10:53:00 AM,31.13,36.46
54,06/09/06 10:54:00 AM,31.13,36.26
55,06/09/06 10:55:00 AM,31.32,36.26
56,06/09/06 10:56:00 AM,31.32,36.46
57,06/09/06 10:57:00 AM,30.94,36.46
58,06/09/06 10:58:00 AM,30.75,36.26
59,06/09/06 10:59:00 AM,30.75,36.26
60,06/09/06 11:00:00 AM,30.56,36.26
61,06/09/06 11:01:00 AM,30.56,36.26
62,06/09/06 11:02:00 AM,30.56,36.26
63,06/09/06 11:03:00 AM,30.75,36.26
64,06/09/06 11:04:00 AM,30.75,36.26
65,06/09/06 11:05:00 AM,30.94,36.26
66,06/09/06 11:06:00 AM,31.13,36.46
67,06/09/06 11:07:00 AM,31.32,36.26
68,06/09/06 11:08:00 AM,31.51,36.26
69,06/09/06 11:09:00 AM,31.7,36.46
70,06/09/06 11:10:00 AM,31.7,36.46
71,06/09/06 11:11:00 AM,31.7,36.46
72,06/09/06 11:12:00 AM,31.89,36.46
73,06/09/06 11:13:00 AM,32.08,36.46
74,06/09/06 11:14:00 AM,32.08,36.46
75,06/09/06 11:15:00 AM,31.89,36.46
76,06/09/06 11:16:00 AM,31.89,36.67
77,06/09/06 11:17:00 AM,31.7,36.88
78,06/09/06 11:18:00 AM,31.32,36.88
79,06/09/06 11:19:00 AM,31.32,36.88
80,06/09/06 11:20:00 AM,31.13,36.88
81,06/09/06 11:21:00 AM,31.13,36.67
82,06/09/06 11:22:00 AM,31.32,36.67
83,06/09/06 11:23:00 AM,31.51,36.46
84,06/09/06 11:24:00 AM,31.89,36.26
85,06/09/06 11:25:00 AM,32.08,36.26
86,06/09/06 11:26:00 AM,32.08,36.46
87,06/09/06 11:27:00 AM,32.08,36.46
88,06/09/06 11:28:00 AM,32.08,36.46
89,06/09/06 11:29:00 AM,32.08,36.26
90,06/09/06 11:30:00 AM,32.08,36.46
91,06/09/06 11:31:00 AM,32.28,36.46
92,06/09/06 11:32:00 AM,32.47,36.67
93,06/09/06 11:33:00 AM,32.08,36.88
94,06/09/06 11:34:00 AM,31.51,36.88
95,06/09/06 11:35:00 AM,31.51,36.88
96,06/09/06 11:36:00 AM,31.7,36.88
97,06/09/06 11:37:00 AM,32.08,36.88
98,06/09/06 11:38:00 AM,32.28,36.67
99,06/09/06 11:39:00 AM,32.08,36.67
100,06/09/06 11:40:00 AM,32.08,36.67
101,06/09/06 11:41:00 AM,32.08,36.46
102,06/09/06 11:42:00 AM,32.08,36.67
103,06/09/06 11:43:00 AM,32.28,36.67
104,06/09/06 11:44:00 AM,32.66,36.88
105,06/09/06 11:45:00 AM,32.47,37.08
106,06/09/06 11:46:00 AM,32.66,37.08
107,06/09/06 11:47:00 AM,32.66,37.08
108,06/09/06 11:48:00 AM,32.86,37.08
109,06/09/06 11:49:00 AM,32.86,36.88
110,06/09/06 11:50:00 AM,33.05,36.88
111,06/09/06 11:51:00 AM,33.25,36.88
112,06/09/06 11:52:00 AM,33.44,36.88
113,06/09/06 11:53:00 AM,33.44,37.08
114,06/09/06 11:54:00 AM,33.25,37.08
115,06/09/06 11:55:00 AM,33.05,37.29
116,06/09/06 11:56:00 AM,32.86,37.29
117,06/09/06 11:57:00 AM,32.86,37.29
118,06/09/06 11:58:00 AM,32.47,37.5
119,06/09/06 11:59:00 AM,32.66,37.29
120,06/09/06 12:00:00 PM,32.86,37.29
121,06/09/06 12:01:00 PM,32.86,37.29
122,06/09/06 12:02:00 PM,33.44,37.29
123,06/09/06 12:03:00 PM,33.44,37.29
124,06/09/06 12:04:00 PM,33.64,37.29
125,06/09/06 12:05:00 PM,33.64,37.29
126,06/09/06 12:06:00 PM,33.64,37.5
127,06/09/06 12:07:00 PM,33.44,37.5
128,06/09/06 12:08:00 PM,33.64,37.5
129,06/09/06 12:09:00 PM,33.25,37.5
130,06/09/06 12:10:00 PM,33.25,37.5
131,06/09/06 12:11:00 PM,33.05,37.5
132,06/09/06 12:12:00 PM,32.86,37.29
133,06/09/06 12:13:00 PM,32.66,37.08
134,06/09/06 12:14:00 PM,32.66,37.08
135,06/09/06 12:15:00 PM,33.05,36.88
136,06/09/06 12:16:00 PM,33.05,37.08
137,06/09/06 12:17:00 PM,32.66,37.08
138,06/09/06 12:18:00 PM,32.86,37.08
139,06/09/06 12:19:00 PM,33.25,37.08
140,06/09/06 12:20:00 PM,33.25,37.08
141,06/09/06 12:21:00 PM,33.44,37.08
142,06/09/06 12:22:00 PM,33.44,37.08
143,06/09/06 12:23:00 PM,33.25,37.08
144,06/09/06 12:24:00 PM,33.44,37.29
145,06/09/06 12:25:00 PM,33.25,37.5
146,06/09/06 12:26:00 PM,33.25,37.5
147,06/09/06 12:27:00 PM,33.25,37.71
148,06/09/06 12:28:00 PM,32.86,37.5
149,06/09/06 12:29:00 PM,33.05,37.29
150,06/09/06 12:30:00 PM,33.44,37.08
151,06/09/06 12:31:00 PM,33.25,37.08
152,06/09/06 12:32:00 PM,33.25,37.29
153,06/09/06 12:33:00 PM,33.25,37.08
154,06/09/06 12:34:00 PM,33.64,37.08
155,06/09/06 12:35:00 PM,33.84,36.88
156,06/09/06 12:36:00 PM,34.23,36.88
157,06/09/06 12:37:00 PM,34.63,37.08
158,06/09/06 12:38:00 PM,35.03,37.29
159,06/09/06 12:39:00 PM,35.24,37.5
160,06/09/06 12:40:00 PM,34.63,37.29
161,06/09/06 12:41:00 PM,34.63,37.29
162,06/09/06 12:42:00 PM,34.63,37.29
163,06/09/06 12:43:00 PM,34.83,37.29
164,06/09/06 12:44:00 PM,35.03,37.5
165,06/09/06 12:45:00 PM,35.03,37.5
166,06/09/06 12:46:00 PM,35.03,37.29
167,06/09/06 12:47:00 PM,34.63,37.29
168,06/09/06 12:48:00 PM,34.83,37.29
169,06/09/06 12:49:00 PM,35.03,37.29
170,06/09/06 12:50:00 PM,34.63,37.08
171,06/09/06 12:51:00 PM,34.43,37.08
172,06/09/06 12:52:00 PM,34.43,37.29
173,06/09/06 12:53:00 PM,33.84,37.29
174,06/09/06 12:54:00 PM,34.04,37.29
175,06/09/06 12:55:00 PM,34.43,37.5
176,06/09/06 12:56:00 PM,34.63,37.29
177,06/09/06 12:57:00 PM,34.63,37.29
178,06/09/06 12:58:00 PM,35.03,37.5
179,06/09/06 12:59:00 PM,34.83,37.5
180,06/09/06 01:00:00 PM,34.83,37.5
181,06/09/06 01:01:00 PM,35.24,37.71
182,06/09/06 01:02:00 PM,35.44,37.71
183,06/09/06 01:03:00 PM,34.83,37.71
184,06/09/06 01:04:00 PM,34.43,37.71
185,06/09/06 01:05:00 PM,34.43,37.92
186,06/09/06 01:06:00 PM,34.23,37.71
187,06/09/06 01:07:00 PM,34.43,37.71
188,06/09/06 01:08:00 PM,34.83,37.71
189,06/09/06 01:09:00 PM,35.03,37.71
190,06/09/06 01:10:00 PM,34.83,37.71
191,06/09/06 01:11:00 PM,34.83,37.71
192,06/09/06 01:12:00 PM,35.03,37.71
193,06/09/06 01:13:00 PM,35.03,37.71
194,06/09/06 01:14:00 PM,35.03,37.71
195,06/09/06 01:15:00 PM,35.24,37.5
196,06/09/06 01:16:00 PM,35.03,37.5
197,06/09/06 01:17:00 PM,35.03,37.5
198,06/09/06 01:18:00 PM,35.03,37.5
199,06/09/06 01:19:00 PM,34.83,37.5
200,06/09/06 01:20:00 PM,34.43,37.5
201,06/09/06 01:21:00 PM,34.04,37.29
202,06/09/06 01:22:00 PM,33.84,37.29
203,06/09/06 01:23:00 PM,33.64,37.29
204,06/09/06 01:24:00 PM,33.64,37.08
205,06/09/06 01:25:00 PM,33.64,36.88
206,06/09/06 01:26:00 PM,34.04,37.08
207,06/09/06 01:27:00 PM,34.43,37.08
208,06/09/06 01:28:00 PM,34.83,37.08
209,06/09/06 01:29:00 PM,35.24,37.29
210,06/09/06 01:30:00 PM,35.24,37.08
211,06/09/06 01:31:00 PM,35.24,37.08
212,06/09/06 01:32:00 PM,35.03,36.88
213,06/09/06 01:33:00 PM,34.83,36.67
214,06/09/06 01:34:00 PM,34.83,36.67
215,06/09/06 01:35:00 PM,35.03,36.88
216,06/09/06 01:36:00 PM,35.44,37.08
217,06/09/06 01:37:00 PM,35.44,37.08
218,06/09/06 01:38:00 PM,35.24,37.29
219,06/09/06 01:39:00 PM,35.03,37.29
220,06/09/06 01:40:00 PM,35.03,37.29
221,06/09/06 01:41:00 PM,34.83,37.29
222,06/09/06 01:42:00 PM,34.83,37.5
223,06/09/06 01:43:00 PM,35.03,37.71
224,06/09/06 01:44:00 PM,34.83,37.71
225,06/09/06 01:45:00 PM,35.03,37.5
226,06/09/06 01:46:00 PM,34.83,37.5
227,06/09/06 01:47:00 PM,34.83,37.71
228,06/09/06 01:48:00 PM,34.83,37.5
229,06/09/06 01:49:00 PM,35.44,37.5
230,06/09/06 01:50:00 PM,35.44,37.71
231,06/09/06 01:51:00 PM,35.03,37.71
232,06/09/06 01:52:00 PM,35.03,37.71
233,06/09/06 01:53:00 PM,34.63,37.29
234,06/09/06 01:54:00 PM,34.63,37.29
235,06/09/06 01:55:00 PM,34.83,37.29
236,06/09/06 01:56:00 PM,35.03,37.29
237,06/09/06 01:57:00 PM,34.63,37.29
238,06/09/06 01:58:00 PM,34.83,37.29
239,06/09/06 01:59:00 PM,34.83,37.5
240,06/09/06 02:00:00 PM,34.63,37.5
241,06/09/06 02:01:00 PM,34.83,37.5
242,06/09/06 02:02:00 PM,34.43,37.29
243,06/09/06 02:03:00 PM,34.43,37.29
244,06/09/06 02:04:00 PM,34.83,37.5
245,06/09/06 02:05:00 PM,34.83,37.5
246,06/09/06 02:06:00 PM,35.03,37.5
247,06/09/06 02:07:00 PM,35.44,37.5
248,06/09/06 02:08:00 PM,35.64,37.71
249,06/09/06 02:09:00 PM,35.64,37.71
250,06/09/06 02:10:00 PM,35.64,37.71
251,06/09/06 02:11:00 PM,35.64,37.71
252,06/09/06 02:12:00 PM,35.64,37.71
253,06/09/06 02:13:00 PM,35.64,37.71
254,06/09/06 02:14:00 PM,35.85,37.92
255,06/09/06 02:15:00 PM,36.05,37.92
256,06/09/06 02:16:00 PM,36.05,37.92
257,06/09/06 02:17:00 PM,36.05,37.92
258,06/09/06 02:18:00 PM,35.64,37.92
259,06/09/06 02:19:00 PM,35.44,37.92
260,06/09/06 02:20:00 PM,35.64,37.92
261,06/09/06 02:21:00 PM,35.03,37.5
262,06/09/06 02:22:00 PM,35.44,37.29
263,06/09/06 02:23:00 PM,34.83,37.5
264,06/09/06 02:24:00 PM,34.43,37.29
265,06/09/06 02:25:00 PM,34.43,37.29
266,06/09/06 02:26:00 PM,34.63,37.29
267,06/09/06 02:27:00 PM,34.63,37.29
268,06/09/06 02:28:00 PM,34.63,37.29
269,06/09/06 02:29:00 PM,34.63,37.5
270,06/09/06 02:30:00 PM,35.03,37.71
271,06/09/06 02:31:00 PM,35.03,37.71
272,06/09/06 02:32:00 PM,35.03,37.71
273,06/09/06 02:33:00 PM,35.03,37.92
274,06/09/06 02:34:00 PM,35.03,37.71
275,06/09/06 02:35:00 PM,35.03,37.92
276,06/09/06 02:36:00 PM,35.03,37.92
277,06/09/06 02:37:00 PM,35.24,37.71
278,06/09/06 02:38:00 PM,35.24,37.71
279,06/09/06 02:39:00 PM,35.24,37.71
280,06/09/06 02:40:00 PM,35.03,37.5
281,06/09/06 02:41:00 PM,35.24,37.5
282,06/09/06 02:42:00 PM,35.24,37.5
283,06/09/06 02:43:00 PM,35.44,37.5
284,06/09/06 02:44:00 PM,35.64,37.71
285,06/09/06 02:45:00 PM,35.64,37.71
286,06/09/06 02:46:00 PM,36.05,37.71
287,06/09/06 02:47:00 PM,36.05,37.92
288,06/09/06 02:48:00 PM,36.05,37.92
289,06/09/06 02:49:00 PM,36.05,37.92
290,06/09/06 02:50:00 PM,36.26,37.92
291,06/09/06 02:51:00 PM,36.26,37.92
292,06/09/06 02:52:00 PM,36.26,37.92
