#,date,tempe,ambient
1,06/27/06 11:01:00 AM,28.15,35.24
2,06/27/06 11:02:00 AM,27.6,36.26
3,06/27/06 11:03:00 AM,27.24,36.67
4,06/27/06 11:04:00 AM,26.88,36.67
5,06/27/06 11:05:00 AM,26.52,37.08
6,06/27/06 11:06:00 AM,25.09,36.67
7,06/27/06 11:07:00 AM,24.03,36.67
8,06/27/06 11:08:00 AM,23.51,36.67
9,06/27/06 11:09:00 AM,22.81,36.46
10,06/27/06 11:10:00 AM,22.12,36.26
11,06/27/06 11:11:00 AM,21.95,36.46
12,06/27/06 11:12:00 AM,21.95,36.26
13,06/27/06 11:13:00 AM,21.77,35.44
14,06/27/06 11:14:00 AM,21.77,34.83
15,06/27/06 11:15:00 AM,21.77,34.83
16,06/27/06 11:16:00 AM,21.77,34.83
17,06/27/06 11:17:00 AM,21.77,34.63
18,06/27/06 11:18:00 AM,21.77,34.43
19,06/27/06 11:19:00 AM,21.95,34.43
20,06/27/06 11:20:00 AM,21.95,34.43
21,06/27/06 11:21:00 AM,21.95,34.43
22,06/27/06 11:22:00 AM,22.12,34.43
23,06/27/06 11:23:00 AM,21.95,34.43
24,06/27/06 11:24:00 AM,21.95,34.43
25,06/27/06 11:25:00 AM,22.12,33.05
26,06/27/06 11:26:00 AM,22.29,34.63
27,06/27/06 11:27:00 AM,22.29,32.47
28,06/27/06 11:28:00 AM,22.29,33.05
29,06/27/06 11:29:00 AM,22.46,33.64
30,06/27/06 11:30:00 AM,22.46,34.23
31,06/27/06 11:31:00 AM,22.64,34.43
32,06/27/06 11:32:00 AM,22.46,34.43
33,06/27/06 11:33:00 AM,22.64,33.25
34,06/27/06 11:34:00 AM,22.81,33.05
35,06/27/06 11:35:00 AM,22.98,33.25
36,06/27/06 11:36:00 AM,22.81,32.28
37,06/27/06 11:37:00 AM,22.64,31.13
38,06/27/06 11:38:00 AM,22.81,30.94
39,06/27/06 11:39:00 AM,22.81,30.37
40,06/27/06 11:40:00 AM,22.98,30.37
41,06/27/06 11:41:00 AM,22.98,29.44
42,06/27/06 11:42:00 AM,22.98,28.7
43,06/27/06 11:43:00 AM,22.98,28.33
44,06/27/06 11:44:00 AM,22.98,29.44
45,06/27/06 11:45:00 AM,22.81,32.28
46,06/27/06 11:46:00 AM,22.98,34.04
47,06/27/06 11:47:00 AM,22.98,32.47
48,06/27/06 11:48:00 AM,22.98,32.47
49,06/27/06 11:49:00 AM,22.81,33.84
50,06/27/06 11:50:00 AM,22.64,34.43
51,06/27/06 11:51:00 AM,22.64,34.83
52,06/27/06 11:52:00 AM,22.81,34.83
53,06/27/06 11:53:00 AM,22.81,35.85
54,06/27/06 11:54:00 AM,22.81,36.67
55,06/27/06 11:55:00 AM,22.81,37.08
56,06/27/06 11:56:00 AM,22.98,35.44
57,06/27/06 11:57:00 AM,23.16,35.64
58,06/27/06 11:58:00 AM,23.16,35.64
59,06/27/06 11:59:00 AM,23.16,34.43
60,06/27/06 12:00:00 PM,23.16,33.25
61,06/27/06 12:01:00 PM,22.81,34.43
62,06/27/06 12:02:00 PM,22.81,35.85
63,06/27/06 12:03:00 PM,22.64,36.67
64,06/27/06 12:04:00 PM,22.64,34.63
65,06/27/06 12:05:00 PM,22.64,34.04
66,06/27/06 12:06:00 PM,22.81,32.66
67,06/27/06 12:07:00 PM,22.81,31.51
68,06/27/06 12:08:00 PM,22.98,30.94
69,06/27/06 12:09:00 PM,22.98,30.56
70,06/27/06 12:10:00 PM,23.16,30.37
71,06/27/06 12:11:00 PM,23.16,30.0
72,06/27/06 12:12:00 PM,23.16,29.62
73,06/27/06 12:13:00 PM,23.16,29.25
74,06/27/06 12:14:00 PM,23.16,28.51
75,06/27/06 12:15:00 PM,23.16,28.33
76,06/27/06 12:16:00 PM,23.16,27.96
77,06/27/06 12:17:00 PM,23.33,27.6
78,06/27/06 12:18:00 PM,23.33,27.42
79,06/27/06 12:19:00 PM,23.33,27.24
80,06/27/06 12:20:00 PM,23.33,28.33
81,06/27/06 12:21:00 PM,23.33,31.7
82,06/27/06 12:22:00 PM,23.33,32.86
83,06/27/06 12:23:00 PM,23.33,33.25
84,06/27/06 12:24:00 PM,23.33,33.64
85,06/27/06 12:25:00 PM,23.51,34.04
86,06/27/06 12:26:00 PM,23.51,34.43
87,06/27/06 12:27:00 PM,23.51,34.63
88,06/27/06 12:28:00 PM,23.68,34.83
89,06/27/06 12:29:00 PM,23.68,34.83
90,06/27/06 12:30:00 PM,23.68,35.03
91,06/27/06 12:31:00 PM,23.68,35.24
92,06/27/06 12:32:00 PM,23.68,34.04
93,06/27/06 12:33:00 PM,23.68,33.44
94,06/27/06 12:34:00 PM,23.86,33.05
95,06/27/06 12:35:00 PM,23.68,33.05
96,06/27/06 12:36:00 PM,23.68,33.05
97,06/27/06 12:37:00 PM,23.68,33.25
98,06/27/06 12:38:00 PM,23.68,33.25
99,06/27/06 12:39:00 PM,23.86,32.86
100,06/27/06 12:40:00 PM,23.86,33.25
101,06/27/06 12:41:00 PM,23.68,33.64
102,06/27/06 12:42:00 PM,23.68,34.04
103,06/27/06 12:43:00 PM,23.68,34.23
104,06/27/06 12:44:00 PM,23.68,34.43
105,06/27/06 12:45:00 PM,23.68,34.63
106,06/27/06 12:46:00 PM,23.68,34.63
107,06/27/06 12:47:00 PM,23.86,34.83
108,06/27/06 12:48:00 PM,23.86,34.83
109,06/27/06 12:49:00 PM,23.86,34.63
110,06/27/06 12:50:00 PM,24.03,34.83
111,06/27/06 12:51:00 PM,24.03,35.03
112,06/27/06 12:52:00 PM,24.21,35.03
113,06/27/06 12:53:00 PM,24.03,34.04
114,06/27/06 12:54:00 PM,24.03,31.89
115,06/27/06 12:55:00 PM,24.03,30.94
116,06/27/06 12:56:00 PM,24.21,30.18
117,06/27/06 12:57:00 PM,24.21,29.62
118,06/27/06 12:58:00 PM,24.38,29.07
119,06/27/06 12:59:00 PM,24.38,28.88
120,06/27/06 01:00:00 PM,24.38,28.51
121,06/27/06 01:01:00 PM,24.56,28.33
122,06/27/06 01:02:00 PM,24.74,27.96
123,06/27/06 01:03:00 PM,24.91,27.78
124,06/27/06 01:04:00 PM,24.91,27.78
125,06/27/06 01:05:00 PM,25.09,27.78
