#,date,tempe,ambient
1,04/22/06 07:01:00 PM,22.29,22.81
2,04/22/06 07:02:00 PM,22.29,22.98
3,04/22/06 07:03:00 PM,22.29,23.68
4,04/22/06 07:04:00 PM,22.29,24.03
5,04/22/06 07:05:00 PM,22.29,24.21
6,04/22/06 07:06:00 PM,22.29,24.38
7,04/22/06 07:07:00 PM,22.29,24.74
8,04/22/06 07:08:00 PM,22.29,24.38
9,04/22/06 07:09:00 PM,22.29,24.21
10,04/22/06 07:10:00 PM,22.29,24.03
11,04/22/06 07:11:00 PM,22.29,23.86
12,04/22/06 07:12:00 PM,22.29,23.86
13,04/22/06 07:13:00 PM,22.29,23.68
14,04/22/06 07:14:00 PM,22.29,23.68
15,04/22/06 07:15:00 PM,22.29,23.68
16,04/22/06 07:16:00 PM,22.29,23.51
17,04/22/06 07:17:00 PM,22.29,23.51
18,04/22/06 07:18:00 PM,22.29,23.68
19,04/22/06 07:19:00 PM,22.29,23.68
20,04/22/06 07:20:00 PM,22.29,23.68
21,04/22/06 07:21:00 PM,22.29,23.51
22,04/22/06 07:22:00 PM,22.29,23.16
23,04/22/06 07:23:00 PM,22.29,22.98
24,04/22/06 07:24:00 PM,22.29,22.98
25,04/22/06 07:25:00 PM,22.29,22.81
26,04/22/06 07:26:00 PM,22.29,22.81
27,04/22/06 07:27:00 PM,22.29,22.64
28,04/22/06 07:28:00 PM,22.29,22.64
29,04/22/06 07:29:00 PM,22.12,22.64
30,04/22/06 07:30:00 PM,22.12,22.46
31,04/22/06 07:31:00 PM,22.29,22.46
32,04/22/06 07:32:00 PM,22.29,23.33
33,04/22/06 07:33:00 PM,22.29,24.21
34,04/22/06 07:34:00 PM,22.29,24.56
35,04/22/06 07:35:00 PM,22.29,24.21
36,04/22/06 07:36:00 PM,22.29,24.38
37,04/22/06 07:37:00 PM,22.29,24.56
38,04/22/06 07:38:00 PM,22.29,24.56
39,04/22/06 07:39:00 PM,22.29,24.56
40,04/22/06 07:40:00 PM,22.12,24.21
41,04/22/06 07:41:00 PM,22.12,24.21
42,04/22/06 07:42:00 PM,22.12,24.03
43,04/22/06 07:43:00 PM,22.12,24.03
44,04/22/06 07:44:00 PM,22.29,24.03
45,04/22/06 07:45:00 PM,22.29,24.38
46,04/22/06 07:46:00 PM,22.12,23.86
47,04/22/06 07:47:00 PM,22.12,23.51
48,04/22/06 07:48:00 PM,22.12,23.33
49,04/22/06 07:49:00 PM,22.12,23.16
50,04/22/06 07:50:00 PM,22.29,23.16
51,04/22/06 07:51:00 PM,22.29,22.98
52,04/22/06 07:52:00 PM,22.29,22.98
53,04/22/06 07:53:00 PM,22.29,22.81
54,04/22/06 07:54:00 PM,22.12,22.81
55,04/22/06 07:55:00 PM,22.12,22.64
56,04/22/06 07:56:00 PM,22.12,22.64
57,04/22/06 07:57:00 PM,22.12,22.64
58,04/22/06 07:58:00 PM,22.12,22.64
59,04/22/06 07:59:00 PM,22.12,22.64
60,04/22/06 08:00:00 PM,22.12,22.46
61,04/22/06 08:01:00 PM,21.95,22.46
62,04/22/06 08:02:00 PM,21.95,22.29
63,04/22/06 08:03:00 PM,21.95,22.46
64,04/22/06 08:04:00 PM,21.95,22.29
65,04/22/06 08:05:00 PM,21.95,22.29
66,04/22/06 08:06:00 PM,21.95,22.29
67,04/22/06 08:07:00 PM,21.95,22.46
68,04/22/06 08:08:00 PM,21.95,22.64
69,04/22/06 08:09:00 PM,21.95,22.46
70,04/22/06 08:10:00 PM,21.95,22.46
71,04/22/06 08:11:00 PM,22.12,22.29
72,04/22/06 08:12:00 PM,22.12,22.29
73,04/22/06 08:13:00 PM,22.12,22.12
74,04/22/06 08:14:00 PM,21.95,22.12
75,04/22/06 08:15:00 PM,21.95,22.12
76,04/22/06 08:16:00 PM,21.95,22.12
77,04/22/06 08:17:00 PM,21.95,22.12
78,04/22/06 08:18:00 PM,21.95,21.95
79,04/22/06 08:19:00 PM,21.77,21.95
80,04/22/06 08:20:00 PM,21.77,21.95
81,04/22/06 08:21:00 PM,21.77,21.95
82,04/22/06 08:22:00 PM,21.77,21.95
83,04/22/06 08:23:00 PM,21.77,21.95
84,04/22/06 08:24:00 PM,21.77,21.77
85,04/22/06 08:25:00 PM,21.77,21.77
86,04/22/06 08:26:00 PM,21.77,21.77
87,04/22/06 08:27:00 PM,21.77,21.77
88,04/22/06 08:28:00 PM,21.77,21.77
89,04/22/06 08:29:00 PM,21.77,21.77
90,04/22/06 08:30:00 PM,21.77,21.77
91,04/22/06 08:31:00 PM,21.77,21.77
92,04/22/06 08:32:00 PM,21.77,21.77
93,04/22/06 08:33:00 PM,21.77,21.77
94,04/22/06 08:34:00 PM,21.77,21.77
95,04/22/06 08:35:00 PM,21.77,21.77
96,04/22/06 08:36:00 PM,21.77,21.6
97,04/22/06 08:37:00 PM,21.6,21.6
98,04/22/06 08:38:00 PM,21.6,21.6
99,04/22/06 08:39:00 PM,21.77,21.6
100,04/22/06 08:40:00 PM,21.77,21.6
101,04/22/06 08:41:00 PM,21.77,21.6
102,04/22/06 08:42:00 PM,21.77,21.6
103,04/22/06 08:43:00 PM,21.77,21.6
104,04/22/06 08:44:00 PM,21.77,21.6
105,04/22/06 08:45:00 PM,21.77,21.6
106,04/22/06 08:46:00 PM,21.77,21.6
107,04/22/06 08:47:00 PM,21.77,21.6
108,04/22/06 08:48:00 PM,21.77,21.6
109,04/22/06 08:49:00 PM,21.77,21.6
110,04/22/06 08:50:00 PM,21.77,21.43
111,04/22/06 08:51:00 PM,21.77,21.43
112,04/22/06 08:52:00 PM,21.77,21.43
113,04/22/06 08:53:00 PM,21.77,21.43
114,04/22/06 08:54:00 PM,21.95,21.43
115,04/22/06 08:55:00 PM,21.95,21.43
116,04/22/06 08:56:00 PM,21.95,21.43
117,04/22/06 08:57:00 PM,21.95,21.43
118,04/22/06 08:58:00 PM,22.12,21.43
119,04/22/06 08:59:00 PM,21.95,21.43
120,04/22/06 09:00:00 PM,21.95,21.43
121,04/22/06 09:01:00 PM,21.95,21.43
122,04/22/06 09:02:00 PM,21.95,21.43
123,04/22/06 09:03:00 PM,21.77,21.43
124,04/22/06 09:04:00 PM,21.77,21.43
125,04/22/06 09:05:00 PM,21.95,21.43
126,04/22/06 09:06:00 PM,21.95,21.43
127,04/22/06 09:07:00 PM,21.95,21.43
128,04/22/06 09:08:00 PM,21.77,21.43
129,04/22/06 09:09:00 PM,21.77,21.43
130,04/22/06 09:10:00 PM,21.77,21.43
131,04/22/06 09:11:00 PM,21.77,21.43
132,04/22/06 09:12:00 PM,21.77,21.43
133,04/22/06 09:13:00 PM,21.77,21.43
134,04/22/06 09:14:00 PM,21.77,21.43
