#,date,tempe,ambient
1,06/09/06 08:01:00 PM,31.7,30.75
2,06/09/06 08:02:00 PM,31.89,30.75
3,06/09/06 08:03:00 PM,32.08,30.75
4,06/09/06 08:04:00 PM,32.28,30.56
5,06/09/06 08:05:00 PM,32.66,30.56
6,06/09/06 08:06:00 PM,32.66,30.56
7,06/09/06 08:07:00 PM,32.86,30.56
8,06/09/06 08:08:00 PM,32.86,30.56
9,06/09/06 08:09:00 PM,32.66,30.56
10,06/09/06 08:10:00 PM,32.47,30.56
11,06/09/06 08:11:00 PM,32.47,30.56
12,06/09/06 08:12:00 PM,32.47,30.56
13,06/09/06 08:13:00 PM,32.28,30.37
14,06/09/06 08:14:00 PM,32.28,30.37
15,06/09/06 08:15:00 PM,32.08,30.37
16,06/09/06 08:16:00 PM,31.89,30.37
17,06/09/06 08:17:00 PM,31.7,30.18
18,06/09/06 08:18:00 PM,31.7,30.18
19,06/09/06 08:19:00 PM,31.7,30.18
20,06/09/06 08:20:00 PM,31.51,30.18
21,06/09/06 08:21:00 PM,31.51,30.18
22,06/09/06 08:22:00 PM,31.51,30.18
23,06/09/06 08:23:00 PM,31.51,30.18
24,06/09/06 08:24:00 PM,31.32,30.18
25,06/09/06 08:25:00 PM,31.13,30.0
26,06/09/06 08:26:00 PM,31.13,30.0
27,06/09/06 08:27:00 PM,31.32,30.0
28,06/09/06 08:28:00 PM,31.13,30.0
29,06/09/06 08:29:00 PM,31.13,30.0
30,06/09/06 08:30:00 PM,30.94,30.0
31,06/09/06 08:31:00 PM,30.75,29.81
32,06/09/06 08:32:00 PM,30.75,29.81
33,06/09/06 08:33:00 PM,30.75,29.81
34,06/09/06 08:34:00 PM,30.75,29.81
35,06/09/06 08:35:00 PM,30.75,29.81
36,06/09/06 08:36:00 PM,30.56,29.81
37,06/09/06 08:37:00 PM,30.56,29.62
38,06/09/06 08:38:00 PM,30.56,29.62
39,06/09/06 08:39:00 PM,30.37,29.62
40,06/09/06 08:40:00 PM,30.37,29.62
41,06/09/06 08:41:00 PM,30.37,29.62
42,06/09/06 08:42:00 PM,30.18,29.62
43,06/09/06 08:43:00 PM,30.18,29.62
44,06/09/06 08:44:00 PM,30.18,29.44
45,06/09/06 08:45:00 PM,30.0,29.44
46,06/09/06 08:46:00 PM,30.0,29.44
47,06/09/06 08:47:00 PM,30.0,29.44
48,06/09/06 08:48:00 PM,30.0,29.44
49,06/09/06 08:49:00 PM,30.0,29.44
50,06/09/06 08:50:00 PM,30.0,29.44
51,06/09/06 08:51:00 PM,29.81,29.44
52,06/09/06 08:52:00 PM,29.81,29.44
53,06/09/06 08:53:00 PM,29.81,29.44
54,06/09/06 08:54:00 PM,30.0,29.25
55,06/09/06 08:55:00 PM,30.94,29.25
56,06/09/06 08:56:00 PM,31.51,29.25
57,06/09/06 08:57:00 PM,31.51,29.44
58,06/09/06 08:58:00 PM,31.51,29.44
59,06/09/06 08:59:00 PM,31.7,29.44
60,06/09/06 09:00:00 PM,31.89,29.44
61,06/09/06 09:01:00 PM,31.89,29.25
62,06/09/06 09:02:00 PM,32.08,29.25
63,06/09/06 09:03:00 PM,32.08,29.25
64,06/09/06 09:04:00 PM,32.28,29.25
65,06/09/06 09:05:00 PM,32.28,29.25
66,06/09/06 09:06:00 PM,32.28,29.25
67,06/09/06 09:07:00 PM,32.47,29.25
68,06/09/06 09:08:00 PM,32.47,29.25
69,06/09/06 09:09:00 PM,32.47,29.25
70,06/09/06 09:10:00 PM,32.86,29.07
71,06/09/06 09:11:00 PM,33.05,29.07
72,06/09/06 09:12:00 PM,33.05,29.07
73,06/09/06 09:13:00 PM,33.25,29.07
74,06/09/06 09:14:00 PM,33.25,29.07
75,06/09/06 09:15:00 PM,33.25,29.07
76,06/09/06 09:16:00 PM,33.05,28.88
77,06/09/06 09:17:00 PM,32.66,28.88
78,06/09/06 09:18:00 PM,32.66,28.88
79,06/09/06 09:19:00 PM,32.66,28.88
80,06/09/06 09:20:00 PM,32.86,28.88
81,06/09/06 09:21:00 PM,32.66,28.88
82,06/09/06 09:22:00 PM,32.66,28.88
83,06/09/06 09:23:00 PM,32.66,28.88
84,06/09/06 09:24:00 PM,32.47,28.88
85,06/09/06 09:25:00 PM,32.28,28.88
86,06/09/06 09:26:00 PM,32.47,28.88
87,06/09/06 09:27:00 PM,32.28,28.88
88,06/09/06 09:28:00 PM,32.08,28.7
89,06/09/06 09:29:00 PM,31.89,28.7
90,06/09/06 09:30:00 PM,31.7,28.7
91,06/09/06 09:31:00 PM,31.51,28.7
92,06/09/06 09:32:00 PM,31.7,28.7
93,06/09/06 09:33:00 PM,32.08,28.7
94,06/09/06 09:34:00 PM,32.28,28.7
95,06/09/06 09:35:00 PM,32.28,28.7
96,06/09/06 09:36:00 PM,32.47,28.7
97,06/09/06 09:37:00 PM,32.66,28.7
98,06/09/06 09:38:00 PM,32.66,28.7
99,06/09/06 09:39:00 PM,32.66,28.51
100,06/09/06 09:40:00 PM,32.47,28.51
101,06/09/06 09:41:00 PM,32.66,28.51
102,06/09/06 09:42:00 PM,32.86,28.51
103,06/09/06 09:43:00 PM,33.05,28.51
104,06/09/06 09:44:00 PM,33.05,28.51
105,06/09/06 09:45:00 PM,33.05,28.51
106,06/09/06 09:46:00 PM,33.05,28.51
107,06/09/06 09:47:00 PM,33.05,28.51
108,06/09/06 09:48:00 PM,33.05,28.51
109,06/09/06 09:49:00 PM,33.05,28.51
110,06/09/06 09:50:00 PM,33.05,28.51
111,06/09/06 09:51:00 PM,33.05,28.51
112,06/09/06 09:52:00 PM,33.05,28.51
113,06/09/06 09:53:00 PM,32.86,28.51
114,06/09/06 09:54:00 PM,32.66,28.33
115,06/09/06 09:55:00 PM,32.66,28.33
116,06/09/06 09:56:00 PM,32.66,28.33
117,06/09/06 09:57:00 PM,32.47,28.33
118,06/09/06 09:58:00 PM,32.47,28.33
119,06/09/06 09:59:00 PM,32.47,28.33
120,06/09/06 10:00:00 PM,32.47,28.33
121,06/09/06 10:01:00 PM,32.47,28.33
122,06/09/06 10:02:00 PM,32.66,28.15
123,06/09/06 10:03:00 PM,32.66,28.15
124,06/09/06 10:04:00 PM,32.66,28.15
125,06/09/06 10:05:00 PM,32.66,28.15
126,06/09/06 10:06:00 PM,32.66,28.15
127,06/09/06 10:07:00 PM,32.86,28.15
128,06/09/06 10:08:00 PM,33.05,28.15
129,06/09/06 10:09:00 PM,33.05,28.15
130,06/09/06 10:10:00 PM,33.05,28.15
131,06/09/06 10:11:00 PM,33.05,28.15
132,06/09/06 10:12:00 PM,33.05,27.96
133,06/09/06 10:13:00 PM,33.05,27.96
134,06/09/06 10:14:00 PM,32.86,27.96
135,06/09/06 10:15:00 PM,32.66,27.96
136,06/09/06 10:16:00 PM,32.66,27.96
137,06/09/06 10:17:00 PM,32.47,27.96
138,06/09/06 10:18:00 PM,32.47,27.96
139,06/09/06 10:19:00 PM,32.86,27.96
140,06/09/06 10:20:00 PM,32.86,27.96
141,06/09/06 10:21:00 PM,32.86,27.96
142,06/09/06 10:22:00 PM,33.05,27.96
143,06/09/06 10:23:00 PM,33.05,27.96
144,06/09/06 10:24:00 PM,33.05,27.96
145,06/09/06 10:25:00 PM,33.05,27.96
146,06/09/06 10:26:00 PM,32.86,27.96
147,06/09/06 10:27:00 PM,32.86,27.96
148,06/09/06 10:28:00 PM,33.05,27.78
149,06/09/06 10:29:00 PM,33.05,27.78
150,06/09/06 10:30:00 PM,32.86,27.78
151,06/09/06 10:31:00 PM,32.86,27.78
152,06/09/06 10:32:00 PM,32.86,27.78
