#,date,tempe,ambient
1,04/16/06 10:01:00 PM,21.6,21.26
2,04/16/06 10:02:00 PM,21.6,21.26
3,04/16/06 10:03:00 PM,21.6,21.26
4,04/16/06 10:04:00 PM,21.6,21.26
5,04/16/06 10:05:00 PM,21.6,21.26
6,04/16/06 10:06:00 PM,21.6,21.26
7,04/16/06 10:07:00 PM,21.6,21.26
8,04/16/06 10:08:00 PM,21.6,21.26
9,04/16/06 10:09:00 PM,21.6,21.26
10,04/16/06 10:10:00 PM,21.6,21.08
11,04/16/06 10:11:00 PM,21.6,21.08
12,04/16/06 10:12:00 PM,21.6,21.08
13,04/16/06 10:13:00 PM,21.6,21.08
14,04/16/06 10:14:00 PM,21.6,21.08
15,04/16/06 10:15:00 PM,21.6,21.08
16,04/16/06 10:16:00 PM,21.43,21.08
17,04/16/06 10:17:00 PM,21.43,21.08
18,04/16/06 10:18:00 PM,21.43,21.08
19,04/16/06 10:19:00 PM,21.43,21.08
20,04/16/06 10:20:00 PM,21.43,21.08
21,04/16/06 10:21:00 PM,21.43,21.08
22,04/16/06 10:22:00 PM,21.43,20.91
23,04/16/06 10:23:00 PM,21.43,20.91
24,04/16/06 10:24:00 PM,21.43,20.91
25,04/16/06 10:25:00 PM,21.43,20.91
26,04/16/06 10:26:00 PM,21.43,20.91
27,04/16/06 10:27:00 PM,21.43,20.91
28,04/16/06 10:28:00 PM,21.43,20.91
29,04/16/06 10:29:00 PM,21.43,20.91
30,04/16/06 10:30:00 PM,21.26,20.91
31,04/16/06 10:31:00 PM,21.26,20.91
32,04/16/06 10:32:00 PM,21.26,20.91
33,04/16/06 10:33:00 PM,21.26,20.91
34,04/16/06 10:34:00 PM,21.26,20.91
35,04/16/06 10:35:00 PM,21.26,20.91
36,04/16/06 10:36:00 PM,21.26,20.91
37,04/16/06 10:37:00 PM,21.26,20.91
38,04/16/06 10:38:00 PM,21.26,20.91
39,04/16/06 10:39:00 PM,21.26,20.91
40,04/16/06 10:40:00 PM,21.26,20.91
41,04/16/06 10:41:00 PM,21.26,20.74
42,04/16/06 10:42:00 PM,21.26,20.74
43,04/16/06 10:43:00 PM,21.08,20.74
44,04/16/06 10:44:00 PM,21.08,20.74
45,04/16/06 10:45:00 PM,21.08,20.74
46,04/16/06 10:46:00 PM,21.08,20.74
47,04/16/06 10:47:00 PM,21.08,20.74
48,04/16/06 10:48:00 PM,21.26,20.74
49,04/16/06 10:49:00 PM,21.26,20.74
50,04/16/06 10:50:00 PM,21.26,20.74
51,04/16/06 10:51:00 PM,21.26,20.91
52,04/16/06 10:52:00 PM,21.26,20.74
53,04/16/06 10:53:00 PM,21.26,20.74
54,04/16/06 10:54:00 PM,21.26,20.74
55,04/16/06 10:55:00 PM,21.26,20.74
56,04/16/06 10:56:00 PM,21.26,20.74
57,04/16/06 10:57:00 PM,21.08,20.74
58,04/16/06 10:58:00 PM,21.08,20.74
59,04/16/06 10:59:00 PM,21.26,20.74
60,04/16/06 11:00:00 PM,21.26,20.74
61,04/16/06 11:01:00 PM,21.26,20.74
62,04/16/06 11:02:00 PM,21.26,20.74
63,04/16/06 11:03:00 PM,21.08,20.74
64,04/16/06 11:04:00 PM,21.08,20.74
65,04/16/06 11:05:00 PM,21.08,20.57
66,04/16/06 11:06:00 PM,21.08,20.57
67,04/16/06 11:07:00 PM,21.08,20.57
68,04/16/06 11:08:00 PM,21.08,20.57
69,04/16/06 11:09:00 PM,21.08,20.57
70,04/16/06 11:10:00 PM,21.08,20.57
71,04/16/06 11:11:00 PM,21.08,20.57
72,04/16/06 11:12:00 PM,21.08,20.57
73,04/16/06 11:13:00 PM,21.08,20.57
74,04/16/06 11:14:00 PM,21.08,20.57
75,04/16/06 11:15:00 PM,20.91,20.57
76,04/16/06 11:16:00 PM,20.91,20.57
77,04/16/06 11:17:00 PM,20.91,20.57
78,04/16/06 11:18:00 PM,20.91,20.57
79,04/16/06 11:19:00 PM,20.91,20.57
80,04/16/06 11:20:00 PM,20.91,20.57
81,04/16/06 11:21:00 PM,20.91,20.57
82,04/16/06 11:22:00 PM,20.91,20.57
83,04/16/06 11:23:00 PM,20.91,20.57
84,04/16/06 11:24:00 PM,20.74,20.57
85,04/16/06 11:25:00 PM,20.74,20.57
86,04/16/06 11:26:00 PM,20.74,20.57
87,04/16/06 11:27:00 PM,20.74,20.57
88,04/16/06 11:28:00 PM,20.74,20.57
89,04/16/06 11:29:00 PM,20.74,20.57
90,04/16/06 11:30:00 PM,20.74,20.57
91,04/16/06 11:31:00 PM,20.74,20.57
92,04/16/06 11:32:00 PM,20.74,20.57
93,04/16/06 11:33:00 PM,20.74,20.4
94,04/16/06 11:34:00 PM,20.74,20.4
95,04/16/06 11:35:00 PM,20.74,20.4
96,04/16/06 11:36:00 PM,20.74,20.4
97,04/16/06 11:37:00 PM,20.74,20.4
98,04/16/06 11:38:00 PM,20.74,20.4
99,04/16/06 11:39:00 PM,20.74,20.4
100,04/16/06 11:40:00 PM,20.74,20.4
101,04/16/06 11:41:00 PM,20.74,20.4
102,04/16/06 11:42:00 PM,20.74,20.4
103,04/16/06 11:43:00 PM,20.74,20.4
104,04/16/06 11:44:00 PM,20.74,20.4
105,04/16/06 11:45:00 PM,20.74,20.4
106,04/16/06 11:46:00 PM,20.74,20.4
107,04/16/06 11:47:00 PM,20.91,20.4
108,04/16/06 11:48:00 PM,20.91,20.4
109,04/16/06 11:49:00 PM,20.91,20.4
110,04/16/06 11:50:00 PM,20.91,20.4
111,04/16/06 11:51:00 PM,20.91,20.4
112,04/16/06 11:52:00 PM,20.91,20.57
113,04/16/06 11:53:00 PM,20.91,20.57
114,04/16/06 11:54:00 PM,20.91,20.57
115,04/16/06 11:55:00 PM,20.91,20.57
116,04/16/06 11:56:00 PM,20.91,20.57
117,04/16/06 11:57:00 PM,20.91,20.57
118,04/16/06 11:58:00 PM,20.91,20.57
119,04/16/06 11:59:00 PM,20.91,20.57
120,04/17/06 12:00:00 AM,20.91,20.57
121,04/17/06 12:01:00 AM,20.91,20.57
122,04/17/06 12:02:00 AM,20.91,20.57
123,04/17/06 12:03:00 AM,20.91,20.57
124,04/17/06 12:04:00 AM,20.91,20.57
125,04/17/06 12:05:00 AM,20.91,20.57
126,04/17/06 12:06:00 AM,20.91,20.57
127,04/17/06 12:07:00 AM,20.91,20.57
128,04/17/06 12:08:00 AM,20.91,20.57
129,04/17/06 12:09:00 AM,20.91,20.57
130,04/17/06 12:10:00 AM,20.91,20.57
131,04/17/06 12:11:00 AM,21.08,20.57
132,04/17/06 12:12:00 AM,21.08,20.57
133,04/17/06 12:13:00 AM,21.08,20.57
134,04/17/06 12:14:00 AM,21.08,20.57
135,04/17/06 12:15:00 AM,21.08,20.74
136,04/17/06 12:16:00 AM,21.08,20.74
137,04/17/06 12:17:00 AM,21.08,20.74
138,04/17/06 12:18:00 AM,21.08,20.74
139,04/17/06 12:19:00 AM,21.08,20.74
140,04/17/06 12:20:00 AM,21.08,20.74
141,04/17/06 12:21:00 AM,21.08,20.74
142,04/17/06 12:22:00 AM,21.08,20.74
143,04/17/06 12:23:00 AM,21.08,20.74
144,04/17/06 12:24:00 AM,20.91,20.74
145,04/17/06 12:25:00 AM,20.91,20.74
146,04/17/06 12:26:00 AM,20.91,20.74
147,04/17/06 12:27:00 AM,20.91,20.74
148,04/17/06 12:28:00 AM,20.91,20.74
149,04/17/06 12:29:00 AM,20.91,20.74
150,04/17/06 12:30:00 AM,20.91,20.57
151,04/17/06 12:31:00 AM,20.91,20.57
152,04/17/06 12:32:00 AM,20.91,20.57
153,04/17/06 12:33:00 AM,20.91,20.57
154,04/17/06 12:34:00 AM,20.91,20.57
155,04/17/06 12:35:00 AM,20.91,20.57
156,04/17/06 12:36:00 AM,20.91,20.57
157,04/17/06 12:37:00 AM,20.91,20.57
158,04/17/06 12:38:00 AM,20.91,20.57
159,04/17/06 12:39:00 AM,20.91,20.57
