#,date,tempe,ambient
1,04/07/06 08:01:00 PM,24.03,23.86
2,04/07/06 08:02:00 PM,24.03,23.86
3,04/07/06 08:03:00 PM,24.03,23.86
4,04/07/06 08:04:00 PM,24.03,23.68
5,04/07/06 08:05:00 PM,24.03,23.68
6,04/07/06 08:06:00 PM,23.86,23.68
7,04/07/06 08:07:00 PM,23.86,23.68
8,04/07/06 08:08:00 PM,23.86,23.68
9,04/07/06 08:09:00 PM,23.86,23.68
10,04/07/06 08:10:00 PM,23.68,23.51
11,04/07/06 08:11:00 PM,23.68,23.51
12,04/07/06 08:12:00 PM,23.68,23.33
13,04/07/06 08:13:00 PM,23.68,23.33
14,04/07/06 08:14:00 PM,23.68,23.33
15,04/07/06 08:15:00 PM,23.68,23.33
16,04/07/06 08:16:00 PM,23.51,23.33
17,04/07/06 08:17:00 PM,23.51,23.33
18,04/07/06 08:18:00 PM,23.51,23.33
19,04/07/06 08:19:00 PM,23.51,23.33
20,04/07/06 08:20:00 PM,23.51,23.16
21,04/07/06 08:21:00 PM,23.51,23.16
22,04/07/06 08:22:00 PM,23.33,23.16
23,04/07/06 08:23:00 PM,23.33,23.16
24,04/07/06 08:24:00 PM,23.33,23.16
25,04/07/06 08:25:00 PM,23.33,23.16
26,04/07/06 08:26:00 PM,23.16,22.98
27,04/07/06 08:27:00 PM,23.16,22.98
28,04/07/06 08:28:00 PM,23.16,22.98
29,04/07/06 08:29:00 PM,23.16,22.98
30,04/07/06 08:30:00 PM,23.16,22.98
31,04/07/06 08:31:00 PM,23.16,22.98
32,04/07/06 08:32:00 PM,23.16,22.98
33,04/07/06 08:33:00 PM,22.98,22.98
34,04/07/06 08:34:00 PM,22.98,22.98
35,04/07/06 08:35:00 PM,22.98,22.98
36,04/07/06 08:36:00 PM,22.98,22.81
37,04/07/06 08:37:00 PM,22.98,22.81
38,04/07/06 08:38:00 PM,22.98,22.81
39,04/07/06 08:39:00 PM,22.98,22.81
40,04/07/06 08:40:00 PM,22.98,22.81
41,04/07/06 08:41:00 PM,22.81,22.81
42,04/07/06 08:42:00 PM,22.81,22.81
43,04/07/06 08:43:00 PM,22.81,22.64
44,04/07/06 08:44:00 PM,22.81,22.64
45,04/07/06 08:45:00 PM,22.81,22.64
46,04/07/06 08:46:00 PM,22.64,22.64
47,04/07/06 08:47:00 PM,22.64,22.64
48,04/07/06 08:48:00 PM,22.64,22.46
49,04/07/06 08:49:00 PM,22.64,22.46
50,04/07/06 08:50:00 PM,22.64,22.46
51,04/07/06 08:51:00 PM,22.64,22.46
52,04/07/06 08:52:00 PM,22.46,22.46
53,04/07/06 08:53:00 PM,22.46,22.46
54,04/07/06 08:54:00 PM,22.46,22.46
55,04/07/06 08:55:00 PM,22.46,22.46
56,04/07/06 08:56:00 PM,22.46,22.29
57,04/07/06 08:57:00 PM,22.29,22.29
58,04/07/06 08:58:00 PM,22.29,22.12
59,04/07/06 08:59:00 PM,22.29,22.12
60,04/07/06 09:00:00 PM,22.29,22.12
61,04/07/06 09:01:00 PM,22.29,22.12
62,04/07/06 09:02:00 PM,22.29,22.12
63,04/07/06 09:03:00 PM,22.29,22.12
