#,date,tempe,ambient
1,06/22/06 09:01:00 PM,34.43,29.62
2,06/22/06 09:02:00 PM,35.64,29.62
3,06/22/06 09:03:00 PM,36.67,29.62
4,06/22/06 09:04:00 PM,37.71,29.62
5,06/22/06 09:05:00 PM,38.14,29.44
6,06/22/06 09:06:00 PM,38.35,29.44
7,06/22/06 09:07:00 PM,38.35,29.44
8,06/22/06 09:08:00 PM,38.14,29.44
9,06/22/06 09:09:00 PM,38.14,29.44
10,06/22/06 09:10:00 PM,38.14,29.44
11,06/22/06 09:11:00 PM,38.14,29.44
12,06/22/06 09:12:00 PM,38.14,29.44
13,06/22/06 09:13:00 PM,37.92,29.44
14,06/22/06 09:14:00 PM,37.92,29.25
15,06/22/06 09:15:00 PM,37.92,29.44
16,06/22/06 09:16:00 PM,37.92,29.25
17,06/22/06 09:17:00 PM,37.71,29.25
18,06/22/06 09:18:00 PM,37.92,29.25
19,06/22/06 09:19:00 PM,37.92,29.25
20,06/22/06 09:20:00 PM,37.5,29.25
21,06/22/06 09:21:00 PM,37.29,29.25
22,06/22/06 09:22:00 PM,36.88,29.25
23,06/22/06 09:23:00 PM,36.88,29.25
24,06/22/06 09:24:00 PM,36.26,29.07
25,06/22/06 09:25:00 PM,36.05,29.25
26,06/22/06 09:26:00 PM,36.05,29.07
27,06/22/06 09:27:00 PM,36.05,29.07
28,06/22/06 09:28:00 PM,36.05,29.07
29,06/22/06 09:29:00 PM,36.05,29.07
30,06/22/06 09:30:00 PM,36.05,29.07
31,06/22/06 09:31:00 PM,36.05,29.07
32,06/22/06 09:32:00 PM,35.85,29.07
33,06/22/06 09:33:00 PM,35.85,28.88
34,06/22/06 09:34:00 PM,35.85,28.88
35,06/22/06 09:35:00 PM,36.05,28.88
36,06/22/06 09:36:00 PM,36.05,28.88
37,06/22/06 09:37:00 PM,36.26,28.88
38,06/22/06 09:38:00 PM,35.85,28.88
39,06/22/06 09:39:00 PM,36.05,28.88
40,06/22/06 09:40:00 PM,36.26,28.7
41,06/22/06 09:41:00 PM,36.46,28.7
42,06/22/06 09:42:00 PM,36.46,28.7
43,06/22/06 09:43:00 PM,36.46,28.7
44,06/22/06 09:44:00 PM,36.67,28.7
45,06/22/06 09:45:00 PM,36.46,28.51
46,06/22/06 09:46:00 PM,36.46,28.51
47,06/22/06 09:47:00 PM,36.46,28.51
48,06/22/06 09:48:00 PM,36.46,28.51
49,06/22/06 09:49:00 PM,36.46,28.51
50,06/22/06 09:50:00 PM,36.46,28.51
51,06/22/06 09:51:00 PM,36.46,28.51
52,06/22/06 09:52:00 PM,36.46,28.33
53,06/22/06 09:53:00 PM,36.67,28.33
54,06/22/06 09:54:00 PM,36.67,28.33
55,06/22/06 09:55:00 PM,36.67,28.33
56,06/22/06 09:56:00 PM,36.46,28.33
57,06/22/06 09:57:00 PM,37.08,28.33
58,06/22/06 09:58:00 PM,37.29,28.33
59,06/22/06 09:59:00 PM,37.5,28.33
60,06/22/06 10:00:00 PM,37.08,28.33
61,06/22/06 10:01:00 PM,36.88,28.33
62,06/22/06 10:02:00 PM,36.67,28.15
63,06/22/06 10:03:00 PM,36.05,28.15
64,06/22/06 10:04:00 PM,36.46,28.15
65,06/22/06 10:05:00 PM,36.67,28.15
66,06/22/06 10:06:00 PM,36.88,28.15
67,06/22/06 10:07:00 PM,36.88,28.15
68,06/22/06 10:08:00 PM,37.08,28.15
69,06/22/06 10:09:00 PM,37.08,28.15
70,06/22/06 10:10:00 PM,37.08,28.15
71,06/22/06 10:11:00 PM,37.08,28.15
72,06/22/06 10:12:00 PM,37.08,28.15
73,06/22/06 10:13:00 PM,36.88,28.15
74,06/22/06 10:14:00 PM,36.88,28.15
75,06/22/06 10:15:00 PM,37.08,28.15
76,06/22/06 10:16:00 PM,37.29,28.15
77,06/22/06 10:17:00 PM,37.29,28.15
78,06/22/06 10:18:00 PM,37.29,28.15
79,06/22/06 10:19:00 PM,37.5,28.15
80,06/22/06 10:20:00 PM,37.29,28.15
81,06/22/06 10:21:00 PM,37.29,28.15
82,06/22/06 10:22:00 PM,37.29,28.15
83,06/22/06 10:23:00 PM,37.71,27.96
84,06/22/06 10:24:00 PM,37.92,27.96
85,06/22/06 10:25:00 PM,37.92,27.96
86,06/22/06 10:26:00 PM,37.92,27.96
87,06/22/06 10:27:00 PM,37.92,27.96
88,06/22/06 10:28:00 PM,37.92,27.96
89,06/22/06 10:29:00 PM,37.92,27.96
90,06/22/06 10:30:00 PM,37.92,27.96
91,06/22/06 10:31:00 PM,37.92,27.96
92,06/22/06 10:32:00 PM,37.92,27.78
93,06/22/06 10:33:00 PM,37.29,27.78
94,06/22/06 10:34:00 PM,37.71,27.78
95,06/22/06 10:35:00 PM,37.71,27.78
96,06/22/06 10:36:00 PM,37.92,27.78
97,06/22/06 10:37:00 PM,37.92,27.6
98,06/22/06 10:38:00 PM,37.92,27.6
99,06/22/06 10:39:00 PM,37.92,27.6
100,06/22/06 10:40:00 PM,37.92,27.78
101,06/22/06 10:41:00 PM,37.92,27.78
102,06/22/06 10:42:00 PM,37.92,27.78
103,06/22/06 10:43:00 PM,37.71,27.78
104,06/22/06 10:44:00 PM,37.71,27.6
105,06/22/06 10:45:00 PM,37.71,27.6
106,06/22/06 10:46:00 PM,37.71,27.6
107,06/22/06 10:47:00 PM,37.71,27.6
108,06/22/06 10:48:00 PM,37.5,27.6
109,06/22/06 10:49:00 PM,37.5,27.6
110,06/22/06 10:50:00 PM,37.5,27.6
111,06/22/06 10:51:00 PM,37.29,27.42
112,06/22/06 10:52:00 PM,37.29,27.42
113,06/22/06 10:53:00 PM,37.29,27.42
114,06/22/06 10:54:00 PM,37.29,27.42
115,06/22/06 10:55:00 PM,37.29,27.42
116,06/22/06 10:56:00 PM,37.29,27.24
117,06/22/06 10:57:00 PM,37.29,27.24
118,06/22/06 10:58:00 PM,37.29,27.24
119,06/22/06 10:59:00 PM,37.5,27.24
120,06/22/06 11:00:00 PM,37.5,27.24
121,06/22/06 11:01:00 PM,37.5,27.24
122,06/22/06 11:02:00 PM,37.08,27.24
123,06/22/06 11:03:00 PM,36.88,27.24
124,06/22/06 11:04:00 PM,36.88,27.24
125,06/22/06 11:05:00 PM,36.88,27.24
126,06/22/06 11:06:00 PM,36.88,27.24
127,06/22/06 11:07:00 PM,36.88,27.24
128,06/22/06 11:08:00 PM,36.88,27.24
129,06/22/06 11:09:00 PM,36.88,27.24
130,06/22/06 11:10:00 PM,36.67,27.24
131,06/22/06 11:11:00 PM,36.46,27.06
132,06/22/06 11:12:00 PM,36.88,27.06
133,06/22/06 11:13:00 PM,37.08,27.06
134,06/22/06 11:14:00 PM,37.29,27.24
135,06/22/06 11:15:00 PM,37.29,27.24
136,06/22/06 11:16:00 PM,37.29,27.24
137,06/22/06 11:17:00 PM,37.29,27.24
138,06/22/06 11:18:00 PM,37.5,27.24
139,06/22/06 11:19:00 PM,37.5,27.24
140,06/22/06 11:20:00 PM,37.5,27.24
141,06/22/06 11:21:00 PM,37.5,27.24
142,06/22/06 11:22:00 PM,37.5,27.24
143,06/22/06 11:23:00 PM,37.29,27.06
144,06/22/06 11:24:00 PM,36.88,27.06
145,06/22/06 11:25:00 PM,36.88,27.06
146,06/22/06 11:26:00 PM,36.88,27.06
147,06/22/06 11:27:00 PM,36.88,27.06
148,06/22/06 11:28:00 PM,36.88,27.06
149,06/22/06 11:29:00 PM,36.88,27.06
