#,date,tempe,ambient
1,06/30/06 08:01:00 PM,32.08,30.37
2,06/30/06 08:02:00 PM,32.08,30.37
3,06/30/06 08:03:00 PM,33.44,30.37
4,06/30/06 08:04:00 PM,34.43,30.37
5,06/30/06 08:05:00 PM,34.63,30.37
6,06/30/06 08:06:00 PM,34.83,30.37
7,06/30/06 08:07:00 PM,35.03,30.18
8,06/30/06 08:08:00 PM,35.03,30.18
9,06/30/06 08:09:00 PM,35.03,30.18
10,06/30/06 08:10:00 PM,35.03,30.0
11,06/30/06 08:11:00 PM,35.03,30.0
12,06/30/06 08:12:00 PM,35.03,30.18
13,06/30/06 08:13:00 PM,34.83,30.0
14,06/30/06 08:14:00 PM,34.23,30.18
15,06/30/06 08:15:00 PM,34.04,30.0
16,06/30/06 08:16:00 PM,33.84,30.0
17,06/30/06 08:17:00 PM,33.64,30.0
18,06/30/06 08:18:00 PM,33.44,30.0
19,06/30/06 08:19:00 PM,33.25,30.0
20,06/30/06 08:20:00 PM,33.05,29.81
21,06/30/06 08:21:00 PM,32.86,29.81
22,06/30/06 08:22:00 PM,32.86,29.81
23,06/30/06 08:23:00 PM,32.66,29.62
24,06/30/06 08:24:00 PM,32.66,29.62
25,06/30/06 08:25:00 PM,32.47,29.62
26,06/30/06 08:26:00 PM,32.28,29.62
27,06/30/06 08:27:00 PM,32.28,29.62
28,06/30/06 08:28:00 PM,32.08,29.44
29,06/30/06 08:29:00 PM,32.08,29.44
30,06/30/06 08:30:00 PM,31.89,29.44
31,06/30/06 08:31:00 PM,31.89,29.25
32,06/30/06 08:32:00 PM,31.7,29.25
33,06/30/06 08:33:00 PM,31.7,29.25
34,06/30/06 08:34:00 PM,31.51,29.25
35,06/30/06 08:35:00 PM,31.51,29.25
36,06/30/06 08:36:00 PM,31.32,29.07
37,06/30/06 08:37:00 PM,31.32,29.07
38,06/30/06 08:38:00 PM,31.32,29.07
39,06/30/06 08:39:00 PM,31.13,29.07
40,06/30/06 08:40:00 PM,31.13,28.88
41,06/30/06 08:41:00 PM,30.94,28.88
42,06/30/06 08:42:00 PM,30.94,28.88
43,06/30/06 08:43:00 PM,30.75,28.88
44,06/30/06 08:44:00 PM,30.75,28.88
45,06/30/06 08:45:00 PM,30.75,28.88
46,06/30/06 08:46:00 PM,30.56,28.88
47,06/30/06 08:47:00 PM,30.56,28.88
48,06/30/06 08:48:00 PM,30.56,28.7
49,06/30/06 08:49:00 PM,30.37,28.7
50,06/30/06 08:50:00 PM,30.37,28.7
51,06/30/06 08:51:00 PM,30.37,28.88
52,06/30/06 08:52:00 PM,30.18,28.7
53,06/30/06 08:53:00 PM,30.18,28.7
54,06/30/06 08:54:00 PM,30.18,28.7
55,06/30/06 08:55:00 PM,30.0,28.51
56,06/30/06 08:56:00 PM,30.18,28.51
57,06/30/06 08:57:00 PM,30.18,28.51
58,06/30/06 08:58:00 PM,30.56,28.51
59,06/30/06 08:59:00 PM,30.94,28.7
60,06/30/06 09:00:00 PM,31.32,28.7
61,06/30/06 09:01:00 PM,31.51,28.51
62,06/30/06 09:02:00 PM,31.7,28.51
63,06/30/06 09:03:00 PM,31.89,28.51
64,06/30/06 09:04:00 PM,32.28,28.51
65,06/30/06 09:05:00 PM,32.66,28.51
66,06/30/06 09:06:00 PM,33.05,28.33
67,06/30/06 09:07:00 PM,33.25,28.33
68,06/30/06 09:08:00 PM,33.25,28.33
69,06/30/06 09:09:00 PM,33.25,28.33
70,06/30/06 09:10:00 PM,33.44,28.33
71,06/30/06 09:11:00 PM,33.44,28.33
72,06/30/06 09:12:00 PM,33.44,28.33
73,06/30/06 09:13:00 PM,33.44,28.33
74,06/30/06 09:14:00 PM,33.64,28.33
75,06/30/06 09:15:00 PM,33.64,28.33
76,06/30/06 09:16:00 PM,33.64,28.33
77,06/30/06 09:17:00 PM,33.64,28.15
78,06/30/06 09:18:00 PM,33.84,28.15
79,06/30/06 09:19:00 PM,34.04,28.15
80,06/30/06 09:20:00 PM,33.84,28.15
81,06/30/06 09:21:00 PM,33.84,28.15
82,06/30/06 09:22:00 PM,34.04,28.15
83,06/30/06 09:23:00 PM,34.04,28.15
84,06/30/06 09:24:00 PM,34.04,27.96
85,06/30/06 09:25:00 PM,34.04,27.96
86,06/30/06 09:26:00 PM,34.04,27.96
87,06/30/06 09:27:00 PM,34.04,27.96
88,06/30/06 09:28:00 PM,34.23,27.78
89,06/30/06 09:29:00 PM,34.04,27.78
90,06/30/06 09:30:00 PM,34.04,27.78
91,06/30/06 09:31:00 PM,34.04,27.78
92,06/30/06 09:32:00 PM,34.23,27.6
93,06/30/06 09:33:00 PM,34.23,27.6
94,06/30/06 09:34:00 PM,34.04,27.6
95,06/30/06 09:35:00 PM,34.04,27.6
96,06/30/06 09:36:00 PM,34.04,27.6
97,06/30/06 09:37:00 PM,34.04,27.6
98,06/30/06 09:38:00 PM,34.04,27.42
99,06/30/06 09:39:00 PM,34.04,27.42
100,06/30/06 09:40:00 PM,34.04,27.42
101,06/30/06 09:41:00 PM,34.04,27.42
102,06/30/06 09:42:00 PM,34.04,27.42
103,06/30/06 09:43:00 PM,34.04,27.42
104,06/30/06 09:44:00 PM,34.23,27.42
105,06/30/06 09:45:00 PM,34.04,27.42
106,06/30/06 09:46:00 PM,34.04,27.42
107,06/30/06 09:47:00 PM,34.04,27.6
108,06/30/06 09:48:00 PM,34.04,27.6
