#,date,tempe,ambient
1,06/10/05 06:01:00 PM,32.47,26.16
2,06/10/05 06:02:00 PM,32.86,26.34
3,06/10/05 06:03:00 PM,33.05,26.34
4,06/10/05 06:04:00 PM,33.25,26.34
5,06/10/05 06:05:00 PM,33.44,26.34
6,06/10/05 06:06:00 PM,32.47,26.52
7,06/10/05 06:07:00 PM,32.86,26.52
8,06/10/05 06:08:00 PM,33.05,26.52
9,06/10/05 06:09:00 PM,31.89,26.52
10,06/10/05 06:10:00 PM,32.08,26.52
11,06/10/05 06:11:00 PM,32.08,26.52
12,06/10/05 06:12:00 PM,29.07,26.52
13,06/10/05 06:13:00 PM,28.33,26.16
14,06/10/05 06:14:00 PM,27.42,25.98
15,06/10/05 06:15:00 PM,26.88,25.8
16,06/10/05 06:16:00 PM,26.7,25.8
17,06/10/05 06:17:00 PM,26.52,25.8
18,06/10/05 06:18:00 PM,26.34,25.62
19,06/10/05 06:19:00 PM,29.07,25.62
20,06/10/05 06:20:00 PM,33.44,25.8
21,06/10/05 06:21:00 PM,35.03,25.8
22,06/10/05 06:22:00 PM,35.85,25.98
23,06/10/05 06:23:00 PM,36.05,26.16
24,06/10/05 06:24:00 PM,36.05,26.16
25,06/10/05 06:25:00 PM,36.26,26.16
26,06/10/05 06:26:00 PM,36.26,26.34
27,06/10/05 06:27:00 PM,36.26,26.34
28,06/10/05 06:28:00 PM,36.46,26.34
29,06/10/05 06:29:00 PM,36.46,26.34
30,06/10/05 06:30:00 PM,36.46,26.52
31,06/10/05 06:31:00 PM,33.64,26.52
32,06/10/05 06:32:00 PM,33.05,26.34
33,06/10/05 06:33:00 PM,32.66,26.34
34,06/10/05 06:34:00 PM,29.07,26.34
35,06/10/05 06:35:00 PM,27.78,26.16
36,06/10/05 06:36:00 PM,26.88,25.98
37,06/10/05 06:37:00 PM,26.52,25.98
38,06/10/05 06:38:00 PM,26.16,25.8
39,06/10/05 06:39:00 PM,25.98,25.8
40,06/10/05 06:40:00 PM,25.98,25.8
41,06/10/05 06:41:00 PM,25.8,25.62
42,06/10/05 06:42:00 PM,25.8,25.62
43,06/10/05 06:43:00 PM,25.8,25.62
44,06/10/05 06:44:00 PM,25.8,25.62
45,06/10/05 06:45:00 PM,25.62,25.62
46,06/10/05 06:46:00 PM,25.62,25.62
47,06/10/05 06:47:00 PM,25.62,25.62
48,06/10/05 06:48:00 PM,25.62,25.62
49,06/10/05 06:49:00 PM,25.62,25.62
50,06/10/05 06:50:00 PM,25.62,25.62
51,06/10/05 06:51:00 PM,25.44,25.44
52,06/10/05 06:52:00 PM,26.16,25.44
53,06/10/05 06:53:00 PM,27.24,25.44
54,06/10/05 06:54:00 PM,27.78,25.62
55,06/10/05 06:55:00 PM,27.78,25.62
56,06/10/05 06:56:00 PM,29.07,25.62
57,06/10/05 06:57:00 PM,30.0,25.8
58,06/10/05 06:58:00 PM,30.75,25.8
59,06/10/05 06:59:00 PM,31.32,25.98
60,06/10/05 07:00:00 PM,29.44,25.98
61,06/10/05 07:01:00 PM,27.24,25.8
62,06/10/05 07:02:00 PM,26.34,25.62
63,06/10/05 07:03:00 PM,25.8,25.44
64,06/10/05 07:04:00 PM,25.62,25.44
65,06/10/05 07:05:00 PM,25.62,25.44
66,06/10/05 07:06:00 PM,25.44,25.44
67,06/10/05 07:07:00 PM,25.44,25.27
68,06/10/05 07:08:00 PM,25.44,25.27
69,06/10/05 07:09:00 PM,26.88,25.27
70,06/10/05 07:10:00 PM,27.6,25.27
71,06/10/05 07:11:00 PM,28.33,25.44
72,06/10/05 07:12:00 PM,28.88,25.44
73,06/10/05 07:13:00 PM,29.07,25.44
74,06/10/05 07:14:00 PM,29.81,25.62
75,06/10/05 07:15:00 PM,30.18,25.62
76,06/10/05 07:16:00 PM,30.75,25.62
77,06/10/05 07:17:00 PM,30.18,25.62
78,06/10/05 07:18:00 PM,30.18,25.8
79,06/10/05 07:19:00 PM,30.56,25.8
80,06/10/05 07:20:00 PM,30.94,25.8
81,06/10/05 07:21:00 PM,30.0,25.8
82,06/10/05 07:22:00 PM,31.51,25.8
83,06/10/05 07:23:00 PM,33.05,25.8
84,06/10/05 07:24:00 PM,33.64,25.98
85,06/10/05 07:25:00 PM,34.04,25.98
86,06/10/05 07:26:00 PM,34.04,26.16
87,06/10/05 07:27:00 PM,34.04,26.16
88,06/10/05 07:28:00 PM,32.86,26.16
89,06/10/05 07:29:00 PM,33.05,26.16
90,06/10/05 07:30:00 PM,31.89,26.16
91,06/10/05 07:31:00 PM,31.89,25.98
92,06/10/05 07:32:00 PM,32.08,25.98
93,06/10/05 07:33:00 PM,32.08,25.98
94,06/10/05 07:34:00 PM,32.08,26.16
95,06/10/05 07:35:00 PM,32.08,26.16
96,06/10/05 07:36:00 PM,31.89,26.16
97,06/10/05 07:37:00 PM,32.28,26.16
98,06/10/05 07:38:00 PM,32.47,26.16
99,06/10/05 07:39:00 PM,32.66,26.16
100,06/10/05 07:40:00 PM,32.66,26.16
101,06/10/05 07:41:00 PM,32.66,26.16
102,06/10/05 07:42:00 PM,33.05,26.16
103,06/10/05 07:43:00 PM,34.83,26.16
104,06/10/05 07:44:00 PM,35.64,26.34
105,06/10/05 07:45:00 PM,36.05,26.34
106,06/10/05 07:46:00 PM,36.26,26.52
107,06/10/05 07:47:00 PM,30.18,26.34
108,06/10/05 07:48:00 PM,27.96,25.98
109,06/10/05 07:49:00 PM,27.06,25.8
110,06/10/05 07:50:00 PM,26.7,25.8
111,06/10/05 07:51:00 PM,26.16,25.62
112,06/10/05 07:52:00 PM,25.98,25.62
113,06/10/05 07:53:00 PM,26.34,25.62
114,06/10/05 07:54:00 PM,26.88,25.62
115,06/10/05 07:55:00 PM,28.51,25.8
116,06/10/05 07:56:00 PM,29.62,25.8
117,06/10/05 07:57:00 PM,30.37,25.98
118,06/10/05 07:58:00 PM,30.94,25.98
119,06/10/05 07:59:00 PM,31.51,26.16
120,06/10/05 08:00:00 PM,31.89,26.16
121,06/10/05 08:01:00 PM,31.13,26.34
122,06/10/05 08:02:00 PM,31.13,26.16
123,06/10/05 08:03:00 PM,29.44,26.16
124,06/10/05 08:04:00 PM,29.81,25.98
125,06/10/05 08:05:00 PM,30.0,26.16
126,06/10/05 08:06:00 PM,30.18,26.16
127,06/10/05 08:07:00 PM,30.37,26.16
128,06/10/05 08:08:00 PM,30.18,26.16
129,06/10/05 08:09:00 PM,30.75,26.16
130,06/10/05 08:10:00 PM,31.13,26.16
131,06/10/05 08:11:00 PM,31.51,26.16
132,06/10/05 08:12:00 PM,31.7,26.16
133,06/10/05 08:13:00 PM,29.44,26.16
134,06/10/05 08:14:00 PM,27.6,25.98
135,06/10/05 08:15:00 PM,27.06,25.8
136,06/10/05 08:16:00 PM,26.52,25.62
137,06/10/05 08:17:00 PM,26.34,25.62
138,06/10/05 08:18:00 PM,26.16,25.44
