#,date,tempe,ambient
1,07/08/06 09:01:00 AM,31.7,27.42
2,07/08/06 09:02:00 AM,32.28,27.6
3,07/08/06 09:03:00 AM,32.86,27.6
4,07/08/06 09:04:00 AM,33.44,27.78
5,07/08/06 09:05:00 AM,33.64,27.78
6,07/08/06 09:06:00 AM,34.04,27.6
7,07/08/06 09:07:00 AM,34.04,27.78
8,07/08/06 09:08:00 AM,34.04,27.78
9,07/08/06 09:09:00 AM,34.04,27.78
10,07/08/06 09:10:00 AM,34.04,27.96
11,07/08/06 09:11:00 AM,34.04,27.96
12,07/08/06 09:12:00 AM,34.04,27.78
13,07/08/06 09:13:00 AM,33.44,27.96
14,07/08/06 09:14:00 AM,32.66,27.78
15,07/08/06 09:15:00 AM,32.08,27.96
16,07/08/06 09:16:00 AM,31.51,27.96
17,07/08/06 09:17:00 AM,31.32,27.96
18,07/08/06 09:18:00 AM,31.51,28.15
19,07/08/06 09:19:00 AM,31.89,28.33
20,07/08/06 09:20:00 AM,32.28,28.15
21,07/08/06 09:21:00 AM,32.28,28.15
22,07/08/06 09:22:00 AM,33.05,28.33
23,07/08/06 09:23:00 AM,33.64,28.51
24,07/08/06 09:24:00 AM,33.84,28.51
25,07/08/06 09:25:00 AM,33.44,28.7
26,07/08/06 09:26:00 AM,32.86,28.7
27,07/08/06 09:27:00 AM,32.47,28.88
28,07/08/06 09:28:00 AM,31.89,28.88
29,07/08/06 09:29:00 AM,31.32,28.7
30,07/08/06 09:30:00 AM,31.13,28.88
31,07/08/06 09:31:00 AM,31.51,28.88
32,07/08/06 09:32:00 AM,32.47,29.07
33,07/08/06 09:33:00 AM,33.25,29.07
34,07/08/06 09:34:00 AM,33.64,29.25
35,07/08/06 09:35:00 AM,33.64,29.07
36,07/08/06 09:36:00 AM,33.25,29.07
37,07/08/06 09:37:00 AM,32.66,29.44
38,07/08/06 09:38:00 AM,32.28,29.44
39,07/08/06 09:39:00 AM,31.7,29.44
40,07/08/06 09:40:00 AM,31.32,29.07
41,07/08/06 09:41:00 AM,30.94,29.07
42,07/08/06 09:42:00 AM,30.94,28.88
43,07/08/06 09:43:00 AM,31.13,28.7
44,07/08/06 09:44:00 AM,32.28,28.51
45,07/08/06 09:45:00 AM,33.25,28.51
46,07/08/06 09:46:00 AM,33.64,28.7
47,07/08/06 09:47:00 AM,34.04,29.07
48,07/08/06 09:48:00 AM,34.43,29.44
49,07/08/06 09:49:00 AM,34.63,29.44
50,07/08/06 09:50:00 AM,34.83,29.44
51,07/08/06 09:51:00 AM,34.83,29.44
52,07/08/06 09:52:00 AM,34.63,29.62
53,07/08/06 09:53:00 AM,34.63,29.07
54,07/08/06 09:54:00 AM,33.84,28.88
55,07/08/06 09:55:00 AM,33.25,29.07
