#,date,tempe,ambient
1,04/24/06 08:21:00 PM,22.98,22.98
2,04/24/06 08:22:00 PM,22.98,22.98
3,04/24/06 08:23:00 PM,22.98,22.98
4,04/24/06 08:24:00 PM,22.81,22.98
5,04/24/06 08:25:00 PM,22.81,22.98
6,04/24/06 08:26:00 PM,22.81,22.98
7,04/24/06 08:27:00 PM,22.81,22.98
8,04/24/06 08:28:00 PM,22.81,22.98
9,04/24/06 08:29:00 PM,22.81,22.98
10,04/24/06 08:30:00 PM,22.81,22.81
11,04/24/06 08:31:00 PM,22.81,22.81
12,04/24/06 08:32:00 PM,22.81,22.81
13,04/24/06 08:33:00 PM,22.81,22.81
14,04/24/06 08:34:00 PM,22.81,22.81
15,04/24/06 08:35:00 PM,22.81,22.81
16,04/24/06 08:36:00 PM,22.81,22.81
17,04/24/06 08:37:00 PM,22.81,22.81
18,04/24/06 08:38:00 PM,22.81,22.81
19,04/24/06 08:39:00 PM,22.64,22.81
20,04/24/06 08:40:00 PM,22.81,22.81
21,04/24/06 08:41:00 PM,22.64,22.81
22,04/24/06 08:42:00 PM,22.64,22.64
23,04/24/06 08:43:00 PM,22.64,22.64
24,04/24/06 08:44:00 PM,22.64,22.64
25,04/24/06 08:45:00 PM,22.64,22.64
26,04/24/06 08:46:00 PM,22.64,22.64
27,04/24/06 08:47:00 PM,22.64,22.64
28,04/24/06 08:48:00 PM,22.64,22.64
29,04/24/06 08:49:00 PM,22.64,22.64
30,04/24/06 08:50:00 PM,22.64,22.64
31,04/24/06 08:51:00 PM,22.64,22.64
32,04/24/06 08:52:00 PM,22.64,22.46
33,04/24/06 08:53:00 PM,22.64,22.46
34,04/24/06 08:54:00 PM,22.64,22.46
35,04/24/06 08:55:00 PM,22.64,22.46
36,04/24/06 08:56:00 PM,22.64,22.46
37,04/24/06 08:57:00 PM,22.64,22.46
38,04/24/06 08:58:00 PM,22.64,22.46
39,04/24/06 08:59:00 PM,22.64,22.46
40,04/24/06 09:00:00 PM,22.64,22.46
