#,date,tempe,ambient
1,06/09/06 08:01:00 PM,34.63,30.94
2,06/09/06 08:02:00 PM,34.43,30.94
3,06/09/06 08:03:00 PM,34.43,30.94
4,06/09/06 08:04:00 PM,34.43,30.94
5,06/09/06 08:05:00 PM,34.43,30.94
6,06/09/06 08:06:00 PM,34.83,30.94
7,06/09/06 08:07:00 PM,35.03,30.94
8,06/09/06 08:08:00 PM,35.24,30.75
9,06/09/06 08:09:00 PM,35.64,30.75
10,06/09/06 08:10:00 PM,35.85,30.75
11,06/09/06 08:11:00 PM,36.05,30.75
12,06/09/06 08:12:00 PM,36.05,30.75
13,06/09/06 08:13:00 PM,35.85,30.56
14,06/09/06 08:14:00 PM,35.64,30.56
15,06/09/06 08:15:00 PM,35.64,30.56
16,06/09/06 08:16:00 PM,35.44,30.56
17,06/09/06 08:17:00 PM,35.24,30.56
18,06/09/06 08:18:00 PM,35.03,30.56
19,06/09/06 08:19:00 PM,34.83,30.37
20,06/09/06 08:20:00 PM,34.83,30.37
21,06/09/06 08:21:00 PM,34.63,30.37
22,06/09/06 08:22:00 PM,34.43,30.37
23,06/09/06 08:23:00 PM,34.43,30.18
24,06/09/06 08:24:00 PM,34.63,30.18
25,06/09/06 08:25:00 PM,34.83,30.18
26,06/09/06 08:26:00 PM,35.03,30.18
27,06/09/06 08:27:00 PM,35.24,30.18
28,06/09/06 08:28:00 PM,35.44,30.18
29,06/09/06 08:29:00 PM,35.64,30.18
30,06/09/06 08:30:00 PM,36.05,30.18
31,06/09/06 08:31:00 PM,36.05,30.0
32,06/09/06 08:32:00 PM,36.26,30.0
33,06/09/06 08:33:00 PM,36.46,30.0
34,06/09/06 08:34:00 PM,36.67,30.0
35,06/09/06 08:35:00 PM,36.67,30.0
36,06/09/06 08:36:00 PM,36.46,30.0
37,06/09/06 08:37:00 PM,36.46,30.0
38,06/09/06 08:38:00 PM,36.26,30.0
39,06/09/06 08:39:00 PM,36.05,30.0
40,06/09/06 08:40:00 PM,35.85,29.81
41,06/09/06 08:41:00 PM,35.64,29.81
42,06/09/06 08:42:00 PM,35.24,29.81
43,06/09/06 08:43:00 PM,35.24,29.81
44,06/09/06 08:44:00 PM,34.83,29.81
45,06/09/06 08:45:00 PM,34.43,29.81
46,06/09/06 08:46:00 PM,34.04,29.81
47,06/09/06 08:47:00 PM,33.84,29.81
48,06/09/06 08:48:00 PM,34.23,29.62
49,06/09/06 08:49:00 PM,34.63,29.62
50,06/09/06 08:50:00 PM,35.03,29.62
51,06/09/06 08:51:00 PM,35.44,29.62
52,06/09/06 08:52:00 PM,36.05,29.62
53,06/09/06 08:53:00 PM,36.46,29.62
54,06/09/06 08:54:00 PM,37.08,29.62
55,06/09/06 08:55:00 PM,37.29,29.44
56,06/09/06 08:56:00 PM,37.08,29.44
57,06/09/06 08:57:00 PM,37.08,29.44
58,06/09/06 08:58:00 PM,36.88,29.44
59,06/09/06 08:59:00 PM,36.88,29.44
60,06/09/06 09:00:00 PM,36.88,29.44
61,06/09/06 09:01:00 PM,36.88,29.44
62,06/09/06 09:02:00 PM,36.88,29.44
63,06/09/06 09:03:00 PM,36.88,29.44
64,06/09/06 09:04:00 PM,36.88,29.44
