#,date,tempe,ambient
1,05/04/06 09:01:00 PM,25.27,24.03
2,05/04/06 09:02:00 PM,25.27,24.03
3,05/04/06 09:03:00 PM,25.27,24.03
4,05/04/06 09:04:00 PM,25.09,23.86
5,05/04/06 09:05:00 PM,25.09,23.86
6,05/04/06 09:06:00 PM,25.09,23.86
7,05/04/06 09:07:00 PM,25.09,23.86
8,05/04/06 09:08:00 PM,24.91,23.86
9,05/04/06 09:09:00 PM,24.91,23.86
10,05/04/06 09:10:00 PM,24.74,23.68
11,05/04/06 09:11:00 PM,24.74,23.68
12,05/04/06 09:12:00 PM,24.74,23.68
13,05/04/06 09:13:00 PM,24.74,23.68
14,05/04/06 09:14:00 PM,25.09,23.68
15,05/04/06 09:15:00 PM,25.09,23.68
16,05/04/06 09:16:00 PM,24.91,23.68
17,05/04/06 09:17:00 PM,24.91,23.68
18,05/04/06 09:18:00 PM,24.91,23.68
19,05/04/06 09:19:00 PM,24.74,23.68
20,05/04/06 09:20:00 PM,24.74,23.51
21,05/04/06 09:21:00 PM,24.74,23.51
22,05/04/06 09:22:00 PM,24.56,23.51
23,05/04/06 09:23:00 PM,24.56,23.51
24,05/04/06 09:24:00 PM,24.56,23.51
25,05/04/06 09:25:00 PM,24.56,23.33
26,05/04/06 09:26:00 PM,24.56,23.33
27,05/04/06 09:27:00 PM,24.56,23.33
28,05/04/06 09:28:00 PM,24.56,23.16
29,05/04/06 09:29:00 PM,24.56,23.16
30,05/04/06 09:30:00 PM,24.38,23.16
31,05/04/06 09:31:00 PM,24.38,23.16
32,05/04/06 09:32:00 PM,24.21,22.98
33,05/04/06 09:33:00 PM,24.21,22.98
34,05/04/06 09:34:00 PM,24.03,22.98
35,05/04/06 09:35:00 PM,24.03,22.98
36,05/04/06 09:36:00 PM,24.03,22.98
37,05/04/06 09:37:00 PM,24.03,22.98
38,05/04/06 09:38:00 PM,23.86,22.81
39,05/04/06 09:39:00 PM,23.86,22.81
40,05/04/06 09:40:00 PM,24.03,22.81
41,05/04/06 09:41:00 PM,24.03,22.81
42,05/04/06 09:42:00 PM,24.03,22.81
43,05/04/06 09:43:00 PM,24.03,22.81
44,05/04/06 09:44:00 PM,24.03,22.81
45,05/04/06 09:45:00 PM,23.86,22.64
46,05/04/06 09:46:00 PM,24.03,22.64
47,05/04/06 09:47:00 PM,24.03,22.64
48,05/04/06 09:48:00 PM,23.86,22.64
49,05/04/06 09:49:00 PM,24.03,22.64
50,05/04/06 09:50:00 PM,23.68,22.46
51,05/04/06 09:51:00 PM,23.68,22.46
52,05/04/06 09:52:00 PM,23.86,22.46
53,05/04/06 09:53:00 PM,23.51,22.46
54,05/04/06 09:54:00 PM,23.33,22.29
55,05/04/06 09:55:00 PM,23.33,22.29
56,05/04/06 09:56:00 PM,23.16,22.29
57,05/04/06 09:57:00 PM,23.16,22.29
58,05/04/06 09:58:00 PM,22.98,22.29
59,05/04/06 09:59:00 PM,22.98,22.29
60,05/04/06 10:00:00 PM,22.98,22.29
61,05/04/06 10:01:00 PM,22.81,22.12
62,05/04/06 10:02:00 PM,22.81,22.12
63,05/04/06 10:03:00 PM,22.81,22.12
64,05/04/06 10:04:00 PM,22.64,22.12
65,05/04/06 10:05:00 PM,22.64,22.12
66,05/04/06 10:06:00 PM,22.64,21.95
67,05/04/06 10:07:00 PM,22.64,21.95
68,05/04/06 10:08:00 PM,22.81,21.95
69,05/04/06 10:09:00 PM,22.81,21.95
70,05/04/06 10:10:00 PM,22.98,21.95
71,05/04/06 10:11:00 PM,22.98,21.95
72,05/04/06 10:12:00 PM,22.98,21.95
73,05/04/06 10:13:00 PM,22.98,21.95
74,05/04/06 10:14:00 PM,22.98,21.95
75,05/04/06 10:15:00 PM,22.98,21.95
76,05/04/06 10:16:00 PM,22.98,21.95
77,05/04/06 10:17:00 PM,22.98,21.77
78,05/04/06 10:18:00 PM,22.98,21.77
79,05/04/06 10:19:00 PM,22.98,21.77
80,05/04/06 10:20:00 PM,22.98,21.77
81,05/04/06 10:21:00 PM,22.98,21.77
82,05/04/06 10:22:00 PM,22.81,21.6
83,05/04/06 10:23:00 PM,22.81,21.6
84,05/04/06 10:24:00 PM,22.64,21.6
85,05/04/06 10:25:00 PM,22.64,21.6
86,05/04/06 10:26:00 PM,22.64,21.6
87,05/04/06 10:27:00 PM,22.64,21.43
88,05/04/06 10:28:00 PM,22.64,21.43
89,05/04/06 10:29:00 PM,22.64,21.43
90,05/04/06 10:30:00 PM,22.64,21.43
