#,date,tempe,ambient
1,03/05/06 07:01:00 PM,37.08,19.38
2,03/05/06 07:02:00 PM,37.29,19.38
3,03/05/06 07:03:00 PM,37.29,19.55
4,03/05/06 07:04:00 PM,37.08,19.55
5,03/05/06 07:05:00 PM,37.29,19.55
6,03/05/06 07:06:00 PM,37.08,19.55
7,03/05/06 07:07:00 PM,37.08,19.55
8,03/05/06 07:08:00 PM,37.08,19.55
9,03/05/06 07:09:00 PM,37.29,19.55
10,03/05/06 07:10:00 PM,37.29,19.55
11,03/05/06 07:11:00 PM,37.29,19.55
12,03/05/06 07:12:00 PM,37.29,19.55
13,03/05/06 07:13:00 PM,37.29,19.55
14,03/05/06 07:14:00 PM,37.29,19.38
15,03/05/06 07:15:00 PM,37.29,19.38
16,03/05/06 07:16:00 PM,37.29,19.38
17,03/05/06 07:17:00 PM,37.29,19.38
18,03/05/06 07:18:00 PM,37.29,19.38
19,03/05/06 07:19:00 PM,37.08,19.38
20,03/05/06 07:20:00 PM,37.08,19.38
21,03/05/06 07:21:00 PM,37.08,19.21
22,03/05/06 07:22:00 PM,37.08,19.21
23,03/05/06 07:23:00 PM,37.08,19.21
24,03/05/06 07:24:00 PM,37.08,19.21
25,03/05/06 07:25:00 PM,37.08,19.21
26,03/05/06 07:26:00 PM,37.08,19.04
27,03/05/06 07:27:00 PM,37.08,19.04
28,03/05/06 07:28:00 PM,36.88,19.04
29,03/05/06 07:29:00 PM,36.88,19.04
30,03/05/06 07:30:00 PM,37.08,19.04
31,03/05/06 07:31:00 PM,37.08,18.87
32,03/05/06 07:32:00 PM,36.88,18.87
33,03/05/06 07:33:00 PM,36.88,18.87
34,03/05/06 07:34:00 PM,36.88,18.87
35,03/05/06 07:35:00 PM,36.88,18.87
36,03/05/06 07:36:00 PM,36.88,18.87
37,03/05/06 07:37:00 PM,36.88,18.7
38,03/05/06 07:38:00 PM,36.88,18.7
39,03/05/06 07:39:00 PM,36.88,18.7
40,03/05/06 07:40:00 PM,36.88,18.7
41,03/05/06 07:41:00 PM,36.88,18.7
42,03/05/06 07:42:00 PM,36.88,18.53
43,03/05/06 07:43:00 PM,36.88,18.53
44,03/05/06 07:44:00 PM,36.88,18.53
45,03/05/06 07:45:00 PM,36.88,18.53
46,03/05/06 07:46:00 PM,36.88,18.53
47,03/05/06 07:47:00 PM,36.88,18.36
48,03/05/06 07:48:00 PM,36.88,18.36
49,03/05/06 07:49:00 PM,36.88,18.36
50,03/05/06 07:50:00 PM,36.67,18.36
51,03/05/06 07:51:00 PM,36.67,18.36
52,03/05/06 07:52:00 PM,36.67,18.36
53,03/05/06 07:53:00 PM,36.67,18.19
54,03/05/06 07:54:00 PM,34.83,18.19
55,03/05/06 07:55:00 PM,33.44,18.19
56,03/05/06 07:56:00 PM,32.66,18.19
57,03/05/06 07:57:00 PM,32.08,18.19
58,03/05/06 07:58:00 PM,31.7,18.19
59,03/05/06 07:59:00 PM,31.32,18.19
60,03/05/06 08:00:00 PM,31.13,18.19
61,03/05/06 08:01:00 PM,30.94,18.19
62,03/05/06 08:02:00 PM,30.75,18.19
63,03/05/06 08:03:00 PM,30.75,17.85
64,03/05/06 08:04:00 PM,30.75,17.51
