#,date,tempe,ambient
1,06/01/06 08:01:00 PM,25.44,24.03
2,06/01/06 08:02:00 PM,28.33,24.03
3,06/01/06 08:03:00 PM,29.25,24.03
4,06/01/06 08:04:00 PM,29.25,24.03
5,06/01/06 08:05:00 PM,29.07,24.03
6,06/01/06 08:06:00 PM,29.07,24.03
7,06/01/06 08:07:00 PM,29.07,24.03
8,06/01/06 08:08:00 PM,29.07,24.03
9,06/01/06 08:09:00 PM,29.07,24.03
10,06/01/06 08:10:00 PM,29.07,23.86
11,06/01/06 08:11:00 PM,29.07,23.86
12,06/01/06 08:12:00 PM,29.07,23.86
13,06/01/06 08:13:00 PM,29.07,23.86
14,06/01/06 08:14:00 PM,29.07,23.86
15,06/01/06 08:15:00 PM,29.07,23.86
16,06/01/06 08:16:00 PM,28.88,23.86
17,06/01/06 08:17:00 PM,29.07,23.86
18,06/01/06 08:18:00 PM,29.07,23.86
19,06/01/06 08:19:00 PM,29.07,24.03
20,06/01/06 08:20:00 PM,29.07,23.86
21,06/01/06 08:21:00 PM,29.25,23.86
22,06/01/06 08:22:00 PM,29.25,24.03
23,06/01/06 08:23:00 PM,29.25,24.03
24,06/01/06 08:24:00 PM,29.44,24.03
25,06/01/06 08:25:00 PM,29.44,24.03
26,06/01/06 08:26:00 PM,29.44,23.86
27,06/01/06 08:27:00 PM,29.62,23.86
28,06/01/06 08:28:00 PM,30.0,23.86
29,06/01/06 08:29:00 PM,29.25,23.86
30,06/01/06 08:30:00 PM,28.88,23.86
31,06/01/06 08:31:00 PM,28.51,23.86
32,06/01/06 08:32:00 PM,28.15,23.86
33,06/01/06 08:33:00 PM,27.96,23.86
34,06/01/06 08:34:00 PM,27.78,23.68
35,06/01/06 08:35:00 PM,27.6,23.68
36,06/01/06 08:36:00 PM,27.42,23.68
37,06/01/06 08:37:00 PM,27.24,23.68
38,06/01/06 08:38:00 PM,27.06,23.68
39,06/01/06 08:39:00 PM,26.88,23.68
40,06/01/06 08:40:00 PM,26.7,23.68
41,06/01/06 08:41:00 PM,26.7,23.68
42,06/01/06 08:42:00 PM,26.52,23.68
43,06/01/06 08:43:00 PM,26.34,23.68
44,06/01/06 08:44:00 PM,26.34,23.68
45,06/01/06 08:45:00 PM,26.16,23.68
46,06/01/06 08:46:00 PM,26.16,23.68
47,06/01/06 08:47:00 PM,25.98,23.68
48,06/01/06 08:48:00 PM,25.98,23.68
49,06/01/06 08:49:00 PM,25.8,23.68
50,06/01/06 08:50:00 PM,25.62,23.68
51,06/01/06 08:51:00 PM,25.8,23.51
52,06/01/06 08:52:00 PM,26.16,23.51
53,06/01/06 08:53:00 PM,26.52,23.68
54,06/01/06 08:54:00 PM,26.88,23.68
55,06/01/06 08:55:00 PM,27.24,23.68
56,06/01/06 08:56:00 PM,27.6,23.68
57,06/01/06 08:57:00 PM,27.96,23.51
58,06/01/06 08:58:00 PM,28.15,23.68
59,06/01/06 08:59:00 PM,28.33,23.68
60,06/01/06 09:00:00 PM,28.51,23.51
61,06/01/06 09:01:00 PM,28.7,23.51
62,06/01/06 09:02:00 PM,28.7,23.68
63,06/01/06 09:03:00 PM,28.7,23.68
64,06/01/06 09:04:00 PM,28.7,23.51
65,06/01/06 09:05:00 PM,28.51,23.68
66,06/01/06 09:06:00 PM,28.51,23.68
67,06/01/06 09:07:00 PM,28.51,23.68
68,06/01/06 09:08:00 PM,28.7,23.68
69,06/01/06 09:09:00 PM,28.7,23.68
70,06/01/06 09:10:00 PM,28.88,23.68
71,06/01/06 09:11:00 PM,28.88,23.86
72,06/01/06 09:12:00 PM,29.07,23.86
73,06/01/06 09:13:00 PM,29.07,24.03
74,06/01/06 09:14:00 PM,29.07,23.86
75,06/01/06 09:15:00 PM,29.25,23.86
76,06/01/06 09:16:00 PM,29.07,23.86
77,06/01/06 09:17:00 PM,29.25,23.86
78,06/01/06 09:18:00 PM,29.07,23.86
79,06/01/06 09:19:00 PM,28.88,23.86
80,06/01/06 09:20:00 PM,28.88,23.86
81,06/01/06 09:21:00 PM,29.07,23.86
82,06/01/06 09:22:00 PM,29.25,23.86
83,06/01/06 09:23:00 PM,29.44,23.86
84,06/01/06 09:24:00 PM,29.44,23.86
85,06/01/06 09:25:00 PM,29.62,23.86
86,06/01/06 09:26:00 PM,29.62,23.86
87,06/01/06 09:27:00 PM,29.81,23.86
88,06/01/06 09:28:00 PM,29.81,23.68
89,06/01/06 09:29:00 PM,29.81,23.68
90,06/01/06 09:30:00 PM,29.81,23.68
91,06/01/06 09:31:00 PM,29.44,23.68
92,06/01/06 09:32:00 PM,29.44,23.86
93,06/01/06 09:33:00 PM,29.25,23.86
94,06/01/06 09:34:00 PM,29.07,23.86
95,06/01/06 09:35:00 PM,29.07,23.86
96,06/01/06 09:36:00 PM,28.88,23.86
97,06/01/06 09:37:00 PM,28.7,23.86
98,06/01/06 09:38:00 PM,28.33,23.86
99,06/01/06 09:39:00 PM,28.51,24.03
100,06/01/06 09:40:00 PM,28.51,24.03
101,06/01/06 09:41:00 PM,28.51,24.03
102,06/01/06 09:42:00 PM,28.88,24.03
103,06/01/06 09:43:00 PM,29.07,24.03
104,06/01/06 09:44:00 PM,29.07,24.03
105,06/01/06 09:45:00 PM,29.07,23.86
106,06/01/06 09:46:00 PM,29.25,24.03
107,06/01/06 09:47:00 PM,29.25,24.03
108,06/01/06 09:48:00 PM,29.25,24.03
109,06/01/06 09:49:00 PM,29.07,24.03
110,06/01/06 09:50:00 PM,28.88,24.03
111,06/01/06 09:51:00 PM,28.7,24.03
112,06/01/06 09:52:00 PM,28.7,24.03
113,06/01/06 09:53:00 PM,28.51,24.03
114,06/01/06 09:54:00 PM,28.7,24.03
115,06/01/06 09:55:00 PM,28.88,24.03
116,06/01/06 09:56:00 PM,29.07,24.03
117,06/01/06 09:57:00 PM,29.07,24.03
118,06/01/06 09:58:00 PM,28.88,24.03
119,06/01/06 09:59:00 PM,29.25,24.03
120,06/01/06 10:00:00 PM,29.44,24.03
121,06/01/06 10:01:00 PM,29.44,24.21
122,06/01/06 10:02:00 PM,29.44,24.21
123,06/01/06 10:03:00 PM,29.44,24.21
124,06/01/06 10:04:00 PM,29.44,24.21
125,06/01/06 10:05:00 PM,29.44,24.03
126,06/01/06 10:06:00 PM,29.44,24.21
127,06/01/06 10:07:00 PM,29.44,24.21
128,06/01/06 10:08:00 PM,29.44,24.21
129,06/01/06 10:09:00 PM,29.44,24.21
130,06/01/06 10:10:00 PM,29.62,24.21
131,06/01/06 10:11:00 PM,29.44,24.21
132,06/01/06 10:12:00 PM,29.44,24.21
133,06/01/06 10:13:00 PM,29.44,24.21
134,06/01/06 10:14:00 PM,29.44,24.21
135,06/01/06 10:15:00 PM,29.44,24.21
136,06/01/06 10:16:00 PM,29.25,24.03
137,06/01/06 10:17:00 PM,29.25,24.03
138,06/01/06 10:18:00 PM,29.44,24.03
139,06/01/06 10:19:00 PM,29.25,24.03
140,06/01/06 10:20:00 PM,29.25,24.03
141,06/01/06 10:21:00 PM,29.25,24.03
142,06/01/06 10:22:00 PM,29.07,24.03
143,06/01/06 10:23:00 PM,29.07,24.03
144,06/01/06 10:24:00 PM,29.07,24.03
145,06/01/06 10:25:00 PM,29.25,24.03
146,06/01/06 10:26:00 PM,29.07,24.03
147,06/01/06 10:27:00 PM,29.07,24.03
148,06/01/06 10:28:00 PM,29.07,24.03
149,06/01/06 10:29:00 PM,29.07,24.03
150,06/01/06 10:30:00 PM,29.07,24.03
151,06/01/06 10:31:00 PM,29.07,23.86
152,06/01/06 10:32:00 PM,28.88,23.86
153,06/01/06 10:33:00 PM,28.7,23.86
154,06/01/06 10:34:00 PM,28.7,23.86
155,06/01/06 10:35:00 PM,28.51,23.86
156,06/01/06 10:36:00 PM,28.51,23.86
157,06/01/06 10:37:00 PM,28.51,23.86
158,06/01/06 10:38:00 PM,28.51,23.86
159,06/01/06 10:39:00 PM,28.7,23.86
160,06/01/06 10:40:00 PM,28.7,23.86
161,06/01/06 10:41:00 PM,28.88,23.86
162,06/01/06 10:42:00 PM,29.07,23.86
163,06/01/06 10:43:00 PM,28.88,23.86
164,06/01/06 10:44:00 PM,28.7,23.86
165,06/01/06 10:45:00 PM,28.7,23.86
166,06/01/06 10:46:00 PM,28.51,23.86
167,06/01/06 10:47:00 PM,28.51,23.86
168,06/01/06 10:48:00 PM,28.51,23.86
169,06/01/06 10:49:00 PM,28.51,23.86
170,06/01/06 10:50:00 PM,28.51,23.86
171,06/01/06 10:51:00 PM,28.51,23.86
172,06/01/06 10:52:00 PM,28.51,23.86
173,06/01/06 10:53:00 PM,28.51,23.86
174,06/01/06 10:54:00 PM,28.51,23.86
175,06/01/06 10:55:00 PM,28.51,23.86
176,06/01/06 10:56:00 PM,28.51,23.86
177,06/01/06 10:57:00 PM,28.33,23.86
178,06/01/06 10:58:00 PM,28.33,23.86
179,06/01/06 10:59:00 PM,28.33,23.86
180,06/01/06 11:00:00 PM,28.33,23.86
181,06/01/06 11:01:00 PM,28.33,23.86
182,06/01/06 11:02:00 PM,28.33,23.86
183,06/01/06 11:03:00 PM,28.33,23.86
184,06/01/06 11:04:00 PM,28.15,23.86
185,06/01/06 11:05:00 PM,28.15,23.86
186,06/01/06 11:06:00 PM,27.96,23.86
187,06/01/06 11:07:00 PM,27.96,23.86
188,06/01/06 11:08:00 PM,27.96,23.68
189,06/01/06 11:09:00 PM,27.96,23.86
190,06/01/06 11:10:00 PM,27.78,23.86
191,06/01/06 11:11:00 PM,27.96,23.86
192,06/01/06 11:12:00 PM,27.96,23.86
193,06/01/06 11:13:00 PM,27.96,23.86
194,06/01/06 11:14:00 PM,27.96,23.68
195,06/01/06 11:15:00 PM,27.96,23.86
196,06/01/06 11:16:00 PM,27.96,23.68
197,06/01/06 11:17:00 PM,27.78,23.68
198,06/01/06 11:18:00 PM,27.96,23.68
199,06/01/06 11:19:00 PM,28.15,23.68
200,06/01/06 11:20:00 PM,28.33,23.68
201,06/01/06 11:21:00 PM,28.51,23.68
202,06/01/06 11:22:00 PM,28.7,23.68
203,06/01/06 11:23:00 PM,28.88,23.51
204,06/01/06 11:24:00 PM,28.88,23.51
205,06/01/06 11:25:00 PM,29.07,23.51
206,06/01/06 11:26:00 PM,29.07,23.51
207,06/01/06 11:27:00 PM,29.07,23.51
208,06/01/06 11:28:00 PM,29.07,23.51
209,06/01/06 11:29:00 PM,29.07,23.51
210,06/01/06 11:30:00 PM,29.07,23.51
211,06/01/06 11:31:00 PM,29.07,23.51
212,06/01/06 11:32:00 PM,29.07,23.51
213,06/01/06 11:33:00 PM,29.07,23.51
214,06/01/06 11:34:00 PM,28.88,23.51
215,06/01/06 11:35:00 PM,28.88,23.51
216,06/01/06 11:36:00 PM,29.07,23.51
217,06/01/06 11:37:00 PM,29.07,23.51
218,06/01/06 11:38:00 PM,29.07,23.51
219,06/01/06 11:39:00 PM,29.07,23.51
220,06/01/06 11:40:00 PM,29.25,23.51
221,06/01/06 11:41:00 PM,29.25,23.51
222,06/01/06 11:42:00 PM,29.25,23.51
223,06/01/06 11:43:00 PM,29.25,23.51
224,06/01/06 11:44:00 PM,29.44,23.51
225,06/01/06 11:45:00 PM,29.44,23.51
226,06/01/06 11:46:00 PM,29.62,23.51
227,06/01/06 11:47:00 PM,29.62,23.51
228,06/01/06 11:48:00 PM,29.81,23.51
229,06/01/06 11:49:00 PM,29.81,23.51
230,06/01/06 11:50:00 PM,29.81,23.51
231,06/01/06 11:51:00 PM,29.62,23.33
232,06/01/06 11:52:00 PM,29.62,23.33
233,06/01/06 11:53:00 PM,29.62,23.33
