"Plot Title: GL11_07_C4"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 455758)","H08 Temp., °C (LGR S/N: 455758)"
1,05/15/07 10:00:00 PM,33.64,21.77
2,05/15/07 10:01:00 PM,33.64,21.77
3,05/15/07 10:02:00 PM,33.64,21.77
4,05/15/07 10:03:00 PM,33.64,21.77
5,05/15/07 10:04:00 PM,33.64,21.77
6,05/15/07 10:05:00 PM,33.64,21.77
7,05/15/07 10:06:00 PM,33.44,21.77
8,05/15/07 10:07:00 PM,33.44,21.77
9,05/15/07 10:08:00 PM,33.25,21.77
10,05/15/07 10:09:00 PM,33.44,21.60
11,05/15/07 10:10:00 PM,33.44,21.60
12,05/15/07 10:11:00 PM,33.64,21.60
13,05/15/07 10:12:00 PM,33.64,21.60
14,05/15/07 10:13:00 PM,33.64,21.60
15,05/15/07 10:14:00 PM,33.64,21.60
16,05/15/07 10:15:00 PM,33.44,21.60
17,05/15/07 10:16:00 PM,33.44,21.60
18,05/15/07 10:17:00 PM,33.44,21.60
19,05/15/07 10:18:00 PM,33.44,21.60
20,05/15/07 10:19:00 PM,33.44,21.43
21,05/15/07 10:20:00 PM,33.44,21.60
22,05/15/07 10:21:00 PM,33.44,21.43
23,05/15/07 10:22:00 PM,33.44,21.43
24,05/15/07 10:23:00 PM,33.44,21.43
25,05/15/07 10:24:00 PM,33.44,21.43
26,05/15/07 10:25:00 PM,33.44,21.43
27,05/15/07 10:26:00 PM,33.44,21.43
28,05/15/07 10:27:00 PM,33.44,21.43
29,05/15/07 10:28:00 PM,33.44,21.43
30,05/15/07 10:29:00 PM,33.44,21.43
31,05/15/07 10:30:00 PM,33.44,21.43
32,05/15/07 10:31:00 PM,33.44,21.26
33,05/15/07 10:32:00 PM,33.44,21.26
34,05/15/07 10:33:00 PM,33.44,21.26
35,05/15/07 10:34:00 PM,33.44,21.26
36,05/15/07 10:35:00 PM,33.64,21.26
37,05/15/07 10:36:00 PM,33.64,21.26
38,05/15/07 10:37:00 PM,33.84,21.26
39,05/15/07 10:38:00 PM,33.84,21.26
40,05/15/07 10:39:00 PM,33.84,21.26
41,05/15/07 10:40:00 PM,33.84,21.26
42,05/15/07 10:41:00 PM,33.84,21.26
43,05/15/07 10:42:00 PM,33.84,21.26
44,05/15/07 10:43:00 PM,34.04,21.26
45,05/15/07 10:44:00 PM,33.84,21.26
46,05/15/07 10:45:00 PM,33.84,21.26
47,05/15/07 10:46:00 PM,33.84,21.26
48,05/15/07 10:47:00 PM,33.64,21.26
49,05/15/07 10:48:00 PM,33.64,21.26
50,05/15/07 10:49:00 PM,33.64,21.08
51,05/15/07 10:50:00 PM,33.64,21.08
52,05/15/07 10:51:00 PM,33.44,21.08
53,05/15/07 10:52:00 PM,33.44,21.08
54,05/15/07 10:53:00 PM,33.44,21.08
55,05/15/07 10:54:00 PM,33.44,21.08
56,05/15/07 10:55:00 PM,33.64,21.08
57,05/15/07 10:56:00 PM,33.64,21.08
58,05/15/07 10:57:00 PM,33.64,21.08
59,05/15/07 10:58:00 PM,33.64,20.91
60,05/15/07 10:59:00 PM,33.64,20.91
61,05/15/07 11:00:00 PM,33.64,20.91
62,05/15/07 11:01:00 PM,33.84,20.91
63,05/15/07 11:02:00 PM,33.84,20.91
64,05/15/07 11:03:00 PM,33.84,20.91
65,05/15/07 11:04:00 PM,33.84,20.91
66,05/15/07 11:05:00 PM,33.84,20.91
67,05/15/07 11:06:00 PM,33.84,20.91
68,05/15/07 11:07:00 PM,34.04,20.91
69,05/15/07 11:08:00 PM,34.04,20.74
70,05/15/07 11:09:00 PM,34.04,20.74
71,05/15/07 11:10:00 PM,34.04,20.74
72,05/15/07 11:11:00 PM,34.04,20.74
73,05/15/07 11:12:00 PM,34.04,20.74
74,05/15/07 11:13:00 PM,34.23,20.74
75,05/15/07 11:14:00 PM,34.23,20.74
76,05/15/07 11:15:00 PM,34.23,20.74
77,05/15/07 11:16:00 PM,34.23,20.74
78,05/15/07 11:17:00 PM,34.23,20.74
79,05/15/07 11:18:00 PM,34.23,20.74
80,05/15/07 11:19:00 PM,34.23,20.74
81,05/15/07 11:20:00 PM,34.23,20.74
82,05/15/07 11:21:00 PM,34.23,20.57
83,05/15/07 11:22:00 PM,34.04,20.57
84,05/15/07 11:23:00 PM,34.04,20.74
85,05/15/07 11:24:00 PM,33.84,20.57
86,05/15/07 11:25:00 PM,33.84,20.57
87,05/15/07 11:26:00 PM,33.84,20.57
88,05/15/07 11:27:00 PM,33.84,20.57
89,05/15/07 11:28:00 PM,33.84,20.57
90,05/15/07 11:29:00 PM,33.64,20.57
91,05/15/07 11:30:00 PM,33.84,20.57
92,05/15/07 11:31:00 PM,33.64,20.57
93,05/15/07 11:32:00 PM,33.64,20.57
94,05/15/07 11:33:00 PM,33.64,20.57
95,05/15/07 11:34:00 PM,33.64,20.57
96,05/15/07 11:35:00 PM,33.44,20.57
97,05/15/07 11:36:00 PM,33.44,20.57
98,05/15/07 11:37:00 PM,33.25,20.40
99,05/15/07 11:38:00 PM,33.05,20.40
100,05/15/07 11:39:00 PM,33.05,20.40
101,05/15/07 11:40:00 PM,33.05,20.40
102,05/15/07 11:41:00 PM,33.05,20.40
103,05/15/07 11:42:00 PM,33.05,20.40
104,05/15/07 11:43:00 PM,33.05,20.40
105,05/15/07 11:44:00 PM,33.05,20.40
106,05/15/07 11:45:00 PM,33.25,20.40
107,05/15/07 11:46:00 PM,33.25,20.40
108,05/15/07 11:47:00 PM,33.25,20.23
109,05/15/07 11:48:00 PM,33.25,20.23
110,05/15/07 11:49:00 PM,33.25,20.23
111,05/15/07 11:50:00 PM,33.25,20.23
112,05/15/07 11:51:00 PM,33.44,20.23
113,05/15/07 11:52:00 PM,33.44,20.23
114,05/15/07 11:53:00 PM,33.44,20.23
