"Plot Title: GL15_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 822541)","H08 Temp., °C (LGR S/N: 822541)"
1,05/22/07 09:00:00 PM,25.27,23.86
2,05/22/07 09:01:00 PM,25.27,23.86
3,05/22/07 09:02:00 PM,25.27,23.86
4,05/22/07 09:03:00 PM,25.27,23.86
5,05/22/07 09:04:00 PM,25.27,23.86
6,05/22/07 09:05:00 PM,25.27,23.86
7,05/22/07 09:06:00 PM,25.44,23.86
8,05/22/07 09:07:00 PM,25.44,23.68
9,05/22/07 09:08:00 PM,25.27,23.68
10,05/22/07 09:09:00 PM,25.44,23.68
11,05/22/07 09:10:00 PM,25.62,23.68
12,05/22/07 09:11:00 PM,25.62,23.68
13,05/22/07 09:12:00 PM,25.62,23.68
14,05/22/07 09:13:00 PM,25.80,23.68
15,05/22/07 09:14:00 PM,25.62,23.68
16,05/22/07 09:15:00 PM,25.80,23.68
17,05/22/07 09:16:00 PM,25.62,23.68
18,05/22/07 09:17:00 PM,25.62,23.51
19,05/22/07 09:18:00 PM,25.62,23.51
20,05/22/07 09:19:00 PM,25.44,23.68
21,05/22/07 09:20:00 PM,25.44,23.51
22,05/22/07 09:21:00 PM,25.44,23.51
23,05/22/07 09:22:00 PM,25.27,23.51
24,05/22/07 09:23:00 PM,25.09,23.33
25,05/22/07 09:24:00 PM,25.27,23.33
26,05/22/07 09:25:00 PM,25.09,23.51
27,05/22/07 09:26:00 PM,25.09,23.51
28,05/22/07 09:27:00 PM,25.09,23.51
29,05/22/07 09:28:00 PM,25.09,23.33
30,05/22/07 09:29:00 PM,25.09,23.33
31,05/22/07 09:30:00 PM,25.27,23.33
32,05/22/07 09:31:00 PM,25.27,23.33
33,05/22/07 09:32:00 PM,25.62,23.33
34,05/22/07 09:33:00 PM,25.62,23.33
35,05/22/07 09:34:00 PM,25.44,23.33
36,05/22/07 09:35:00 PM,25.44,23.33
37,05/22/07 09:36:00 PM,25.44,23.33
38,05/22/07 09:37:00 PM,25.27,23.33
39,05/22/07 09:38:00 PM,25.27,23.33
40,05/22/07 09:39:00 PM,25.44,23.16
41,05/22/07 09:40:00 PM,25.27,23.16
42,05/22/07 09:41:00 PM,25.62,23.16
43,05/22/07 09:42:00 PM,25.62,23.16
44,05/22/07 09:43:00 PM,25.98,23.16
45,05/22/07 09:44:00 PM,26.16,23.16
46,05/22/07 09:45:00 PM,26.34,23.16
47,05/22/07 09:46:00 PM,26.34,23.16
48,05/22/07 09:47:00 PM,26.52,23.16
49,05/22/07 09:48:00 PM,26.52,23.16
50,05/22/07 09:49:00 PM,26.34,23.16
51,05/22/07 09:50:00 PM,26.34,23.16
52,05/22/07 09:51:00 PM,26.52,23.16
53,05/22/07 09:52:00 PM,26.52,22.98
54,05/22/07 09:53:00 PM,26.52,22.98
55,05/22/07 09:54:00 PM,26.52,22.98
56,05/22/07 09:55:00 PM,26.52,22.98
57,05/22/07 09:56:00 PM,26.52,22.98
58,05/22/07 09:57:00 PM,26.52,22.98
59,05/22/07 09:58:00 PM,26.52,22.98
60,05/22/07 09:59:00 PM,26.52,22.98
61,05/22/07 10:00:00 PM,26.34,22.98
62,05/22/07 10:01:00 PM,26.34,22.98
63,05/22/07 10:02:00 PM,26.16,22.98
64,05/22/07 10:03:00 PM,26.16,22.98
65,05/22/07 10:04:00 PM,26.16,22.98
66,05/22/07 10:05:00 PM,26.34,22.81
67,05/22/07 10:06:00 PM,26.34,22.81
68,05/22/07 10:07:00 PM,26.52,22.81
69,05/22/07 10:08:00 PM,26.52,22.81
70,05/22/07 10:09:00 PM,26.34,22.81
71,05/22/07 10:10:00 PM,26.52,22.81
72,05/22/07 10:11:00 PM,26.34,22.81
73,05/22/07 10:12:00 PM,26.16,22.81
74,05/22/07 10:13:00 PM,26.16,22.81
75,05/22/07 10:14:00 PM,25.98,22.81
76,05/22/07 10:15:00 PM,25.98,22.64
77,05/22/07 10:16:00 PM,25.98,22.81
78,05/22/07 10:17:00 PM,25.98,22.64
79,05/22/07 10:18:00 PM,25.98,22.64
80,05/22/07 10:19:00 PM,26.16,22.64
81,05/22/07 10:20:00 PM,26.16,22.64
82,05/22/07 10:21:00 PM,25.98,22.64
83,05/22/07 10:22:00 PM,25.98,22.64
84,05/22/07 10:23:00 PM,25.80,22.64
85,05/22/07 10:24:00 PM,25.80,22.64
86,05/22/07 10:25:00 PM,25.80,22.64
87,05/22/07 10:26:00 PM,25.62,22.64
