"Plot Title: GL19_07_C4"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 822540)","H08 Temp., °C (LGR S/N: 822540)","H08 Temp., °C (LGR S/N: 822540)"
1,06/01/07 05:44:39 PM,26.34,51.79,35.64
2,06/01/07 05:45:39 PM,27.06,27.52,26.16
3,06/01/07 05:46:39 PM,26.88,27.52,25.98
4,06/01/07 05:47:39 PM,26.70,27.91,25.98
5,06/01/07 05:48:39 PM,26.70,29.10,25.98
6,06/01/07 05:49:39 PM,26.70,29.90,25.80
7,06/01/07 05:50:39 PM,26.52,30.31,25.80
8,06/01/07 05:51:39 PM,26.16,30.31,25.62
9,06/01/07 05:52:39 PM,26.16,30.31,25.62
10,06/01/07 05:53:39 PM,26.34,30.71,25.62
11,06/01/07 05:54:39 PM,26.34,30.31,25.62
12,06/01/07 05:55:39 PM,26.52,30.31,25.44
13,06/01/07 05:56:39 PM,26.70,30.31,25.44
14,06/01/07 05:57:39 PM,26.70,30.31,25.27
15,06/01/07 05:58:39 PM,26.52,30.71,25.27
16,06/01/07 05:59:39 PM,26.52,30.71,25.27
17,06/01/07 06:00:39 PM,26.52,30.31,25.09
18,06/01/07 06:01:39 PM,26.52,30.31,25.09
19,06/01/07 06:02:39 PM,26.70,30.71,25.09
20,06/01/07 06:03:39 PM,26.52,31.12,25.09
21,06/01/07 06:04:39 PM,26.52,31.12,25.09
22,06/01/07 06:05:39 PM,26.52,31.12,25.09
23,06/01/07 06:06:39 PM,26.70,31.12,25.09
24,06/01/07 06:07:39 PM,26.70,31.12,25.09
25,06/01/07 06:08:39 PM,26.70,31.12,25.09
26,06/01/07 06:09:39 PM,26.70,31.12,25.09
27,06/01/07 06:10:39 PM,26.70,31.12,25.09
28,06/01/07 06:11:39 PM,26.70,31.12,25.09
29,06/01/07 06:12:39 PM,26.70,31.12,25.09
30,06/01/07 06:13:39 PM,26.70,31.52,25.09
31,06/01/07 06:14:39 PM,26.70,31.12,25.09
32,06/01/07 06:15:39 PM,26.70,31.52,25.09
33,06/01/07 06:16:39 PM,26.70,31.52,25.09
34,06/01/07 06:17:39 PM,26.52,31.52,25.09
35,06/01/07 06:18:39 PM,26.70,30.31,25.09
36,06/01/07 06:19:39 PM,27.06,29.90,25.09
37,06/01/07 06:20:39 PM,27.42,29.50,25.09
38,06/01/07 06:21:39 PM,27.78,29.50,25.27
39,06/01/07 06:22:39 PM,27.96,29.50,25.27
40,06/01/07 06:23:39 PM,28.15,29.50,25.27
41,06/01/07 06:24:39 PM,28.33,29.90,25.27
42,06/01/07 06:25:39 PM,28.51,29.50,25.27
43,06/01/07 06:26:39 PM,28.51,29.90,25.27
44,06/01/07 06:27:39 PM,28.70,29.50,25.27
45,06/01/07 06:28:39 PM,28.70,29.50,25.27
46,06/01/07 06:29:39 PM,28.70,29.50,25.27
47,06/01/07 06:30:39 PM,28.88,29.10,25.27
48,06/01/07 06:31:39 PM,28.88,29.10,25.27
49,06/01/07 06:32:39 PM,28.51,29.10,25.27
50,06/01/07 06:33:39 PM,27.96,29.50,25.27
51,06/01/07 06:34:39 PM,27.60,29.50,25.27
52,06/01/07 06:35:39 PM,27.24,29.90,25.27
53,06/01/07 06:36:39 PM,27.06,29.90,25.27
54,06/01/07 06:37:39 PM,26.88,29.90,25.09
55,06/01/07 06:38:39 PM,26.70,28.70,25.09
56,06/01/07 06:39:39 PM,26.52,27.12,25.09
57,06/01/07 06:40:39 PM,26.34,26.34,25.09
58,06/01/07 06:41:39 PM,26.16,26.73,25.09
59,06/01/07 06:42:39 PM,26.16,26.73,25.09
60,06/01/07 06:43:39 PM,25.98,26.34,25.09
61,06/01/07 06:44:39 PM,25.98,26.34,25.09
62,06/01/07 06:45:39 PM,25.80,25.95,25.09
63,06/01/07 06:46:39 PM,25.80,25.95,25.09
64,06/01/07 06:47:39 PM,25.80,25.56,24.91
65,06/01/07 06:48:39 PM,25.62,25.95,24.91
66,06/01/07 06:49:39 PM,25.62,27.12,24.91
67,06/01/07 06:50:39 PM,25.62,27.52,24.74
68,06/01/07 06:51:39 PM,25.62,27.91,24.74
69,06/01/07 06:52:39 PM,25.27,27.91,24.74
70,06/01/07 06:53:39 PM,24.38,27.91,24.38
71,06/01/07 06:54:39 PM,24.21,27.91,24.38
72,06/01/07 06:55:39 PM,23.51,27.91,24.03
73,06/01/07 06:56:39 PM,23.33,27.91,23.68
74,06/01/07 06:57:39 PM,23.16,25.56,23.68
75,06/01/07 06:58:39 PM,23.16,25.56,23.51
76,06/01/07 06:59:39 PM,23.16,25.56,23.51
77,06/01/07 07:00:39 PM,23.16,25.56,23.51
78,06/01/07 07:01:39 PM,23.16,25.56,23.33
79,06/01/07 07:02:39 PM,22.81,25.56,23.33
80,06/01/07 07:03:39 PM,22.81,25.56,23.16
81,06/01/07 07:04:39 PM,22.81,25.56,23.16
82,06/01/07 07:05:39 PM,22.81,25.56,23.16
83,06/01/07 07:06:39 PM,22.98,25.56,23.16
84,06/01/07 07:07:39 PM,22.98,25.56,23.16
85,06/01/07 07:08:39 PM,22.98,25.56,23.16
86,06/01/07 07:09:39 PM,22.98,25.56,23.16
87,06/01/07 07:10:39 PM,22.98,25.56,23.16
88,06/01/07 07:11:39 PM,22.98,25.56,23.16
89,06/01/07 07:12:39 PM,22.98,25.56,23.16
90,06/01/07 07:13:39 PM,22.98,25.56,23.16
91,06/01/07 07:14:39 PM,23.16,25.17,23.16
92,06/01/07 07:15:39 PM,23.16,24.79,23.16
93,06/01/07 07:16:39 PM,23.16,25.17,23.16
94,06/01/07 07:17:39 PM,23.16,25.17,23.16
95,06/01/07 07:18:39 PM,23.16,25.17,23.16
96,06/01/07 07:19:39 PM,23.16,25.56,23.16
97,06/01/07 07:20:39 PM,23.16,25.56,23.16
98,06/01/07 07:21:39 PM,23.16,25.56,23.16
99,06/01/07 07:22:39 PM,23.16,25.95,23.16
100,06/01/07 07:23:39 PM,22.98,24.40,23.16
101,06/01/07 07:24:39 PM,22.98,25.17,22.98
102,06/01/07 07:25:39 PM,22.98,25.56,22.98
103,06/01/07 07:26:39 PM,23.16,25.56,22.98
104,06/01/07 07:27:39 PM,23.16,25.56,22.98
105,06/01/07 07:28:39 PM,23.16,25.95,22.98
106,06/01/07 07:29:39 PM,23.16,25.95,22.98
107,06/01/07 07:30:39 PM,23.16,24.79,22.98
108,06/01/07 07:31:39 PM,23.16,27.12,22.98
109,06/01/07 07:32:39 PM,23.16,27.52,22.98
110,06/01/07 07:33:39 PM,22.98,27.52,22.98
111,06/01/07 07:34:39 PM,22.98,27.52,22.98
112,06/01/07 07:35:39 PM,22.98,27.52,22.81
113,06/01/07 07:36:39 PM,23.16,27.91,22.81
114,06/01/07 07:37:39 PM,23.16,27.91,22.81
115,06/01/07 07:38:39 PM,23.16,27.91,22.81
116,06/01/07 07:39:39 PM,23.16,27.91,22.81
117,06/01/07 07:40:39 PM,23.33,27.91,22.81
