"Plot Title: GL20_07_C3"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
1,05/26/07 08:00:00 PM,29.07,35.27,25.27
2,05/26/07 08:01:00 PM,28.88,35.70,25.27
3,05/26/07 08:02:00 PM,28.88,35.27,25.27
4,05/26/07 08:03:00 PM,28.70,35.27,25.27
5,05/26/07 08:04:00 PM,28.15,34.43,25.27
6,05/26/07 08:05:00 PM,27.96,34.01,25.27
7,05/26/07 08:06:00 PM,27.78,33.59,25.27
8,05/26/07 08:07:00 PM,27.60,33.59,25.09
9,05/26/07 08:08:00 PM,27.42,33.17,25.09
10,05/26/07 08:09:00 PM,27.24,32.76,25.09
11,05/26/07 08:10:00 PM,27.24,32.34,25.09
12,05/26/07 08:11:00 PM,27.06,32.34,25.09
13,05/26/07 08:12:00 PM,27.60,32.34,25.09
14,05/26/07 08:13:00 PM,28.15,32.76,25.09
15,05/26/07 08:14:00 PM,28.51,33.17,25.09
16,05/26/07 08:15:00 PM,28.70,33.59,25.09
17,05/26/07 08:16:00 PM,28.88,33.59,25.09
18,05/26/07 08:17:00 PM,29.07,34.01,25.09
19,05/26/07 08:18:00 PM,29.25,34.01,25.09
20,05/26/07 08:19:00 PM,29.44,34.43,25.09
21,05/26/07 08:20:00 PM,29.62,34.43,24.91
22,05/26/07 08:21:00 PM,29.81,34.43,24.91
23,05/26/07 08:22:00 PM,29.81,34.85,24.91
24,05/26/07 08:23:00 PM,29.81,34.85,24.91
25,05/26/07 08:24:00 PM,29.81,34.85,24.91
26,05/26/07 08:25:00 PM,29.81,34.85,24.91
27,05/26/07 08:26:00 PM,30.00,35.27,24.91
28,05/26/07 08:27:00 PM,30.00,35.27,24.91
29,05/26/07 08:28:00 PM,29.81,35.27,24.91
30,05/26/07 08:29:00 PM,29.62,34.85,24.91
31,05/26/07 08:30:00 PM,29.25,34.43,24.91
32,05/26/07 08:31:00 PM,29.07,34.01,24.74
33,05/26/07 08:32:00 PM,28.88,33.59,24.74
34,05/26/07 08:33:00 PM,28.70,33.17,24.74
35,05/26/07 08:34:00 PM,28.51,32.76,24.74
36,05/26/07 08:35:00 PM,28.33,32.76,24.74
37,05/26/07 08:36:00 PM,28.33,32.34,24.74
38,05/26/07 08:37:00 PM,28.15,31.93,24.74
39,05/26/07 08:38:00 PM,27.96,31.52,24.74
40,05/26/07 08:39:00 PM,27.78,31.52,24.56
41,05/26/07 08:40:00 PM,27.78,31.12,24.56
42,05/26/07 08:41:00 PM,27.60,31.12,24.56
43,05/26/07 08:42:00 PM,27.60,30.71,24.56
44,05/26/07 08:43:00 PM,27.42,30.31,24.56
45,05/26/07 08:44:00 PM,27.42,30.31,24.56
46,05/26/07 08:45:00 PM,27.24,29.90,24.56
47,05/26/07 08:46:00 PM,27.06,29.90,24.56
48,05/26/07 08:47:00 PM,27.06,31.12,24.38
49,05/26/07 08:48:00 PM,27.24,32.34,24.38
50,05/26/07 08:49:00 PM,27.24,32.76,24.38
51,05/26/07 08:50:00 PM,27.42,33.59,24.38
52,05/26/07 08:51:00 PM,27.42,34.01,24.38
53,05/26/07 08:52:00 PM,27.60,34.01,24.38
54,05/26/07 08:53:00 PM,27.78,34.43,24.38
55,05/26/07 08:54:00 PM,27.60,34.01,24.38
56,05/26/07 08:55:00 PM,27.42,33.59,24.38
57,05/26/07 08:56:00 PM,27.42,33.59,24.21
58,05/26/07 08:57:00 PM,27.42,33.59,24.21
59,05/26/07 08:58:00 PM,27.42,34.01,24.21
60,05/26/07 08:59:00 PM,27.60,34.01,24.21
61,05/26/07 09:00:00 PM,27.60,34.01,24.21
62,05/26/07 09:01:00 PM,27.60,34.01,24.21
63,05/26/07 09:02:00 PM,27.78,34.43,24.21
64,05/26/07 09:03:00 PM,27.78,34.43,24.21
65,05/26/07 09:04:00 PM,27.78,34.85,24.21
66,05/26/07 09:05:00 PM,27.96,34.85,24.21
67,05/26/07 09:06:00 PM,27.96,34.85,24.03
68,05/26/07 09:07:00 PM,28.15,34.85,24.03
69,05/26/07 09:08:00 PM,28.15,34.85,24.03
70,05/26/07 09:09:00 PM,28.33,34.85,24.03
71,05/26/07 09:10:00 PM,28.33,35.27,24.03
72,05/26/07 09:11:00 PM,28.33,35.27,24.03
73,05/26/07 09:12:00 PM,28.33,35.27,24.03
74,05/26/07 09:13:00 PM,28.33,35.27,24.03
75,05/26/07 09:14:00 PM,28.33,35.27,24.03
76,05/26/07 09:15:00 PM,28.33,35.27,24.03
77,05/26/07 09:16:00 PM,28.51,35.27,24.03
78,05/26/07 09:17:00 PM,28.88,35.27,23.86
79,05/26/07 09:18:00 PM,29.07,35.27,23.86
80,05/26/07 09:19:00 PM,29.25,35.27,23.86
81,05/26/07 09:20:00 PM,29.25,35.70,23.86
82,05/26/07 09:21:00 PM,29.25,35.70,23.86
83,05/26/07 09:22:00 PM,29.25,35.70,23.86
84,05/26/07 09:23:00 PM,29.44,35.70,23.86
85,05/26/07 09:24:00 PM,29.44,35.70,23.86
86,05/26/07 09:25:00 PM,29.44,35.70,23.68
87,05/26/07 09:26:00 PM,29.44,35.70,23.68
88,05/26/07 09:27:00 PM,29.44,35.70,23.68
89,05/26/07 09:28:00 PM,29.25,35.70,23.68
90,05/26/07 09:29:00 PM,28.88,35.70,23.68
91,05/26/07 09:30:00 PM,28.70,35.70,23.68
92,05/26/07 09:31:00 PM,28.51,35.70,23.68
93,05/26/07 09:32:00 PM,28.33,35.70,23.68
94,05/26/07 09:33:00 PM,28.33,35.70,23.68
95,05/26/07 09:34:00 PM,28.33,35.70,23.51
96,05/26/07 09:35:00 PM,28.33,35.70,23.51
97,05/26/07 09:36:00 PM,28.33,36.13,23.51
98,05/26/07 09:37:00 PM,28.33,36.13,23.51
99,05/26/07 09:38:00 PM,28.33,36.13,23.51
100,05/26/07 09:39:00 PM,28.33,36.13,23.51
101,05/26/07 09:40:00 PM,28.33,36.13,23.51
102,05/26/07 09:41:00 PM,28.33,36.13,23.51
103,05/26/07 09:42:00 PM,28.15,36.13,23.51
104,05/26/07 09:43:00 PM,28.15,36.13,23.33
105,05/26/07 09:44:00 PM,28.15,36.13,23.33
106,05/26/07 09:45:00 PM,28.15,36.13,23.33
107,05/26/07 09:46:00 PM,28.15,36.13,23.33
108,05/26/07 09:47:00 PM,27.96,36.13,23.33
109,05/26/07 09:48:00 PM,27.96,36.13,23.33
110,05/26/07 09:49:00 PM,27.96,36.13,23.33
111,05/26/07 09:50:00 PM,27.42,35.70,23.33
112,05/26/07 09:51:00 PM,27.42,35.27,23.33
113,05/26/07 09:52:00 PM,27.24,35.27,23.33
114,05/26/07 09:53:00 PM,27.24,35.27,23.33
115,05/26/07 09:54:00 PM,27.42,35.27,23.33
116,05/26/07 09:55:00 PM,27.60,35.27,23.33
117,05/26/07 09:56:00 PM,27.78,35.27,23.16
118,05/26/07 09:57:00 PM,27.78,35.27,23.16
119,05/26/07 09:58:00 PM,27.78,35.27,23.16
120,05/26/07 09:59:00 PM,27.78,35.27,23.16
121,05/26/07 10:00:00 PM,27.96,35.27,23.16
122,05/26/07 10:01:00 PM,27.96,35.27,23.16
123,05/26/07 10:02:00 PM,27.96,35.27,23.16
124,05/26/07 10:03:00 PM,27.96,35.27,23.16
125,05/26/07 10:04:00 PM,27.96,35.27,23.16
126,05/26/07 10:05:00 PM,27.96,35.27,23.16
127,05/26/07 10:06:00 PM,27.96,35.27,23.16
128,05/26/07 10:07:00 PM,27.96,35.27,23.16
129,05/26/07 10:08:00 PM,27.96,35.70,23.16
130,05/26/07 10:09:00 PM,27.96,35.70,23.16
131,05/26/07 10:10:00 PM,27.96,35.70,23.16
132,05/26/07 10:11:00 PM,27.96,35.70,23.16
133,05/26/07 10:12:00 PM,27.96,35.70,23.16
134,05/26/07 10:13:00 PM,27.96,35.70,22.98
135,05/26/07 10:14:00 PM,28.15,35.70,22.98
136,05/26/07 10:15:00 PM,28.15,35.70,22.98
137,05/26/07 10:16:00 PM,28.15,35.70,22.98
138,05/26/07 10:17:00 PM,27.96,35.70,22.98
139,05/26/07 10:18:00 PM,27.96,35.70,22.98
140,05/26/07 10:19:00 PM,27.96,35.70,22.98
141,05/26/07 10:20:00 PM,27.96,35.70,22.98
142,05/26/07 10:21:00 PM,27.96,35.70,22.98
143,05/26/07 10:22:00 PM,27.96,35.70,22.81
144,05/26/07 10:23:00 PM,27.96,35.70,22.81
145,05/26/07 10:24:00 PM,27.96,35.70,22.81
146,05/26/07 10:25:00 PM,27.96,35.70,22.98
147,05/26/07 10:26:00 PM,27.96,35.70,22.81
148,05/26/07 10:27:00 PM,27.96,35.70,22.81
149,05/26/07 10:28:00 PM,27.96,35.70,22.81
150,05/26/07 10:29:00 PM,27.96,35.70,22.81
151,05/26/07 10:30:00 PM,27.96,35.70,22.81
152,05/26/07 10:31:00 PM,27.78,35.27,22.81
153,05/26/07 10:32:00 PM,27.78,35.27,22.81
154,05/26/07 10:33:00 PM,27.78,35.27,22.81
155,05/26/07 10:34:00 PM,27.78,35.27,22.81
156,05/26/07 10:35:00 PM,27.78,35.27,22.81
157,05/26/07 10:36:00 PM,27.78,35.27,22.81
158,05/26/07 10:37:00 PM,27.78,35.27,22.64
159,05/26/07 10:38:00 PM,27.60,35.27,22.81
160,05/26/07 10:39:00 PM,27.60,35.27,22.64
161,05/26/07 10:40:00 PM,27.60,35.27,22.64
162,05/26/07 10:41:00 PM,27.60,35.27,22.64
163,05/26/07 10:42:00 PM,27.60,35.27,22.64
164,05/26/07 10:43:00 PM,27.60,35.27,22.64
165,05/26/07 10:44:00 PM,27.60,35.27,22.64
166,05/26/07 10:45:00 PM,27.60,35.27,22.64
167,05/26/07 10:46:00 PM,27.60,35.27,22.64
168,05/26/07 10:47:00 PM,27.60,35.27,22.64
169,05/26/07 10:48:00 PM,27.60,35.27,22.64
170,05/26/07 10:49:00 PM,27.60,35.27,22.64
171,05/26/07 10:50:00 PM,27.60,35.27,22.64
172,05/26/07 10:51:00 PM,27.60,35.27,22.64
173,05/26/07 10:52:00 PM,27.60,35.27,22.64
174,05/26/07 10:53:00 PM,27.60,35.27,22.46
