"Plot Title: GLPowerPlant_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 455761)","H08 Temp., °C (LGR S/N: 455761)"
1,06/14/07 09:00:00 PM,31.70,25.09
2,06/14/07 09:01:00 PM,32.28,24.91
3,06/14/07 09:02:00 PM,32.66,24.91
4,06/14/07 09:03:00 PM,32.66,24.91
5,06/14/07 09:04:00 PM,32.47,24.91
6,06/14/07 09:05:00 PM,32.86,24.91
7,06/14/07 09:06:00 PM,33.05,24.91
8,06/14/07 09:07:00 PM,33.25,24.91
9,06/14/07 09:08:00 PM,32.86,24.91
10,06/14/07 09:09:00 PM,32.47,24.91
11,06/14/07 09:10:00 PM,32.28,24.74
12,06/14/07 09:11:00 PM,33.25,24.74
13,06/14/07 09:12:00 PM,34.04,24.74
14,06/14/07 09:13:00 PM,34.63,24.74
15,06/14/07 09:14:00 PM,34.83,24.74
16,06/14/07 09:15:00 PM,35.03,24.74
17,06/14/07 09:16:00 PM,35.24,24.74
18,06/14/07 09:17:00 PM,35.24,24.74
19,06/14/07 09:18:00 PM,34.43,24.74
20,06/14/07 09:19:00 PM,33.64,24.56
21,06/14/07 09:20:00 PM,33.05,24.56
22,06/14/07 09:21:00 PM,33.25,24.56
23,06/14/07 09:22:00 PM,33.64,24.56
24,06/14/07 09:23:00 PM,33.84,24.56
25,06/14/07 09:24:00 PM,33.84,24.56
26,06/14/07 09:25:00 PM,33.84,24.56
27,06/14/07 09:26:00 PM,33.84,24.56
28,06/14/07 09:27:00 PM,34.04,24.56
29,06/14/07 09:28:00 PM,33.64,24.56
30,06/14/07 09:29:00 PM,33.44,24.56
31,06/14/07 09:30:00 PM,33.25,24.38
32,06/14/07 09:31:00 PM,33.25,24.38
33,06/14/07 09:32:00 PM,33.25,24.38
34,06/14/07 09:33:00 PM,33.25,24.38
35,06/14/07 09:34:00 PM,33.05,24.38
36,06/14/07 09:35:00 PM,33.25,24.38
37,06/14/07 09:36:00 PM,33.64,24.21
38,06/14/07 09:37:00 PM,33.84,24.38
39,06/14/07 09:38:00 PM,33.84,24.21
40,06/14/07 09:39:00 PM,34.04,24.38
41,06/14/07 09:40:00 PM,34.23,24.38
42,06/14/07 09:41:00 PM,34.23,24.38
43,06/14/07 09:42:00 PM,33.44,24.38
44,06/14/07 09:43:00 PM,32.86,24.21
45,06/14/07 09:44:00 PM,32.47,24.21
46,06/14/07 09:45:00 PM,32.28,24.21
47,06/14/07 09:46:00 PM,32.08,24.21
48,06/14/07 09:47:00 PM,31.89,24.21
49,06/14/07 09:48:00 PM,31.89,24.21
50,06/14/07 09:49:00 PM,31.70,24.21
51,06/14/07 09:50:00 PM,31.70,24.21
52,06/14/07 09:51:00 PM,31.70,24.21
53,06/14/07 09:52:00 PM,31.70,24.21
54,06/14/07 09:53:00 PM,31.70,24.21
55,06/14/07 09:54:00 PM,31.51,24.03
56,06/14/07 09:55:00 PM,31.51,24.03
57,06/14/07 09:56:00 PM,31.13,24.03
58,06/14/07 09:57:00 PM,30.56,24.03
59,06/14/07 09:58:00 PM,30.00,24.03
60,06/14/07 09:59:00 PM,29.81,24.03
61,06/14/07 10:00:00 PM,29.62,23.86
62,06/14/07 10:01:00 PM,29.44,23.86
63,06/14/07 10:02:00 PM,29.25,23.86
64,06/14/07 10:03:00 PM,29.25,23.86
65,06/14/07 10:04:00 PM,29.25,23.86
66,06/14/07 10:05:00 PM,29.25,23.86
67,06/14/07 10:06:00 PM,29.25,23.86
68,06/14/07 10:07:00 PM,29.25,23.86
69,06/14/07 10:08:00 PM,29.25,23.86
70,06/14/07 10:09:00 PM,29.25,23.86
71,06/14/07 10:10:00 PM,29.07,23.86
72,06/14/07 10:11:00 PM,29.07,23.86
73,06/14/07 10:12:00 PM,29.07,23.86
74,06/14/07 10:13:00 PM,28.88,23.86
75,06/14/07 10:14:00 PM,28.88,23.86
76,06/14/07 10:15:00 PM,28.70,23.86
