"Plot Title: GL31_07_"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870237)","H08 Temp., °C (LGR S/N: 870237)","H08 Temp., °C (LGR S/N: 870237)"
1,06/23/07 10:00:00 PM,30.94,34.85,27.60
2,06/23/07 10:01:00 PM,30.94,34.85,27.60
3,06/23/07 10:02:00 PM,30.94,34.85,27.60
4,06/23/07 10:03:00 PM,30.94,34.85,27.42
5,06/23/07 10:04:00 PM,30.94,35.27,27.42
6,06/23/07 10:05:00 PM,30.94,35.27,27.42
7,06/23/07 10:06:00 PM,31.13,35.27,27.42
8,06/23/07 10:07:00 PM,31.13,35.27,27.42
9,06/23/07 10:08:00 PM,30.94,35.27,27.42
10,06/23/07 10:09:00 PM,30.94,35.27,27.24
11,06/23/07 10:10:00 PM,30.94,35.27,27.24
12,06/23/07 10:11:00 PM,30.94,35.27,27.24
13,06/23/07 10:12:00 PM,30.94,35.27,27.24
14,06/23/07 10:13:00 PM,30.94,35.27,27.06
15,06/23/07 10:14:00 PM,30.94,35.27,27.24
16,06/23/07 10:15:00 PM,30.94,35.27,27.24
17,06/23/07 10:16:00 PM,30.94,35.27,27.06
18,06/23/07 10:17:00 PM,30.94,35.27,27.06
19,06/23/07 10:18:00 PM,30.94,35.27,27.06
20,06/23/07 10:19:00 PM,30.94,35.27,27.06
21,06/23/07 10:20:00 PM,30.94,35.27,27.06
22,06/23/07 10:21:00 PM,30.94,35.27,27.06
23,06/23/07 10:22:00 PM,30.75,35.27,27.06
24,06/23/07 10:23:00 PM,30.75,35.27,27.06
25,06/23/07 10:24:00 PM,30.75,35.27,27.06
26,06/23/07 10:25:00 PM,30.75,35.27,26.88
27,06/23/07 10:26:00 PM,30.75,35.27,26.88
28,06/23/07 10:27:00 PM,30.75,35.27,26.88
29,06/23/07 10:28:00 PM,30.75,35.27,26.88
30,06/23/07 10:29:00 PM,30.75,35.27,26.88
31,06/23/07 10:30:00 PM,30.75,35.27,26.88
32,06/23/07 10:31:00 PM,30.75,35.27,26.88
33,06/23/07 10:32:00 PM,30.75,35.27,26.88
34,06/23/07 10:33:00 PM,30.75,35.27,26.88
35,06/23/07 10:34:00 PM,30.56,35.27,26.88
36,06/23/07 10:35:00 PM,30.56,35.27,26.88
37,06/23/07 10:36:00 PM,30.56,35.27,26.88
38,06/23/07 10:37:00 PM,30.56,35.27,26.88
39,06/23/07 10:38:00 PM,30.56,35.27,26.88
40,06/23/07 10:39:00 PM,30.56,35.27,26.88
41,06/23/07 10:40:00 PM,30.37,35.27,26.88
42,06/23/07 10:41:00 PM,30.37,35.27,26.88
43,06/23/07 10:42:00 PM,30.37,35.27,26.70
44,06/23/07 10:43:00 PM,30.37,35.27,26.70
45,06/23/07 10:44:00 PM,30.37,35.27,26.70
46,06/23/07 10:45:00 PM,30.37,35.27,26.70
47,06/23/07 10:46:00 PM,30.37,35.27,26.70
48,06/23/07 10:47:00 PM,30.37,35.27,26.70
49,06/23/07 10:48:00 PM,30.37,35.27,26.52
50,06/23/07 10:49:00 PM,30.37,35.27,26.52
51,06/23/07 10:50:00 PM,30.56,35.27,26.70
52,06/23/07 10:51:00 PM,30.56,35.27,26.70
53,06/23/07 10:52:00 PM,30.56,35.27,26.70
54,06/23/07 10:53:00 PM,30.75,35.27,26.88
55,06/23/07 10:54:00 PM,30.75,35.27,26.88
56,06/23/07 10:55:00 PM,30.94,35.27,27.06
57,06/23/07 10:56:00 PM,30.94,35.27,27.06
58,06/23/07 10:57:00 PM,30.94,35.27,27.06
59,06/23/07 10:58:00 PM,30.94,35.27,27.06
60,06/23/07 10:59:00 PM,30.94,35.27,27.06
61,06/23/07 11:00:00 PM,30.94,35.27,27.06
62,06/23/07 11:01:00 PM,30.94,35.27,27.06
63,06/23/07 11:02:00 PM,30.94,35.27,27.06
64,06/23/07 11:03:00 PM,30.94,35.27,27.06
65,06/23/07 11:04:00 PM,30.94,35.27,26.88
66,06/23/07 11:05:00 PM,30.94,35.27,26.88
67,06/23/07 11:06:00 PM,30.75,35.27,26.88
68,06/23/07 11:07:00 PM,30.75,34.85,26.70
69,06/23/07 11:08:00 PM,30.75,34.85,26.70
70,06/23/07 11:09:00 PM,30.75,34.85,26.70
71,06/23/07 11:10:00 PM,30.56,34.85,26.52
72,06/23/07 11:11:00 PM,30.56,34.85,26.52
73,06/23/07 11:12:00 PM,30.37,34.85,26.52
74,06/23/07 11:13:00 PM,30.37,34.85,26.52
75,06/23/07 11:14:00 PM,30.37,34.85,26.52
76,06/23/07 11:15:00 PM,30.37,34.85,26.52
77,06/23/07 11:16:00 PM,30.18,34.85,26.52
78,06/23/07 11:17:00 PM,30.18,34.85,26.52
79,06/23/07 11:18:00 PM,30.18,34.85,26.52
80,06/23/07 11:19:00 PM,30.18,34.85,26.52
81,06/23/07 11:20:00 PM,30.18,34.85,26.52
82,06/23/07 11:21:00 PM,30.18,34.85,26.52
83,06/23/07 11:22:00 PM,30.18,34.85,26.52
84,06/23/07 11:23:00 PM,30.18,34.85,26.52
85,06/23/07 11:24:00 PM,30.18,34.85,26.52
86,06/23/07 11:25:00 PM,30.18,34.85,26.52
87,06/23/07 11:26:00 PM,30.18,34.85,26.34
88,06/23/07 11:27:00 PM,30.18,34.85,26.34
89,06/23/07 11:28:00 PM,30.18,34.85,26.34
90,06/23/07 11:29:00 PM,30.18,34.85,26.34
91,06/23/07 11:30:00 PM,30.18,34.85,26.34
92,06/23/07 11:31:00 PM,30.00,34.85,26.16
93,06/23/07 11:32:00 PM,30.00,34.85,26.16
94,06/23/07 11:33:00 PM,30.00,34.85,26.34
