"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
1,06/23/07 10:00:00 PM,32.86,-69.16,27.42
2,06/23/07 10:01:00 PM,32.86,-69.16,27.42
3,06/23/07 10:02:00 PM,32.86,-69.16,27.42
4,06/23/07 10:03:00 PM,32.86,-69.16,27.42
5,06/23/07 10:04:00 PM,32.86,-69.16,27.42
6,06/23/07 10:05:00 PM,32.86,-69.16,27.42
7,06/23/07 10:06:00 PM,32.86,-69.16,27.42
8,06/23/07 10:07:00 PM,32.86,-69.16,27.24
9,06/23/07 10:08:00 PM,32.86,-69.16,27.24
10,06/23/07 10:09:00 PM,32.86,-69.16,27.24
11,06/23/07 10:10:00 PM,32.86,-69.16,27.24
12,06/23/07 10:11:00 PM,32.86,-69.16,27.24
13,06/23/07 10:12:00 PM,32.66,-69.16,27.24
14,06/23/07 10:13:00 PM,32.66,-69.16,27.24
15,06/23/07 10:14:00 PM,32.66,-69.16,27.24
16,06/23/07 10:15:00 PM,32.66,-69.16,27.24
17,06/23/07 10:16:00 PM,32.66,-69.16,27.24
18,06/23/07 10:17:00 PM,32.66,-69.16,27.24
19,06/23/07 10:18:00 PM,32.66,-69.16,27.24
20,06/23/07 10:19:00 PM,32.66,-69.16,27.24
21,06/23/07 10:20:00 PM,32.66,-69.16,27.24
22,06/23/07 10:21:00 PM,32.66,-69.16,27.24
23,06/23/07 10:22:00 PM,32.66,-69.16,27.24
24,06/23/07 10:23:00 PM,32.66,-69.16,27.24
25,06/23/07 10:24:00 PM,32.47,-69.16,27.24
26,06/23/07 10:25:00 PM,32.47,-69.16,27.24
27,06/23/07 10:26:00 PM,32.28,-69.16,27.06
28,06/23/07 10:27:00 PM,32.08,-69.16,27.06
29,06/23/07 10:28:00 PM,32.08,-69.16,27.06
30,06/23/07 10:29:00 PM,31.89,-69.16,27.06
31,06/23/07 10:30:00 PM,31.89,-69.16,27.06
32,06/23/07 10:31:00 PM,31.89,-69.16,27.06
33,06/23/07 10:32:00 PM,31.70,-69.16,27.06
34,06/23/07 10:33:00 PM,31.70,-69.16,27.06
35,06/23/07 10:34:00 PM,31.70,-69.16,27.06
36,06/23/07 10:35:00 PM,31.70,-69.16,27.06
37,06/23/07 10:36:00 PM,31.70,-69.16,26.88
38,06/23/07 10:37:00 PM,31.51,-69.16,26.88
39,06/23/07 10:38:00 PM,31.51,-69.16,26.88
40,06/23/07 10:39:00 PM,31.51,-69.16,26.88
41,06/23/07 10:40:00 PM,31.51,-69.16,26.88
42,06/23/07 10:41:00 PM,31.51,-69.16,26.88
43,06/23/07 10:42:00 PM,31.51,-69.16,26.88
44,06/23/07 10:43:00 PM,31.51,-69.16,26.88
45,06/23/07 10:44:00 PM,31.51,-69.16,26.88
46,06/23/07 10:45:00 PM,31.51,-69.16,26.88
47,06/23/07 10:46:00 PM,31.51,-69.16,26.88
48,06/23/07 10:47:00 PM,31.51,-69.16,26.88
49,06/23/07 10:48:00 PM,31.51,-69.16,26.88
50,06/23/07 10:49:00 PM,31.32,-69.16,26.88
51,06/23/07 10:50:00 PM,31.51,-69.16,26.70
52,06/23/07 10:51:00 PM,31.51,-69.16,26.70
53,06/23/07 10:52:00 PM,31.32,-69.16,26.70
54,06/23/07 10:53:00 PM,31.32,-69.16,26.70
55,06/23/07 10:54:00 PM,31.32,-69.16,26.70
56,06/23/07 10:55:00 PM,31.32,-69.16,26.70
57,06/23/07 10:56:00 PM,31.51,-69.16,26.70
58,06/23/07 10:57:00 PM,31.51,-69.16,26.88
59,06/23/07 10:58:00 PM,31.51,-69.16,26.88
60,06/23/07 10:59:00 PM,31.51,-69.16,26.88
61,06/23/07 11:00:00 PM,31.51,-69.16,26.70
62,06/23/07 11:01:00 PM,31.51,-69.16,26.70
63,06/23/07 11:02:00 PM,31.51,-69.16,26.70
64,06/23/07 11:03:00 PM,31.51,-69.16,26.70
65,06/23/07 11:04:00 PM,31.51,-69.16,26.70
66,06/23/07 11:05:00 PM,31.51,-69.16,26.70
67,06/23/07 11:06:00 PM,31.70,-69.16,26.70
68,06/23/07 11:07:00 PM,31.70,-69.16,26.70
69,06/23/07 11:08:00 PM,31.70,-69.16,26.70
70,06/23/07 11:09:00 PM,31.51,-69.16,26.70
71,06/23/07 11:10:00 PM,31.51,-69.16,26.70
72,06/23/07 11:11:00 PM,31.51,-69.16,26.70
73,06/23/07 11:12:00 PM,31.51,-69.16,26.70
74,06/23/07 11:13:00 PM,31.51,-69.16,26.70
75,06/23/07 11:14:00 PM,31.51,-69.16,26.70
76,06/23/07 11:15:00 PM,31.51,-69.16,26.70
77,06/23/07 11:16:00 PM,31.51,-69.16,26.70
78,06/23/07 11:17:00 PM,31.70,-69.16,26.70
79,06/23/07 11:18:00 PM,31.70,-69.16,26.52
80,06/23/07 11:19:00 PM,31.70,-69.16,26.52
81,06/23/07 11:20:00 PM,31.70,-69.16,26.52
82,06/23/07 11:21:00 PM,31.70,-69.16,26.52
83,06/23/07 11:22:00 PM,31.51,-69.16,26.52
84,06/23/07 11:23:00 PM,31.32,-69.16,26.52
85,06/23/07 11:24:00 PM,31.32,-69.16,26.52
86,06/23/07 11:25:00 PM,31.32,-69.16,26.52
87,06/23/07 11:26:00 PM,31.13,-69.16,26.52
88,06/23/07 11:27:00 PM,31.13,-69.16,26.52
89,06/23/07 11:28:00 PM,30.94,-69.16,26.52
90,06/23/07 11:29:00 PM,30.94,-69.16,26.52
91,06/23/07 11:30:00 PM,30.94,-69.16,26.34
92,06/23/07 11:31:00 PM,30.94,-69.16,26.34
93,06/23/07 11:32:00 PM,30.94,-69.16,26.34
94,06/23/07 11:33:00 PM,30.94,-69.16,26.34
95,06/23/07 11:34:00 PM,30.94,-69.16,26.34
96,06/23/07 11:35:00 PM,30.94,-69.16,26.34
97,06/23/07 11:36:00 PM,30.94,-69.16,26.34
98,06/23/07 11:37:00 PM,31.13,-69.16,26.34
99,06/23/07 11:38:00 PM,30.94,-69.16,26.34
100,06/23/07 11:39:00 PM,30.94,-69.16,26.34
101,06/23/07 11:40:00 PM,30.94,-69.16,26.34
102,06/23/07 11:41:00 PM,30.94,-69.16,26.34
103,06/23/07 11:42:00 PM,30.94,-69.16,26.34
104,06/23/07 11:43:00 PM,30.75,-69.16,26.34
105,06/23/07 11:44:00 PM,30.75,-69.16,26.16
106,06/23/07 11:45:00 PM,30.75,-69.16,26.16
107,06/23/07 11:46:00 PM,30.75,-69.16,26.16
108,06/23/07 11:47:00 PM,30.75,-69.16,26.16
109,06/23/07 11:48:00 PM,30.75,-69.16,26.16
110,06/23/07 11:49:00 PM,30.56,-69.16,26.16
111,06/23/07 11:50:00 PM,30.56,-69.16,26.16
112,06/23/07 11:51:00 PM,30.56,-69.16,26.16
113,06/23/07 11:52:00 PM,30.56,-69.16,26.16
114,06/23/07 11:53:00 PM,30.56,-69.16,26.16
115,06/23/07 11:54:00 PM,30.56,-69.16,25.98
116,06/23/07 11:55:00 PM,30.75,-69.16,26.16
117,06/23/07 11:56:00 PM,30.75,-69.16,26.16
118,06/23/07 11:57:00 PM,30.75,-69.16,26.16
119,06/23/07 11:58:00 PM,30.75,-69.16,25.98
120,06/23/07 11:59:00 PM,30.75,-69.16,25.98
121,06/24/07 12:00:00 AM,30.75,-69.16,25.98
122,06/24/07 12:01:00 AM,30.75,-69.16,25.98
123,06/24/07 12:02:00 AM,30.75,-69.16,25.98
124,06/24/07 12:03:00 AM,30.75,-69.16,25.98
125,06/24/07 12:04:00 AM,30.75,-69.16,25.98
126,06/24/07 12:05:00 AM,30.56,-69.16,25.98
127,06/24/07 12:06:00 AM,30.56,-69.16,25.98
128,06/24/07 12:07:00 AM,30.56,-69.16,25.98
129,06/24/07 12:08:00 AM,30.56,-69.16,25.98
130,06/24/07 12:09:00 AM,30.56,-69.16,25.98
131,06/24/07 12:10:00 AM,30.56,-69.16,25.98
132,06/24/07 12:11:00 AM,30.37,-69.16,25.80
133,06/24/07 12:12:00 AM,30.37,-69.16,25.80
134,06/24/07 12:13:00 AM,30.37,-69.16,25.80
135,06/24/07 12:14:00 AM,30.37,-69.16,25.80
136,06/24/07 12:15:00 AM,30.37,-69.16,25.80
137,06/24/07 12:16:00 AM,30.37,-69.16,25.80
138,06/24/07 12:17:00 AM,30.18,-69.16,25.80
139,06/24/07 12:18:00 AM,30.18,-69.16,25.80
140,06/24/07 12:19:00 AM,30.18,-69.16,25.80
141,06/24/07 12:20:00 AM,30.37,-69.16,25.80
142,06/24/07 12:21:00 AM,30.37,-69.16,25.80
143,06/24/07 12:22:00 AM,30.37,-69.16,25.80
