"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
1,06/30/07 12:28:10 PM,28.70,34.83
2,06/30/07 12:29:10 PM,33.64,34.23
3,06/30/07 12:30:10 PM,33.25,34.43
4,06/30/07 12:31:10 PM,33.25,34.04
5,06/30/07 12:32:10 PM,33.25,34.04
6,06/30/07 12:33:10 PM,32.86,33.44
7,06/30/07 12:34:10 PM,32.28,32.28
8,06/30/07 12:35:10 PM,31.89,32.08
9,06/30/07 12:36:10 PM,31.51,32.28
10,06/30/07 12:37:10 PM,31.51,32.86
11,06/30/07 12:38:10 PM,31.51,33.64
12,06/30/07 12:39:10 PM,31.32,33.64
13,06/30/07 12:40:10 PM,30.94,33.25
14,06/30/07 12:41:10 PM,30.56,32.86
15,06/30/07 12:42:10 PM,30.75,33.05
16,06/30/07 12:43:10 PM,31.32,32.86
17,06/30/07 12:44:10 PM,31.89,33.05
18,06/30/07 12:45:10 PM,32.66,33.05
19,06/30/07 12:46:10 PM,33.05,32.86
20,06/30/07 12:47:10 PM,32.86,32.86
21,06/30/07 12:48:10 PM,32.08,32.66
22,06/30/07 12:49:10 PM,32.47,32.86
23,06/30/07 12:50:10 PM,32.86,33.05
24,06/30/07 12:51:10 PM,32.66,33.44
25,06/30/07 12:52:10 PM,32.47,34.04
26,06/30/07 12:53:10 PM,32.47,34.43
27,06/30/07 12:54:10 PM,32.66,34.63
28,06/30/07 12:55:10 PM,32.08,34.63
29,06/30/07 12:56:10 PM,32.47,34.43
30,06/30/07 12:57:10 PM,32.08,34.23
31,06/30/07 12:58:10 PM,31.89,33.64
32,06/30/07 12:59:10 PM,31.89,33.25
33,06/30/07 01:00:10 PM,31.51,33.44
34,06/30/07 01:01:10 PM,31.32,33.25
35,06/30/07 01:02:10 PM,32.08,33.05
36,06/30/07 01:03:10 PM,31.70,33.25
37,06/30/07 01:04:10 PM,31.32,32.86
