"Plot Title: GL7_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870240)","H08 Temp., °C (LGR S/N: 870240)"
1,05/15/07 10:00:00 PM,34.83,21.60
2,05/15/07 10:01:00 PM,34.63,21.60
3,05/15/07 10:02:00 PM,34.63,21.60
4,05/15/07 10:03:00 PM,34.63,21.60
5,05/15/07 10:04:00 PM,34.23,21.60
6,05/15/07 10:05:00 PM,34.04,21.60
7,05/15/07 10:06:00 PM,34.04,21.60
8,05/15/07 10:07:00 PM,33.84,21.60
9,05/15/07 10:08:00 PM,33.05,21.60
10,05/15/07 10:09:00 PM,31.13,21.60
11,05/15/07 10:10:00 PM,29.81,21.60
12,05/15/07 10:11:00 PM,30.00,21.43
13,05/15/07 10:12:00 PM,29.25,21.43
14,05/15/07 10:13:00 PM,28.88,21.43
15,05/15/07 10:14:00 PM,28.70,21.43
16,05/15/07 10:15:00 PM,28.33,21.43
17,05/15/07 10:16:00 PM,28.15,21.43
18,05/15/07 10:17:00 PM,27.78,21.43
19,05/15/07 10:18:00 PM,27.60,21.43
20,05/15/07 10:19:00 PM,27.42,21.26
21,05/15/07 10:20:00 PM,27.24,21.43
22,05/15/07 10:21:00 PM,27.24,21.43
23,05/15/07 10:22:00 PM,27.24,21.26
24,05/15/07 10:23:00 PM,27.24,21.26
25,05/15/07 10:24:00 PM,27.06,21.26
26,05/15/07 10:25:00 PM,27.06,21.26
27,05/15/07 10:26:00 PM,27.78,21.26
28,05/15/07 10:27:00 PM,29.62,21.26
29,05/15/07 10:28:00 PM,31.13,21.26
30,05/15/07 10:29:00 PM,32.28,21.26
31,05/15/07 10:30:00 PM,32.47,21.26
32,05/15/07 10:31:00 PM,32.66,21.26
33,05/15/07 10:32:00 PM,33.44,21.08
34,05/15/07 10:33:00 PM,33.64,21.08
35,05/15/07 10:34:00 PM,33.84,21.08
36,05/15/07 10:35:00 PM,33.44,21.08
37,05/15/07 10:36:00 PM,33.25,21.08
