"Plot Title: GL9_07_AB_RBL"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870235)","H08 Temp., °C (LGR S/N: 870235)"
1,05/15/07 10:00:00 PM,33.25,22.81
2,05/15/07 10:01:00 PM,33.25,22.81
3,05/15/07 10:02:00 PM,33.25,22.81
4,05/15/07 10:03:00 PM,33.25,22.81
5,05/15/07 10:04:00 PM,33.25,22.64
6,05/15/07 10:05:00 PM,33.25,22.64
7,05/15/07 10:06:00 PM,33.25,22.64
8,05/15/07 10:07:00 PM,33.25,22.64
9,05/15/07 10:08:00 PM,33.25,22.64
10,05/15/07 10:09:00 PM,33.25,22.64
11,05/15/07 10:10:00 PM,33.25,22.64
12,05/15/07 10:11:00 PM,33.25,22.46
13,05/15/07 10:12:00 PM,33.05,22.46
14,05/15/07 10:13:00 PM,33.05,22.46
15,05/15/07 10:14:00 PM,33.05,22.46
16,05/15/07 10:15:00 PM,33.05,22.64
17,05/15/07 10:16:00 PM,33.05,22.64
18,05/15/07 10:17:00 PM,33.05,22.46
19,05/15/07 10:18:00 PM,33.05,22.46
20,05/15/07 10:19:00 PM,33.25,22.46
21,05/15/07 10:20:00 PM,33.44,22.29
22,05/15/07 10:21:00 PM,33.44,22.29
23,05/15/07 10:22:00 PM,33.64,22.29
24,05/15/07 10:23:00 PM,33.64,22.29
25,05/15/07 10:24:00 PM,33.64,22.29
26,05/15/07 10:25:00 PM,33.64,22.29
27,05/15/07 10:26:00 PM,33.64,22.29
28,05/15/07 10:27:00 PM,33.64,22.46
29,05/15/07 10:28:00 PM,33.64,22.46
30,05/15/07 10:29:00 PM,33.64,22.29
31,05/15/07 10:30:00 PM,33.64,22.29
32,05/15/07 10:31:00 PM,33.64,22.12
33,05/15/07 10:32:00 PM,33.64,22.12
34,05/15/07 10:33:00 PM,33.64,22.12
35,05/15/07 10:34:00 PM,33.64,22.29
36,05/15/07 10:35:00 PM,33.64,22.29
37,05/15/07 10:36:00 PM,33.64,22.29
38,05/15/07 10:37:00 PM,33.64,22.29
39,05/15/07 10:38:00 PM,33.64,22.29
40,05/15/07 10:39:00 PM,33.64,22.29
41,05/15/07 10:40:00 PM,33.64,22.12
42,05/15/07 10:41:00 PM,33.64,22.29
43,05/15/07 10:42:00 PM,33.64,22.12
44,05/15/07 10:43:00 PM,33.64,22.12
45,05/15/07 10:44:00 PM,33.64,22.12
46,05/15/07 10:45:00 PM,33.64,22.12
47,05/15/07 10:46:00 PM,33.64,22.12
48,05/15/07 10:47:00 PM,33.64,22.12
49,05/15/07 10:48:00 PM,33.64,21.95
50,05/15/07 10:49:00 PM,33.64,21.95
51,05/15/07 10:50:00 PM,33.64,22.12
52,05/15/07 10:51:00 PM,33.25,21.95
53,05/15/07 10:52:00 PM,32.66,21.95
54,05/15/07 10:53:00 PM,32.28,21.95
55,05/15/07 10:54:00 PM,33.25,21.77
56,05/15/07 10:55:00 PM,33.44,21.77
57,05/15/07 10:56:00 PM,33.64,21.95
58,05/15/07 10:57:00 PM,33.44,21.77
59,05/15/07 10:58:00 PM,33.05,21.95
60,05/15/07 10:59:00 PM,33.05,21.95
61,05/15/07 11:00:00 PM,33.05,21.77
62,05/15/07 11:01:00 PM,33.05,21.77
63,05/15/07 11:02:00 PM,33.05,21.77
64,05/15/07 11:03:00 PM,33.25,21.77
65,05/15/07 11:04:00 PM,33.25,21.77
66,05/15/07 11:05:00 PM,33.05,21.60
67,05/15/07 11:06:00 PM,33.05,21.60
68,05/15/07 11:07:00 PM,33.25,21.60
69,05/15/07 11:08:00 PM,33.25,21.60
70,05/15/07 11:09:00 PM,33.25,21.77
71,05/15/07 11:10:00 PM,33.25,21.77
72,05/15/07 11:11:00 PM,33.25,21.60
73,05/15/07 11:12:00 PM,33.25,21.77
74,05/15/07 11:13:00 PM,33.25,21.60
75,05/15/07 11:14:00 PM,33.25,21.77
76,05/15/07 11:15:00 PM,33.25,21.77
77,05/15/07 11:16:00 PM,33.05,21.60
78,05/15/07 11:17:00 PM,33.25,21.60
79,05/15/07 11:18:00 PM,33.25,21.60
80,05/15/07 11:19:00 PM,33.25,21.60
81,05/15/07 11:20:00 PM,33.05,21.60
82,05/15/07 11:21:00 PM,33.05,21.60
83,05/15/07 11:22:00 PM,33.25,21.77
84,05/15/07 11:23:00 PM,33.25,21.60
85,05/15/07 11:24:00 PM,33.44,21.77
86,05/15/07 11:25:00 PM,33.44,21.60
87,05/15/07 11:26:00 PM,33.44,21.60
88,05/15/07 11:27:00 PM,33.64,21.77
89,05/15/07 11:28:00 PM,33.64,21.60
90,05/15/07 11:29:00 PM,33.64,21.43
91,05/15/07 11:30:00 PM,33.44,21.26
92,05/15/07 11:31:00 PM,33.25,21.43
93,05/15/07 11:32:00 PM,33.44,21.26
94,05/15/07 11:33:00 PM,33.44,21.26
95,05/15/07 11:34:00 PM,33.44,21.43
96,05/15/07 11:35:00 PM,33.44,21.43
97,05/15/07 11:36:00 PM,33.44,21.26
98,05/15/07 11:37:00 PM,33.44,21.26
99,05/15/07 11:38:00 PM,33.44,21.43
100,05/15/07 11:39:00 PM,33.64,21.43
101,05/15/07 11:40:00 PM,33.64,21.43
102,05/15/07 11:41:00 PM,33.84,21.26
103,05/15/07 11:42:00 PM,34.83,21.26
104,05/15/07 11:43:00 PM,35.24,21.08
105,05/15/07 11:44:00 PM,35.44,21.08
106,05/15/07 11:45:00 PM,35.64,21.08
107,05/15/07 11:46:00 PM,35.85,21.08
108,05/15/07 11:47:00 PM,35.85,21.08
109,05/15/07 11:48:00 PM,35.85,21.08
110,05/15/07 11:49:00 PM,35.85,21.08
111,05/15/07 11:50:00 PM,36.05,21.08
112,05/15/07 11:51:00 PM,36.05,21.08
113,05/15/07 11:52:00 PM,36.05,21.08
114,05/15/07 11:53:00 PM,36.05,20.91
115,05/15/07 11:54:00 PM,36.05,20.91
116,05/15/07 11:55:00 PM,36.05,20.91
117,05/15/07 11:56:00 PM,36.05,20.91
118,05/15/07 11:57:00 PM,36.05,20.91
119,05/15/07 11:58:00 PM,35.03,21.08
120,05/15/07 11:59:00 PM,35.03,20.91
121,05/16/07 12:00:00 AM,35.03,20.91
122,05/16/07 12:01:00 AM,35.03,20.91
123,05/16/07 12:02:00 AM,34.83,20.91
124,05/16/07 12:03:00 AM,35.03,20.91
125,05/16/07 12:04:00 AM,34.83,20.91
126,05/16/07 12:05:00 AM,34.83,20.91
127,05/16/07 12:06:00 AM,34.83,20.91
128,05/16/07 12:07:00 AM,34.63,20.91
129,05/16/07 12:08:00 AM,34.63,20.91
130,05/16/07 12:09:00 AM,34.63,20.91
131,05/16/07 12:10:00 AM,34.43,20.91
132,05/16/07 12:11:00 AM,34.63,20.91
133,05/16/07 12:12:00 AM,34.63,20.91
134,05/16/07 12:13:00 AM,34.83,20.91
135,05/16/07 12:14:00 AM,34.83,20.91
136,05/16/07 12:15:00 AM,34.83,20.91
137,05/16/07 12:16:00 AM,34.83,20.91
138,05/16/07 12:17:00 AM,35.03,20.91
139,05/16/07 12:18:00 AM,35.03,20.91
140,05/16/07 12:19:00 AM,35.24,20.91
141,05/16/07 12:20:00 AM,35.24,20.91
142,05/16/07 12:21:00 AM,35.24,20.91
143,05/16/07 12:22:00 AM,35.24,20.91
144,05/16/07 12:23:00 AM,34.23,20.91
145,05/16/07 12:24:00 AM,34.23,20.91
146,05/16/07 12:25:00 AM,34.23,20.91
147,05/16/07 12:26:00 AM,34.23,20.91
148,05/16/07 12:27:00 AM,34.23,20.91
149,05/16/07 12:28:00 AM,34.43,21.08
150,05/16/07 12:29:00 AM,34.43,20.91
151,05/16/07 12:30:00 AM,34.43,20.91
152,05/16/07 12:31:00 AM,34.63,20.91
153,05/16/07 12:32:00 AM,34.63,20.91
154,05/16/07 12:33:00 AM,34.63,20.91
155,05/16/07 12:34:00 AM,34.63,20.74
156,05/16/07 12:35:00 AM,34.63,20.74
157,05/16/07 12:36:00 AM,34.63,20.91
158,05/16/07 12:37:00 AM,33.64,20.74
159,05/16/07 12:38:00 AM,33.84,20.74
160,05/16/07 12:39:00 AM,33.64,20.91
161,05/16/07 12:40:00 AM,33.64,20.91
162,05/16/07 12:41:00 AM,33.64,20.91
163,05/16/07 12:42:00 AM,33.64,20.91
164,05/16/07 12:43:00 AM,33.64,20.91
165,05/16/07 12:44:00 AM,33.64,20.91
166,05/16/07 12:45:00 AM,33.64,20.91
167,05/16/07 12:46:00 AM,33.64,20.91
168,05/16/07 12:47:00 AM,33.64,20.91
169,05/16/07 12:48:00 AM,33.84,20.91
170,05/16/07 12:49:00 AM,33.84,20.74
171,05/16/07 12:50:00 AM,33.84,20.74
172,05/16/07 12:51:00 AM,33.84,20.74
173,05/16/07 12:52:00 AM,33.84,20.57
174,05/16/07 12:53:00 AM,33.84,20.57
175,05/16/07 12:54:00 AM,33.84,20.57
176,05/16/07 12:55:00 AM,33.84,20.57
177,05/16/07 12:56:00 AM,33.84,20.57
178,05/16/07 12:57:00 AM,33.84,20.57
179,05/16/07 12:58:00 AM,33.84,20.57
180,05/16/07 12:59:00 AM,33.84,20.57
181,05/16/07 01:00:00 AM,34.04,20.57
182,05/16/07 01:01:00 AM,34.04,20.40
183,05/16/07 01:02:00 AM,33.84,20.40
184,05/16/07 01:03:00 AM,33.64,20.40
185,05/16/07 01:04:00 AM,33.84,20.40
186,05/16/07 01:05:00 AM,34.04,20.40
187,05/16/07 01:06:00 AM,34.04,20.40
