"Plot Title: JU42_07_C4"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 822540)","H08 Temp., °C (LGR S/N: 822540)"
1,06/22/07 08:55:10 PM,27.60,26.52
2,06/22/07 08:56:10 PM,27.60,26.52
3,06/22/07 08:57:10 PM,27.60,26.52
4,06/22/07 08:58:10 PM,27.42,28.88
5,06/22/07 08:59:10 PM,27.42,30.56
6,06/22/07 09:00:10 PM,27.42,31.13
7,06/22/07 09:01:10 PM,27.42,31.51
8,06/22/07 09:02:10 PM,27.24,31.70
9,06/22/07 09:03:10 PM,27.24,31.89
10,06/22/07 09:04:10 PM,27.24,31.89
11,06/22/07 09:05:10 PM,27.24,31.89
12,06/22/07 09:06:10 PM,27.24,31.70
13,06/22/07 09:07:10 PM,27.24,31.70
14,06/22/07 09:08:10 PM,27.24,32.47
15,06/22/07 09:09:10 PM,27.24,32.47
16,06/22/07 09:10:10 PM,27.24,32.47
17,06/22/07 09:11:10 PM,27.24,32.66
18,06/22/07 09:12:10 PM,27.06,32.86
19,06/22/07 09:13:10 PM,27.06,32.66
20,06/22/07 09:14:10 PM,27.06,32.66
21,06/22/07 09:15:10 PM,26.88,32.47
22,06/22/07 09:16:10 PM,26.88,32.47
23,06/22/07 09:17:10 PM,26.88,32.47
24,06/22/07 09:18:10 PM,26.88,32.47
25,06/22/07 09:19:10 PM,26.88,32.66
26,06/22/07 09:20:10 PM,26.88,32.47
27,06/22/07 09:21:10 PM,26.88,32.47
28,06/22/07 09:22:10 PM,26.88,33.05
29,06/22/07 09:23:10 PM,27.06,33.25
30,06/22/07 09:24:10 PM,26.88,33.25
31,06/22/07 09:25:10 PM,26.88,32.86
32,06/22/07 09:26:10 PM,26.88,33.64
33,06/22/07 09:27:10 PM,26.88,33.84
34,06/22/07 09:28:10 PM,26.88,33.84
35,06/22/07 09:29:10 PM,26.88,33.44
36,06/22/07 09:30:10 PM,26.70,33.25
37,06/22/07 09:31:10 PM,26.70,33.25
38,06/22/07 09:32:10 PM,26.70,33.05
39,06/22/07 09:33:10 PM,26.70,33.05
40,06/22/07 09:34:10 PM,26.70,33.05
41,06/22/07 09:35:10 PM,26.70,33.25
42,06/22/07 09:36:10 PM,26.70,33.25
