"Plot Title: JU44_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 455758)","H08 Temp., °C (LGR S/N: 455758)"
1,06/23/07 09:00:00 PM,31.51,28.33
2,06/23/07 09:01:00 PM,31.32,28.33
3,06/23/07 09:02:00 PM,31.89,28.33
4,06/23/07 09:03:00 PM,32.66,28.33
5,06/23/07 09:04:00 PM,33.25,28.33
6,06/23/07 09:05:00 PM,33.64,28.33
7,06/23/07 09:06:00 PM,33.64,28.33
8,06/23/07 09:07:00 PM,34.04,28.33
9,06/23/07 09:08:00 PM,34.04,28.33
10,06/23/07 09:09:00 PM,34.23,28.33
11,06/23/07 09:10:00 PM,34.43,28.33
12,06/23/07 09:11:00 PM,34.43,28.33
13,06/23/07 09:12:00 PM,34.63,28.33
14,06/23/07 09:13:00 PM,34.63,28.15
15,06/23/07 09:14:00 PM,34.63,28.15
16,06/23/07 09:15:00 PM,34.63,28.15
17,06/23/07 09:16:00 PM,34.63,28.15
18,06/23/07 09:17:00 PM,34.63,28.15
19,06/23/07 09:18:00 PM,34.83,28.15
20,06/23/07 09:19:00 PM,34.83,28.15
21,06/23/07 09:20:00 PM,34.83,28.15
22,06/23/07 09:21:00 PM,34.83,28.33
23,06/23/07 09:22:00 PM,34.63,28.33
24,06/23/07 09:23:00 PM,34.43,28.33
25,06/23/07 09:24:00 PM,34.43,28.33
26,06/23/07 09:25:00 PM,34.43,28.33
27,06/23/07 09:26:00 PM,34.23,28.15
28,06/23/07 09:27:00 PM,34.04,27.96
29,06/23/07 09:28:00 PM,34.04,27.78
30,06/23/07 09:29:00 PM,34.04,27.78
31,06/23/07 09:30:00 PM,34.04,27.78
32,06/23/07 09:31:00 PM,34.04,27.78
33,06/23/07 09:32:00 PM,34.04,27.78
34,06/23/07 09:33:00 PM,34.04,27.78
35,06/23/07 09:34:00 PM,34.04,27.78
36,06/23/07 09:35:00 PM,34.04,27.78
37,06/23/07 09:36:00 PM,34.23,27.78
38,06/23/07 09:37:00 PM,34.23,27.78
39,06/23/07 09:38:00 PM,34.23,27.78
40,06/23/07 09:39:00 PM,34.23,27.78
41,06/23/07 09:40:00 PM,34.23,27.60
42,06/23/07 09:41:00 PM,34.23,27.60
43,06/23/07 09:42:00 PM,34.23,27.60
44,06/23/07 09:43:00 PM,34.23,27.60
45,06/23/07 09:44:00 PM,34.23,27.60
46,06/23/07 09:45:00 PM,34.23,27.60
47,06/23/07 09:46:00 PM,34.23,27.60
48,06/23/07 09:47:00 PM,34.23,27.60
49,06/23/07 09:48:00 PM,34.23,27.60
50,06/23/07 09:49:00 PM,33.84,27.60
51,06/23/07 09:50:00 PM,33.64,27.60
52,06/23/07 09:51:00 PM,33.44,27.60
53,06/23/07 09:52:00 PM,33.25,27.60
54,06/23/07 09:53:00 PM,33.25,27.60
55,06/23/07 09:54:00 PM,33.64,27.60
56,06/23/07 09:55:00 PM,33.84,27.60
57,06/23/07 09:56:00 PM,34.04,27.60
58,06/23/07 09:57:00 PM,34.04,27.42
59,06/23/07 09:58:00 PM,34.04,27.42
60,06/23/07 09:59:00 PM,34.23,27.42
61,06/23/07 10:00:00 PM,34.23,27.42
62,06/23/07 10:01:00 PM,34.23,27.42
63,06/23/07 10:02:00 PM,34.23,27.60
64,06/23/07 10:03:00 PM,34.23,27.60
65,06/23/07 10:04:00 PM,34.23,27.60
66,06/23/07 10:05:00 PM,34.43,27.60
67,06/23/07 10:06:00 PM,34.43,27.60
68,06/23/07 10:07:00 PM,34.43,27.60
69,06/23/07 10:08:00 PM,34.43,27.60
70,06/23/07 10:09:00 PM,34.43,27.60
71,06/23/07 10:10:00 PM,34.43,27.60
72,06/23/07 10:11:00 PM,34.43,27.60
73,06/23/07 10:12:00 PM,34.43,27.60
74,06/23/07 10:13:00 PM,34.23,27.60
75,06/23/07 10:14:00 PM,34.23,27.60
76,06/23/07 10:15:00 PM,34.23,27.42
77,06/23/07 10:16:00 PM,34.23,27.42
78,06/23/07 10:17:00 PM,34.23,27.42
79,06/23/07 10:18:00 PM,34.04,27.42
80,06/23/07 10:19:00 PM,34.04,27.42
81,06/23/07 10:20:00 PM,34.04,27.24
82,06/23/07 10:21:00 PM,34.04,27.24
83,06/23/07 10:22:00 PM,34.04,27.24
84,06/23/07 10:23:00 PM,33.84,27.24
85,06/23/07 10:24:00 PM,33.84,27.24
86,06/23/07 10:25:00 PM,33.84,27.24
87,06/23/07 10:26:00 PM,33.84,27.24
88,06/23/07 10:27:00 PM,33.84,27.24
89,06/23/07 10:28:00 PM,33.84,27.24
90,06/23/07 10:29:00 PM,33.84,27.24
91,06/23/07 10:30:00 PM,33.84,27.24
92,06/23/07 10:31:00 PM,33.84,27.24
93,06/23/07 10:32:00 PM,33.64,27.24
94,06/23/07 10:33:00 PM,33.64,27.06
95,06/23/07 10:34:00 PM,33.64,27.06
96,06/23/07 10:35:00 PM,33.64,27.06
97,06/23/07 10:36:00 PM,33.64,27.06
98,06/23/07 10:37:00 PM,33.64,27.06
99,06/23/07 10:38:00 PM,33.64,27.06
100,06/23/07 10:39:00 PM,33.84,27.06
101,06/23/07 10:40:00 PM,33.84,27.06
102,06/23/07 10:41:00 PM,33.84,27.06
103,06/23/07 10:42:00 PM,33.84,27.06
104,06/23/07 10:43:00 PM,33.84,27.06
105,06/23/07 10:44:00 PM,33.84,27.06
106,06/23/07 10:45:00 PM,33.84,26.88
107,06/23/07 10:46:00 PM,33.84,26.88
108,06/23/07 10:47:00 PM,33.84,26.88
109,06/23/07 10:48:00 PM,33.84,26.88
110,06/23/07 10:49:00 PM,33.84,26.88
111,06/23/07 10:50:00 PM,33.84,26.88
112,06/23/07 10:51:00 PM,34.04,26.88
113,06/23/07 10:52:00 PM,34.04,26.88
114,06/23/07 10:53:00 PM,34.04,26.88
115,06/23/07 10:54:00 PM,34.04,26.88
116,06/23/07 10:55:00 PM,34.23,26.88
117,06/23/07 10:56:00 PM,34.23,26.88
118,06/23/07 10:57:00 PM,34.23,26.88
119,06/23/07 10:58:00 PM,34.04,26.88
120,06/23/07 10:59:00 PM,34.04,26.88
121,06/23/07 11:00:00 PM,34.04,26.88
122,06/23/07 11:01:00 PM,34.04,26.70
123,06/23/07 11:02:00 PM,34.04,26.70
124,06/23/07 11:03:00 PM,34.04,26.70
125,06/23/07 11:04:00 PM,34.23,26.70
126,06/23/07 11:05:00 PM,34.23,26.70
127,06/23/07 11:06:00 PM,34.23,26.70
128,06/23/07 11:07:00 PM,34.23,26.70
129,06/23/07 11:08:00 PM,34.23,26.70
130,06/23/07 11:09:00 PM,34.23,26.52
131,06/23/07 11:10:00 PM,34.23,26.52
132,06/23/07 11:11:00 PM,34.23,26.52
133,06/23/07 11:12:00 PM,34.23,26.52
134,06/23/07 11:13:00 PM,34.23,26.52
135,06/23/07 11:14:00 PM,34.23,26.52
136,06/23/07 11:15:00 PM,34.23,26.34
137,06/23/07 11:16:00 PM,34.23,26.34
138,06/23/07 11:17:00 PM,34.23,26.34
139,06/23/07 11:18:00 PM,34.23,26.34
140,06/23/07 11:19:00 PM,34.23,26.34
141,06/23/07 11:20:00 PM,34.23,26.34
142,06/23/07 11:21:00 PM,34.23,26.34
143,06/23/07 11:22:00 PM,34.23,26.34
144,06/23/07 11:23:00 PM,34.23,26.34
145,06/23/07 11:24:00 PM,34.23,26.34
146,06/23/07 11:25:00 PM,34.23,26.34
147,06/23/07 11:26:00 PM,34.23,26.34
148,06/23/07 11:27:00 PM,34.23,26.34
149,06/23/07 11:28:00 PM,34.04,26.16
150,06/23/07 11:29:00 PM,34.04,26.16
151,06/23/07 11:30:00 PM,34.04,25.98
152,06/23/07 11:31:00 PM,33.84,25.98
153,06/23/07 11:32:00 PM,33.84,26.16
154,06/23/07 11:33:00 PM,33.84,26.16
155,06/23/07 11:34:00 PM,33.84,26.16
156,06/23/07 11:35:00 PM,33.84,26.16
157,06/23/07 11:36:00 PM,33.84,26.16
158,06/23/07 11:37:00 PM,33.64,26.16
159,06/23/07 11:38:00 PM,33.64,26.16
160,06/23/07 11:39:00 PM,33.64,25.98
161,06/23/07 11:40:00 PM,33.64,25.98
162,06/23/07 11:41:00 PM,33.64,25.98
163,06/23/07 11:42:00 PM,33.64,25.98
164,06/23/07 11:43:00 PM,33.64,25.98
165,06/23/07 11:44:00 PM,33.44,25.98
166,06/23/07 11:45:00 PM,33.64,25.98
167,06/23/07 11:46:00 PM,33.64,25.98
168,06/23/07 11:47:00 PM,33.64,25.98
169,06/23/07 11:48:00 PM,33.64,25.98
170,06/23/07 11:49:00 PM,33.64,25.98
171,06/23/07 11:50:00 PM,33.64,25.98
172,06/23/07 11:51:00 PM,33.64,25.98
173,06/23/07 11:52:00 PM,33.84,25.98
174,06/23/07 11:53:00 PM,33.84,25.98
175,06/23/07 11:54:00 PM,33.84,25.98
176,06/23/07 11:55:00 PM,33.84,25.98
177,06/23/07 11:56:00 PM,33.84,25.98
178,06/23/07 11:57:00 PM,33.84,25.98
179,06/23/07 11:58:00 PM,33.84,25.98
180,06/23/07 11:59:00 PM,33.84,25.80
181,06/24/07 12:00:00 AM,33.84,25.80
182,06/24/07 12:01:00 AM,33.84,25.80
183,06/24/07 12:02:00 AM,33.84,25.80
184,06/24/07 12:03:00 AM,33.84,25.80
185,06/24/07 12:04:00 AM,33.84,25.80
186,06/24/07 12:05:00 AM,33.84,25.80
187,06/24/07 12:06:00 AM,33.84,25.80
188,06/24/07 12:07:00 AM,33.64,25.80
189,06/24/07 12:08:00 AM,33.64,25.80
190,06/24/07 12:09:00 AM,33.64,25.80
191,06/24/07 12:10:00 AM,33.64,25.80
192,06/24/07 12:11:00 AM,33.64,25.80
193,06/24/07 12:12:00 AM,33.64,25.62
194,06/24/07 12:13:00 AM,33.64,25.62
195,06/24/07 12:14:00 AM,33.64,25.62
196,06/24/07 12:15:00 AM,33.64,25.62
197,06/24/07 12:16:00 AM,33.64,25.62
198,06/24/07 12:17:00 AM,33.64,25.62
199,06/24/07 12:18:00 AM,33.64,25.62
200,06/24/07 12:19:00 AM,33.44,25.62
201,06/24/07 12:20:00 AM,33.44,25.62
202,06/24/07 12:21:00 AM,33.44,25.44
203,06/24/07 12:22:00 AM,33.44,25.44
204,06/24/07 12:23:00 AM,33.25,25.62
205,06/24/07 12:24:00 AM,33.25,25.62
206,06/24/07 12:25:00 AM,33.25,25.62
207,06/24/07 12:26:00 AM,33.25,25.62
208,06/24/07 12:27:00 AM,33.25,25.62
209,06/24/07 12:28:00 AM,33.44,25.62
210,06/24/07 12:29:00 AM,33.25,25.62
211,06/24/07 12:30:00 AM,33.25,25.62
212,06/24/07 12:31:00 AM,33.25,25.62
213,06/24/07 12:32:00 AM,33.25,25.62
214,06/24/07 12:33:00 AM,33.25,25.44
215,06/24/07 12:34:00 AM,33.25,25.44
216,06/24/07 12:35:00 AM,33.25,25.44
217,06/24/07 12:36:00 AM,33.25,25.44
218,06/24/07 12:37:00 AM,33.25,25.44
219,06/24/07 12:38:00 AM,33.25,25.44
220,06/24/07 12:39:00 AM,33.25,25.44
221,06/24/07 12:40:00 AM,33.25,25.44
222,06/24/07 12:41:00 AM,33.25,25.27
223,06/24/07 12:42:00 AM,33.25,25.27
224,06/24/07 12:43:00 AM,33.25,25.27
225,06/24/07 12:44:00 AM,33.25,25.27
226,06/24/07 12:45:00 AM,33.25,25.27
227,06/24/07 12:46:00 AM,33.25,25.27
228,06/24/07 12:47:00 AM,33.25,25.27
229,06/24/07 12:48:00 AM,33.25,25.27
230,06/24/07 12:49:00 AM,33.25,25.09
231,06/24/07 12:50:00 AM,33.25,25.09
232,06/24/07 12:51:00 AM,33.25,25.09
233,06/24/07 12:52:00 AM,33.25,25.09
234,06/24/07 12:53:00 AM,33.25,24.91
235,06/24/07 12:54:00 AM,33.25,24.91
236,06/24/07 12:55:00 AM,33.25,24.91
237,06/24/07 12:56:00 AM,33.25,24.91
238,06/24/07 12:57:00 AM,33.25,24.91
239,06/24/07 12:58:00 AM,33.25,24.91
240,06/24/07 12:59:00 AM,33.25,24.91
241,06/24/07 01:00:00 AM,33.25,24.91
242,06/24/07 01:01:00 AM,33.25,24.91
243,06/24/07 01:02:00 AM,33.25,24.91
244,06/24/07 01:03:00 AM,33.25,24.91
245,06/24/07 01:04:00 AM,33.25,24.91
246,06/24/07 01:05:00 AM,33.25,24.91
247,06/24/07 01:06:00 AM,33.25,24.91
248,06/24/07 01:07:00 AM,33.25,24.91
249,06/24/07 01:08:00 AM,33.25,24.74
250,06/24/07 01:09:00 AM,33.25,24.74
251,06/24/07 01:10:00 AM,33.25,24.74
252,06/24/07 01:11:00 AM,33.25,24.74
253,06/24/07 01:12:00 AM,33.05,24.74
254,06/24/07 01:13:00 AM,33.05,24.74
255,06/24/07 01:14:00 AM,33.05,24.74
256,06/24/07 01:15:00 AM,33.05,24.74
257,06/24/07 01:16:00 AM,33.05,24.74
258,06/24/07 01:17:00 AM,33.05,24.74
259,06/24/07 01:18:00 AM,33.05,24.74
260,06/24/07 01:19:00 AM,32.66,24.74
261,06/24/07 01:20:00 AM,32.47,24.74
262,06/24/07 01:21:00 AM,32.28,24.74
263,06/24/07 01:22:00 AM,32.28,24.74
264,06/24/07 01:23:00 AM,32.08,24.74
265,06/24/07 01:24:00 AM,32.08,24.74
266,06/24/07 01:25:00 AM,32.08,24.56
267,06/24/07 01:26:00 AM,32.08,24.56
268,06/24/07 01:27:00 AM,31.89,24.56
269,06/24/07 01:28:00 AM,31.89,24.56
270,06/24/07 01:29:00 AM,31.89,24.56
271,06/24/07 01:30:00 AM,31.89,24.56
272,06/24/07 01:31:00 AM,31.70,24.56
273,06/24/07 01:32:00 AM,31.70,24.56
274,06/24/07 01:33:00 AM,31.70,24.56
275,06/24/07 01:34:00 AM,31.70,24.56
276,06/24/07 01:35:00 AM,31.70,24.56
277,06/24/07 01:36:00 AM,31.70,24.56
278,06/24/07 01:37:00 AM,31.70,24.56
279,06/24/07 01:38:00 AM,31.70,24.56
280,06/24/07 01:39:00 AM,31.70,24.56
281,06/24/07 01:40:00 AM,31.70,24.56
282,06/24/07 01:41:00 AM,31.70,24.56
283,06/24/07 01:42:00 AM,31.70,24.56
284,06/24/07 01:43:00 AM,31.70,24.56
285,06/24/07 01:44:00 AM,31.70,24.56
286,06/24/07 01:45:00 AM,31.70,24.56
287,06/24/07 01:46:00 AM,31.51,24.56
288,06/24/07 01:47:00 AM,31.51,24.56
289,06/24/07 01:48:00 AM,31.51,24.56
290,06/24/07 01:49:00 AM,31.51,24.56
291,06/24/07 01:50:00 AM,31.51,24.38
292,06/24/07 01:51:00 AM,31.51,24.38
293,06/24/07 01:52:00 AM,31.51,24.38
294,06/24/07 01:53:00 AM,31.51,24.38
295,06/24/07 01:54:00 AM,31.51,24.38
296,06/24/07 01:55:00 AM,31.51,24.38
297,06/24/07 01:56:00 AM,31.51,24.38
298,06/24/07 01:57:00 AM,31.51,24.38
299,06/24/07 01:58:00 AM,31.51,24.38
300,06/24/07 01:59:00 AM,31.51,24.38
301,06/24/07 02:00:00 AM,31.51,24.38
302,06/24/07 02:01:00 AM,31.32,24.38
303,06/24/07 02:02:00 AM,31.32,24.38
304,06/24/07 02:03:00 AM,31.32,24.38
305,06/24/07 02:04:00 AM,31.32,24.38
306,06/24/07 02:05:00 AM,31.32,24.21
307,06/24/07 02:06:00 AM,31.32,24.21
308,06/24/07 02:07:00 AM,31.32,24.21
309,06/24/07 02:08:00 AM,31.51,24.21
310,06/24/07 02:09:00 AM,31.51,24.21
311,06/24/07 02:10:00 AM,31.51,24.21
312,06/24/07 02:11:00 AM,31.51,24.21
313,06/24/07 02:12:00 AM,31.51,24.21
314,06/24/07 02:13:00 AM,31.51,24.21
315,06/24/07 02:14:00 AM,31.32,24.21
316,06/24/07 02:15:00 AM,31.32,24.21
317,06/24/07 02:16:00 AM,31.51,24.21
318,06/24/07 02:17:00 AM,31.70,24.21
319,06/24/07 02:18:00 AM,31.70,24.21
320,06/24/07 02:19:00 AM,31.70,24.21
321,06/24/07 02:20:00 AM,31.70,24.21
322,06/24/07 02:21:00 AM,31.70,24.03
323,06/24/07 02:22:00 AM,31.70,24.03
324,06/24/07 02:23:00 AM,31.70,24.03
325,06/24/07 02:24:00 AM,31.70,24.03
326,06/24/07 02:25:00 AM,31.70,24.03
327,06/24/07 02:26:00 AM,31.89,24.03
328,06/24/07 02:27:00 AM,31.89,24.03
329,06/24/07 02:28:00 AM,31.89,24.03
330,06/24/07 02:29:00 AM,31.89,24.03
331,06/24/07 02:30:00 AM,31.89,24.03
332,06/24/07 02:31:00 AM,31.89,24.03
333,06/24/07 02:32:00 AM,31.89,24.03
334,06/24/07 02:33:00 AM,31.89,23.86
