"Plot Title: JU46_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870233)","H08 Temp., °C (LGR S/N: 870233)"
1,06/30/07 10:00:00 PM,33.44,30.00
2,06/30/07 10:01:00 PM,33.25,30.37
3,06/30/07 10:02:00 PM,33.25,30.56
4,06/30/07 10:03:00 PM,33.44,30.37
5,06/30/07 10:04:00 PM,33.44,30.37
6,06/30/07 10:05:00 PM,33.44,30.37
7,06/30/07 10:06:00 PM,33.44,30.18
8,06/30/07 10:07:00 PM,33.44,30.18
9,06/30/07 10:08:00 PM,33.44,30.18
10,06/30/07 10:09:00 PM,33.44,30.18
11,06/30/07 10:10:00 PM,33.25,30.18
12,06/30/07 10:11:00 PM,33.25,30.18
13,06/30/07 10:12:00 PM,33.25,30.18
14,06/30/07 10:13:00 PM,33.25,30.18
15,06/30/07 10:14:00 PM,33.05,30.00
16,06/30/07 10:15:00 PM,33.05,30.00
17,06/30/07 10:16:00 PM,33.05,30.00
18,06/30/07 10:17:00 PM,32.86,30.18
19,06/30/07 10:18:00 PM,33.05,30.00
20,06/30/07 10:19:00 PM,33.05,30.18
21,06/30/07 10:20:00 PM,33.05,30.00
22,06/30/07 10:21:00 PM,33.05,30.18
23,06/30/07 10:22:00 PM,33.05,30.00
24,06/30/07 10:23:00 PM,33.05,30.18
25,06/30/07 10:24:00 PM,33.05,30.18
26,06/30/07 10:25:00 PM,33.05,30.00
27,06/30/07 10:26:00 PM,33.05,30.00
28,06/30/07 10:27:00 PM,33.05,30.00
29,06/30/07 10:28:00 PM,33.05,30.00
30,06/30/07 10:29:00 PM,33.05,29.62
31,06/30/07 10:30:00 PM,33.05,29.62
32,06/30/07 10:31:00 PM,32.86,29.62
33,06/30/07 10:32:00 PM,32.86,29.62
34,06/30/07 10:33:00 PM,32.86,29.62
35,06/30/07 10:34:00 PM,32.86,29.62
36,06/30/07 10:35:00 PM,32.86,29.62
37,06/30/07 10:36:00 PM,32.86,29.62
38,06/30/07 10:37:00 PM,32.86,29.62
39,06/30/07 10:38:00 PM,32.86,29.44
