"Plot Title: JU48_2_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870238)","H08 Temp., °C (LGR S/N: 870238)"
1,07/09/07 08:30:00 PM,34.63,30.18
2,07/09/07 08:31:00 PM,35.64,30.00
3,07/09/07 08:32:00 PM,35.85,30.00
4,07/09/07 08:33:00 PM,35.64,30.18
5,07/09/07 08:34:00 PM,34.83,30.00
6,07/09/07 08:35:00 PM,34.43,30.00
7,07/09/07 08:36:00 PM,34.04,30.00
8,07/09/07 08:37:00 PM,33.84,30.00
9,07/09/07 08:38:00 PM,33.64,29.81
10,07/09/07 08:39:00 PM,33.44,29.81
11,07/09/07 08:40:00 PM,33.44,29.81
12,07/09/07 08:41:00 PM,33.25,29.81
13,07/09/07 08:42:00 PM,33.64,29.81
14,07/09/07 08:43:00 PM,35.03,29.81
15,07/09/07 08:44:00 PM,35.64,29.62
16,07/09/07 08:45:00 PM,36.05,29.62
17,07/09/07 08:46:00 PM,35.85,29.62
18,07/09/07 08:47:00 PM,35.85,29.62
19,07/09/07 08:48:00 PM,36.05,29.62
20,07/09/07 08:49:00 PM,35.85,29.62
21,07/09/07 08:50:00 PM,35.64,29.62
22,07/09/07 08:51:00 PM,35.64,29.62
23,07/09/07 08:52:00 PM,35.64,29.62
24,07/09/07 08:53:00 PM,35.64,29.44
25,07/09/07 08:54:00 PM,35.44,29.44
26,07/09/07 08:55:00 PM,35.44,29.44
27,07/09/07 08:56:00 PM,35.24,29.44
28,07/09/07 08:57:00 PM,35.24,29.25
29,07/09/07 08:58:00 PM,35.24,29.25
30,07/09/07 08:59:00 PM,35.03,29.25
31,07/09/07 09:00:00 PM,34.83,29.44
32,07/09/07 09:01:00 PM,34.83,29.25
33,07/09/07 09:02:00 PM,34.63,29.25
34,07/09/07 09:03:00 PM,34.43,29.44
35,07/09/07 09:04:00 PM,34.43,29.25
36,07/09/07 09:05:00 PM,34.43,29.25
37,07/09/07 09:06:00 PM,34.23,29.44
38,07/09/07 09:07:00 PM,34.04,29.44
39,07/09/07 09:08:00 PM,34.23,29.44
40,07/09/07 09:09:00 PM,34.23,29.44
41,07/09/07 09:10:00 PM,34.23,29.44
42,07/09/07 09:11:00 PM,34.23,29.44
43,07/09/07 09:12:00 PM,34.43,29.25
44,07/09/07 09:13:00 PM,34.43,29.07
45,07/09/07 09:14:00 PM,34.23,29.07
46,07/09/07 09:15:00 PM,34.23,29.07
47,07/09/07 09:16:00 PM,34.23,28.88
48,07/09/07 09:17:00 PM,34.23,28.88
49,07/09/07 09:18:00 PM,33.84,28.88
50,07/09/07 09:19:00 PM,33.64,28.88
51,07/09/07 09:20:00 PM,33.64,28.88
52,07/09/07 09:21:00 PM,33.64,28.88
53,07/09/07 09:22:00 PM,33.64,28.88
54,07/09/07 09:23:00 PM,34.04,28.70
55,07/09/07 09:24:00 PM,33.84,28.70
56,07/09/07 09:25:00 PM,33.84,28.88
57,07/09/07 09:26:00 PM,33.64,28.88
58,07/09/07 09:27:00 PM,33.64,28.88
59,07/09/07 09:28:00 PM,33.64,28.88
60,07/09/07 09:29:00 PM,33.64,28.88
61,07/09/07 09:30:00 PM,33.44,28.70
62,07/09/07 09:31:00 PM,33.44,28.70
63,07/09/07 09:32:00 PM,33.25,28.88
64,07/09/07 09:33:00 PM,33.25,28.70
65,07/09/07 09:34:00 PM,33.44,28.70
66,07/09/07 09:35:00 PM,33.44,28.70
67,07/09/07 09:36:00 PM,33.44,28.70
68,07/09/07 09:37:00 PM,33.44,28.70
69,07/09/07 09:38:00 PM,33.64,28.51
70,07/09/07 09:39:00 PM,33.84,28.70
71,07/09/07 09:40:00 PM,33.84,28.70
72,07/09/07 09:41:00 PM,33.84,28.70
73,07/09/07 09:42:00 PM,33.84,28.70
74,07/09/07 09:43:00 PM,33.64,28.70
75,07/09/07 09:44:00 PM,33.64,28.51
76,07/09/07 09:45:00 PM,33.64,28.33
77,07/09/07 09:46:00 PM,33.64,28.33
78,07/09/07 09:47:00 PM,33.64,28.33
79,07/09/07 09:48:00 PM,33.64,28.15
80,07/09/07 09:49:00 PM,33.64,28.15
81,07/09/07 09:50:00 PM,33.64,28.15
82,07/09/07 09:51:00 PM,33.64,28.15
83,07/09/07 09:52:00 PM,33.64,28.15
84,07/09/07 09:53:00 PM,33.44,28.15
85,07/09/07 09:54:00 PM,33.25,28.15
86,07/09/07 09:55:00 PM,33.44,28.15
87,07/09/07 09:56:00 PM,33.44,27.96
88,07/09/07 09:57:00 PM,33.25,27.96
89,07/09/07 09:58:00 PM,33.44,27.96
90,07/09/07 09:59:00 PM,33.44,27.96
91,07/09/07 10:00:00 PM,33.44,27.96
92,07/09/07 10:01:00 PM,33.44,27.96
93,07/09/07 10:02:00 PM,33.44,28.15
94,07/09/07 10:03:00 PM,33.44,28.15
95,07/09/07 10:04:00 PM,33.25,28.15
96,07/09/07 10:05:00 PM,32.86,28.15
97,07/09/07 10:06:00 PM,32.66,28.15
98,07/09/07 10:07:00 PM,32.66,28.15
99,07/09/07 10:08:00 PM,32.66,28.15
100,07/09/07 10:09:00 PM,32.66,28.15
101,07/09/07 10:10:00 PM,32.66,28.15
102,07/09/07 10:11:00 PM,32.66,27.96
103,07/09/07 10:12:00 PM,32.86,27.96
104,07/09/07 10:13:00 PM,32.86,27.96
105,07/09/07 10:14:00 PM,32.86,27.96
106,07/09/07 10:15:00 PM,32.86,27.96
107,07/09/07 10:16:00 PM,32.86,27.78
108,07/09/07 10:17:00 PM,32.47,27.78
109,07/09/07 10:18:00 PM,32.66,27.78
110,07/09/07 10:19:00 PM,32.66,27.78
111,07/09/07 10:20:00 PM,32.86,27.78
112,07/09/07 10:21:00 PM,32.86,27.78
113,07/09/07 10:22:00 PM,32.86,27.78
114,07/09/07 10:23:00 PM,33.64,27.78
115,07/09/07 10:24:00 PM,33.84,27.78
116,07/09/07 10:25:00 PM,33.84,27.78
117,07/09/07 10:26:00 PM,33.84,27.78
118,07/09/07 10:27:00 PM,33.84,27.60
119,07/09/07 10:28:00 PM,33.84,27.60
120,07/09/07 10:29:00 PM,33.84,27.60
121,07/09/07 10:30:00 PM,33.84,27.42
122,07/09/07 10:31:00 PM,33.84,27.42
123,07/09/07 10:32:00 PM,33.64,27.42
124,07/09/07 10:33:00 PM,33.44,27.42
125,07/09/07 10:34:00 PM,33.05,27.24
126,07/09/07 10:35:00 PM,33.25,27.42
127,07/09/07 10:36:00 PM,33.25,27.42
128,07/09/07 10:37:00 PM,33.44,27.42
129,07/09/07 10:38:00 PM,33.44,27.42
130,07/09/07 10:39:00 PM,33.44,27.42
131,07/09/07 10:40:00 PM,33.44,27.42
132,07/09/07 10:41:00 PM,33.44,27.42
133,07/09/07 10:42:00 PM,33.44,27.42
134,07/09/07 10:43:00 PM,33.25,27.42
135,07/09/07 10:44:00 PM,33.25,27.24
136,07/09/07 10:45:00 PM,33.05,27.24
137,07/09/07 10:46:00 PM,33.25,27.24
138,07/09/07 10:47:00 PM,33.25,27.24
139,07/09/07 10:48:00 PM,33.25,27.24
140,07/09/07 10:49:00 PM,33.25,27.06
