"Plot Title: MH16_07_C2"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574447)","H08 Temp., °C (LGR S/N: 574447)"
1,05/09/07 01:00:00 PM,24.91,24.38
2,05/09/07 01:01:00 PM,24.74,24.21
3,05/09/07 01:02:00 PM,24.74,24.21
4,05/09/07 01:03:00 PM,24.74,24.03
5,05/09/07 01:04:00 PM,24.74,24.21
6,05/09/07 01:05:00 PM,24.91,24.38
7,05/09/07 01:06:00 PM,25.09,24.38
8,05/09/07 01:07:00 PM,25.09,24.56
9,05/09/07 01:08:00 PM,25.27,24.56
10,05/09/07 01:09:00 PM,25.44,24.74
11,05/09/07 01:10:00 PM,25.80,24.91
12,05/09/07 01:11:00 PM,25.98,25.09
13,05/09/07 01:12:00 PM,26.34,25.27
14,05/09/07 01:13:00 PM,26.52,25.44
15,05/09/07 01:14:00 PM,26.34,25.27
16,05/09/07 01:15:00 PM,25.98,25.09
17,05/09/07 01:16:00 PM,25.80,24.91
18,05/09/07 01:17:00 PM,25.62,24.91
19,05/09/07 01:18:00 PM,25.62,24.91
20,05/09/07 01:19:00 PM,25.44,24.74
21,05/09/07 01:20:00 PM,25.44,24.74
22,05/09/07 01:21:00 PM,25.27,24.56
23,05/09/07 01:22:00 PM,25.27,24.74
24,05/09/07 01:23:00 PM,25.09,24.56
25,05/09/07 01:24:00 PM,24.91,24.38
26,05/09/07 01:25:00 PM,24.91,24.38
27,05/09/07 01:26:00 PM,24.74,24.21
28,05/09/07 01:27:00 PM,24.74,24.38
29,05/09/07 01:28:00 PM,24.74,24.38
30,05/09/07 01:29:00 PM,24.74,24.38
31,05/09/07 01:30:00 PM,24.74,24.21
32,05/09/07 01:31:00 PM,24.56,24.21
33,05/09/07 01:32:00 PM,24.38,24.03
34,05/09/07 01:33:00 PM,24.38,23.86
35,05/09/07 01:34:00 PM,24.21,23.86
36,05/09/07 01:35:00 PM,24.21,23.86
37,05/09/07 01:36:00 PM,24.21,24.03
38,05/09/07 01:37:00 PM,24.38,24.03
39,05/09/07 01:38:00 PM,24.38,24.03
40,05/09/07 01:39:00 PM,24.38,24.21
41,05/09/07 01:40:00 PM,24.56,24.21
42,05/09/07 01:41:00 PM,24.56,24.03
43,05/09/07 01:42:00 PM,24.56,24.21
44,05/09/07 01:43:00 PM,24.74,24.38
45,05/09/07 01:44:00 PM,24.91,24.56
46,05/09/07 01:45:00 PM,25.09,24.56
47,05/09/07 01:46:00 PM,25.09,24.74
48,05/09/07 01:47:00 PM,25.09,24.74
49,05/09/07 01:48:00 PM,25.27,24.91
