"Plot Title: MH40_07_C"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 870241)","H08 Temp., °C (LGR S/N: 870241)"
1,06/19/07 12:00:00 PM,29.25,28.51
2,06/19/07 12:01:00 PM,29.25,28.51
3,06/19/07 12:02:00 PM,29.25,28.51
4,06/19/07 12:03:00 PM,29.44,28.70
5,06/19/07 12:04:00 PM,29.62,29.07
6,06/19/07 12:05:00 PM,29.62,28.70
7,06/19/07 12:06:00 PM,29.62,28.88
8,06/19/07 12:07:00 PM,30.00,29.07
9,06/19/07 12:08:00 PM,30.18,29.44
10,06/19/07 12:09:00 PM,30.37,29.44
11,06/19/07 12:10:00 PM,30.18,29.25
12,06/19/07 12:11:00 PM,30.00,29.07
13,06/19/07 12:12:00 PM,29.81,28.88
14,06/19/07 12:13:00 PM,30.00,29.07
15,06/19/07 12:14:00 PM,30.18,29.07
16,06/19/07 12:15:00 PM,30.18,29.07
17,06/19/07 12:16:00 PM,30.00,29.07
18,06/19/07 12:17:00 PM,30.18,29.25
19,06/19/07 12:18:00 PM,30.37,29.44
20,06/19/07 12:19:00 PM,30.37,29.25
21,06/19/07 12:20:00 PM,30.37,29.44
22,06/19/07 12:21:00 PM,30.18,29.44
23,06/19/07 12:22:00 PM,30.37,29.44
24,06/19/07 12:23:00 PM,30.37,29.44
25,06/19/07 12:24:00 PM,30.56,29.44
26,06/19/07 12:25:00 PM,30.37,29.44
27,06/19/07 12:26:00 PM,30.56,29.62
28,06/19/07 12:27:00 PM,30.56,29.44
29,06/19/07 12:28:00 PM,30.75,29.81
30,06/19/07 12:29:00 PM,30.94,29.81
31,06/19/07 12:30:00 PM,30.94,29.62
32,06/19/07 12:31:00 PM,30.94,29.62
33,06/19/07 12:32:00 PM,31.13,29.62
34,06/19/07 12:33:00 PM,31.51,30.00
35,06/19/07 12:34:00 PM,31.51,30.75
36,06/19/07 12:35:00 PM,31.70,30.75
37,06/19/07 12:36:00 PM,31.70,30.56
38,06/19/07 12:37:00 PM,31.89,30.37
39,06/19/07 12:38:00 PM,31.89,30.56
40,06/19/07 12:39:00 PM,31.51,30.18
41,06/19/07 12:40:00 PM,31.51,30.18
42,06/19/07 12:41:00 PM,31.32,30.18
43,06/19/07 12:42:00 PM,31.13,29.81
44,06/19/07 12:43:00 PM,31.13,29.81
45,06/19/07 12:44:00 PM,31.13,29.81
46,06/19/07 12:45:00 PM,31.32,30.00
47,06/19/07 12:46:00 PM,31.32,30.18
48,06/19/07 12:47:00 PM,31.32,30.00
49,06/19/07 12:48:00 PM,31.32,30.00
50,06/19/07 12:49:00 PM,31.70,30.18
51,06/19/07 12:50:00 PM,31.70,30.37
52,06/19/07 12:51:00 PM,31.70,30.37
53,06/19/07 12:52:00 PM,31.70,30.18
54,06/19/07 12:53:00 PM,31.51,30.18
55,06/19/07 12:54:00 PM,31.51,30.18
56,06/19/07 12:55:00 PM,31.70,30.37
57,06/19/07 12:56:00 PM,31.70,30.37
58,06/19/07 12:57:00 PM,31.70,30.18
59,06/19/07 12:58:00 PM,31.70,30.18
60,06/19/07 12:59:00 PM,31.70,30.18
61,06/19/07 01:00:00 PM,31.89,30.37
62,06/19/07 01:01:00 PM,31.70,30.37
63,06/19/07 01:02:00 PM,31.89,30.18
64,06/19/07 01:03:00 PM,31.89,30.37
65,06/19/07 01:04:00 PM,31.70,30.18
66,06/19/07 01:05:00 PM,31.89,30.37
67,06/19/07 01:06:00 PM,31.70,30.37
68,06/19/07 01:07:00 PM,31.32,30.00
69,06/19/07 01:08:00 PM,31.32,29.81
70,06/19/07 01:09:00 PM,31.13,29.81
71,06/19/07 01:10:00 PM,31.51,30.18
72,06/19/07 01:11:00 PM,31.51,30.18
73,06/19/07 01:12:00 PM,31.70,30.37
74,06/19/07 01:13:00 PM,31.70,30.56
75,06/19/07 01:14:00 PM,31.51,30.56
76,06/19/07 01:15:00 PM,31.70,30.37
77,06/19/07 01:16:00 PM,31.51,30.37
78,06/19/07 01:17:00 PM,31.70,30.37
79,06/19/07 01:18:00 PM,31.51,30.18
80,06/19/07 01:19:00 PM,31.32,30.00
81,06/19/07 01:20:00 PM,31.13,29.81
82,06/19/07 01:21:00 PM,31.32,29.81
83,06/19/07 01:22:00 PM,31.32,30.18
84,06/19/07 01:23:00 PM,31.32,30.18
85,06/19/07 01:24:00 PM,31.51,30.18
86,06/19/07 01:25:00 PM,31.51,30.18
87,06/19/07 01:26:00 PM,31.70,30.37
88,06/19/07 01:27:00 PM,31.70,30.75
89,06/19/07 01:28:00 PM,31.70,30.94
90,06/19/07 01:29:00 PM,31.89,30.75
91,06/19/07 01:30:00 PM,31.89,30.75
92,06/19/07 01:31:00 PM,31.89,30.75
93,06/19/07 01:32:00 PM,31.89,30.37
94,06/19/07 01:33:00 PM,31.70,30.37
