"Plot Title: MH8_C4"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 605331)","H08 Temp., °C (LGR S/N: 605331)"
1,04/16/07 04:00:00 PM,29.62,21.43
2,04/16/07 04:01:00 PM,29.62,21.26
3,04/16/07 04:02:00 PM,29.62,21.26
4,04/16/07 04:03:00 PM,29.81,21.43
5,04/16/07 04:04:00 PM,27.96,21.26
6,04/16/07 04:05:00 PM,26.70,21.08
7,04/16/07 04:06:00 PM,25.80,21.26
8,04/16/07 04:07:00 PM,25.09,21.43
9,04/16/07 04:08:00 PM,24.91,21.77
10,04/16/07 04:09:00 PM,24.91,21.95
11,04/16/07 04:10:00 PM,24.74,21.77
12,04/16/07 04:11:00 PM,24.74,21.77
13,04/16/07 04:12:00 PM,24.74,21.77
14,04/16/07 04:13:00 PM,24.56,21.60
15,04/16/07 04:14:00 PM,24.21,21.60
16,04/16/07 04:15:00 PM,25.62,21.77
17,04/16/07 04:16:00 PM,26.34,21.77
18,04/16/07 04:17:00 PM,26.70,21.77
19,04/16/07 04:18:00 PM,27.24,21.60
20,04/16/07 04:19:00 PM,27.42,21.60
21,04/16/07 04:20:00 PM,27.42,21.60
22,04/16/07 04:21:00 PM,27.42,21.77
23,04/16/07 04:22:00 PM,27.42,21.77
24,04/16/07 04:23:00 PM,27.42,21.77
25,04/16/07 04:24:00 PM,27.42,21.60
26,04/16/07 04:25:00 PM,27.42,21.77
27,04/16/07 04:26:00 PM,27.60,21.95
28,04/16/07 04:27:00 PM,27.60,21.95
29,04/16/07 04:28:00 PM,26.70,21.95
30,04/16/07 04:29:00 PM,25.80,21.95
31,04/16/07 04:30:00 PM,25.27,21.95
32,04/16/07 04:31:00 PM,24.74,21.77
33,04/16/07 04:32:00 PM,24.38,21.95
34,04/16/07 04:33:00 PM,24.21,21.95
35,04/16/07 04:34:00 PM,24.03,21.95
36,04/16/07 04:35:00 PM,24.03,21.77
37,04/16/07 04:36:00 PM,24.03,21.77
38,04/16/07 04:37:00 PM,24.03,21.95
39,04/16/07 04:38:00 PM,24.03,21.95
40,04/16/07 04:39:00 PM,23.86,21.95
41,04/16/07 04:40:00 PM,23.86,22.12
42,04/16/07 04:41:00 PM,23.86,22.12
43,04/16/07 04:42:00 PM,23.68,22.29
44,04/16/07 04:43:00 PM,23.68,22.12
45,04/16/07 04:44:00 PM,23.51,21.95
46,04/16/07 04:45:00 PM,23.51,21.95
47,04/16/07 04:46:00 PM,24.74,21.95
48,04/16/07 04:47:00 PM,25.44,21.95
49,04/16/07 04:48:00 PM,25.80,21.95
50,04/16/07 04:49:00 PM,25.98,22.12
51,04/16/07 04:50:00 PM,26.34,22.12
52,04/16/07 04:51:00 PM,26.52,22.12
53,04/16/07 04:52:00 PM,26.70,21.95
54,04/16/07 04:53:00 PM,26.70,21.95
55,04/16/07 04:54:00 PM,26.70,21.77
56,04/16/07 04:55:00 PM,26.52,21.77
57,04/16/07 04:56:00 PM,26.34,21.95
58,04/16/07 04:57:00 PM,25.44,21.95
59,04/16/07 04:58:00 PM,24.74,22.12
60,04/16/07 04:59:00 PM,24.56,22.12
61,04/16/07 05:00:00 PM,25.44,22.12
62,04/16/07 05:01:00 PM,26.16,22.12
63,04/16/07 05:02:00 PM,26.52,22.29
64,04/16/07 05:03:00 PM,26.70,22.29
65,04/16/07 05:04:00 PM,26.88,22.46
66,04/16/07 05:05:00 PM,26.88,22.29
67,04/16/07 05:06:00 PM,26.88,22.29
68,04/16/07 05:07:00 PM,26.70,22.29
69,04/16/07 05:08:00 PM,26.70,22.29
70,04/16/07 05:09:00 PM,26.16,22.46
71,04/16/07 05:10:00 PM,25.44,22.46
72,04/16/07 05:11:00 PM,24.91,22.29
73,04/16/07 05:12:00 PM,25.80,22.46
74,04/16/07 05:13:00 PM,26.88,22.29
75,04/16/07 05:14:00 PM,27.60,22.29
76,04/16/07 05:15:00 PM,27.96,22.12
77,04/16/07 05:16:00 PM,28.51,22.29
78,04/16/07 05:17:00 PM,28.15,22.29
79,04/16/07 05:18:00 PM,28.51,22.29
80,04/16/07 05:19:00 PM,28.88,22.29
81,04/16/07 05:20:00 PM,29.07,22.29
82,04/16/07 05:21:00 PM,29.25,22.46
83,04/16/07 05:22:00 PM,29.25,22.64
84,04/16/07 05:23:00 PM,29.25,22.64
85,04/16/07 05:24:00 PM,28.70,22.64
86,04/16/07 05:25:00 PM,27.24,22.64
87,04/16/07 05:26:00 PM,26.34,22.64
88,04/16/07 05:27:00 PM,25.62,22.64
89,04/16/07 05:28:00 PM,25.09,22.46
90,04/16/07 05:29:00 PM,24.56,22.29
91,04/16/07 05:30:00 PM,24.74,22.29
92,04/16/07 05:31:00 PM,25.62,22.29
93,04/16/07 05:32:00 PM,26.88,22.29
94,04/16/07 05:33:00 PM,27.96,22.46
95,04/16/07 05:34:00 PM,28.51,22.46
96,04/16/07 05:35:00 PM,28.88,22.46
97,04/16/07 05:36:00 PM,29.25,22.46
98,04/16/07 05:37:00 PM,29.25,22.46
99,04/16/07 05:38:00 PM,29.07,22.46
100,04/16/07 05:39:00 PM,28.70,22.29
101,04/16/07 05:40:00 PM,28.51,22.29
102,04/16/07 05:41:00 PM,28.33,22.29
103,04/16/07 05:42:00 PM,28.15,22.29
104,04/16/07 05:43:00 PM,28.15,22.29
105,04/16/07 05:44:00 PM,28.15,22.46
106,04/16/07 05:45:00 PM,28.15,22.46
107,04/16/07 05:46:00 PM,28.15,22.46
108,04/16/07 05:47:00 PM,28.15,22.46
109,04/16/07 05:48:00 PM,27.96,22.46
110,04/16/07 05:49:00 PM,28.15,22.46
111,04/16/07 05:50:00 PM,28.70,22.46
112,04/16/07 05:51:00 PM,29.07,22.64
113,04/16/07 05:52:00 PM,29.25,22.64
114,04/16/07 05:53:00 PM,27.96,22.64
115,04/16/07 05:54:00 PM,26.70,22.46
116,04/16/07 05:55:00 PM,25.80,22.29
117,04/16/07 05:56:00 PM,25.09,22.29
118,04/16/07 05:57:00 PM,24.74,22.29
119,04/16/07 05:58:00 PM,24.38,22.46
120,04/16/07 05:59:00 PM,25.27,22.29
121,04/16/07 06:00:00 PM,26.52,22.46
122,04/16/07 06:01:00 PM,27.60,22.46
123,04/16/07 06:02:00 PM,28.15,22.46
124,04/16/07 06:03:00 PM,28.51,22.29
125,04/16/07 06:04:00 PM,27.96,22.29
126,04/16/07 06:05:00 PM,27.78,22.29
127,04/16/07 06:06:00 PM,27.60,22.29
128,04/16/07 06:07:00 PM,27.42,22.29
129,04/16/07 06:08:00 PM,27.42,22.29
130,04/16/07 06:09:00 PM,27.60,22.29
131,04/16/07 06:10:00 PM,27.78,22.46
132,04/16/07 06:11:00 PM,27.96,22.46
133,04/16/07 06:12:00 PM,26.70,22.46
134,04/16/07 06:13:00 PM,25.98,22.46
135,04/16/07 06:14:00 PM,25.44,22.46
136,04/16/07 06:15:00 PM,25.09,22.46
137,04/16/07 06:16:00 PM,24.74,22.46
138,04/16/07 06:17:00 PM,24.74,22.64
139,04/16/07 06:18:00 PM,25.09,22.64
140,04/16/07 06:19:00 PM,25.44,22.46
141,04/16/07 06:20:00 PM,25.62,22.29
142,04/16/07 06:21:00 PM,26.88,22.29
143,04/16/07 06:22:00 PM,28.51,22.29
144,04/16/07 06:23:00 PM,29.44,22.29
145,04/16/07 06:24:00 PM,29.81,22.29
146,04/16/07 06:25:00 PM,30.18,22.12
147,04/16/07 06:26:00 PM,30.37,22.12
148,04/16/07 06:27:00 PM,30.56,22.29
149,04/16/07 06:28:00 PM,30.56,22.29
150,04/16/07 06:29:00 PM,30.56,22.29
151,04/16/07 06:30:00 PM,29.62,22.29
152,04/16/07 06:31:00 PM,27.78,22.12
153,04/16/07 06:32:00 PM,26.70,22.29
154,04/16/07 06:33:00 PM,25.80,22.29
155,04/16/07 06:34:00 PM,25.27,22.29
156,04/16/07 06:35:00 PM,24.91,22.29
157,04/16/07 06:36:00 PM,25.44,22.12
158,04/16/07 06:37:00 PM,24.74,22.12
159,04/16/07 06:38:00 PM,24.38,22.12
160,04/16/07 06:39:00 PM,24.74,22.12
161,04/16/07 06:40:00 PM,26.88,22.12
162,04/16/07 06:41:00 PM,28.51,22.12
163,04/16/07 06:42:00 PM,28.70,22.12
164,04/16/07 06:43:00 PM,28.15,21.95
165,04/16/07 06:44:00 PM,27.78,21.95
166,04/16/07 06:45:00 PM,27.78,21.95
167,04/16/07 06:46:00 PM,27.60,21.95
168,04/16/07 06:47:00 PM,27.42,21.95
169,04/16/07 06:48:00 PM,27.24,21.95
