"Plot Title: SD22_07_C4"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 822539)","H08 Temp., °C (LGR S/N: 822539)"
1,03/31/07 02:23:54 PM,36.67,-1.55
2,03/31/07 02:24:54 PM,35.85,-1.55
3,03/31/07 02:25:54 PM,35.24,-1.55
4,03/31/07 02:26:54 PM,34.63,-1.55
5,03/31/07 02:27:54 PM,34.43,-1.55
6,03/31/07 02:28:54 PM,34.23,-1.55
7,03/31/07 02:29:54 PM,33.84,-1.55
8,03/31/07 02:30:54 PM,33.44,-1.55
9,03/31/07 02:31:54 PM,33.05,-1.55
10,03/31/07 02:32:54 PM,32.86,-1.55
11,03/31/07 02:33:54 PM,34.43,-1.55
12,03/31/07 02:34:54 PM,35.44,-1.55
13,03/31/07 02:35:54 PM,35.44,-1.55
14,03/31/07 02:36:54 PM,35.24,-1.55
15,03/31/07 02:37:54 PM,35.85,-1.55
16,03/31/07 02:38:54 PM,37.50,-1.55
17,03/31/07 02:39:54 PM,38.14,-1.55
18,03/31/07 02:40:54 PM,37.50,-1.55
19,03/31/07 02:41:54 PM,36.67,-1.55
20,03/31/07 02:42:54 PM,36.67,-1.55
21,03/31/07 02:43:54 PM,36.67,-1.55
22,03/31/07 02:44:54 PM,36.46,-1.55
23,03/31/07 02:45:54 PM,35.03,-1.55
24,03/31/07 02:46:54 PM,34.23,-1.55
25,03/31/07 02:47:54 PM,33.84,-1.55
26,03/31/07 02:48:54 PM,33.44,-1.55
27,03/31/07 02:49:54 PM,33.25,-1.55
28,03/31/07 02:50:54 PM,32.86,-1.55
29,03/31/07 02:51:54 PM,32.66,-1.55
30,03/31/07 02:52:54 PM,32.28,-1.55
31,03/31/07 02:53:54 PM,32.08,-1.55
32,03/31/07 02:54:54 PM,34.04,-1.55
33,03/31/07 02:55:54 PM,35.85,-1.55
34,03/31/07 02:56:54 PM,36.26,-1.55
35,03/31/07 02:57:54 PM,36.67,-1.55
36,03/31/07 02:58:54 PM,37.92,-1.55
37,03/31/07 02:59:54 PM,36.67,-1.55
38,03/31/07 03:00:54 PM,36.26,-1.55
39,03/31/07 03:01:54 PM,35.44,-1.55
40,03/31/07 03:02:54 PM,33.84,-1.55
41,03/31/07 03:03:54 PM,32.86,-1.55
42,03/31/07 03:04:54 PM,32.28,-1.55
43,03/31/07 03:05:54 PM,31.70,-1.55
44,03/31/07 03:06:54 PM,31.32,-1.55
45,03/31/07 03:07:54 PM,33.44,-1.55
46,03/31/07 03:08:54 PM,34.43,-1.55
47,03/31/07 03:09:54 PM,33.84,-1.55
48,03/31/07 03:10:54 PM,34.63,-1.55
49,03/31/07 03:11:54 PM,35.03,-1.55
50,03/31/07 03:12:54 PM,35.44,-1.55
51,03/31/07 03:13:54 PM,35.85,-1.55
52,03/31/07 03:14:54 PM,35.85,-1.55
53,03/31/07 03:15:54 PM,36.46,-1.55
54,03/31/07 03:16:54 PM,36.67,-1.55
55,03/31/07 03:17:54 PM,37.08,-1.55
56,03/31/07 03:18:54 PM,37.71,-1.55
57,03/31/07 03:19:54 PM,37.71,-1.55
58,03/31/07 03:20:54 PM,37.50,-1.55
59,03/31/07 03:21:54 PM,35.64,-1.55
60,03/31/07 03:22:54 PM,34.63,-1.55
61,03/31/07 03:23:54 PM,34.04,-1.55
62,03/31/07 03:24:54 PM,33.44,-1.55
63,03/31/07 03:25:54 PM,33.05,-1.55
64,03/31/07 03:26:54 PM,32.86,-1.55
65,03/31/07 03:27:54 PM,32.47,-1.55
66,03/31/07 03:28:54 PM,32.28,-1.55
67,03/31/07 03:29:54 PM,32.08,-1.55
68,03/31/07 03:30:54 PM,34.23,-1.55
