"Plot Title: SW_science library"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 455758)","H08 Temp., °C (LGR S/N: 455758)"
1,06/07/07 10:00:00 PM,27.60,25.09
2,06/07/07 10:01:00 PM,27.60,25.09
3,06/07/07 10:02:00 PM,27.60,25.09
4,06/07/07 10:03:00 PM,27.60,25.09
5,06/07/07 10:04:00 PM,27.60,25.09
6,06/07/07 10:05:00 PM,27.60,25.09
7,06/07/07 10:06:00 PM,27.60,25.09
8,06/07/07 10:07:00 PM,27.60,25.09
9,06/07/07 10:08:00 PM,27.60,25.09
10,06/07/07 10:09:00 PM,27.60,25.09
11,06/07/07 10:10:00 PM,27.60,25.09
12,06/07/07 10:11:00 PM,27.60,25.09
13,06/07/07 10:12:00 PM,27.60,25.09
14,06/07/07 10:13:00 PM,27.60,25.09
15,06/07/07 10:14:00 PM,27.60,25.09
16,06/07/07 10:15:00 PM,27.60,25.09
17,06/07/07 10:16:00 PM,27.60,25.09
18,06/07/07 10:17:00 PM,27.60,25.09
19,06/07/07 10:18:00 PM,27.60,25.09
20,06/07/07 10:19:00 PM,27.60,25.09
21,06/07/07 10:20:00 PM,27.60,25.09
22,06/07/07 10:21:00 PM,27.60,25.09
23,06/07/07 10:22:00 PM,27.60,25.09
24,06/07/07 10:23:00 PM,27.60,25.09
25,06/07/07 10:24:00 PM,27.60,25.09
26,06/07/07 10:25:00 PM,27.60,25.09
27,06/07/07 10:26:00 PM,27.60,25.09
28,06/07/07 10:27:00 PM,27.60,25.09
29,06/07/07 10:28:00 PM,27.60,25.09
30,06/07/07 10:29:00 PM,27.60,25.09
31,06/07/07 10:30:00 PM,27.60,25.09
32,06/07/07 10:31:00 PM,27.60,25.09
33,06/07/07 10:32:00 PM,27.60,25.09
34,06/07/07 10:33:00 PM,27.60,25.09
35,06/07/07 10:34:00 PM,27.60,24.91
36,06/07/07 10:35:00 PM,27.60,25.09
37,06/07/07 10:36:00 PM,27.60,25.09
38,06/07/07 10:37:00 PM,27.60,25.09
39,06/07/07 10:38:00 PM,27.60,25.09
40,06/07/07 10:39:00 PM,27.60,25.09
41,06/07/07 10:40:00 PM,27.60,25.09
42,06/07/07 10:41:00 PM,27.60,24.91
43,06/07/07 10:42:00 PM,27.60,24.91
44,06/07/07 10:43:00 PM,27.60,24.91
45,06/07/07 10:44:00 PM,27.60,24.91
46,06/07/07 10:45:00 PM,27.60,24.91
47,06/07/07 10:46:00 PM,27.60,24.91
48,06/07/07 10:47:00 PM,27.42,24.91
49,06/07/07 10:48:00 PM,27.42,24.91
50,06/07/07 10:49:00 PM,27.42,24.91
51,06/07/07 10:50:00 PM,27.42,24.91
52,06/07/07 10:51:00 PM,27.42,24.91
53,06/07/07 10:52:00 PM,27.42,24.91
54,06/07/07 10:53:00 PM,27.42,24.91
55,06/07/07 10:54:00 PM,27.42,24.91
56,06/07/07 10:55:00 PM,27.42,24.91
57,06/07/07 10:56:00 PM,27.42,24.91
58,06/07/07 10:57:00 PM,27.42,24.91
59,06/07/07 10:58:00 PM,27.42,24.91
60,06/07/07 10:59:00 PM,27.24,24.91
61,06/07/07 11:00:00 PM,27.24,24.91
62,06/07/07 11:01:00 PM,27.24,24.91
63,06/07/07 11:02:00 PM,27.24,24.74
64,06/07/07 11:03:00 PM,27.24,24.74
65,06/07/07 11:04:00 PM,27.24,24.74
66,06/07/07 11:05:00 PM,27.24,24.74
67,06/07/07 11:06:00 PM,27.24,24.74
68,06/07/07 11:07:00 PM,27.06,24.74
69,06/07/07 11:08:00 PM,27.06,24.74
70,06/07/07 11:09:00 PM,27.06,24.74
71,06/07/07 11:10:00 PM,27.06,24.74
72,06/07/07 11:11:00 PM,27.06,24.74
73,06/07/07 11:12:00 PM,27.06,24.74
74,06/07/07 11:13:00 PM,27.06,24.74
75,06/07/07 11:14:00 PM,27.06,24.74
76,06/07/07 11:15:00 PM,27.06,24.56
77,06/07/07 11:16:00 PM,27.06,24.74
78,06/07/07 11:17:00 PM,27.06,24.56
79,06/07/07 11:18:00 PM,27.06,24.56
80,06/07/07 11:19:00 PM,27.06,24.56
81,06/07/07 11:20:00 PM,27.06,24.56
82,06/07/07 11:21:00 PM,27.06,24.56
83,06/07/07 11:22:00 PM,27.06,24.56
84,06/07/07 11:23:00 PM,27.06,24.56
85,06/07/07 11:24:00 PM,27.06,24.56
86,06/07/07 11:25:00 PM,26.88,24.56
87,06/07/07 11:26:00 PM,26.88,24.56
88,06/07/07 11:27:00 PM,26.88,24.56
89,06/07/07 11:28:00 PM,26.88,24.56
90,06/07/07 11:29:00 PM,26.88,24.56
91,06/07/07 11:30:00 PM,26.88,24.56
92,06/07/07 11:31:00 PM,26.88,24.56
93,06/07/07 11:32:00 PM,26.88,24.56
94,06/07/07 11:33:00 PM,26.88,24.56
95,06/07/07 11:34:00 PM,26.88,24.56
96,06/07/07 11:35:00 PM,26.88,24.56
97,06/07/07 11:36:00 PM,26.88,24.56
98,06/07/07 11:37:00 PM,26.88,24.56
99,06/07/07 11:38:00 PM,26.88,24.56
100,06/07/07 11:39:00 PM,26.88,24.56
101,06/07/07 11:40:00 PM,26.88,24.38
102,06/07/07 11:41:00 PM,26.88,24.38
103,06/07/07 11:42:00 PM,26.88,24.38
104,06/07/07 11:43:00 PM,26.88,24.38
105,06/07/07 11:44:00 PM,26.88,24.38
106,06/07/07 11:45:00 PM,26.88,24.38
107,06/07/07 11:46:00 PM,26.88,24.38
108,06/07/07 11:47:00 PM,26.88,24.38
109,06/07/07 11:48:00 PM,26.88,24.38
110,06/07/07 11:49:00 PM,26.88,24.38
111,06/07/07 11:50:00 PM,26.88,24.38
112,06/07/07 11:51:00 PM,26.88,24.38
113,06/07/07 11:52:00 PM,26.88,24.38
114,06/07/07 11:53:00 PM,26.70,24.38
115,06/07/07 11:54:00 PM,26.70,24.38
116,06/07/07 11:55:00 PM,26.70,24.38
