Month,Nest,Inner material,Outter material,Total Weigth
June,GL83,25.2,13.2,
July,GL117,11.2,70.2,
July,GLL116,9.9,35.3,
July,GL127,15,60.3,
April,GL20,28.6,55.8,
April,SD47,21.7,59.8,
May,GL26,15.4,53.8,
March,SD18,18.2,108.3,
April,GL14,28.3,98.9,
April,GL12,18.1,80.2,
April,GL3,13.3,61.8,
April,GL15,26.1,18.2,
June,TR100,14,15.5,
July,SD297,15.3,75.4,
June,GL74,12.5,91.6,
July,SD_AY/RR,8.3,108.6,
June,GL72,24.4,52.1,
June,GL67,31.6,36.4,
June,SD271,8,48.3,
June,GL112,15.5,35.3,
June,GL113,25,56.5,
May,TR SW rec Center,24.6,99.1,
March,SD10,17.2,59.4,
April,GL4,42.8,76.4,
June,GL70,22.9,57.1,
May,GL81,27.6,34,
July,GL130,15,68,
May,GL51,22,118.2,
July,SD299,10.4,93,
July,GL119,13.8,41,
April,GL14,17.7,95.3,
July,SD310,18,111.5,
July,TR108,18.6,62.9,
June,GL76,23.8,46.2,
April,SD20,21,83,
July,SD264,11.9,25,
July,SD298,10.2,45.8,
June,GL95,15.7,45.2,
April,SD44,17,51.5,
April,GL10,12.6,60,
June,SD245,17.7,47.4,
June,GL71,20.9,87.9,
July,GL123,14.1,90.6,
May,GL68,31.8,67.9,
July,GL129,18.7,46.3,
April,GL7,15.8,32,
June,GL96,11.6,52.1,
July,GL116,9.3,86.7,
June,TR98,18.8,91.4,
April,GL17,13.2,80,
June,GL100,21.8,49.8,
July,SD293,11.7,45.9,
June,GL69,9.8,128.8,
April,GL (Brawer dinning),39.7,28.2,
June,ALS79,21.4,36.6,
June,GL99,26.4,12.6,
March,SD(College Healt,19.3,32,
May,GL (SE Gerson),15.7,50,
June,GL80,17.6,76,
May,MH9,12.9,32.4,
May,X,30.3,8.3,
April,ALS10,23.5,24.6,
April,GL29,20,54.1,
May,GL (NW Water Plant McArty),11.6,40,
April,GL53,17.2,112.5,
May,GL (NW Brawer Dinning),18.5,52.3,
May,GL (Advacing center),9.8,23.6,
May,GL (swimming pool),19.1,60.9,
May,GL (N McArty A),14.5,87,
May,ALS46,27.8,63,
May,GL73,28.2,17,
May,GL (SE Gerson),17.7,80,
April,GL (swimming pool),20.1,22.6,
June,MP9,15.7,50,
May,ALS35,11.4,38.3,
May,GL(W Stadium),13.4,45.8,
May,GL61,17.4,65.3,
May,MH12,25.6,9.6,
May,MH10,16.1,33.9,
May,ALS (Brain),15.7,46.7,
May,ALS,17.2,36.2,
May,MH4,14.9,86.5,
May,GL77,28.4,58.3,
April,GL (SW Brawer doorms),16.1,42.8,
May,MH2,14.9,32.5,
May,S advacing center,26.8,70.4,
April,ALS8,31.5,19.2,
May,ALS44,9.4,34.8,
May,GL78,17,80.3,
May,MH3,15.2,62.8,
March,GL (Keeneflint),27,123.9,
March,GL,15.7,65,
March,GL26,22.2,42.9,
April,MP2,26.5,30.3,
March,GL16,20,30.3,
April,JU1,23.7,85.5,
April,JU13,18,43.8,
March,SD3,26.6,53.7,
March,x,37.3,59.5,
June,MH6,21.6,82.8,
June,MH12,11.3,52.7,
March,x,32.9,29.6,
March,SD7,20.1,80,
April,GL25,19.4,42.4,
March,GL9,20.5,79.2,
April,ALS12,24.9,115.1,
March,GL17,28.5,30.3,
March,GL7,41,28.2,
April,GL(McArty C),22,80.5,
April,GL(N Rinker Hall),18.9,60.1,
March,SD10,20.9,44.2,
April,JU14,19.7,37,
April,ALS16,35.4,59.5,
March,X,25.2,50,
March,GL(Advice center),20.1,38.1,
April,JU14,15.2,60,
March,SD12,29.5,44.3,
March,GL11,25.2,24.9,
April,GL(Infarmary),30.8,58.9,
March,GL4,31.6,84.2,
March,GL1,31.4,38.9,
June,MH13,17,71.7,
