Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-06-21 05:01:00,2005-06-21 06:01:00,60.0,28.97180327868853,23.508196721311474
Off,2005-06-21 06:01:00,2005-06-21 06:14:00,13.0,22.98,23.07
On,2005-06-21 06:14:00,2005-06-21 06:23:00,9.0,25.047,22.844
Off,2005-06-21 06:23:00,2005-06-21 06:30:00,7.0,23.33,22.87375
On,2005-06-21 06:30:00,2005-06-21 06:48:00,18.0,28.634210526315787,23.120526315789476
Off,2005-06-21 06:48:00,2005-06-21 07:19:00,31.0,21.95,22.8225
On,2005-06-21 07:19:00,2005-06-21 07:43:00,24.0,28.9236,23.3824
Off,2005-06-21 07:43:00,2005-06-21 07:59:00,16.0,25.27,24.34294117647059
On,2005-06-21 07:59:00,2005-06-21 08:10:00,11.0,27.69,24.97333333333333
Off,2005-06-21 08:10:00,2005-06-21 08:26:00,16.0,24.74,25.62058823529412
On,2005-06-21 08:26:00,2005-06-21 08:45:00,19.0,28.4225,26.475
Off,2005-06-21 08:45:00,2005-06-21 09:03:00,18.0,27.78,27.097894736842107
On,2005-06-21 09:03:00,2005-06-21 09:27:00,24.0,31.7096,28.156
Off,2005-06-21 09:27:00,2005-06-21 09:35:00,8.0,29.62,27.500000000000004
On,2005-06-21 09:35:00,2005-06-21 09:46:00,11.0,31.5475,27.99416666666667
Off,2005-06-21 09:46:00,2005-06-21 09:54:00,8.0,29.44,28.288888888888888
On,2005-06-21 09:54:00,2005-06-21 10:32:00,38.0,32.04102564102564,28.315897435897437
Off,2005-06-21 10:32:00,2005-06-21 10:40:00,8.0,30.37,28.492222222222225
On,2005-06-21 10:40:00,2005-06-21 10:53:00,13.0,32.230000000000004,29.12071428571429
Off,2005-06-21 10:53:00,2005-06-21 11:02:00,9.0,31.13,29.866000000000003
On,2005-06-21 11:02:00,2005-06-21 11:15:00,13.0,33.62499999999999,29.969285714285714
Off,2005-06-21 11:15:00,2005-06-21 11:23:00,8.0,31.7,30.70777777777778
On,2005-06-21 11:23:00,2005-06-21 11:44:00,21.0,33.25090909090909,30.26136363636363
Off,2005-06-21 11:44:00,2005-06-21 11:56:00,12.0,31.13,29.83846153846154
On,2005-06-21 11:56:00,2005-06-21 12:47:00,51.0,33.40192307692308,31.179230769230774
Off,2005-06-21 12:47:00,2005-06-21 12:55:00,8.0,33.05,32.21222222222222
On,2005-06-21 12:55:00,2005-06-21 13:26:00,31.0,33.9440625,31.9834375
Off,2005-06-21 13:26:00,2005-06-21 13:32:00,6.0,32.08,31.809999999999995
On,2005-06-21 13:32:00,2005-06-21 13:49:00,17.0,34.004444444444445,32.25722222222222
Off,2005-06-21 13:49:00,2005-06-21 14:03:00,14.0,32.28,32.456
On,2005-06-21 14:03:00,2005-06-21 14:28:00,25.0,34.16153846153846,32.37384615384615
Off,2005-06-21 14:28:00,2005-06-21 14:35:00,7.0,33.25,32.64
On,2005-06-21 14:35:00,2005-06-21 14:58:00,23.0,35.34458333333333,32.939166666666665
Off,2005-06-21 14:58:00,2005-06-21 15:05:00,7.0,33.44,33.345
On,2005-06-21 15:05:00,2005-06-21 15:31:00,26.0,34.404444444444444,33.349999999999994
Off,2005-06-21 15:31:00,2005-06-21 15:34:00,3.0,32.86,34.04
On,2005-06-21 15:34:00,2005-06-21 15:49:00,15.0,35.038125,33.97687499999999
Off,2005-06-21 15:49:00,2005-06-21 16:00:00,11.0,32.08,33.47833333333333
On,2005-06-21 16:00:00,2005-06-21 16:13:00,13.0,33.81285714285714,32.08285714285714
Off,2005-06-21 16:13:00,2005-06-21 16:23:00,10.0,31.89,32.15363636363636
On,2005-06-21 16:23:00,2005-06-21 17:12:00,49.0,34.754,30.3546
Off,2005-06-21 17:12:00,2005-06-21 17:21:00,9.0,30.37,28.001
On,2005-06-21 17:21:00,2005-06-21 17:48:00,27.0,32.08642857142858,27.56142857142857
Off,2005-06-21 17:48:00,2005-06-21 18:04:00,16.0,27.24,26.943529411764704
On,2005-06-21 18:04:00,2005-06-21 18:10:00,6.0,29.84714285714286,26.777142857142856
Off,2005-06-21 18:10:00,2005-06-21 18:21:00,11.0,27.78,27.06
On,2005-06-21 18:21:00,2005-06-21 18:43:00,22.0,30.90956521739131,27.52956521739131
Off,2005-06-21 18:43:00,2005-06-21 18:49:00,6.0,29.81,28.01428571428572
On,2005-06-21 18:49:00,2005-06-21 19:16:00,27.0,31.85571428571429,28.16714285714286
Off,2005-06-21 19:16:00,2005-06-21 19:29:00,13.0,29.62,27.96071428571428
On,2005-06-21 19:29:00,2005-06-21 19:49:00,20.0,31.93333333333333,27.77142857142858
Off,2005-06-21 19:49:00,2005-06-21 19:56:00,7.0,29.81,27.285
On,2005-06-21 19:56:00,2005-06-21 20:02:00,6.0,30.941428571428567,27.06
Off,2005-06-21 20:02:00,2005-06-21 20:07:00,5.0,29.25,26.879999999999995
On,2005-06-21 20:07:00,2005-06-21 20:16:00,9.0,29.978,26.502
Off,2005-06-21 20:16:00,2005-06-21 20:21:00,5.0,29.25,26.31
On,2005-06-21 20:21:00,2005-06-21 20:26:00,5.0,29.655,26.19
Off,2005-06-21 20:26:00,2005-06-21 20:32:00,6.0,28.15,25.95428571428572
On,2005-06-21 20:32:00,2005-06-21 20:38:00,6.0,28.988571428571426,25.800000000000004
Off,2005-06-21 20:38:00,2005-06-21 20:52:00,14.0,26.52,25.704
On,2005-06-21 20:52:00,2005-06-21 20:58:00,6.0,27.75857142857143,25.542857142857144
Off,2005-06-21 20:58:00,2005-06-21 21:08:00,10.0,27.78,25.652727272727272
Nocturnal,2005-06-21 21:08:00,2005-06-22 06:08:00,540.0,30.44478743068392,24.92900184842884
Off,2005-06-22 06:08:00,2005-06-22 06:16:00,8.0,25.8,23.914444444444445
On,2005-06-22 06:16:00,2005-06-22 06:33:00,17.0,28.447777777777773,23.700000000000003
Off,2005-06-22 06:33:00,2005-06-22 06:41:00,8.0,25.8,23.64222222222222
On,2005-06-22 06:41:00,2005-06-22 07:21:00,40.0,30.277804878048777,24.33682926829268
Off,2005-06-22 07:21:00,2005-06-22 07:32:00,11.0,27.06,25.015
On,2005-06-22 07:32:00,2005-06-22 07:47:00,15.0,30.820625,25.813125
Off,2005-06-22 07:47:00,2005-06-22 08:00:00,13.0,28.51,26.738571428571426
On,2005-06-22 08:00:00,2005-06-22 08:08:00,8.0,30.832222222222224,27.1
Off,2005-06-22 08:08:00,2005-06-22 08:15:00,7.0,29.62,27.465000000000003
On,2005-06-22 08:15:00,2005-06-22 08:36:00,21.0,33.01545454545454,28.515454545454546
Off,2005-06-22 08:36:00,2005-06-22 08:43:00,7.0,30.0,29.43875
On,2005-06-22 08:43:00,2005-06-22 08:49:00,6.0,32.04714285714285,29.35857142857143
Off,2005-06-22 08:49:00,2005-06-22 08:53:00,4.0,30.56,29.734
On,2005-06-22 08:53:00,2005-06-22 08:59:00,6.0,32.34285714285714,29.755714285714284
Off,2005-06-22 08:59:00,2005-06-22 09:07:00,8.0,30.56,29.584444444444443
On,2005-06-22 09:07:00,2005-06-22 09:23:00,16.0,33.99941176470588,29.704117647058823
Off,2005-06-22 09:23:00,2005-06-22 09:40:00,17.0,30.0,29.94388888888888
On,2005-06-22 09:40:00,2005-06-22 09:53:00,13.0,33.166428571428575,30.129285714285714
Off,2005-06-22 09:53:00,2005-06-22 10:02:00,9.0,31.89,30.56
On,2005-06-22 10:02:00,2005-06-22 10:12:00,10.0,33.92545454545455,31.16454545454545
Off,2005-06-22 10:12:00,2005-06-22 10:22:00,10.0,31.7,31.58
On,2005-06-22 10:22:00,2005-06-22 10:35:00,13.0,33.835,31.321428571428573
Off,2005-06-22 10:35:00,2005-06-22 10:41:00,6.0,30.94,31.184285714285718
On,2005-06-22 10:41:00,2005-06-22 10:50:00,9.0,32.829,30.807
Off,2005-06-22 10:50:00,2005-06-22 10:53:00,3.0,32.66,30.045
On,2005-06-22 10:53:00,2005-06-22 11:06:00,13.0,33.770714285714284,31.692142857142866
Off,2005-06-22 11:06:00,2005-06-22 11:13:00,7.0,31.51,31.755
On,2005-06-22 11:13:00,2005-06-22 11:19:00,6.0,32.528571428571425,30.07857142857143
Off,2005-06-22 11:19:00,2005-06-22 11:23:00,4.0,32.47,30.070000000000004
On,2005-06-22 11:23:00,2005-06-22 11:34:00,11.0,33.64416666666667,30.62333333333333
Off,2005-06-22 11:34:00,2005-06-22 11:40:00,6.0,31.32,30.858571428571427
On,2005-06-22 11:40:00,2005-06-22 11:51:00,11.0,34.93500000000001,30.718333333333334
Off,2005-06-22 11:51:00,2005-06-22 11:58:00,7.0,31.89,30.48875
On,2005-06-22 11:58:00,2005-06-22 12:07:00,9.0,33.724000000000004,30.484
Off,2005-06-22 12:07:00,2005-06-22 12:16:00,9.0,33.25,32.128
On,2005-06-22 12:16:00,2005-06-22 12:23:00,7.0,34.26375,32.95625
Off,2005-06-22 12:23:00,2005-06-22 12:28:00,5.0,32.86,31.415000000000003
On,2005-06-22 12:28:00,2005-06-22 13:07:00,39.0,33.578,29.981
Off,2005-06-22 13:07:00,2005-06-22 13:15:00,8.0,31.32,27.880000000000003
On,2005-06-22 13:15:00,2005-06-22 13:24:00,9.0,33.248000000000005,28.534
Off,2005-06-22 13:24:00,2005-06-22 13:32:00,8.0,29.44,28.12666666666667
On,2005-06-22 13:32:00,2005-06-22 13:38:00,6.0,30.647142857142853,27.937142857142863
Off,2005-06-22 13:38:00,2005-06-22 13:45:00,7.0,28.15,27.85125
On,2005-06-22 13:45:00,2005-06-22 14:16:00,31.0,30.7578125,27.18375
Off,2005-06-22 14:16:00,2005-06-22 14:23:00,7.0,28.15,27.735
On,2005-06-22 14:23:00,2005-06-22 14:31:00,8.0,32.27777777777778,28.513333333333332
Off,2005-06-22 14:31:00,2005-06-22 14:42:00,11.0,30.94,29.0825
On,2005-06-22 14:42:00,2005-06-22 16:51:00,129.0,34.99353846153846,31.912846153846157
Off,2005-06-22 16:51:00,2005-06-22 16:55:00,4.0,35.03,33.484
On,2005-06-22 16:55:00,2005-06-22 16:59:00,4.0,35.888,32.01
Off,2005-06-22 16:59:00,2005-06-22 17:04:00,5.0,34.04,30.62333333333333
On,2005-06-22 17:04:00,2005-06-22 17:12:00,8.0,35.215555555555554,30.35
Off,2005-06-22 17:12:00,2005-06-22 17:27:00,15.0,32.86,31.01125
On,2005-06-22 17:27:00,2005-06-22 17:35:00,8.0,34.413333333333334,30.686666666666667
Off,2005-06-22 17:35:00,2005-06-22 17:47:00,12.0,33.05,31.32
On,2005-06-22 17:47:00,2005-06-22 18:04:00,17.0,34.84277777777778,31.91388888888889
Off,2005-06-22 18:04:00,2005-06-22 18:09:00,5.0,34.83,31.7
On,2005-06-22 18:09:00,2005-06-22 18:17:00,8.0,35.23888888888889,31.86888888888889
Off,2005-06-22 18:17:00,2005-06-22 18:20:00,3.0,34.04,31.5575
On,2005-06-22 18:20:00,2005-06-22 18:34:00,14.0,35.69466666666667,31.04133333333333
Off,2005-06-22 18:34:00,2005-06-22 18:43:00,9.0,32.08,29.831
Nocturnal,2005-06-22 18:43:00,2005-06-23 06:08:00,685.0,30.048556851311957,24.972755102040814
Off,2005-06-23 06:08:00,2005-06-23 06:16:00,8.0,25.8,23.93444444444445
On,2005-06-23 06:16:00,2005-06-23 06:31:00,15.0,28.521875,23.815
Off,2005-06-23 06:31:00,2005-06-23 06:39:00,8.0,25.8,23.64444444444445
On,2005-06-23 06:39:00,2005-06-23 07:19:00,40.0,29.58,24.260243902439026
Off,2005-06-23 07:19:00,2005-06-23 07:28:00,9.0,25.98,24.35
On,2005-06-23 07:28:00,2005-06-23 07:34:00,6.0,27.99857142857143,24.56
Off,2005-06-23 07:34:00,2005-06-23 07:41:00,7.0,27.42,25.1125
On,2005-06-23 07:41:00,2005-06-23 07:52:00,11.0,31.374166666666667,26.040833333333328
Off,2005-06-23 07:52:00,2005-06-23 08:01:00,9.0,28.7,26.484
On,2005-06-23 08:01:00,2005-06-23 08:23:00,22.0,31.65260869565217,27.627391304347828
Off,2005-06-23 08:23:00,2005-06-23 08:33:00,10.0,29.44,28.430909090909093
On,2005-06-23 08:33:00,2005-06-23 08:55:00,22.0,32.5191304347826,28.473913043478262
Off,2005-06-23 08:55:00,2005-06-23 09:08:00,13.0,30.0,28.73642857142857
On,2005-06-23 09:08:00,2005-06-23 09:24:00,16.0,33.374117647058824,29.41647058823529
Off,2005-06-23 09:24:00,2005-06-23 09:39:00,15.0,30.75,29.703125
On,2005-06-23 09:39:00,2005-06-23 09:52:00,13.0,33.57214285714286,29.76928571428572
Off,2005-06-23 09:52:00,2005-06-23 10:10:00,18.0,31.13,30.429999999999996
On,2005-06-23 10:10:00,2005-06-23 10:27:00,17.0,33.55222222222223,31.035
Off,2005-06-23 10:27:00,2005-06-23 10:35:00,8.0,31.89,31.23555555555556
On,2005-06-23 10:35:00,2005-06-23 10:40:00,5.0,33.35333333333333,30.971666666666664
Off,2005-06-23 10:40:00,2005-06-23 10:44:00,4.0,32.66,31.168
On,2005-06-23 10:44:00,2005-06-23 10:52:00,8.0,34.044444444444444,30.72888888888889
Off,2005-06-23 10:52:00,2005-06-23 11:00:00,8.0,32.28,31.08777777777778
On,2005-06-23 11:00:00,2005-06-23 11:07:00,7.0,34.7525,31.32
Off,2005-06-23 11:07:00,2005-06-23 11:12:00,5.0,34.04,32.11666666666667
On,2005-06-23 11:12:00,2005-06-23 11:20:00,8.0,35.74,32.29888888888888
Off,2005-06-23 11:20:00,2005-06-23 11:35:00,15.0,32.08,32.71187499999999
On,2005-06-23 11:35:00,2005-06-23 11:54:00,19.0,35.087,32.287499999999994
Off,2005-06-23 11:54:00,2005-06-23 12:02:00,8.0,33.05,32.92333333333333
On,2005-06-23 12:02:00,2005-06-23 12:19:00,17.0,35.48722222222222,33.18388888888889
Off,2005-06-23 12:19:00,2005-06-23 12:27:00,8.0,33.25,32.70666666666667
On,2005-06-23 12:27:00,2005-06-23 12:41:00,14.0,35.28333333333333,33.483333333333334
Off,2005-06-23 12:41:00,2005-06-23 12:47:00,6.0,33.84,33.10857142857144
On,2005-06-23 12:47:00,2005-06-23 12:59:00,12.0,35.18,33.082307692307694
Off,2005-06-23 12:59:00,2005-06-23 13:02:00,3.0,33.84,33.3925
