Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-26 20:31:00,2006-04-27 07:26:00,655.0,31.986097560975605,21.921280487804875
Off,2006-04-27 07:26:00,2006-04-27 07:28:00,2.0,30.18,21.656666666666663
On,2006-04-27 07:28:00,2006-04-27 07:46:00,18.0,32.38157894736842,21.421052631578945
Off,2006-04-27 07:46:00,2006-04-27 07:48:00,2.0,29.62,21.316666666666663
On,2006-04-27 07:48:00,2006-04-27 08:05:00,17.0,32.185,21.41111111111111
Off,2006-04-27 08:05:00,2006-04-27 08:11:00,6.0,27.42,21.551428571428573
On,2006-04-27 08:11:00,2006-04-27 08:26:00,15.0,31.27125,21.49375
Off,2006-04-27 08:26:00,2006-04-27 08:29:00,3.0,29.81,21.557500000000005
On,2006-04-27 08:29:00,2006-04-27 08:40:00,11.0,32.155,21.387500000000003
Off,2006-04-27 08:40:00,2006-04-27 08:47:00,7.0,25.8,21.45125
On,2006-04-27 08:47:00,2006-04-27 08:56:00,9.0,30.385,21.187
Off,2006-04-27 08:56:00,2006-04-27 08:58:00,2.0,30.75,21.26
On,2006-04-27 08:58:00,2006-04-27 09:04:00,6.0,32.17,21.308571428571437
Off,2006-04-27 09:04:00,2006-04-27 09:06:00,2.0,29.81,21.26
On,2006-04-27 09:06:00,2006-04-27 09:13:00,7.0,31.8275,21.345
Off,2006-04-27 09:13:00,2006-04-27 09:17:00,4.0,29.25,21.26
On,2006-04-27 09:17:00,2006-04-27 09:25:00,8.0,30.647777777777776,21.043333333333333
Off,2006-04-27 09:25:00,2006-04-27 09:27:00,2.0,29.44,21.08
On,2006-04-27 09:27:00,2006-04-27 09:32:00,5.0,31.261666666666667,21.14
Off,2006-04-27 09:32:00,2006-04-27 09:38:00,6.0,27.24,21.15857142857143
On,2006-04-27 09:38:00,2006-04-27 09:57:00,19.0,31.962999999999997,20.9445
Off,2006-04-27 09:57:00,2006-04-27 10:04:00,7.0,26.88,21.04
On,2006-04-27 10:04:00,2006-04-27 10:19:00,15.0,31.98375,20.93125
Off,2006-04-27 10:19:00,2006-04-27 10:22:00,3.0,29.25,20.995
On,2006-04-27 10:22:00,2006-04-27 10:38:00,16.0,31.853529411764704,21.08235294117647
Off,2006-04-27 10:38:00,2006-04-27 10:41:00,3.0,29.25,21.3025
On,2006-04-27 10:41:00,2006-04-27 10:44:00,3.0,30.3775,21.345
Off,2006-04-27 10:44:00,2006-04-27 10:47:00,3.0,28.15,21.26
On,2006-04-27 10:47:00,2006-04-27 10:59:00,12.0,31.696923076923078,21.45615384615385
Off,2006-04-27 10:59:00,2006-04-27 11:03:00,4.0,27.42,21.154
On,2006-04-27 11:03:00,2006-04-27 11:09:00,6.0,30.47571428571428,20.812857142857144
Off,2006-04-27 11:09:00,2006-04-27 11:11:00,2.0,29.81,20.91
On,2006-04-27 11:11:00,2006-04-27 11:28:00,17.0,32.379444444444445,21.005000000000003
Off,2006-04-27 11:28:00,2006-04-27 11:31:00,3.0,27.6,20.7825
On,2006-04-27 11:31:00,2006-04-27 11:45:00,14.0,31.584,20.786666666666665
Off,2006-04-27 11:45:00,2006-04-27 11:50:00,5.0,27.06,21.45833333333333
On,2006-04-27 11:50:00,2006-04-27 12:11:00,21.0,32.193636363636365,21.656818181818178
Off,2006-04-27 12:11:00,2006-04-27 12:16:00,5.0,27.6,21.65833333333333
On,2006-04-27 12:16:00,2006-04-27 12:29:00,13.0,32.17857142857143,21.685714285714287
