Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-29 21:40:00,2006-04-30 06:42:00,542.0,29.930092081031304,17.335451197053406
Off,2006-04-30 06:42:00,2006-04-30 06:49:00,7.0,26.16,15.83
On,2006-04-30 06:49:00,2006-04-30 07:04:00,15.0,29.49,15.819375
Off,2006-04-30 07:04:00,2006-04-30 07:08:00,4.0,24.38,15.830000000000002
On,2006-04-30 07:08:00,2006-04-30 07:18:00,10.0,28.645454545454548,16.015454545454546
Off,2006-04-30 07:18:00,2006-04-30 07:22:00,4.0,23.68,16.17
On,2006-04-30 07:22:00,2006-04-30 07:34:00,12.0,28.095384615384617,16.25615384615384
Off,2006-04-30 07:34:00,2006-04-30 07:44:00,10.0,22.29,16.329999999999995
On,2006-04-30 07:44:00,2006-04-30 07:54:00,10.0,28.070909090909087,16.484545454545454
Off,2006-04-30 07:54:00,2006-04-30 08:00:00,6.0,24.38,16.67
On,2006-04-30 08:00:00,2006-04-30 08:11:00,11.0,29.474166666666665,16.854166666666664
Off,2006-04-30 08:11:00,2006-04-30 08:13:00,2.0,27.42,17.01
On,2006-04-30 08:13:00,2006-04-30 08:22:00,9.0,29.704999999999995,17.112000000000002
Off,2006-04-30 08:22:00,2006-04-30 08:27:00,5.0,25.44,17.403333333333336
On,2006-04-30 08:27:00,2006-04-30 08:37:00,10.0,28.81090909090909,17.71090909090909
Off,2006-04-30 08:37:00,2006-04-30 08:40:00,3.0,27.24,17.9775
On,2006-04-30 08:40:00,2006-04-30 08:52:00,12.0,29.198461538461537,18.203076923076928
Off,2006-04-30 08:52:00,2006-04-30 08:59:00,7.0,25.27,18.445
On,2006-04-30 08:59:00,2006-04-30 09:33:00,34.0,28.74171428571429,18.734
Off,2006-04-30 09:33:00,2006-04-30 09:39:00,6.0,28.15,19.21
On,2006-04-30 09:39:00,2006-04-30 09:50:00,11.0,30.42583333333333,19.606666666666666
Off,2006-04-30 09:50:00,2006-04-30 09:53:00,3.0,27.78,19.72
On,2006-04-30 09:53:00,2006-04-30 10:16:00,23.0,29.9075,20.37875
Off,2006-04-30 10:16:00,2006-04-30 10:21:00,5.0,26.52,20.711666666666662
On,2006-04-30 10:21:00,2006-04-30 10:30:00,9.0,28.523000000000003,21.429
Off,2006-04-30 10:30:00,2006-04-30 10:34:00,4.0,28.15,22.392000000000003
On,2006-04-30 10:34:00,2006-04-30 10:39:00,5.0,29.811666666666667,22.00333333333333
Off,2006-04-30 10:39:00,2006-04-30 10:43:00,4.0,28.33,22.326
On,2006-04-30 10:43:00,2006-04-30 10:48:00,5.0,29.161666666666665,22.521666666666665
Off,2006-04-30 10:48:00,2006-04-30 10:51:00,3.0,28.33,22.4175
On,2006-04-30 10:51:00,2006-04-30 10:57:00,6.0,30.70428571428571,22.168571428571425
Off,2006-04-30 10:57:00,2006-04-30 11:01:00,4.0,28.33,21.772
On,2006-04-30 11:01:00,2006-04-30 11:25:00,24.0,29.5348,21.5116
Off,2006-04-30 11:25:00,2006-04-30 11:31:00,6.0,27.24,21.6
On,2006-04-30 11:31:00,2006-04-30 11:36:00,5.0,28.950000000000003,21.77333333333333
Off,2006-04-30 11:36:00,2006-04-30 11:40:00,4.0,27.96,22.154000000000003
On,2006-04-30 11:40:00,2006-04-30 11:45:00,5.0,30.50833333333333,22.58
Off,2006-04-30 11:45:00,2006-04-30 11:50:00,5.0,28.15,22.55
On,2006-04-30 11:50:00,2006-04-30 11:53:00,3.0,29.49,22.550000000000004
Off,2006-04-30 11:53:00,2006-04-30 12:00:00,7.0,27.78,22.7025
On,2006-04-30 12:00:00,2006-04-30 12:05:00,5.0,29.13166666666667,22.725
Off,2006-04-30 12:05:00,2006-04-30 12:10:00,5.0,28.7,22.866666666666664
On,2006-04-30 12:10:00,2006-04-30 12:15:00,5.0,30.281666666666663,22.925
Off,2006-04-30 12:15:00,2006-04-30 12:18:00,3.0,29.62,22.9825
On,2006-04-30 12:18:00,2006-04-30 12:21:00,3.0,30.9425,23.245
Off,2006-04-30 12:21:00,2006-04-30 12:28:00,7.0,28.88,23.63875
On,2006-04-30 12:28:00,2006-04-30 12:33:00,5.0,31.265,23.85833333333333
Off,2006-04-30 12:33:00,2006-04-30 12:36:00,3.0,30.75,23.987500000000004
On,2006-04-30 12:36:00,2006-04-30 12:50:00,14.0,31.91933333333333,24.349333333333337
Off,2006-04-30 12:50:00,2006-04-30 12:56:00,6.0,30.56,24.46
On,2006-04-30 12:56:00,2006-04-30 13:00:00,4.0,31.168,24.312
Off,2006-04-30 13:00:00,2006-04-30 13:03:00,3.0,30.37,24.3825
On,2006-04-30 13:03:00,2006-04-30 13:43:00,40.0,31.60804878048781,25.029024390243904
Off,2006-04-30 13:43:00,2006-04-30 13:46:00,3.0,30.94,25.0025
On,2006-04-30 13:46:00,2006-04-30 14:17:00,31.0,32.6121875,24.9796875
Off,2006-04-30 14:17:00,2006-04-30 14:29:00,12.0,29.62,24.899230769230773
On,2006-04-30 14:29:00,2006-04-30 14:35:00,6.0,31.817142857142866,25.571428571428573
Off,2006-04-30 14:35:00,2006-04-30 14:38:00,3.0,31.13,25.4
On,2006-04-30 14:38:00,2006-04-30 14:48:00,10.0,33.32545454545455,25.60727272727273
Off,2006-04-30 14:48:00,2006-04-30 14:52:00,4.0,32.86,25.620000000000005
On,2006-04-30 14:52:00,2006-04-30 14:56:00,4.0,33.446,25.514
Off,2006-04-30 14:56:00,2006-04-30 15:03:00,7.0,30.94,25.31125
On,2006-04-30 15:03:00,2006-04-30 15:10:00,7.0,32.23125,25.8225
Off,2006-04-30 15:10:00,2006-04-30 15:17:00,7.0,31.13,25.37625
On,2006-04-30 15:17:00,2006-04-30 15:21:00,4.0,31.854,25.232000000000003
Off,2006-04-30 15:21:00,2006-04-30 15:25:00,4.0,31.32,25.302
On,2006-04-30 15:25:00,2006-04-30 15:30:00,5.0,32.571666666666665,25.950000000000003
Off,2006-04-30 15:30:00,2006-04-30 15:35:00,5.0,31.13,25.98
On,2006-04-30 15:35:00,2006-04-30 15:42:00,7.0,32.0125,25.71
Off,2006-04-30 15:42:00,2006-04-30 15:48:00,6.0,30.94,25.774285714285718
On,2006-04-30 15:48:00,2006-04-30 15:54:00,6.0,32.14142857142857,26.28857142857143
Off,2006-04-30 15:54:00,2006-04-30 16:01:00,7.0,30.94,25.957500000000003
On,2006-04-30 16:01:00,2006-04-30 16:02:00,1.0,31.415,25.8
Off,2006-04-30 16:02:00,2006-04-30 16:07:00,5.0,31.13,26.13
On,2006-04-30 16:07:00,2006-04-30 16:16:00,9.0,32.321,26.178
Off,2006-04-30 16:16:00,2006-04-30 16:23:00,7.0,31.13,26.0925
On,2006-04-30 16:23:00,2006-04-30 16:27:00,4.0,32.742,25.836
Off,2006-04-30 16:27:00,2006-04-30 16:35:00,8.0,29.44,25.68
On,2006-04-30 16:35:00,2006-04-30 16:42:00,7.0,31.44375,25.42
Off,2006-04-30 16:42:00,2006-04-30 16:47:00,5.0,28.88,25.061666666666667
On,2006-04-30 16:47:00,2006-04-30 17:06:00,19.0,32.227999999999994,25.0095
Off,2006-04-30 17:06:00,2006-04-30 17:14:00,8.0,28.7,24.89444444444445
On,2006-04-30 17:14:00,2006-04-30 17:27:00,13.0,31.31571428571428,24.42142857142857
Off,2006-04-30 17:27:00,2006-04-30 17:33:00,6.0,28.33,24.56
On,2006-04-30 17:33:00,2006-04-30 17:43:00,10.0,30.656363636363636,24.431818181818183
Off,2006-04-30 17:43:00,2006-04-30 17:52:00,9.0,28.51,24.755000000000003
On,2006-04-30 17:52:00,2006-04-30 18:07:00,15.0,30.707500000000003,24.405625
Off,2006-04-30 18:07:00,2006-04-30 18:14:00,7.0,28.51,24.5825
On,2006-04-30 18:14:00,2006-04-30 18:25:00,11.0,29.64,24.1925
Off,2006-04-30 18:25:00,2006-04-30 18:32:00,7.0,26.88,23.74875
On,2006-04-30 18:32:00,2006-04-30 18:54:00,22.0,30.50608695652175,23.24869565217392
Off,2006-04-30 18:54:00,2006-04-30 19:01:00,7.0,26.7,22.9175
On,2006-04-30 19:01:00,2006-04-30 19:24:00,23.0,29.540000000000003,22.71083333333333
Off,2006-04-30 19:24:00,2006-04-30 19:38:00,14.0,25.44,22.24533333333333
On,2006-04-30 19:38:00,2006-04-30 20:02:00,24.0,29.8148,21.554
Off,2006-04-30 20:02:00,2006-04-30 20:10:00,8.0,24.56,21.02333333333333
On,2006-04-30 20:10:00,2006-04-30 20:15:00,5.0,26.64333333333333,20.91
Off,2006-04-30 20:15:00,2006-04-30 20:28:00,13.0,24.91,20.679285714285708
Nocturnal,2006-04-30 20:28:00,2006-05-01 06:35:00,607.0,26.87955592105263,16.050509868421056
Off,2006-05-01 06:35:00,2006-05-01 06:42:00,7.0,18.53,13.73
On,2006-05-01 06:42:00,2006-05-01 06:53:00,11.0,24.63083333333333,13.81
Off,2006-05-01 06:53:00,2006-05-01 06:55:00,2.0,22.12,13.923333333333332
On,2006-05-01 06:55:00,2006-05-01 07:01:00,6.0,24.441428571428567,13.955714285714288
Off,2006-05-01 07:01:00,2006-05-01 07:09:00,8.0,17.18,14.074444444444444
On,2006-05-01 07:09:00,2006-05-01 07:24:00,15.0,25.96,14.118125
Off,2006-05-01 07:24:00,2006-05-01 07:31:00,7.0,19.21,14.15
On,2006-05-01 07:31:00,2006-05-01 08:00:00,29.0,26.212333333333333,14.402333333333331
Off,2006-05-01 08:00:00,2006-05-01 08:06:00,6.0,20.74,14.94142857142857
On,2006-05-01 08:06:00,2006-05-01 08:18:00,12.0,24.818461538461538,15.22538461538462
Off,2006-05-01 08:18:00,2006-05-01 08:25:00,7.0,18.36,15.37
On,2006-05-01 08:25:00,2006-05-01 08:39:00,14.0,24.907333333333334,15.694
Off,2006-05-01 08:39:00,2006-05-01 08:45:00,6.0,20.23,16.144285714285715
On,2006-05-01 08:45:00,2006-05-01 09:01:00,16.0,27.31705882352941,16.68
Off,2006-05-01 09:01:00,2006-05-01 09:07:00,6.0,24.03,17.490000000000002
On,2006-05-01 09:07:00,2006-05-01 09:23:00,16.0,28.054117647058824,18.31
Off,2006-05-01 09:23:00,2006-05-01 09:29:00,6.0,25.09,18.724285714285717
On,2006-05-01 09:29:00,2006-05-01 09:35:00,6.0,28.5,19.08857142857143
Off,2006-05-01 09:35:00,2006-05-01 09:39:00,4.0,25.44,19.516
On,2006-05-01 09:39:00,2006-05-01 10:11:00,32.0,27.446363636363635,20.60333333333333
Off,2006-05-01 10:11:00,2006-05-01 10:17:00,6.0,24.03,21.18142857142857
On,2006-05-01 10:17:00,2006-05-01 10:27:00,10.0,27.30363636363636,20.956363636363637
Off,2006-05-01 10:27:00,2006-05-01 10:32:00,5.0,24.91,20.881666666666664
On,2006-05-01 10:32:00,2006-05-01 10:41:00,9.0,26.668,21.412
Off,2006-05-01 10:41:00,2006-05-01 10:44:00,3.0,26.88,22.1625
On,2006-05-01 10:44:00,2006-05-01 10:54:00,10.0,29.20636363636364,22.306363636363635
Off,2006-05-01 10:54:00,2006-05-01 11:01:00,7.0,27.42,22.72375
On,2006-05-01 11:01:00,2006-05-01 11:10:00,9.0,29.593,22.914
Off,2006-05-01 11:10:00,2006-05-01 11:18:00,8.0,27.6,22.84777777777777
On,2006-05-01 11:18:00,2006-05-01 11:25:00,7.0,30.03,23.18
Off,2006-05-01 11:25:00,2006-05-01 11:31:00,6.0,29.07,23.48428571428571
On,2006-05-01 11:31:00,2006-05-01 12:57:00,86.0,31.287816091954024,25.3035632183908
Off,2006-05-01 12:57:00,2006-05-01 13:08:00,11.0,32.28,26.49
On,2006-05-01 13:08:00,2006-05-01 15:31:00,143.0,33.54673611111111,27.97625
Off,2006-05-01 15:31:00,2006-05-01 15:39:00,8.0,31.89,28.61555555555556
On,2006-05-01 15:39:00,2006-05-01 15:52:00,13.0,33.26857142857143,28.75
Off,2006-05-01 15:52:00,2006-05-01 15:58:00,6.0,31.89,28.75142857142857
On,2006-05-01 15:58:00,2006-05-01 16:03:00,5.0,33.64666666666667,28.545
Off,2006-05-01 16:03:00,2006-05-01 16:14:00,11.0,32.86,28.605833333333333
On,2006-05-01 16:14:00,2006-05-01 16:17:00,3.0,33.495000000000005,29.2525
Off,2006-05-01 16:17:00,2006-05-01 16:29:00,12.0,32.28,29.16692307692308
On,2006-05-01 16:29:00,2006-05-01 16:37:00,8.0,33.97333333333333,29.314444444444444
Off,2006-05-01 16:37:00,2006-05-01 16:44:00,7.0,32.28,29.161250000000003
