Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-05-12 20:31:00,2006-05-13 06:38:00,607.0,27.789671052631583,19.211085526315788
Off,2006-05-13 06:38:00,2006-05-13 06:44:00,6.0,18.87,17.204285714285714
On,2006-05-13 06:44:00,2006-05-13 07:15:00,31.0,27.1496875,17.534062499999997
Off,2006-05-13 07:15:00,2006-05-13 07:22:00,7.0,18.19,17.6375
On,2006-05-13 07:22:00,2006-05-13 07:28:00,6.0,21.60142857142857,17.631428571428575
Off,2006-05-13 07:28:00,2006-05-13 07:35:00,7.0,18.87,17.57375
On,2006-05-13 07:35:00,2006-05-13 07:54:00,19.0,27.31499999999999,17.995
Off,2006-05-13 07:54:00,2006-05-13 08:02:00,8.0,20.57,18.68111111111111
On,2006-05-13 08:02:00,2006-05-13 08:13:00,11.0,25.89666666666666,18.7
Off,2006-05-13 08:13:00,2006-05-13 08:19:00,6.0,20.74,19.161428571428576
On,2006-05-13 08:19:00,2006-05-13 08:36:00,17.0,26.84444444444445,19.54055555555556
Off,2006-05-13 08:36:00,2006-05-13 08:41:00,5.0,22.98,20.4
On,2006-05-13 08:41:00,2006-05-13 08:50:00,9.0,27.967,20.519
Off,2006-05-13 08:50:00,2006-05-13 08:57:00,7.0,23.33,20.80375
On,2006-05-13 08:57:00,2006-05-13 09:13:00,16.0,28.80647058823529,21.37705882352941
Off,2006-05-13 09:13:00,2006-05-13 09:18:00,5.0,26.52,22.176666666666662
On,2006-05-13 09:18:00,2006-05-13 09:49:00,31.0,29.498125,22.7715625
Off,2006-05-13 09:49:00,2006-05-13 10:02:00,13.0,24.03,23.182142857142853
On,2006-05-13 10:02:00,2006-05-13 10:15:00,13.0,30.285,23.882142857142856
Off,2006-05-13 10:15:00,2006-05-13 10:20:00,5.0,26.7,24.266666666666666
On,2006-05-13 10:20:00,2006-05-13 10:28:00,8.0,30.230000000000004,24.676666666666662
Off,2006-05-13 10:28:00,2006-05-13 10:34:00,6.0,26.16,24.84
On,2006-05-13 10:34:00,2006-05-13 10:53:00,19.0,32.101,25.197000000000003
Off,2006-05-13 10:53:00,2006-05-13 11:02:00,9.0,25.8,26.052
On,2006-05-13 11:02:00,2006-05-13 11:16:00,14.0,31.89666666666667,25.992000000000008
Off,2006-05-13 11:16:00,2006-05-13 11:24:00,8.0,27.42,26.02
On,2006-05-13 11:24:00,2006-05-13 11:38:00,14.0,32.45933333333333,26.267999999999997
Off,2006-05-13 11:38:00,2006-05-13 11:44:00,6.0,26.88,26.314285714285717
On,2006-05-13 11:44:00,2006-05-13 11:59:00,15.0,32.345625,26.8125
Off,2006-05-13 11:59:00,2006-05-13 12:12:00,13.0,25.98,27.09857142857143
On,2006-05-13 12:12:00,2006-05-13 12:37:00,25.0,33.276538461538465,27.908846153846152
Off,2006-05-13 12:37:00,2006-05-13 12:45:00,8.0,27.6,28.43111111111111
On,2006-05-13 12:45:00,2006-05-13 12:56:00,11.0,32.5675,28.405
Off,2006-05-13 12:56:00,2006-05-13 13:03:00,7.0,27.6,28.10125
On,2006-05-13 13:03:00,2006-05-13 13:22:00,19.0,32.385,28.688
Off,2006-05-13 13:22:00,2006-05-13 13:31:00,9.0,29.25,29.215000000000003
On,2006-05-13 13:31:00,2006-05-13 13:41:00,10.0,33.75272727272727,29.05
Off,2006-05-13 13:41:00,2006-05-13 13:49:00,8.0,29.62,29.29444444444444
On,2006-05-13 13:49:00,2006-05-13 14:01:00,12.0,32.9123076923077,29.166153846153843
Off,2006-05-13 14:01:00,2006-05-13 14:05:00,4.0,30.0,29.068
On,2006-05-13 14:05:00,2006-05-13 14:39:00,34.0,34.314,29.42285714285714
Off,2006-05-13 14:39:00,2006-05-13 14:49:00,10.0,29.62,29.622727272727275
On,2006-05-13 14:49:00,2006-05-13 15:01:00,12.0,33.338461538461544,30.18307692307692
Off,2006-05-13 15:01:00,2006-05-13 15:08:00,7.0,28.88,29.73875
On,2006-05-13 15:08:00,2006-05-13 15:22:00,14.0,33.64733333333333,30.23333333333333
Off,2006-05-13 15:22:00,2006-05-13 15:30:00,8.0,29.81,30.285555555555558
On,2006-05-13 15:30:00,2006-05-13 16:38:00,68.0,35.64521739130435,31.034782608695647
Off,2006-05-13 16:38:00,2006-05-13 16:42:00,4.0,32.28,31.814
On,2006-05-13 16:42:00,2006-05-13 16:47:00,5.0,34.415,31.668333333333333
Off,2006-05-13 16:47:00,2006-05-13 16:51:00,4.0,33.44,31.7
On,2006-05-13 16:51:00,2006-05-13 17:08:00,17.0,35.37444444444444,31.05611111111112
Off,2006-05-13 17:08:00,2006-05-13 17:13:00,5.0,30.94,30.813333333333333
On,2006-05-13 17:13:00,2006-05-13 17:28:00,15.0,35.025625000000005,31.130000000000003
Off,2006-05-13 17:28:00,2006-05-13 17:36:00,8.0,30.37,31.19333333333333
On,2006-05-13 17:36:00,2006-05-13 17:51:00,15.0,34.36812499999999,30.999375
Off,2006-05-13 17:51:00,2006-05-13 18:03:00,12.0,32.66,30.633076923076924
On,2006-05-13 18:03:00,2006-05-13 18:10:00,7.0,34.09375,30.32375
Off,2006-05-13 18:10:00,2006-05-13 18:14:00,4.0,33.05,30.597999999999995
On,2006-05-13 18:14:00,2006-05-13 18:23:00,9.0,34.739999999999995,30.655
Off,2006-05-13 18:23:00,2006-05-13 18:32:00,9.0,31.13,30.484
On,2006-05-13 18:32:00,2006-05-13 18:40:00,8.0,34.397777777777776,30.285555555555558
Off,2006-05-13 18:40:00,2006-05-13 18:52:00,12.0,30.0,29.76692307692308
On,2006-05-13 18:52:00,2006-05-13 19:01:00,9.0,33.273,29.736
Off,2006-05-13 19:01:00,2006-05-13 19:10:00,9.0,31.13,29.513
On,2006-05-13 19:10:00,2006-05-13 19:22:00,12.0,34.316923076923075,29.03923076923077
Off,2006-05-13 19:22:00,2006-05-13 19:31:00,9.0,29.62,28.366000000000003
On,2006-05-13 19:31:00,2006-05-13 19:51:00,20.0,33.65238095238095,27.59142857142857
Off,2006-05-13 19:51:00,2006-05-13 20:03:00,12.0,27.42,26.75538461538461
On,2006-05-13 20:03:00,2006-05-13 20:14:00,11.0,31.48333333333333,26.429999999999996
Off,2006-05-13 20:14:00,2006-05-13 20:30:00,16.0,26.52,25.92705882352941
Nocturnal,2006-05-13 20:30:00,2006-05-14 06:29:00,599.0,27.461683333333337,20.680566666666667
Off,2006-05-14 06:29:00,2006-05-14 06:34:00,5.0,20.4,17.651666666666667
On,2006-05-14 06:34:00,2006-05-14 07:39:00,65.0,27.946666666666665,18.416969696969694
Off,2006-05-14 07:39:00,2006-05-14 07:43:00,4.0,25.09,19.584
On,2006-05-14 07:43:00,2006-05-14 07:54:00,11.0,26.19416666666667,20.031666666666663
Off,2006-05-14 07:54:00,2006-05-14 08:06:00,12.0,20.57,20.36076923076923
On,2006-05-14 08:06:00,2006-05-14 08:29:00,23.0,29.155,21.27083333333333
Off,2006-05-14 08:29:00,2006-05-14 08:37:00,8.0,22.81,21.96777777777778
On,2006-05-14 08:37:00,2006-05-14 08:55:00,18.0,28.94315789473685,22.60052631578948
Off,2006-05-14 08:55:00,2006-05-14 09:02:00,7.0,22.64,22.91625
On,2006-05-14 09:02:00,2006-05-14 09:26:00,24.0,29.766,24.026
Off,2006-05-14 09:26:00,2006-05-14 09:34:00,8.0,24.21,24.46
On,2006-05-14 09:34:00,2006-05-14 09:54:00,20.0,31.01904761904762,24.9647619047619
Off,2006-05-14 09:54:00,2006-05-14 10:02:00,8.0,24.74,25.227777777777774
On,2006-05-14 10:02:00,2006-05-14 10:22:00,20.0,31.672857142857143,26.099999999999994
